"GeographyCode","CT00100001","CT00100002","CT00100003","CT00100004","CT00100005","CT00100006","CT00100007","CT00100008","CT00100009","CT00100010","CT00100011","CT00100012","CT00100013","CT00100014","CT00100015","CT00100016","CT00100017","CT00100018","CT00100019","CT00100020","CT00100021","CT00100022","CT00100023","CT00100024","CT00100025","CT00100026","CT00100027","CT00100028","CT00100029","CT00100030","CT00100031","CT00100032","CT00100033","CT00100034","CT00100035","CT00100036","CT00100037","CT00100038","CT00100039","CT00100040","CT00100041","CT00100042","CT00100043","CT00100044","CT00100045","CT00100046","CT00100047","CT00100048","CT00100049","CT00100050","CT00100051","CT00100052","CT00100053","CT00100054","CT00100055","CT00100056","CT00100057","CT00100058","CT00100059","CT00100060","CT00100061","CT00100062","CT00100063","CT00100064","CT00100065","CT00100066","CT00100067","CT00100068","CT00100069","CT00100070","CT00100071","CT00100072","CT00100073","CT00100074","CT00100075","CT00100076","CT00100077","CT00100078","CT00100079","CT00100080","CT00100081","CT00100082","CT00100083","CT00100084","CT00100085","CT00100086","CT00100087","CT00100088","CT00100089","CT00100090","CT00100091","CT00100092","CT00100093","CT00100094","CT00100095"
"E01004197",2329,852,54,3,35,42,22,31,3,51,5,624,26,13,97,56,1,24,0,1,1,1,0,2,21,4,0,1,3,7,0,2,1,9,0,3,0,1,0,0,2,8,1,0,0,0,1,40,8,6,2,0,4,1,30,5,0,1,1,0,18,2,2,1,9,0,0,1,11,10,1,85,0,21,0,1,2,0,25,7,1,3,0,0,1,10,0,3,4,0,1,3,0,0,1
"E01004198",1529,485,25,1,22,14,3,31,8,27,5,587,13,1,66,24,0,11,0,0,0,1,1,0,10,6,0,0,2,6,0,0,0,5,0,0,0,1,0,1,0,5,0,0,3,1,0,19,1,6,0,0,1,0,16,3,0,0,2,0,0,2,0,6,0,0,0,0,9,5,2,49,1,6,1,0,0,0,15,7,0,0,0,0,1,5,3,2,1,1,0,0,0,0,0
"E01004199",1637,422,17,0,10,15,7,9,4,14,5,828,19,0,60,32,1,4,6,0,0,1,0,0,7,0,0,0,1,7,0,0,0,2,5,0,0,0,0,1,0,2,0,0,4,0,0,11,6,5,2,0,1,0,9,1,0,3,0,0,3,0,0,7,1,0,0,6,4,3,1,27,0,13,0,0,0,0,20,8,0,0,1,0,0,7,2,0,13,0,0,0,0,0,0
"E01004200",1566,692,34,3,24,11,11,24,9,19,25,308,24,13,25,12,2,12,1,0,1,2,1,1,28,2,0,0,2,10,0,1,1,15,0,2,0,0,0,3,0,4,0,0,0,0,0,36,1,8,3,0,3,1,20,5,0,2,0,0,5,1,0,3,0,1,0,0,10,2,4,86,0,16,0,0,1,0,16,0,0,4,0,1,0,7,0,0,5,2,1,0,0,0,0
"E01004201",1556,746,37,0,13,17,3,27,6,10,4,346,13,0,78,39,0,25,0,2,0,3,0,2,15,0,1,0,1,1,0,0,0,2,0,0,0,1,0,0,0,3,0,0,2,0,0,20,4,3,1,0,0,0,10,5,0,2,0,1,2,0,0,0,1,0,0,6,8,6,4,39,0,6,0,0,0,0,9,2,0,2,0,0,2,14,2,0,6,1,1,2,0,0,0
"E01004202",1705,596,44,0,21,9,29,12,2,20,20,536,6,14,59,30,0,12,0,0,2,0,0,0,28,3,0,0,1,1,0,0,0,14,0,0,0,0,0,2,0,7,0,0,1,0,0,41,2,3,0,0,0,0,10,9,0,1,0,0,14,2,0,3,2,0,0,2,25,11,0,84,0,10,0,0,0,0,2,3,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0
"E01004203",1779,718,50,5,24,29,11,27,9,23,5,457,29,3,31,12,1,21,2,0,0,1,0,0,33,2,0,0,0,7,0,1,0,4,0,0,0,0,0,1,0,6,0,0,3,0,0,28,0,3,1,2,2,0,28,6,0,5,0,2,23,0,0,2,0,0,0,5,4,12,1,88,0,15,0,0,0,0,20,0,0,1,1,0,0,9,0,0,1,0,2,1,2,0,0
"E01004204",1582,500,32,0,10,14,3,14,4,12,3,587,16,5,90,38,1,9,5,1,0,2,0,1,15,3,0,0,0,5,0,0,0,5,1,0,0,0,0,0,0,3,0,0,0,0,0,29,2,4,0,0,9,0,23,1,0,0,0,5,11,0,2,4,1,3,0,0,8,6,1,51,0,6,0,2,0,0,15,3,0,0,0,0,2,10,1,0,3,0,0,1,0,0,0
"E01004205",2106,233,18,2,23,10,17,6,3,23,17,1373,14,1,97,32,0,17,4,0,0,1,0,0,17,6,0,0,1,2,0,0,0,4,6,0,0,0,0,0,0,5,1,0,1,0,1,21,1,3,1,0,0,0,17,7,0,1,0,0,2,0,0,2,3,0,0,10,2,3,0,44,0,17,0,0,0,0,13,1,0,0,0,0,0,9,4,0,8,0,2,0,0,0,0
"E01004206",1492,244,27,1,6,6,15,17,5,23,11,785,22,0,64,26,5,26,3,0,0,0,0,0,10,5,0,0,2,14,0,0,0,4,0,0,0,0,0,1,3,9,0,0,1,0,0,16,4,2,1,0,0,0,16,3,0,5,0,0,6,0,0,1,3,12,0,0,3,8,0,38,0,7,0,0,0,0,15,3,0,0,2,0,1,4,0,0,4,0,2,1,0,0,0
"E01004207",1416,480,22,0,13,18,6,29,1,37,21,511,49,6,33,44,1,16,0,0,0,0,0,0,11,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,5,0,3,0,0,2,0,3,5,0,1,0,4,9,0,0,3,0,0,0,0,2,7,1,20,0,8,0,0,0,0,10,1,0,2,2,0,3,1,2,0,8,1,2,0,0,0,0
"E01004208",1976,650,35,0,33,21,15,31,9,79,24,566,78,2,46,12,7,18,3,0,0,0,0,0,26,5,0,0,1,3,0,0,0,8,0,0,0,0,0,1,0,4,2,0,0,0,0,34,7,15,4,5,3,1,24,8,0,5,0,0,11,1,0,1,2,0,0,1,13,10,0,89,0,10,0,0,2,0,5,5,0,7,0,2,5,9,1,0,15,0,1,1,0,0,0
"E01004209",1366,241,17,0,15,4,7,11,3,11,4,803,13,0,38,28,2,11,1,1,1,0,0,0,1,6,0,0,2,12,1,0,0,1,5,0,0,0,0,0,0,1,0,0,3,0,1,19,0,1,0,0,0,1,17,1,0,5,0,0,0,3,0,2,1,0,0,2,2,4,0,16,0,3,0,0,0,0,27,9,0,1,1,0,0,2,3,0,2,0,0,0,0,0,0
