"GeographyCode","CT00100001","CT00100002","CT00100003","CT00100004","CT00100005","CT00100006","CT00100007","CT00100008","CT00100009","CT00100010","CT00100011","CT00100012","CT00100013","CT00100014","CT00100015","CT00100016","CT00100017","CT00100018","CT00100019","CT00100020","CT00100021","CT00100022","CT00100023","CT00100024","CT00100025","CT00100026","CT00100027","CT00100028","CT00100029","CT00100030","CT00100031","CT00100032","CT00100033","CT00100034","CT00100035","CT00100036","CT00100037","CT00100038","CT00100039","CT00100040","CT00100041","CT00100042","CT00100043","CT00100044","CT00100045","CT00100046","CT00100047","CT00100048","CT00100049","CT00100050","CT00100051","CT00100052","CT00100053","CT00100054","CT00100055","CT00100056","CT00100057","CT00100058","CT00100059","CT00100060","CT00100061","CT00100062","CT00100063","CT00100064","CT00100065","CT00100066","CT00100067","CT00100068","CT00100069","CT00100070","CT00100071","CT00100072","CT00100073","CT00100074","CT00100075","CT00100076","CT00100077","CT00100078","CT00100079","CT00100080","CT00100081","CT00100082","CT00100083","CT00100084","CT00100085","CT00100086","CT00100087","CT00100088","CT00100089","CT00100090","CT00100091","CT00100092","CT00100093","CT00100094","CT00100095"
"E02000864",8297,3726,147,7,74,171,56,73,48,103,40,1804,89,4,423,407,25,78,0,2,0,5,0,0,41,34,6,0,5,47,0,4,0,10,2,0,0,5,0,7,3,22,0,0,10,8,0,86,13,16,13,0,3,0,62,7,0,8,3,3,27,2,5,9,7,2,2,8,32,55,0,162,0,52,1,0,0,0,73,33,0,14,1,1,6,49,16,1,27,0,8,0,3,0,1
"E02000865",7051,2505,133,4,80,88,35,98,21,102,19,2385,71,14,301,151,2,64,6,3,1,6,1,4,53,10,1,1,7,21,0,2,1,18,5,3,0,3,0,2,2,18,1,0,9,1,1,90,19,20,5,0,6,1,65,14,0,6,3,1,23,4,2,14,11,0,0,13,32,24,8,200,1,46,1,1,2,0,69,24,1,5,1,0,4,36,7,5,24,2,2,5,0,0,1
"E02000866",9662,5139,223,11,136,142,52,139,41,175,39,1565,145,8,312,266,18,57,7,0,3,3,1,1,89,17,3,0,9,35,0,1,0,14,18,0,0,2,1,6,0,24,0,1,9,2,0,154,25,20,10,1,14,3,71,12,0,7,2,5,24,5,1,19,12,6,1,9,63,29,6,229,0,61,2,1,3,1,54,3,0,8,2,2,8,44,8,0,13,3,3,2,1,1,0
"E02000867",9761,4412,179,9,100,198,70,136,36,262,77,1912,234,17,309,277,17,71,5,1,6,4,0,0,87,33,5,0,7,34,0,1,3,21,1,8,0,1,0,11,3,28,2,0,12,0,0,131,32,32,10,12,23,4,94,19,0,10,0,7,70,7,1,1,7,1,1,10,34,75,4,267,0,113,1,2,1,0,69,22,1,10,0,0,12,32,6,0,27,5,10,4,1,3,1
"E02000868",6632,2506,160,8,79,63,54,77,24,74,53,1888,75,35,205,92,4,54,8,1,3,5,1,2,104,10,0,0,3,23,0,2,1,38,1,2,0,0,0,6,0,20,0,0,4,0,0,134,5,18,4,2,14,1,81,21,0,8,0,7,53,3,2,12,3,4,0,7,47,31,6,309,0,47,0,2,1,0,53,6,0,5,1,1,3,37,1,0,9,2,3,2,2,0,0
"E02000869",5705,2288,147,1,85,70,58,75,10,55,25,1402,75,21,275,110,0,37,3,0,4,1,0,3,65,12,0,0,0,23,0,0,1,33,1,1,0,2,0,6,4,14,4,0,0,2,0,122,12,12,5,3,20,4,76,15,0,13,0,4,30,0,1,6,5,0,0,5,50,14,5,225,1,32,2,0,1,0,44,9,0,3,2,0,8,34,4,0,15,2,6,0,0,2,0
"E02000870",6477,2688,121,2,73,71,41,86,28,76,38,1826,86,5,207,101,12,74,8,4,0,3,0,2,60,23,1,0,3,16,0,0,0,16,3,3,1,2,1,4,1,19,2,1,6,6,0,96,26,12,3,1,4,1,87,9,0,8,0,24,42,1,1,3,8,0,0,7,27,22,6,190,0,48,2,1,2,0,46,15,0,7,1,0,5,28,4,2,17,0,0,0,1,0,0
"E02000871",8591,1708,85,3,48,107,53,83,27,169,88,3953,212,16,546,305,26,105,4,12,0,1,0,0,25,52,6,0,0,53,0,7,0,14,6,5,0,1,0,1,3,19,1,0,6,0,0,92,23,12,5,1,2,1,50,11,1,4,11,6,37,5,1,14,13,11,0,0,21,41,7,106,1,74,0,0,0,0,117,45,1,18,0,0,8,54,8,0,24,6,8,0,0,1,1
"E02000872",7501,2490,146,5,127,60,32,103,23,102,44,2479,117,9,245,153,4,78,9,3,0,1,0,1,126,25,2,0,3,28,0,1,2,13,12,1,0,0,3,9,4,29,3,0,7,2,0,110,14,34,3,1,15,3,90,33,0,17,4,9,45,0,0,4,6,4,2,5,71,43,1,308,0,40,0,0,1,0,47,1,0,4,1,1,2,25,6,0,34,2,6,4,2,2,0
"E02000873",8713,2614,120,7,101,59,60,124,16,220,143,2907,341,11,362,114,8,84,16,2,0,5,1,1,63,46,1,0,4,14,0,1,6,10,13,1,0,2,0,2,2,66,3,0,11,2,0,105,25,39,7,5,19,0,89,19,1,20,6,6,38,14,2,6,7,9,1,8,38,62,10,213,0,59,5,0,2,2,77,61,2,41,9,2,24,50,7,0,41,10,3,4,0,0,2
"E02000874",7129,1645,96,0,79,52,39,81,14,112,68,3314,215,16,247,146,10,60,3,3,1,2,0,0,49,20,0,0,8,36,2,0,3,10,12,0,0,2,1,1,1,40,1,0,9,2,1,82,1,30,1,2,4,1,79,15,0,13,0,9,24,4,4,6,5,0,0,6,17,38,2,161,0,35,0,0,0,0,87,25,0,14,5,1,7,12,7,0,27,2,2,0,0,0,0
"E02000875",9440,2493,101,36,70,143,52,70,29,126,85,3802,232,16,523,367,35,112,5,8,9,3,0,0,42,41,8,2,4,60,0,1,2,11,4,2,4,4,0,8,14,27,1,0,9,0,0,86,12,25,1,1,8,0,49,16,0,8,1,9,34,5,6,11,2,5,0,2,16,41,2,139,0,61,1,1,0,0,119,23,0,24,0,4,1,40,14,0,100,5,6,0,0,1,0
"E02000876",7037,1748,116,3,93,51,52,76,24,135,64,3053,137,3,247,97,12,65,12,1,0,1,0,0,77,18,1,0,4,23,0,0,0,19,6,0,0,0,0,8,5,22,4,0,4,2,1,100,13,25,7,8,14,1,84,29,0,14,0,5,26,1,0,4,8,13,0,16,27,25,4,230,0,45,1,0,2,0,41,15,0,9,2,2,6,29,5,0,31,2,5,3,0,1,0
"E02000877",9803,2170,92,7,85,129,26,91,21,193,101,4531,175,16,554,290,21,80,4,3,7,6,1,0,34,55,4,0,5,49,0,3,1,19,7,3,0,3,0,2,1,42,2,0,2,3,3,83,27,14,7,2,12,0,100,29,1,11,4,4,37,9,4,3,5,7,2,13,23,41,4,201,2,109,0,2,0,0,62,31,0,22,3,1,6,30,1,0,44,1,1,1,2,1,0
