"GeographyCode","KS102EW0001","KS102EW0002","KS102EW0003","KS102EW0004","KS102EW0005","KS102EW0006","KS102EW0007","KS102EW0008","KS102EW0009","KS102EW0010","KS102EW0011","KS102EW0012","KS102EW0013","KS102EW0014","KS102EW0015","KS102EW0016","KS102EW0017","KS102EW0020","KS102EW0021","KS102EW0022","KS102EW0023","KS102EW0024","KS102EW0025","KS102EW0026","KS102EW0027","KS102EW0028","KS102EW0029","KS102EW0030","KS102EW0031","KS102EW0032","KS102EW0033","KS102EW0034","KS102EW0035"
"E01004197",2329,161,86,49,104,23,46,37,264,374,712,302,64,54,42,8,3,6.91283812795191,3.69257191927866,2.10390725633319,4.46543580936024,0.98754830399313,1.97509660798626,1.58866466294547,11.3353370545298,16.0583941605839,30.5710605410047,12.9669386002576,2.74796049806784,2.31859167024474,1.80334907685702,0.34349506225848,0.12881064834693
"E01004198",1529,103,60,31,81,12,33,26,178,241,372,181,38,90,54,21,8,6.73642903858731,3.9241334205363,2.02746893394375,5.297580117724,0.78482668410726,2.15827338129496,1.70045781556573,11.6415958142577,15.7619359058208,24.329627207325,11.8378024852845,2.48528449967299,5.88620013080445,3.53172007848267,1.3734466971877,0.52321778940484
"E01004199",1637,124,89,63,153,36,44,46,164,176,365,202,41,69,51,11,3,7.57483200977398,5.43677458766035,3.84850335980452,9.34636530238241,2.19914477703115,2.68784361637141,2.81001832620648,10.0183262064753,10.7513744654856,22.2968845448992,12.3396456933415,2.50458155161882,4.21502748930971,3.11545510079414,0.671960904092853,0.183262064752596
"E01004200",1566,46,29,35,48,9,21,65,340,358,442,112,18,24,17,1,1,2.93742017879949,1.85185185185185,2.23499361430396,3.06513409961686,0.574712643678161,1.34099616858238,4.1507024265645,21.7113665389527,22.8607918263091,28.2247765006386,7.15197956577267,1.14942528735632,1.53256704980843,1.08556832694764,0.0638569604086845,0.0638569604086845
"E01004201",1556,107,45,38,96,25,40,36,141,222,389,251,50,55,40,15,6,6.87660668380463,2.89203084832905,2.44215938303342,6.16966580976864,1.60668380462725,2.5706940874036,2.31362467866324,9.06169665809769,14.26735218509,25,16.1311053984576,3.2133676092545,3.53470437017995,2.5706940874036,0.96401028277635,0.38560411311054
"E01004202",1705,100,49,36,69,24,32,39,195,291,589,187,30,43,19,1,1,5.86510263929619,2.87390029325513,2.11143695014663,4.04692082111437,1.40762463343109,1.87683284457478,2.28739002932551,11.4369501466276,17.0674486803519,34.5454545454545,10.9677419354839,1.75953079178886,2.52199413489736,1.11436950146628,0.0586510263929619,0.0586510263929619
"E01004203",1779,98,73,42,86,14,27,38,208,378,513,159,45,56,30,10,2,5.50871275997752,4.10342889263631,2.36087689713322,4.83417650365374,0.786958965711074,1.5177065767285,2.13603147835863,11.6919617762788,21.247892074199,28.8364249578415,8.93760539629005,2.52951096121417,3.14783586284429,1.68634064080944,0.562113546936481,0.112422709387296
"E01004204",1582,95,46,36,94,24,35,38,150,207,353,227,54,81,87,39,16,6.00505689001264,2.90771175726928,2.275600505689,5.94184576485461,1.51706700379267,2.21238938053097,2.40202275600506,9.48166877370417,13.0847029077118,22.3135271807838,14.3489254108723,3.4134007585335,5.12010113780025,5.49936788874842,2.46523388116308,1.01137800252845
"E01004205",2106,186,115,54,144,27,59,74,279,297,490,239,42,61,35,4,0,8.83190883190883,5.46058879392213,2.56410256410256,6.83760683760684,1.28205128205128,2.80151946818614,3.51377018043685,13.2478632478632,14.1025641025641,23.2668566001899,11.3485280151947,1.99430199430199,2.89648622981956,1.661918328585,0.189933523266857,0
"E01004206",1492,99,57,34,86,32,41,54,218,207,312,195,38,66,40,7,6,6.63538873994638,3.82037533512064,2.27882037533512,5.76407506702413,2.14477211796247,2.74798927613941,3.61930294906166,14.6112600536193,13.8739946380697,20.911528150134,13.0697050938338,2.54691689008043,4.42359249329759,2.68096514745308,0.46916890080429,0.402144772117962
