"GeographyCode","KS102EW0001","KS102EW0002","KS102EW0003","KS102EW0004","KS102EW0005","KS102EW0006","KS102EW0007","KS102EW0008","KS102EW0009","KS102EW0010","KS102EW0011","KS102EW0012","KS102EW0013","KS102EW0014","KS102EW0015","KS102EW0016","KS102EW0017","KS102EW0020","KS102EW0021","KS102EW0022","KS102EW0023","KS102EW0024","KS102EW0025","KS102EW0026","KS102EW0027","KS102EW0028","KS102EW0029","KS102EW0030","KS102EW0031","KS102EW0032","KS102EW0033","KS102EW0034","KS102EW0035"
"E02000864",8297,639,330,210,475,83,181,198,839,1046,2065,1139,289,386,319,68,30,7.70157888393395,3.97734120766542,2.5310353139689,5.72496082921538,1.00036157647342,2.18151138965891,2.38640472459925,10.1120887067615,12.606966373388,24.8885139206942,13.7278534410028,3.48318669398578,4.65228395805713,3.84476316740991,0.819573339761359,0.361576473424129
"E02000865",7051,495,280,181,434,96,163,145,747,1013,1838,936,193,268,187,55,20,7.02028081123245,3.97106793362644,2.56701177137995,6.15515529712098,1.36150900581478,2.31172883278968,2.0564458941994,10.5942419514962,14.3667564884414,26.0672245071621,13.2747128066941,2.73720039710679,3.80087930789959,2.65210608424337,0.78003120124805,0.283647709544745
"E02000866",9662,656,323,204,452,85,135,213,1167,1472,2466,1388,324,426,266,59,26,6.78948457876216,3.34299316911612,2.11136410681018,4.67812047195198,0.879735044504243,1.3972262471538,2.2045125232871,12.0782446698406,15.2349410060029,25.5226661146761,14.3655557855516,3.35334299316912,4.40902504657421,2.75305319809563,0.610639619126475,0.269095425377769
"E02000867",9761,638,292,179,425,82,136,190,1357,1981,2749,1046,172,265,187,47,15,6.53621555168528,2.99149677287163,1.83382850117816,4.35406208380289,0.84007786087491,1.39329986681692,1.94652187275894,13.9022641122836,20.2950517365024,28.1630980432333,10.7161151521361,1.76211453744493,2.71488576990063,1.91578731687327,0.48150804220879,0.153672779428337
"E02000868",6632,339,197,149,297,71,115,180,893,1234,1897,685,147,204,153,51,20,5.11158021712907,2.97044632086852,2.24668275030157,4.47828709288299,1.07056694813028,1.73401688781665,2.71411338962606,13.4650180940893,18.6067551266586,28.6037394451146,10.3287092882992,2.21652593486128,3.07599517490953,2.30699638118215,0.768998793727382,0.301568154402895
"E02000869",5705,351,170,127,270,55,92,93,592,859,1659,773,172,244,186,41,21,6.15249780893953,2.97984224364592,2.22611744084137,4.73269062226117,0.964066608238387,1.61262050832603,1.63014899211218,10.3768624014023,15.056967572305,29.079754601227,13.5495179666959,3.01489921121823,4.27695004382121,3.26029798422436,0.718667835232252,0.368098159509202
"E02000870",6477,405,285,153,368,78,137,150,747,995,1653,817,169,235,212,52,21,6.25289485873089,4.40018527095878,2.36220472440945,5.68164273583449,1.20426123205188,2.11517677937317,2.31588698471515,11.5331171838814,15.3620503319438,25.5210745715609,12.6138644434152,2.60923266944573,3.6282229427204,3.27312027173074,0.802840821367917,0.32422417786012
"E02000871",8591,813,444,255,606,116,223,235,948,1126,2193,932,166,274,204,40,16,9.46339192177861,5.16819927831451,2.96822255849144,7.05389360959143,1.35025026190199,2.59573972762193,2.735420789198,11.0348038645094,13.106739611221,25.5267140030264,10.8485624490746,1.93225468513561,3.18938423932022,2.37457804679316,0.465603538586893,0.186241415434757
"E02000872",7501,461,276,161,346,73,115,146,975,1465,2112,794,144,209,166,39,19,6.14584722037062,3.67950939874683,2.14638048260232,4.6127183042261,0.973203572856952,1.53312891614451,1.9464071457139,12.998266897747,19.5307292361019,28.1562458338888,10.5852552992934,1.91974403412878,2.78629516064525,2.21303826156512,0.519930675909879,0.253299560058659
"E02000873",8713,574,308,201,427,71,144,1075,1493,1114,1947,734,145,236,182,45,17,6.58785722483645,3.53494777918053,2.30689773901067,4.90072305750029,0.814874325720188,1.65270285779869,12.3378859175944,17.1353150464823,12.7854929415815,22.3459198898198,8.42419373350166,1.66417996097785,2.70859635028119,2.08883277860668,0.516469643062091,0.195110754045679
"E02000874",7129,535,323,206,453,89,196,250,1057,1000,1665,810,126,240,145,19,15,7.50455884415767,4.53078973208024,2.88960583532052,6.35432739514658,1.24842193856081,2.74933370739234,3.50680319820452,14.8267639220087,14.0272127928181,23.3553093000421,11.3620423621826,1.76742881189508,3.36653107027634,2.03394585495862,0.266517043063543,0.210408191892271
"E02000875",9440,807,470,303,667,142,265,275,1137,1277,2311,1113,198,265,150,36,24,8.54872881355932,4.97881355932203,3.20974576271186,7.0656779661017,1.50423728813559,2.80720338983051,2.91313559322034,12.0444915254237,13.5275423728814,24.4809322033898,11.7902542372881,2.09745762711864,2.80720338983051,1.58898305084746,0.38135593220339,0.254237288135593
"E02000876",7037,427,231,117,335,76,156,263,1100,1257,1808,792,139,185,121,21,9,6.06792667329828,3.28264885604661,1.66264032968595,4.76055137132301,1.08000568424044,2.21685377291459,3.73738809151627,15.6316612192696,17.8627255932926,25.6927668040358,11.2547960778741,1.97527355407134,2.62896120505897,1.71948273411965,0.298422623276965,0.127895409975842
"E02000877",9803,862,457,308,677,135,225,280,1343,1362,2370,1018,187,320,209,34,16,8.79322656329695,4.661838212792,3.14189533816179,6.90604916862185,1.37712945016832,2.29521575028053,2.85626848923799,13.6998877894522,13.8937060083648,24.1762725696215,10.3845761501581,1.90757931245537,3.26430684484342,2.13200040803836,0.346832602264613,0.163215342242171
"E02000878",10286,509,258,158,395,90,154,387,1653,2012,2736,1172,191,340,205,16,10,4.94847365350962,2.5082636593428,1.53606844254326,3.84017110635816,0.87497569511958,1.49718063387128,3.76239548901419,16.0703869336963,19.5605677620066,26.5992611316352,11.3941279408905,1.85689286408711,3.30546373711841,1.99300019443904,0.155551234687925,0.0972195216799533
"E02000879",7634,486,287,196,476,77,194,244,1083,951,1723,879,234,351,309,104,40,6.366256222164,3.75949698716269,2.56746135708672,6.23526329578203,1.00864553314121,2.54126277181032,3.1962274037202,14.1865339271679,12.4574272989259,22.5700812156144,11.5142782289756,3.06523447733822,4.59785171600734,4.04768142520304,1.36232643437254,0.523971705527901
"E02000880",5776,432,238,141,311,47,110,173,819,877,1465,635,117,205,147,37,22,7.4792243767313,4.12049861495845,2.44113573407202,5.38434903047091,0.813711911357341,1.90443213296399,2.99515235457064,14.1793628808864,15.1835180055402,25.3635734072022,10.9937673130194,2.02562326869806,3.54916897506925,2.54501385041551,0.640581717451524,0.380886426592798
"E02000881",6909,639,427,253,533,133,217,213,632,686,1636,968,178,202,138,43,11,9.24880590534086,6.18034447821682,3.66189028803011,7.71457519177884,1.92502532928065,3.14083080040527,3.08293530178029,9.14748878274714,9.9290780141844,23.6792589376176,14.0107106672456,2.57634968881169,2.92372268056159,1.99739470256188,0.622376610218556,0.1592126212187
"E02000882",8604,800,443,265,678,143,227,252,899,944,2190,974,214,285,206,56,28,9.29800092980009,5.1487680148768,3.07996280799628,7.88005578800558,1.66201766620177,2.63830776383078,2.92887029288703,10.4486285448629,10.9716410971641,25.4532775453278,11.3203161320316,2.48721524872153,3.31241283124128,2.39423523942352,0.650860065086007,0.325430032543003
"E02000883",7950,712,427,280,590,132,205,223,771,857,1869,1038,201,283,268,68,26,8.9559748427673,5.37106918238994,3.52201257861635,7.42138364779874,1.66037735849057,2.57861635220126,2.80503144654088,9.69811320754717,10.7798742138365,23.5094339622642,13.0566037735849,2.52830188679245,3.55974842767296,3.37106918238994,0.855345911949685,0.327044025157233
"E02000884",9086,504,251,147,292,70,139,214,1523,2120,2484,790,124,251,146,24,7,5.54699537750385,2.76249174554259,1.61787365177196,3.21373541712525,0.770416024653313,1.52982610609729,2.35527184679727,16.7620515078142,23.332599603786,27.3387629319833,8.6946951353731,1.3647369579573,2.76249174554259,1.60686770856262,0.264142637023993,0.0770416024653313
"E02000885",6895,547,321,189,483,89,186,197,761,871,1699,783,183,328,197,44,17,7.93328498912255,4.65554749818709,2.74111675126904,7.00507614213198,1.29079042784627,2.69760696156635,2.85714285714286,11.0369833212473,12.6323422770123,24.6410442349529,11.3560551124003,2.65409717186367,4.75707034082669,2.85714285714286,0.638143582306019,0.246555474981871
"E02000886",7326,531,247,134,347,59,120,137,684,1134,2400,918,207,209,151,36,12,7.24815724815725,3.37155337155337,1.82910182910183,4.73655473655474,0.805350805350805,1.63800163800164,1.87005187005187,9.33660933660934,15.4791154791155,32.7600327600328,12.5307125307125,2.82555282555283,2.85285285285285,2.06115206115206,0.491400491400491,0.163800163800164
"E02000887",8660,810,454,270,579,130,235,209,863,1107,2254,986,179,297,215,54,18,9.35334872979215,5.24249422632794,3.11778290993072,6.68591224018476,1.50115473441109,2.71362586605081,2.41339491916859,9.96535796766744,12.7829099307159,26.027713625866,11.3856812933025,2.06697459584296,3.42956120092379,2.48267898383372,0.623556581986143,0.207852193995381
"E02000888",8215,720,338,197,417,82,143,188,838,1310,2590,850,170,200,143,23,6,8.76445526475959,4.11442483262325,2.3980523432745,5.07608034083993,0.998174071819842,1.74071819841753,2.288496652465,10.2008520998174,15.9464394400487,31.5276932440657,10.3469263542301,2.06938527084601,2.43457090687766,1.74071819841753,0.279975654290931,0.0730371272063299
"E02000889",6616,503,202,106,263,46,87,110,662,1131,2082,899,172,209,114,22,8,7.60278113663845,3.05320435308343,1.60217654171705,3.97521160822249,0.695284159613059,1.31499395405079,1.66263603385732,10.006045949214,17.0949214026602,31.4691656590085,13.5882708585248,2.59975816203144,3.1590084643289,1.72309552599758,0.332527206771463,0.120918984280532
"E02000890",5795,311,90,46,104,25,53,46,413,992,2108,967,238,225,143,27,7,5.36669542709232,1.55306298533218,0.793787748058671,1.7946505608283,0.431406384814495,0.91458153580673,0.793787748058671,7.12683347713546,17.1182053494392,36.3761863675582,16.6867989646247,4.106988783434,3.88265746333046,2.46764452113891,0.465918895599655,0.120793787748059
"E02000891",12678,968,409,217,467,82,148,215,1537,2685,4244,1073,211,251,129,22,20,7.63527370247673,3.22606089288531,1.7116264395015,3.68354630067834,0.646789714466004,1.16737655781669,1.69585108061208,12.1233633065152,21.1784193090393,33.4753115633381,8.46348004417101,1.66430036283325,1.97980754062155,1.01751064836725,0.173528947783562,0.157753588894147
