"GeographyCode","KS103EW0001","KS103EW0002","KS103EW0003","KS103EW0004","KS103EW0005","KS103EW0006","KS103EW0007","KS103EW0008","KS103EW0009","KS103EW0010","KS103EW0011","KS103EW0012","KS103EW0013"
"E02000864",6560,3569,1837,36,261,532,325,54.405487804878,28.0030487804878,0.548780487804878,3.97865853658537,8.10975609756098,4.95426829268293
"E02000865",5565,3185,1599,19,206,331,225,57.2327044025157,28.733153638814,0.341419586702606,3.70170709793351,5.94788858939802,4.04312668463612
"E02000866",7942,4615,2242,54,238,484,309,58.108788718207,28.2296650717703,0.679929488793755,2.99672626542433,6.09418282548476,3.89070763031982
"E02000867",8145,5117,2054,63,240,451,220,62.8238182934316,25.2179251074279,0.773480662983425,2.94659300184162,5.53713934929405,2.70104358502149
"E02000868",5579,3574,1327,33,128,277,240,64.0616597956623,23.7856246639183,0.591503853737229,2.29431797813228,4.96504749955189,4.30184620899803
"E02000869",4732,2733,1261,40,157,316,225,57.7557058326289,26.6483516483516,0.84530853761623,3.3178360101437,6.67793744716822,4.75486052409129
"E02000870",5188,3032,1378,34,158,345,241,58.4425597532768,26.5612952968389,0.655358519660756,3.04548959136469,6.64996144949884,4.64533538936006
"E02000871",6357,3067,2402,42,247,330,269,48.2460280006292,37.7851187667139,0.660689004247286,3.88548057259714,5.19112789051439,4.2315557652981
"E02000872",6184,3870,1521,36,179,344,234,62.5808538163001,24.5957309184994,0.582147477360931,2.89456662354463,5.5627425614489,3.78395860284605
"E02000873",7132,4550,1815,27,185,292,263,63.7969713965227,25.4486819966349,0.378575434660684,2.59394279304543,4.09422321929333,3.68760515984296
"E02000874",5523,3026,1786,10,193,285,223,54.7890639145392,32.3374977367373,0.181061017562919,3.49447763896433,5.16023900054318,4.03766069165309
"E02000875",7051,3657,2417,15,247,453,262,51.8649836902567,34.2788256984825,0.212735782158559,3.50304921287761,6.42462062118848,3.71578499503617
"E02000876",5851,3490,1699,31,172,291,168,59.647923431892,29.0377713211417,0.529823961715946,2.93966843274654,4.9735088019142,2.87130405058964
"E02000877",7364,3850,2544,36,265,369,300,52.2813688212928,34.5464421510049,0.48886474741988,3.59858772406301,5.01086366105377,4.07387289516567
"E02000878",8876,5594,2326,57,210,387,302,63.0238846327174,26.2054979720595,0.642181162685895,2.36593059936909,4.3600721045516,3.40243352861649
"E02000879",6112,3197,1958,39,200,346,372,52.3069371727749,32.0353403141361,0.638089005235602,3.27225130890052,5.66099476439791,6.08638743455497
"E02000880",4607,2495,1506,14,140,220,232,54.1567180377686,32.6893857173866,0.303885391795094,3.03885391795094,4.77534187106577,5.03581506403299
"E02000881",4924,2316,1823,14,223,330,218,47.0349309504468,37.0227457351747,0.284321689683184,4.52883834281072,6.70186839967506,4.42729488220959
"E02000882",6275,2915,2495,20,201,344,300,46.4541832669323,39.7609561752988,0.318725099601594,3.20318725099602,5.48207171314741,4.7808764940239
"E02000883",5809,2711,2079,15,238,442,324,46.6689619555862,35.7892924771906,0.258220003442933,4.09709072129454,7.60888276811844,5.57755207436736
"E02000884",7822,4948,2116,47,205,268,238,63.2574789056507,27.0519048836615,0.600869342879059,2.620813091281,3.42623369982102,3.04270007670672
"E02000885",5266,2537,1848,28,219,340,294,48.1769844284087,35.0930497531333,0.531712875047474,4.15875427269275,6.45651348271933,5.58298518799848
"E02000886",6008,3138,2098,45,182,344,201,52.2303595206391,34.9201065246338,0.749001331557923,3.02929427430093,5.72569906790945,3.34553928095872
"E02000887",6417,3166,2287,19,242,423,280,49.3376967430263,35.6397070282063,0.296088514882344,3.77123266323827,6.59186535764376,4.36340969300296
"E02000888",6461,3345,2357,48,215,314,182,51.7721714904813,36.4804209874632,0.742919052778208,3.32765825723572,4.85992880359078,2.8169014084507
"E02000889",5496,3040,1778,31,166,309,172,55.3129548762737,32.3508005822416,0.564046579330422,3.02037845705968,5.62227074235808,3.12954876273654
"E02000890",5219,2845,1680,57,130,375,132,54.5123586894041,32.1900747269592,1.09216324966469,2.49089863958613,7.18528453726768,2.52922015711822
"E02000891",10535,5984,3471,68,274,510,228,56.8011390602753,32.9473184622686,0.64546748932131,2.60085429520645,4.84100616990982,2.16421452301851
"E02000893",5461,2653,1959,35,193,418,203,48.5808459989013,35.8725508148691,0.640908258560703,3.53415125434902,7.65427577366783,3.71726789965208
"E02000894",8643,4676,3033,52,214,486,182,54.101585097767,35.0919819507116,0.601642948050445,2.47599213236145,5.62304755293301,2.10575031817656
"E02006853",5790,3127,1930,51,195,338,149,54.006908462867,33.3333333333333,0.880829015544041,3.36787564766839,5.83765112262522,2.573402417962
"E02006854",5059,2718,1888,47,124,229,53,53.7260328128089,37.3196283850563,0.92903735916189,2.45107728800158,4.52658628187389,1.04763787309745
