"GeographyCode","KS103EW0001","KS103EW0002","KS103EW0003","KS103EW0004","KS103EW0005","KS103EW0006","KS103EW0007","KS103EW0008","KS103EW0009","KS103EW0010","KS103EW0011","KS103EW0012","KS103EW0013"
"E00021141",271,124,97,0,11,16,23,45.7564575645756,35.7933579335793,0,4.0590405904059,5.90405904059041,8.48708487084871
"E00021143",285,152,91,1,12,15,14,53.3333333333333,31.9298245614035,0.350877192982456,4.21052631578947,5.26315789473684,4.91228070175439
"E00021145",228,140,56,2,9,17,4,61.4035087719298,24.5614035087719,0.87719298245614,3.94736842105263,7.45614035087719,1.75438596491228
"E00021146",453,403,33,2,7,3,5,88.962472406181,7.28476821192053,0.441501103752759,1.54525386313466,0.662251655629139,1.1037527593819
"E00021147",169,91,63,1,3,8,3,53.8461538461538,37.2781065088757,0.591715976331361,1.77514792899408,4.73372781065089,1.77514792899408
"E00021148",233,135,65,0,6,13,14,57.9399141630901,27.8969957081545,0,2.57510729613734,5.5793991416309,6.00858369098712
"E00021149",240,113,87,0,6,22,12,47.0833333333333,36.25,0,2.5,9.16666666666667,5
"E00021150",235,124,78,0,8,17,8,52.7659574468085,33.1914893617021,0,3.40425531914894,7.23404255319149,3.40425531914894
"E00021151",213,109,66,0,12,14,12,51.1737089201878,30.9859154929577,0,5.63380281690141,6.57276995305164,5.63380281690141
"E00021152",287,138,114,0,8,10,17,48.0836236933798,39.7212543554007,0,2.78745644599303,3.48432055749129,5.92334494773519
"E00021153",328,256,51,0,9,8,4,78.0487804878049,15.5487804878049,0,2.74390243902439,2.4390243902439,1.21951219512195
"E00021154",289,147,104,0,5,21,12,50.8650519031142,35.9861591695502,0,1.73010380622837,7.26643598615917,4.1522491349481
"E00021155",329,272,37,2,4,10,4,82.6747720364742,11.2462006079027,0.60790273556231,1.21580547112462,3.03951367781155,1.21580547112462
"E00021156",193,88,57,0,8,21,19,45.5958549222798,29.5336787564767,0,4.14507772020725,10.880829015544,9.84455958549223
"E00021157",228,120,80,0,8,14,6,52.6315789473684,35.0877192982456,0,3.50877192982456,6.14035087719298,2.63157894736842
"E00021158",230,107,90,0,10,11,12,46.5217391304348,39.1304347826087,0,4.34782608695652,4.78260869565217,5.21739130434783
"E00021159",488,256,128,10,15,31,48,52.4590163934426,26.2295081967213,2.04918032786885,3.07377049180328,6.35245901639344,9.83606557377049
"E00021160",241,132,76,0,6,15,12,54.7717842323651,31.5352697095436,0,2.4896265560166,6.22406639004149,4.9792531120332
