"GeographyCode","KS104EW0001","KS104EW0002","KS104EW0003","KS104EW0004","KS104EW0005","KS104EW0006","KS104EW0007","KS104EW0008","KS104EW0009","KS104EW0010","KS104EW0011","KS104EW0012","KS104EW0013","KS104EW0014","KS104EW0015"
"E01004197",1862,454,252,928,38,57,86,47,24.3823845327605,13.5338345864662,49.8388829215897,2.04081632653061,3.06122448979592,4.6186895810956,2.52416756176155
"E01004198",1235,336,90,593,40,36,73,67,27.2064777327935,7.28744939271255,48.0161943319838,3.23886639676113,2.91497975708502,5.91093117408907,5.4251012145749
"E01004199",1172,372,86,526,29,41,64,54,31.740614334471,7.33788395904437,44.8805460750853,2.47440273037543,3.49829351535836,5.46075085324232,4.60750853242321
"E01004200",1227,194,240,688,31,19,30,25,15.8109209453953,19.559902200489,56.0717196414018,2.52648736756316,1.54849225753871,2.44498777506112,2.03748981255094
"E01004201",1224,298,108,637,30,38,62,51,24.3464052287582,8.82352941176471,52.0424836601307,2.45098039215686,3.10457516339869,5.06535947712418,4.16666666666667
"E01004202",1427,338,270,677,30,27,54,31,23.6860546601261,18.9208128941836,47.4421864050455,2.10231254379818,1.89208128941836,3.78416257883672,2.17238962859145
"E01004203",1466,298,224,761,27,29,70,57,20.3274215552524,15.2796725784447,51.9099590723056,1.84174624829468,1.97817189631651,4.77489768076398,3.8881309686221
"E01004204",1243,352,90,541,58,39,67,96,28.3185840707965,7.24054706355591,43.5237329042639,4.66613032984714,3.13757039420756,5.39018503620274,7.72325020112631
"E01004205",1580,560,84,670,80,49,87,50,35.4430379746835,5.31645569620253,42.4050632911392,5.06329113924051,3.10126582278481,5.50632911392405,3.16455696202532
"E01004206",1183,328,70,560,61,36,73,55,27.7261200338123,5.91715976331361,47.3372781065089,5.156382079459,3.04311073541843,6.17075232459848,4.64919695688926
"E01004207",1078,294,88,536,28,30,54,48,27.2727272727273,8.16326530612245,49.721706864564,2.5974025974026,2.78293135435993,5.00927643784787,4.45269016697588
"E01004208",1612,354,246,872,34,27,48,31,21.9602977667494,15.2605459057072,54.0942928039702,2.10918114143921,1.67493796526055,2.97766749379653,1.92307692307692
"E01004209",985,348,50,415,35,43,50,44,35.3299492385787,5.0761421319797,42.1319796954315,3.55329949238579,4.36548223350254,5.0761421319797,4.46700507614213
"E01004211",1339,260,240,692,27,33,59,28,19.4174757281553,17.9238237490665,51.680358476475,2.01643017176998,2.46452576549664,4.40627333831217,2.09111277072442
"E01004212",1309,334,148,640,39,38,70,40,25.5156608097785,11.3063407181054,48.8922841864018,2.97937356760886,2.90297937356761,5.3475935828877,3.05576776165011
"E01004214",1208,386,83,508,20,54,108,49,31.953642384106,6.87086092715232,42.0529801324503,1.65562913907285,4.47019867549669,8.94039735099338,4.05629139072848
"E01004215",2206,630,276,977,77,59,101,86,28.558476881233,12.5113327289211,44.2883046237534,3.49048050770626,2.67452402538531,4.57842248413418,3.89845874886673
"E01004216",1363,416,192,555,45,34,80,41,30.520909757887,14.0865737344094,40.7190022010271,3.3015407190022,2.494497432135,5.86940572267058,3.00807043286867
"E01004217",1429,508,140,536,40,45,94,66,35.5493351994402,9.79706088173548,37.5087473757873,2.79916025192442,3.14905528341498,6.57802659202239,4.6186144156753
"E01004218",1461,520,198,569,38,31,70,35,35.5920602327173,13.5523613963039,38.9459274469541,2.6009582477755,2.12183436002738,4.79123887748118,2.39561943874059
"E01004219",1755,574,188,768,66,44,67,48,32.7065527065527,10.7122507122507,43.7606837606838,3.76068376068376,2.50712250712251,3.81766381766382,2.73504273504274
"E01004221",1561,440,248,661,48,31,84,49,28.1870595771941,15.8872517616912,42.3446508648302,3.07495195387572,1.9859064702114,5.38116591928251,3.1390134529148
"E01004222",1931,476,180,859,55,61,176,124,24.6504401864319,9.32159502848265,44.4847229414811,2.84826514759192,3.15898498187468,9.11444847229415,6.4215432418436
"E01004223",1675,434,196,718,46,65,114,102,25.910447761194,11.7014925373134,42.865671641791,2.74626865671642,3.88059701492537,6.80597014925373,6.08955223880597
"E01004224",1633,394,212,792,29,58,92,56,24.1273729332517,12.9822412737293,48.4996938150643,1.77587262706675,3.5517452541335,5.63380281690141,3.42927127985303
"E01004225",1966,418,495,894,31,38,66,24,21.2614445574771,25.1780264496439,45.4730417090539,1.57680569684639,1.93285859613428,3.35707019328586,1.22075279755849
"E01004226",1320,390,148,592,17,49,85,39,29.5454545454545,11.2121212121212,44.8484848484849,1.28787878787879,3.71212121212121,6.43939393939394,2.95454545454545
"E01004228",1557,398,264,673,19,53,94,56,25.5619781631342,16.9556840077071,43.2241490044958,1.22029543994862,3.40398201669878,6.03725112395633,3.59666024405909
"E01004229",1191,376,134,518,37,36,56,34,31.5701091519731,11.2510495382032,43.4928631402183,3.10663308144416,3.02267002518892,4.70193115029387,2.85474391267842
"E01004230",1693,450,198,794,52,38,88,73,26.5800354400473,11.6952155936208,46.8989958653278,3.07147076196102,2.24453632604844,5.1978735971648,4.31187241582989
"E01004231",1314,384,92,600,48,51,79,60,29.2237442922374,7.00152207001522,45.662100456621,3.65296803652968,3.88127853881279,6.01217656012177,4.5662100456621
"E01004232",1413,322,188,771,39,21,49,23,22.7883934890304,13.3050247699929,54.5647558386412,2.76008492569002,1.48619957537155,3.46779900920028,1.6277423920736
"E01004233",1387,374,140,570,52,55,101,95,26.9646719538572,10.0937274693583,41.0958904109589,3.74909877433309,3.96539293439077,7.28190338860851,6.84931506849315
"E01004234",1841,504,310,828,39,47,62,51,27.3764258555133,16.8386746333514,44.975556762629,2.11841390548615,2.55296034763715,3.36773492667029,2.77023356871266
"E01004235",978,358,72,384,43,31,46,44,36.6053169734151,7.36196319018405,39.2638036809816,4.39672801635992,3.16973415132924,4.70347648261759,4.49897750511247
"E01004236",1202,440,80,455,70,39,58,60,36.6056572379368,6.65557404326123,37.8535773710483,5.82362728785358,3.24459234608985,4.82529118136439,4.99168053244592
"E01004237",899,254,124,387,25,32,47,30,28.2536151279199,13.7931034482759,43.0478309232481,2.78086763070078,3.559510567297,5.22803114571746,3.33704115684093
"E01004238",2068,636,216,928,85,66,68,69,30.7543520309478,10.4448742746615,44.8742746615087,4.11025145067698,3.19148936170213,3.28820116054159,3.33655705996132
"E01004239",1210,424,88,470,64,40,66,58,35.0413223140496,7.27272727272727,38.8429752066116,5.28925619834711,3.30578512396694,5.45454545454545,4.79338842975207
"E01004240",1269,442,96,520,38,46,77,50,34.8305752561072,7.56501182033097,40.9771473601261,2.99448384554768,3.62490149724192,6.06776989755713,3.94011032308905
"E01004241",1175,400,60,477,50,43,78,67,34.0425531914894,5.1063829787234,40.5957446808511,4.25531914893617,3.65957446808511,6.63829787234042,5.70212765957447
"E01004242",1788,568,144,808,59,58,98,53,31.7673378076063,8.05369127516778,45.1901565995526,3.29977628635347,3.24384787472036,5.48098434004474,2.96420581655481
"E01004243",1272,426,102,514,47,45,73,65,33.4905660377358,8.0188679245283,40.4088050314465,3.69496855345912,3.5377358490566,5.73899371069182,5.11006289308176
"E01004244",1295,404,72,537,45,51,93,93,31.1969111969112,5.55984555984556,41.4671814671815,3.47490347490348,3.93822393822394,7.18146718146718,7.18146718146718
"E01004245",1009,372,62,405,33,52,55,30,36.8681863230922,6.14469772051536,40.1387512388503,3.27056491575818,5.15361744301288,5.45094152626363,2.97324083250743
"E01004246",1540,486,172,669,47,40,74,52,31.5584415584416,11.1688311688312,43.4415584415584,3.05194805194805,2.5974025974026,4.80519480519481,3.37662337662338
"E01004247",1457,464,94,610,62,57,95,75,31.8462594371997,6.45161290322581,41.8668496911462,4.25531914893617,3.91214824982841,6.52024708304736,5.14756348661633
"E01004248",896,312,58,343,28,44,55,56,34.8214285714286,6.47321428571429,38.28125,3.125,4.91071428571429,6.13839285714286,6.25
"E01004249",1479,450,143,579,76,61,95,75,30.4259634888438,9.66869506423259,39.1480730223124,5.13860716700473,4.12440838404327,6.42325895875592,5.0709939148073
"E01004250",1688,534,166,687,61,42,111,87,31.6350710900474,9.83412322274881,40.6990521327014,3.61374407582938,2.48815165876777,6.57582938388626,5.15402843601896
"E01004251",1582,514,110,650,69,50,95,94,32.4905183312263,6.95322376738306,41.0872313527181,4.36156763590392,3.16055625790139,6.00505689001264,5.94184576485461
"E01004252",2089,617,262,915,65,59,103,68,29.5356629966491,12.5418860698899,43.8008616562949,3.11153662039253,2.82431785543322,4.93058879846817,3.25514600287219
"E01004253",1639,502,142,664,65,54,120,92,30.6284319707138,8.66381940207443,40.5125076266016,3.96583282489323,3.29469188529591,7.3215375228798,5.61317876754118
"E01004254",1892,510,390,805,68,30,72,17,26.9556025369979,20.6131078224102,42.5475687103594,3.59408033826638,1.58562367864693,3.80549682875264,0.898520084566596
"E01004255",1250,388,121,542,61,46,55,37,31.04,9.68,43.36,4.88,3.68,4.4,2.96
"E01004256",1299,434,118,509,48,46,74,70,33.4103156274057,9.08391070053888,39.1839876828329,3.69515011547344,3.54118552732871,5.69668976135489,5.38876058506543
"E01004257",1315,452,116,532,47,52,72,44,34.3726235741445,8.8212927756654,40.4562737642586,3.57414448669202,3.95437262357414,5.47528517110266,3.34600760456274
"E01004258",1284,448,210,453,51,29,52,41,34.8909657320872,16.3551401869159,35.2803738317757,3.97196261682243,2.25856697819315,4.04984423676012,3.19314641744548
"E01004259",1442,244,258,744,39,34,83,40,16.9209431345354,17.8918169209431,51.5950069348128,2.70457697642164,2.35783633841886,5.75589459084605,2.77392510402219
"E01004260",1362,394,149,613,42,33,66,65,28.928046989721,10.9397944199706,45.007342143906,3.08370044052863,2.42290748898678,4.84581497797357,4.77239353891336
"E01004261",1318,294,62,790,44,24,44,60,22.3065250379363,4.7040971168437,59.9393019726859,3.33839150227618,1.82094081942337,3.33839150227618,4.55235204855842
"E01004262",1132,288,64,593,50,32,41,64,25.4416961130742,5.65371024734982,52.3851590106007,4.41696113074205,2.82685512367491,3.62190812720848,5.65371024734982
"E01004263",1080,306,86,499,31,35,66,57,28.3333333333333,7.96296296296296,46.2037037037037,2.87037037037037,3.24074074074074,6.11111111111111,5.27777777777778
"E01004264",1124,396,63,454,48,40,54,69,35.2313167259786,5.60498220640569,40.3914590747331,4.27046263345196,3.55871886120996,4.80427046263345,6.13879003558719
"E01004266",1257,318,142,605,17,37,71,67,25.2983293556086,11.296738265712,48.1304693715195,1.35242641209228,2.94351630867144,5.64836913285601,5.33015115354018
"E01004267",1442,324,192,750,47,23,74,32,22.4687933425798,13.3148404993065,52.0110957004161,3.25936199722607,1.59500693481276,5.13176144244105,2.21914008321775
"E01004268",1316,412,122,568,44,40,76,54,31.306990881459,9.27051671732523,43.161094224924,3.3434650455927,3.03951367781155,5.77507598784195,4.10334346504559
"E01004269",1515,390,134,754,61,36,70,70,25.7425742574257,8.84488448844884,49.7689768976898,4.02640264026403,2.37623762376238,4.62046204620462,4.62046204620462
"E01004270",1892,380,196,1113,58,49,50,46,20.0845665961945,10.3594080338266,58.8266384778013,3.06553911205074,2.58985200845666,2.64270613107822,2.43128964059197
"E01004271",1098,398,78,403,45,51,76,47,36.247723132969,7.10382513661202,36.7030965391621,4.0983606557377,4.6448087431694,6.92167577413479,4.28051001821494
"E01004272",1443,548,87,547,74,48,73,66,37.976437976438,6.02910602910603,37.9071379071379,5.12820512820513,3.32640332640333,5.05890505890506,4.57380457380457
"E01004273",1361,500,78,560,70,38,55,60,36.7376928728876,5.73108008817046,41.1462160176341,5.14327700220426,2.79206465833946,4.04114621601763,4.40852314474651
"E01004274",1526,494,104,693,74,40,72,49,32.3722149410223,6.81520314547838,45.4128440366972,4.84927916120577,2.62123197903014,4.71821756225426,3.21100917431193
"E01004275",1521,524,238,575,39,36,61,48,34.4510190664037,15.6476002629849,37.8040762656147,2.56410256410256,2.36686390532544,4.01051939513478,3.15581854043393
"E01004276",1851,618,338,734,54,26,67,14,33.387358184765,18.2603997839006,39.6542409508374,2.91734197730956,1.40464613722312,3.61966504592112,0.75634792004322
"E01004277",1480,620,202,522,63,23,42,8,41.8918918918919,13.6486486486486,35.2702702702703,4.25675675675676,1.55405405405405,2.83783783783784,0.540540540540541
"E01004280",1473,508,176,569,41,51,84,44,34.4874405974202,11.9484046164291,38.6286490156144,2.78343516632722,3.46232179226069,5.70264765784114,2.98710115410726
"E01004281",1531,478,258,658,39,27,59,12,31.2214239059438,16.85173089484,42.9784454604833,2.54735467015023,1.76355323318093,3.8536903984324,0.783801436969301
"E01004283",1663,508,142,766,60,42,79,66,30.5472038484666,8.53878532772099,46.0613349368611,3.60793746241732,2.52555622369212,4.7504509921828,3.96873120865905
"E01004284",1766,588,248,675,69,47,74,65,33.2955832389581,14.0430351075878,38.2219705549264,3.90713476783692,2.66138165345413,4.19026047565119,3.6806342015855
"E01004285",1605,624,88,637,66,43,73,74,38.8785046728972,5.48286604361371,39.6884735202492,4.11214953271028,2.6791277258567,4.54828660436137,4.61059190031153
"E01004286",1740,636,135,702,59,43,80,85,36.551724137931,7.75862068965517,40.3448275862069,3.39080459770115,2.47126436781609,4.59770114942529,4.88505747126437
