"GeographyCode","KS104EW0001","KS104EW0002","KS104EW0003","KS104EW0004","KS104EW0005","KS104EW0006","KS104EW0007","KS104EW0008","KS104EW0009","KS104EW0010","KS104EW0011","KS104EW0012","KS104EW0013","KS104EW0014","KS104EW0015"
"E02000864",6559,1694,736,2961,147,233,467,321,25.8271077908218,11.22122274737,45.1440768409819,2.24119530416222,3.55237078822991,7.11998780301875,4.89403872541546
"E02000865",5493,1460,536,2684,137,172,285,219,26.5792827234662,9.75787365738212,48.8621882395776,2.4940833788458,3.13125796468232,5.18842162752594,3.98689240851993
"E02000866",7891,2048,1100,3636,201,214,394,298,25.9536180458751,13.9399315676087,46.0778101634774,2.54720567735395,2.71195032315296,4.9930300342162,3.7764541883158
"E02000867",8145,1910,1369,3866,191,197,398,214,23.4499693063229,16.8078575813382,47.4647022713321,2.34499693063229,2.41866175567833,4.88643339472069,2.62737875997545
"E02000868",5363,1182,824,2667,146,114,221,209,22.0399030393436,15.3645347753123,49.7296289390267,2.72235688980048,2.12567592765243,4.12082789483498,3.89707253402946
"E02000869",4706,1146,628,2160,131,142,277,222,24.3518912027199,13.3446663833404,45.8988525286868,2.7836804079898,3.01742456438589,5.88610284742881,4.71738206544836
"E02000870",5141,1262,635,2461,129,139,286,229,24.5477533553783,12.3516825520327,47.8700641898463,2.50923944757829,2.70375413343707,5.56312001556118,4.45438630616612
"E02000871",6357,2112,580,2624,287,208,285,261,33.2232184992921,9.12380053484348,41.2773320748781,4.51470819568979,3.2719836400818,4.48324681453516,4.10571024067957
"E02000872",6164,1338,755,3205,181,154,300,231,21.7066839714471,12.2485399091499,51.995457495133,2.93640493186243,2.49837767683323,4.86696950032446,3.74756651524984
"E02000873",5889,1614,591,2825,199,158,240,262,27.4070300560367,10.0356597045339,47.9707930039056,3.37918152487689,2.68296824588215,4.07539480387163,4.44897266089319
"E02000874",5276,1592,410,2446,185,164,259,220,30.1743745261562,7.7710386656558,46.3608794541319,3.50644427596664,3.10841546626232,4.9090219863533,4.16982562547384
"E02000875",6990,2146,614,3123,238,210,403,256,30.7010014306152,8.78397711015737,44.6781115879828,3.40486409155937,3.00429184549356,5.7653791130186,3.6623748211731
"E02000876",5714,1502,640,2794,202,145,267,164,26.2863143157158,11.2005600280014,48.8974448722436,3.53517675883794,2.53762688134407,4.67273363668183,2.87014350717536
"E02000877",7309,2216,573,3377,308,222,324,289,30.3187850595157,7.8396497468874,46.2033109864551,4.21398276097961,3.03735121083596,4.43289095635518,3.95402927897113
"E02000878",8042,2020,909,4040,314,163,302,294,25.1181298184531,11.3031584183039,50.2362596369062,3.90450136781895,2.02685899030092,3.75528475503606,3.6558070131808
"E02000879",5895,1742,529,2636,214,168,301,305,29.5504664970314,8.97370653095844,44.715860899067,3.63019508057676,2.8498727735369,5.10602205258694,5.17387616624258
"E02000880",4467,1292,387,2042,199,127,194,226,28.9232146854712,8.6635325721961,45.7130064920528,4.45489142601298,2.84307141258115,4.34295948063577,5.05932393104992
"E02000881",4924,1620,435,1996,184,197,279,213,32.9000812347685,8.83428107229894,40.536149471974,3.73679935012185,4.00081234768481,5.66612510154346,4.32575142160845
"E02000882",6234,2224,561,2457,253,170,283,286,35.6753288418351,8.9990375360924,39.4128970163619,4.05838947706128,2.72698107154315,4.53962143086301,4.58774462624318
"E02000883",5712,1828,434,2348,215,195,372,320,32.0028011204482,7.59803921568627,41.1064425770308,3.7640056022409,3.41386554621849,6.51260504201681,5.60224089635854
"E02000884",7757,1770,990,4018,331,181,235,232,22.8180997808431,12.7626659791156,51.7983756606936,4.26711357483563,2.33337630527266,3.02952172231533,2.99084697692407
"E02000885",5244,1642,417,2193,204,189,310,289,31.3119755911518,7.95194508009153,41.8192219679634,3.89016018306636,3.60411899313501,5.9115179252479,5.51106025934401
"E02000886",6008,1860,831,2450,249,155,274,189,30.9587217043941,13.8315579227696,40.7789613848202,4.14447403462051,2.57989347536618,4.56058588548602,3.14580559254328
"E02000887",6342,2005,638,2620,225,211,369,274,31.6146326080101,10.0599180069379,41.3118889940082,3.54777672658467,3.32702617470829,5.81835383159886,4.320403658152
"E02000888",6456,2114,880,2596,270,179,241,176,32.7447335811648,13.6307311028501,40.2106567534077,4.182156133829,2.772614622057,3.73296158612144,2.72614622057001
"E02000889",5429,1578,647,2460,185,137,253,169,29.0661263584454,11.9174801989317,45.3122121937742,3.40762571375944,2.52348498802726,4.66015840854669,3.11291213851538
"E02000890",5219,1528,972,2005,188,105,292,129,29.27763939452,18.6242575205978,38.4173213259245,3.60222264801686,2.01187967043495,5.59494155968576,2.47173788082008
"E02000891",10535,3083,1579,4608,391,234,422,218,29.2643569055529,14.9881347887992,43.7399145704794,3.71143806359753,2.22116753678215,4.00569530137636,2.06929283341243
"E02000893",5461,1830,613,2168,143,164,352,191,33.5103460904596,11.2250503570775,39.699688701703,2.61856802783373,3.00311298297015,6.44570591466764,3.49752792528841
"E02000894",8643,2786,1280,3581,271,177,371,177,32.2341779474719,14.8096725673956,41.4323730186278,3.13548536387828,2.04790003471017,4.29249103320606,2.04790003471017
"E02006853",5790,1712,804,2431,240,169,291,143,29.5682210708117,13.8860103626943,41.986183074266,4.14507772020725,2.91882556131261,5.0259067357513,2.46977547495682
"E02006854",5059,1712,788,2016,206,99,185,53,33.8406799762799,15.5762008302036,39.8497726823483,4.07195097845424,1.95690847993675,3.65684917967978,1.04763787309745
