"GeographyCode","KS104EW0001","KS104EW0002","KS104EW0003","KS104EW0004","KS104EW0005","KS104EW0006","KS104EW0007","KS104EW0008","KS104EW0009","KS104EW0010","KS104EW0011","KS104EW0012","KS104EW0013","KS104EW0014","KS104EW0015"
"E00021141",264,82,10,113,13,9,16,21,31.0606060606061,3.78787878787879,42.8030303030303,4.92424242424242,3.40909090909091,6.06060606060606,7.95454545454545
"E00021143",285,86,20,138,3,10,14,14,30.1754385964912,7.01754385964912,48.4210526315789,1.05263157894737,3.50877192982456,4.91228070175439,4.91228070175439
"E00021145",213,50,34,100,7,5,13,4,23.4741784037559,15.962441314554,46.9483568075117,3.28638497652582,2.34741784037559,6.10328638497653,1.87793427230047
"E00021146",284,26,60,180,7,6,0,5,9.15492957746479,21.1267605633803,63.3802816901408,2.46478873239437,2.11267605633803,0,1.76056338028169
"E00021147",164,50,14,75,13,3,6,3,30.4878048780488,8.53658536585366,45.7317073170732,7.92682926829268,1.82926829268293,3.65853658536585,1.82926829268293
"E00021148",233,58,20,116,6,6,13,14,24.8927038626609,8.58369098712446,49.7854077253219,2.57510729613734,2.57510729613734,5.5793991416309,6.00858369098712
"E00021149",240,78,32,94,4,4,16,12,32.5,13.3333333333333,39.1666666666667,1.66666666666667,1.66666666666667,6.66666666666667,5
"E00021150",235,64,26,105,9,8,16,7,27.2340425531915,11.063829787234,44.6808510638298,3.82978723404255,3.40425531914894,6.80851063829787,2.97872340425532
"E00021151",213,58,10,103,7,10,14,11,27.2300469483568,4.69483568075117,48.3568075117371,3.28638497652582,4.69483568075117,6.57276995305164,5.16431924882629
"E00021152",287,102,14,127,12,6,9,17,35.5400696864112,4.8780487804878,44.2508710801394,4.18118466898955,2.09059233449477,3.13588850174216,5.92334494773519
"E00021153",325,50,80,180,1,6,4,4,15.3846153846154,24.6153846153846,55.3846153846154,0.307692307692308,1.84615384615385,1.23076923076923,1.23076923076923
"E00021154",289,84,22,133,18,3,17,12,29.0657439446367,7.61245674740484,46.0207612456747,6.22837370242214,1.03806228373702,5.88235294117647,4.1522491349481
"E00021155",329,34,78,195,5,4,9,4,10.3343465045593,23.7082066869301,59.2705167173252,1.51975683890578,1.21580547112462,2.73556231003039,1.21580547112462
"E00021156",193,52,14,76,5,6,21,19,26.9430051813472,7.25388601036269,39.3782383419689,2.59067357512953,3.10880829015544,10.880829015544,9.84455958549223
"E00021157",228,78,24,98,2,7,13,6,34.2105263157895,10.5263157894737,42.9824561403509,0.87719298245614,3.07017543859649,5.70175438596491,2.63157894736842
"E00021158",230,80,8,100,10,9,11,12,34.7826086956522,3.47826086956522,43.4782608695652,4.34782608695652,3.91304347826087,4.78260869565217,5.21739130434783
