"GeographyCode","KS106EW0001","KS106EW0002","KS106EW0003","KS106EW0004","KS106EW0005","KS106EW0006","KS106EW0007","KS106EW0008","KS106EW0009","KS106EW0010","KS106EW0011","KS106EW0012","KS106EW0013"
"E01004197",964,63,165,236,132,53,151,6.53526970954357,17.1161825726141,24.4813278008299,13.6929460580913,5.49792531120332,15.6639004149378
"E01004198",606,46,188,152,85,35,161,7.59075907590759,31.023102310231,25.0825082508251,14.026402640264,5.77557755775578,26.5676567656766
"E01004199",574,89,136,234,103,62,113,15.5052264808362,23.6933797909408,40.7665505226481,17.9442508710801,10.801393728223,19.6864111498258
"E01004200",585,22,85,86,38,22,71,3.76068376068376,14.5299145299145,14.7008547008547,6.4957264957265,3.76068376068376,12.1367521367521
"E01004201",619,44,149,173,84,32,129,7.10823909531502,24.0710823909532,27.9483037156704,13.5702746365105,5.16962843295638,20.8400646203554
"E01004202",713,58,79,149,79,34,80,8.13464235624123,11.0799438990182,20.8976157082749,11.0799438990182,4.76858345021038,11.2201963534362
"E01004203",689,49,114,151,78,35,112,7.11175616835994,16.5457184325109,21.9158200290276,11.3207547169811,5.07982583454282,16.255442670537
"E01004204",631,48,205,163,76,41,158,7.60697305863708,32.4881141045959,25.8320126782884,12.0443740095087,6.49762282091918,25.0396196513471
"E01004205",688,90,165,278,144,72,124,13.0813953488372,23.9825581395349,40.406976744186,20.9302325581395,10.4651162790698,18.0232558139535
"E01004206",554,56,183,171,79,36,149,10.1083032490975,33.0324909747292,30.8664259927798,14.2599277978339,6.49819494584837,26.8953068592058
"E01004207",515,41,139,142,73,33,126,7.96116504854369,26.9902912621359,27.5728155339806,14.1747572815534,6.40776699029126,24.4660194174757
"E01004208",788,26,134,119,67,27,80,3.2994923857868,17.005076142132,15.1015228426396,8.50253807106599,3.42639593908629,10.1522842639594
"E01004209",466,72,92,184,100,52,92,15.450643776824,19.7424892703863,39.4849785407725,21.4592274678112,11.1587982832618,19.7424892703863
"E01004211",720,23,145,85,42,18,93,3.19444444444444,20.1388888888889,11.8055555555556,5.83333333333333,2.5,12.9166666666667
"E01004212",720,57,234,153,78,35,107,7.91666666666667,32.5,21.25,10.8333333333333,4.86111111111111,14.8611111111111
"E01004214",665,82,184,258,132,54,159,12.3308270676692,27.6691729323308,38.796992481203,19.8496240601504,8.1203007518797,23.9097744360902
"E01004215",1168,92,214,294,158,54,150,7.87671232876712,18.3219178082192,25.1712328767123,13.527397260274,4.62328767123288,12.8424657534247
"E01004216",737,46,116,171,106,26,90,6.2415196743555,15.7394843962008,23.202170963365,14.3826322930801,3.52781546811398,12.2116689280868
"E01004217",779,44,188,194,122,32,160,5.64826700898588,24.1335044929397,24.9037227214377,15.6611039794608,4.10783055198973,20.5391527599487
"E01004218",731,36,118,192,98,24,85,4.92476060191518,16.1422708618331,26.265389876881,13.406292749658,3.28317373461012,11.6279069767442
