"GeographyCode","KS107EW0001","KS107EW0002","KS107EW0003","KS107EW0004","KS107EW0005","KS107EW0006","KS107EW0007","KS107EW0008","KS107EW0009","KS107EW0010","KS107EW0011","KS107EW0012","KS107EW0013","KS107EW0014","KS107EW0015","KS107EW0016","KS107EW0017","KS107EW0018","KS107EW0019","KS107EW0020","KS107EW0021","KS107EW0022","KS107EW0023"
"E01004197",62,10,13,39,6,0,2,4,56,10,11,35,16.1290322580645,20.9677419354839,62.9032258064516,9.67741935483871,0,3.2258064516129,6.45161290322581,90.3225806451613,16.1290322580645,17.741935483871,56.4516129032258
"E01004198",40,4,8,28,0,0,0,0,40,4,8,28,10,20,70,0,0,0,0,100,10,20,70
"E01004199",70,12,7,51,5,0,2,3,65,12,5,48,17.1428571428571,10,72.8571428571428,7.14285714285714,0,2.85714285714286,4.28571428571429,92.8571428571429,17.1428571428571,7.14285714285714,68.5714285714286
"E01004200",12,3,3,6,0,0,0,0,12,3,3,6,25,25,50,0,0,0,0,100,25,25,50
"E01004201",50,12,16,22,2,0,2,0,48,12,14,22,24,32,44,4,0,4,0,96,24,28,44
"E01004202",42,3,4,35,3,0,1,2,39,3,3,33,7.14285714285714,9.52380952380952,83.3333333333333,7.14285714285714,0,2.38095238095238,4.76190476190476,92.8571428571429,7.14285714285714,7.14285714285714,78.5714285714286
"E01004203",41,11,5,25,3,2,1,0,38,9,4,25,26.8292682926829,12.1951219512195,60.9756097560976,7.31707317073171,4.8780487804878,2.4390243902439,0,92.6829268292683,21.9512195121951,9.75609756097561,60.9756097560976
"E01004204",37,6,5,26,6,2,0,4,31,4,5,22,16.2162162162162,13.5135135135135,70.2702702702703,16.2162162162162,5.40540540540541,0,10.8108108108108,83.7837837837838,10.8108108108108,13.5135135135135,59.4594594594595
"E01004205",58,4,5,49,7,0,0,7,51,4,5,42,6.89655172413793,8.62068965517241,84.4827586206897,12.0689655172414,0,0,12.0689655172414,87.9310344827586,6.89655172413793,8.62068965517241,72.4137931034483
"E01004206",47,5,5,37,0,0,0,0,47,5,5,37,10.6382978723404,10.6382978723404,78.7234042553192,0,0,0,0,100,10.6382978723404,10.6382978723404,78.7234042553192
"E01004207",42,9,8,25,3,0,2,1,39,9,6,24,21.4285714285714,19.047619047619,59.5238095238095,7.14285714285714,0,4.76190476190476,2.38095238095238,92.8571428571429,21.4285714285714,14.2857142857143,57.1428571428571
"E01004208",14,4,3,7,0,0,0,0,14,4,3,7,28.5714285714286,21.4285714285714,50,0,0,0,0,100,28.5714285714286,21.4285714285714,50
"E01004209",45,8,5,32,2,1,0,1,43,7,5,31,17.7777777777778,11.1111111111111,71.1111111111111,4.44444444444444,2.22222222222222,0,2.22222222222222,95.5555555555556,15.5555555555556,11.1111111111111,68.8888888888889
"E01004211",18,2,2,14,1,0,0,1,17,2,2,13,11.1111111111111,11.1111111111111,77.7777777777778,5.55555555555556,0,0,5.55555555555556,94.4444444444444,11.1111111111111,11.1111111111111,72.2222222222222
"E01004212",43,8,2,33,2,0,1,1,41,8,1,32,18.6046511627907,4.65116279069767,76.7441860465116,4.65116279069767,0,2.32558139534884,2.32558139534884,95.3488372093023,18.6046511627907,2.32558139534884,74.4186046511628
"E01004214",97,21,15,61,4,0,2,2,93,21,13,59,21.6494845360825,15.4639175257732,62.8865979381443,4.12371134020619,0,2.06185567010309,2.06185567010309,95.8762886597938,21.6494845360825,13.4020618556701,60.8247422680412
"E01004215",108,25,19,64,3,0,1,2,105,25,18,62,23.1481481481481,17.5925925925926,59.2592592592593,2.77777777777778,0,0.925925925925926,1.85185185185185,97.2222222222222,23.1481481481481,16.6666666666667,57.4074074074074
"E01004216",46,11,7,28,4,2,0,2,42,9,7,26,23.9130434782609,15.2173913043478,60.8695652173913,8.69565217391304,4.34782608695652,0,4.34782608695652,91.304347826087,19.5652173913043,15.2173913043478,56.5217391304348
"E01004217",58,17,11,30,4,0,3,1,54,17,8,29,29.3103448275862,18.9655172413793,51.7241379310345,6.89655172413793,0,5.17241379310345,1.72413793103448,93.1034482758621,29.3103448275862,13.7931034482759,50
"E01004218",41,9,10,22,2,1,1,0,39,8,9,22,21.9512195121951,24.390243902439,53.6585365853659,4.8780487804878,2.4390243902439,2.4390243902439,0,95.1219512195122,19.5121951219512,21.9512195121951,53.6585365853659
"E01004219",83,25,9,49,8,1,4,3,75,24,5,46,30.1204819277108,10.8433734939759,59.0361445783133,9.63855421686747,1.20481927710843,4.81927710843374,3.6144578313253,90.3614457831325,28.9156626506024,6.02409638554217,55.421686746988
