"GeographyCode","KS107EW0001","KS107EW0002","KS107EW0003","KS107EW0004","KS107EW0005","KS107EW0006","KS107EW0007","KS107EW0008","KS107EW0009","KS107EW0010","KS107EW0011","KS107EW0012","KS107EW0013","KS107EW0014","KS107EW0015","KS107EW0016","KS107EW0017","KS107EW0018","KS107EW0019","KS107EW0020","KS107EW0021","KS107EW0022","KS107EW0023"
"E02000864",376,94,62,220,24,2,9,13,352,92,53,207,25,16.4893617021277,58.5106382978723,6.38297872340426,0.531914893617021,2.3936170212766,3.45744680851064,93.6170212765958,24.468085106383,14.0957446808511,55.0531914893617
"E02000865",222,38,44,140,13,0,6,7,209,38,38,133,17.1171171171171,19.8198198198198,63.0630630630631,5.85585585585586,0,2.7027027027027,3.15315315315315,94.1441441441441,17.1171171171171,17.1171171171171,59.9099099099099
"E02000866",275,81,52,142,25,9,6,10,250,72,46,132,29.4545454545455,18.9090909090909,51.6363636363636,9.09090909090909,3.27272727272727,2.18181818181818,3.63636363636364,90.9090909090909,26.1818181818182,16.7272727272727,48
"E02000867",360,93,54,213,23,2,13,8,337,91,41,205,25.8333333333333,15,59.1666666666667,6.38888888888889,0.555555555555556,3.61111111111111,2.22222222222222,93.6111111111111,25.2777777777778,11.3888888888889,56.9444444444444
"E02000868",132,23,17,92,12,4,2,6,120,19,15,86,17.4242424242424,12.8787878787879,69.6969696969697,9.09090909090909,3.03030303030303,1.51515151515152,4.54545454545455,90.9090909090909,14.3939393939394,11.3636363636364,65.1515151515152
"E02000869",159,32,35,92,11,1,5,5,148,31,30,87,20.125786163522,22.0125786163522,57.8616352201258,6.91823899371069,0.628930817610063,3.14465408805031,3.14465408805031,93.0817610062893,19.4968553459119,18.8679245283019,54.7169811320755
"E02000870",217,54,39,124,11,2,4,5,206,52,35,119,24.8847926267281,17.9723502304147,57.1428571428571,5.06912442396313,0.921658986175115,1.84331797235023,2.30414746543779,94.9308755760369,23.963133640553,16.1290322580645,54.8387096774194
"E02000871",336,64,53,219,13,1,5,7,323,63,48,212,19.047619047619,15.7738095238095,65.1785714285714,3.86904761904762,0.297619047619048,1.48809523809524,2.08333333333333,96.1309523809524,18.75,14.2857142857143,63.0952380952381
"E02000872",203,39,28,136,11,1,3,7,192,38,25,129,19.2118226600985,13.7931034482759,66.9950738916256,5.41871921182266,0.492610837438424,1.47783251231527,3.44827586206897,94.5812807881773,18.7192118226601,12.3152709359606,63.5467980295566
"E02000873",188,42,21,125,11,2,2,7,177,40,19,118,22.3404255319149,11.1702127659574,66.4893617021277,5.85106382978723,1.06382978723404,1.06382978723404,3.72340425531915,94.1489361702128,21.2765957446809,10.1063829787234,62.7659574468085
"E02000874",195,39,27,129,8,1,3,4,187,38,24,125,20,13.8461538461538,66.1538461538461,4.1025641025641,0.512820512820513,1.53846153846154,2.05128205128205,95.8974358974359,19.4871794871795,12.3076923076923,64.1025641025641
"E02000875",320,67,40,213,20,5,4,11,300,62,36,202,20.9375,12.5,66.5625,6.25,1.5625,1.25,3.4375,93.75,19.375,11.25,63.125
"E02000876",137,15,15,107,8,0,0,8,129,15,15,99,10.9489051094891,10.9489051094891,78.1021897810219,5.83941605839416,0,0,5.83941605839416,94.1605839416058,10.9489051094891,10.9489051094891,72.2627737226277
"E02000877",315,73,53,189,24,3,9,12,291,70,44,177,23.1746031746032,16.8253968253968,60,7.61904761904762,0.952380952380952,2.85714285714286,3.80952380952381,92.3809523809524,22.2222222222222,13.968253968254,56.1904761904762
"E02000878",119,15,14,90,14,0,5,9,105,15,9,81,12.6050420168067,11.7647058823529,75.6302521008403,11.7647058823529,0,4.20168067226891,7.56302521008403,88.2352941176471,12.6050420168067,7.56302521008403,68.0672268907563
"E02000879",175,36,26,113,14,1,6,7,161,35,20,106,20.5714285714286,14.8571428571429,64.5714285714286,8,0.571428571428571,3.42857142857143,4,92,20,11.4285714285714,60.5714285714286
"E02000880",109,23,16,70,5,0,0,5,104,23,16,65,21.1009174311927,14.6788990825688,64.2201834862385,4.58715596330275,0,0,4.58715596330275,95.4128440366973,21.1009174311927,14.6788990825688,59.6330275229358
"E02000881",301,66,36,199,9,1,2,6,292,65,34,193,21.9269102990033,11.9601328903654,66.1129568106312,2.99003322259136,0.332225913621262,0.664451827242525,1.99335548172757,97.0099667774086,21.5946843853821,11.2956810631229,64.1196013289037
"E02000882",245,45,39,161,13,4,1,8,232,41,38,153,18.3673469387755,15.9183673469388,65.7142857142857,5.30612244897959,1.63265306122449,0.408163265306122,3.26530612244898,94.6938775510204,16.734693877551,15.5102040816327,62.4489795918367
"E02000883",366,87,50,229,23,3,11,9,343,84,39,220,23.7704918032787,13.6612021857924,62.568306010929,6.28415300546448,0.819672131147541,3.00546448087432,2.45901639344262,93.7158469945355,22.9508196721311,10.655737704918,60.1092896174863
"E02000884",141,20,17,104,11,0,3,8,130,20,14,96,14.1843971631206,12.0567375886525,73.7588652482269,7.80141843971631,0,2.12765957446809,5.67375886524823,92.1985815602837,14.1843971631206,9.9290780141844,68.0851063829787
"E02000885",234,49,27,158,11,3,1,7,223,46,26,151,20.9401709401709,11.5384615384615,67.5213675213675,4.7008547008547,1.28205128205128,0.427350427350427,2.99145299145299,95.2991452991453,19.6581196581197,11.1111111111111,64.5299145299145
