"GeographyCode","KS107EW0001","KS107EW0002","KS107EW0003","KS107EW0004","KS107EW0005","KS107EW0006","KS107EW0007","KS107EW0008","KS107EW0009","KS107EW0010","KS107EW0011","KS107EW0012","KS107EW0013","KS107EW0014","KS107EW0015","KS107EW0016","KS107EW0017","KS107EW0018","KS107EW0019","KS107EW0020","KS107EW0021","KS107EW0022","KS107EW0023"
"E00021141",10,1,0,9,0,0,0,0,10,1,0,9,10,0,90,0,0,0,0,100,10,0,90
"E00021143",15,2,2,11,0,0,0,0,15,2,2,11,13.3333333333333,13.3333333333333,73.3333333333333,0,0,0,0,100,13.3333333333333,13.3333333333333,73.3333333333333
"E00021145",1,0,0,1,0,0,0,0,1,0,0,1,0,0,100,0,0,0,0,100,0,0,100
"E00021146",1,0,1,0,0,0,0,0,1,0,1,0,0,100,0,0,0,0,0,100,0,100,0
"E00021147",12,3,7,2,0,0,0,0,12,3,7,2,25,58.3333333333333,16.6666666666667,0,0,0,0,100,25,58.3333333333333,16.6666666666667
"E00021148",9,0,1,8,0,0,0,0,9,0,1,8,0,11.1111111111111,88.8888888888889,0,0,0,0,100,0,11.1111111111111,88.8888888888889
"E00021149",16,3,3,10,2,0,2,0,14,3,1,10,18.75,18.75,62.5,12.5,0,12.5,0,87.5,18.75,6.25,62.5
"E00021150",12,2,4,6,0,0,0,0,12,2,4,6,16.6666666666667,33.3333333333333,50,0,0,0,0,100,16.6666666666667,33.3333333333333,50
"E00021151",12,1,1,10,1,0,0,1,11,1,1,9,8.33333333333333,8.33333333333333,83.3333333333333,8.33333333333333,0,0,8.33333333333333,91.6666666666667,8.33333333333333,8.33333333333333,75
"E00021152",11,4,1,6,1,1,0,0,10,3,1,6,36.3636363636364,9.09090909090909,54.5454545454545,9.09090909090909,9.09090909090909,0,0,90.9090909090909,27.2727272727273,9.09090909090909,54.5454545454545
"E00021153",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00021154",9,3,2,4,0,0,0,0,9,3,2,4,33.3333333333333,22.2222222222222,44.4444444444444,0,0,0,0,100,33.3333333333333,22.2222222222222,44.4444444444444
"E00021155",2,0,0,2,0,0,0,0,2,0,0,2,0,0,100,0,0,0,0,100,0,0,100
"E00021156",6,1,1,4,0,0,0,0,6,1,1,4,16.6666666666667,16.6666666666667,66.6666666666667,0,0,0,0,100,16.6666666666667,16.6666666666667,66.6666666666667
"E00021157",13,3,1,9,0,0,0,0,13,3,1,9,23.0769230769231,7.69230769230769,69.2307692307692,0,0,0,0,100,23.0769230769231,7.69230769230769,69.2307692307692
"E00021158",17,4,1,12,1,0,0,1,16,4,1,11,23.5294117647059,5.88235294117647,70.5882352941177,5.88235294117647,0,0,5.88235294117647,94.1176470588235,23.5294117647059,5.88235294117647,64.7058823529412
"E00021159",13,0,2,11,2,0,0,2,11,0,2,9,0,15.3846153846154,84.6153846153846,15.3846153846154,0,0,15.3846153846154,84.6153846153846,0,15.3846153846154,69.2307692307692
"E00021160",6,2,1,3,0,0,0,0,6,2,1,3,33.3333333333333,16.6666666666667,50,0,0,0,0,100,33.3333333333333,16.6666666666667,50
"E00021161",14,4,1,9,1,1,0,0,13,3,1,9,28.5714285714286,7.14285714285714,64.2857142857143,7.14285714285714,7.14285714285714,0,0,92.8571428571429,21.4285714285714,7.14285714285714,64.2857142857143
"E00021162",3,0,2,1,0,0,0,0,3,0,2,1,0,66.6666666666667,33.3333333333333,0,0,0,0,100,0,66.6666666666667,33.3333333333333
"E00021163",6,0,2,4,1,0,0,1,5,0,2,3,0,33.3333333333333,66.6666666666667,16.6666666666667,0,0,16.6666666666667,83.3333333333333,0,33.3333333333333,50
"E00021164",7,2,0,5,2,1,0,1,5,1,0,4,28.5714285714286,0,71.4285714285714,28.5714285714286,14.2857142857143,0,14.2857142857143,71.4285714285714,14.2857142857143,0,57.1428571428571
"E00021165",12,1,1,10,1,0,0,1,11,1,1,9,8.33333333333333,8.33333333333333,83.3333333333333,8.33333333333333,0,0,8.33333333333333,91.6666666666667,8.33333333333333,8.33333333333333,75
"E00021166",11,3,1,7,1,0,1,0,10,3,0,7,27.2727272727273,9.09090909090909,63.6363636363636,9.09090909090909,0,9.09090909090909,0,90.9090909090909,27.2727272727273,0,63.6363636363636
"E00021167",8,1,2,5,0,0,0,0,8,1,2,5,12.5,25,62.5,0,0,0,0,100,12.5,25,62.5
"E00021168",2,1,0,1,1,1,0,0,1,0,0,1,50,0,50,50,50,0,0,50,0,0,50
"E00021169",8,0,0,8,1,0,0,1,7,0,0,7,0,0,100,12.5,0,0,12.5,87.5,0,0,87.5
"E00021170",20,3,3,14,4,0,1,3,16,3,2,11,15,15,70,20,0,5,15,80,15,10,55
"E00021171",14,1,1,12,0,0,0,0,14,1,1,12,7.14285714285714,7.14285714285714,85.7142857142857,0,0,0,0,100,7.14285714285714,7.14285714285714,85.7142857142857
"E00021172",7,4,1,2,1,0,1,0,6,4,0,2,57.1428571428571,14.2857142857143,28.5714285714286,14.2857142857143,0,14.2857142857143,0,85.7142857142857,57.1428571428571,0,28.5714285714286
"E00021173",11,0,5,6,1,0,1,0,10,0,4,6,0,45.4545454545455,54.5454545454545,9.09090909090909,0,9.09090909090909,0,90.9090909090909,0,36.3636363636364,54.5454545454545
"E00021174",2,0,1,1,1,0,1,0,1,0,0,1,0,50,50,50,0,50,0,50,0,0,50
"E00021175",5,3,1,1,0,0,0,0,5,3,1,1,60,20,20,0,0,0,0,100,60,20,20
"E00021176",15,3,5,7,0,0,0,0,15,3,5,7,20,33.3333333333333,46.6666666666667,0,0,0,0,100,20,33.3333333333333,46.6666666666667
"E00021177",19,1,2,16,0,0,0,0,19,1,2,16,5.26315789473684,10.5263157894737,84.2105263157895,0,0,0,0,100,5.26315789473684,10.5263157894737,84.2105263157895
"E00021179",5,2,0,3,0,0,0,0,5,2,0,3,40,0,60,0,0,0,0,100,40,0,60
"E00021180",20,1,2,17,1,0,0,1,19,1,2,16,5,10,85,5,0,0,5,95,5,10,80
"E00021181",4,0,0,4,1,0,0,1,3,0,0,3,0,0,100,25,0,0,25,75,0,0,75
"E00021182",4,0,1,3,0,0,0,0,4,0,1,3,0,25,75,0,0,0,0,100,0,25,75
"E00021183",1,1,0,0,0,0,0,0,1,1,0,0,100,0,0,0,0,0,0,100,100,0,0
"E00021184",2,0,0,2,0,0,0,0,2,0,0,2,0,0,100,0,0,0,0,100,0,0,100
"E00021185",11,4,5,2,1,0,1,0,10,4,4,2,36.3636363636364,45.4545454545455,18.1818181818182,9.09090909090909,0,9.09090909090909,0,90.9090909090909,36.3636363636364,36.3636363636364,18.1818181818182
"E00021186",10,0,0,10,0,0,0,0,10,0,0,10,0,0,100,0,0,0,0,100,0,0,100
"E00021187",14,2,1,11,1,0,0,1,13,2,1,10,14.2857142857143,7.14285714285714,78.5714285714286,7.14285714285714,0,0,7.14285714285714,92.8571428571429,14.2857142857143,7.14285714285714,71.4285714285714
"E00021188",8,2,1,5,1,0,1,0,7,2,0,5,25,12.5,62.5,12.5,0,12.5,0,87.5,25,0,62.5
"E00021189",12,2,1,9,0,0,0,0,12,2,1,9,16.6666666666667,8.33333333333333,75,0,0,0,0,100,16.6666666666667,8.33333333333333,75
"E00021190",3,1,1,1,0,0,0,0,3,1,1,1,33.3333333333333,33.3333333333333,33.3333333333333,0,0,0,0,100,33.3333333333333,33.3333333333333,33.3333333333333
"E00021191",4,0,1,3,0,0,0,0,4,0,1,3,0,25,75,0,0,0,0,100,0,25,75
"E00021192",13,0,2,11,0,0,0,0,13,0,2,11,0,15.3846153846154,84.6153846153846,0,0,0,0,100,0,15.3846153846154,84.6153846153846
"E00021193",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00021194",20,1,1,18,6,0,0,6,14,1,1,12,5,5,90,30,0,0,30,70,5,5,60
"E00021195",6,1,1,4,0,0,0,0,6,1,1,4,16.6666666666667,16.6666666666667,66.6666666666667,0,0,0,0,100,16.6666666666667,16.6666666666667,66.6666666666667
"E00021196",11,2,3,6,0,0,0,0,11,2,3,6,18.1818181818182,27.2727272727273,54.5454545454545,0,0,0,0,100,18.1818181818182,27.2727272727273,54.5454545454545
"E00021197",11,5,0,6,0,0,0,0,11,5,0,6,45.4545454545455,0,54.5454545454545,0,0,0,0,100,45.4545454545455,0,54.5454545454545
"E00021198",10,1,1,8,0,0,0,0,10,1,1,8,10,10,80,0,0,0,0,100,10,10,80
"E00021199",12,2,3,7,0,0,0,0,12,2,3,7,16.6666666666667,25,58.3333333333333,0,0,0,0,100,16.6666666666667,25,58.3333333333333
"E00021200",10,1,2,7,1,0,1,0,9,1,1,7,10,20,70,10,0,10,0,90,10,10,70
"E00021201",12,4,1,7,1,0,0,1,11,4,1,6,33.3333333333333,8.33333333333333,58.3333333333333,8.33333333333333,0,0,8.33333333333333,91.6666666666667,33.3333333333333,8.33333333333333,50
"E00021202",11,2,3,6,0,0,0,0,11,2,3,6,18.1818181818182,27.2727272727273,54.5454545454545,0,0,0,0,100,18.1818181818182,27.2727272727273,54.5454545454545
"E00021203",8,1,0,7,0,0,0,0,8,1,0,7,12.5,0,87.5,0,0,0,0,100,12.5,0,87.5
"E00021204",7,0,1,6,0,0,0,0,7,0,1,6,0,14.2857142857143,85.7142857142857,0,0,0,0,100,0,14.2857142857143,85.7142857142857
"E00021205",6,1,1,4,0,0,0,0,6,1,1,4,16.6666666666667,16.6666666666667,66.6666666666667,0,0,0,0,100,16.6666666666667,16.6666666666667,66.6666666666667
"E00021206",8,2,0,6,1,1,0,0,7,1,0,6,25,0,75,12.5,12.5,0,0,87.5,12.5,0,75
"E00021207",2,1,0,1,0,0,0,0,2,1,0,1,50,0,50,0,0,0,0,100,50,0,50
"E00021208",11,0,1,10,1,0,0,1,10,0,1,9,0,9.09090909090909,90.9090909090909,9.09090909090909,0,0,9.09090909090909,90.9090909090909,0,9.09090909090909,81.8181818181818
"E00021209",5,1,0,4,0,0,0,0,5,1,0,4,20,0,80,0,0,0,0,100,20,0,80
"E00021210",3,1,0,2,0,0,0,0,3,1,0,2,33.3333333333333,0,66.6666666666667,0,0,0,0,100,33.3333333333333,0,66.6666666666667
"E00021211",5,1,1,3,0,0,0,0,5,1,1,3,20,20,60,0,0,0,0,100,20,20,60
"E00021212",7,2,2,3,0,0,0,0,7,2,2,3,28.5714285714286,28.5714285714286,42.8571428571429,0,0,0,0,100,28.5714285714286,28.5714285714286,42.8571428571429
"E00021213",7,1,1,5,0,0,0,0,7,1,1,5,14.2857142857143,14.2857142857143,71.4285714285714,0,0,0,0,100,14.2857142857143,14.2857142857143,71.4285714285714
"E00021214",12,3,1,8,0,0,0,0,12,3,1,8,25,8.33333333333333,66.6666666666667,0,0,0,0,100,25,8.33333333333333,66.6666666666667
"E00021215",2,1,1,0,0,0,0,0,2,1,1,0,50,50,0,0,0,0,0,100,50,50,0
"E00021216",12,3,2,7,0,0,0,0,12,3,2,7,25,16.6666666666667,58.3333333333333,0,0,0,0,100,25,16.6666666666667,58.3333333333333
"E00021217",12,1,0,11,1,0,0,1,11,1,0,10,8.33333333333333,0,91.6666666666667,8.33333333333333,0,0,8.33333333333333,91.6666666666667,8.33333333333333,0,83.3333333333333
"E00021218",15,1,6,8,0,0,0,0,15,1,6,8,6.66666666666667,40,53.3333333333333,0,0,0,0,100,6.66666666666667,40,53.3333333333333
"E00021219",10,3,2,5,0,0,0,0,10,3,2,5,30,20,50,0,0,0,0,100,30,20,50
"E00021220",9,1,3,5,0,0,0,0,9,1,3,5,11.1111111111111,33.3333333333333,55.5555555555556,0,0,0,0,100,11.1111111111111,33.3333333333333,55.5555555555556
