"GeographyCode","KS202EW0001","KS202EW0002","KS202EW0003","KS202EW0004","KS202EW0005","KS202EW0006","KS202EW0007","KS202EW0008","KS202EW0009","KS202EW0010","KS202EW0011","KS202EW0012","KS202EW0013","KS202EW0014","KS202EW0015","KS202EW0016","KS202EW0017","KS202EW0018","KS202EW0019","KS202EW0020","KS202EW0021","KS202EW0022","KS202EW0023","KS202EW0024","KS202EW0025","KS202EW0026","KS202EW0027","KS202EW0028","KS202EW0029","KS202EW0030","KS202EW0031","KS202EW0032","KS202EW0033","KS202EW0034","KS202EW0035","KS202EW0036","KS202EW0037","KS202EW0038","KS202EW0039","KS202EW0040","KS202EW0041","KS202EW0042","KS202EW0043","KS202EW0044","KS202EW0045","KS202EW0046","KS202EW0047","KS202EW0048","KS202EW0049","KS202EW0050","KS202EW0051","KS202EW0052","KS202EW0053","KS202EW0054","KS202EW0055","KS202EW0056","KS202EW0057","KS202EW0058","KS202EW0059","KS202EW0060","KS202EW0061","KS202EW0062","KS202EW0063","KS202EW0064","KS202EW0065","KS202EW0066","KS202EW0067","KS202EW0068","KS202EW0069","KS202EW0070","KS202EW0071","KS202EW0072","KS202EW0073","KS202EW0074"
"E01004197",2329,639,107,32,1551,2329,10,4,2,2313,2329,22,8,4,2295,2329,9,0,2,2318,2329,838,180,1311,2329,0,0,1,2328,2329,37,1,2,0,3,0,2286,2329,606,78,1645,27.4366680978961,4.59424645770717,1.37398024903392,66.5951051953628,0.4293688278231,0.17174753112924,0.08587376556462,99.313009875483,0.94461142121082,0.34349506225848,0.17174753112924,98.5401459854015,0.38643194504079,0,0.08587376556462,99.5276942893946,35.9811077715758,7.7286389008158,56.2902533276084,0,0,0.04293688278231,99.9570631172177,1.58866466294547,0.04293688278231,0.08587376556462,0,0.12881064834693,0,98.1537140403607,26.0197509660799,3.34907685702018,70.6311721769
"E01004198",1529,455,48,15,1011,1529,3,0,1,1525,1529,11,1,1,1516,1529,4,0,2,1523,1529,669,72,788,1529,0,0,0,1529,1529,26,1,0,0,2,0,1500,1529,306,28,1195,29.7580117724003,3.13930673642904,0.981033355134075,66.1216481360366,0.196206671026815,0,0.065402223675605,99.7383911052976,0.719424460431655,0.065402223675605,0.065402223675605,99.1497710922171,0.26160889470242,0,0.13080444735121,99.6075866579464,43.7540876389797,4.70896010464356,51.5369522563767,0,0,0,100,1.70045781556573,0.065402223675605,0,0,0.13080444735121,0,98.1033355134075,20.0130804447351,1.83126226291694,78.1556572923479
"E01004199",1637,391,45,16,1185,1637,4,1,1,1631,1637,7,0,0,1630,1637,4,0,1,1632,1637,927,64,646,1637,0,0,0,1637,1637,12,0,0,0,2,0,1623,1637,229,27,1381,23.885155772755,2.74893097128894,0.977397678680513,72.3885155772755,0.244349419670128,0.0610873549175321,0.0610873549175321,99.6334758704948,0.427611484422724,0,0,99.5723885155773,0.244349419670128,0,0.0610873549175321,99.6945632254123,56.6279780085522,3.90959071472205,39.4624312767257,0,0,0,100,0.733048259010385,0,0,0,0.122174709835064,0,99.1447770311545,13.9890042761148,1.64935858277337,84.3616371411118
"E01004200",1566,455,94,26,991,1566,12,5,3,1546,1566,20,4,2,1540,1566,9,0,0,1557,1566,523,133,910,1566,0,0,0,1566,1566,31,0,0,0,1,0,1534,1566,396,42,1128,29.0549169859515,6.00255427841635,1.6602809706258,63.2822477650064,0.766283524904214,0.319284802043423,0.191570881226054,98.7228607918263,1.27713920817369,0.255427841634738,0.127713920817369,98.3397190293742,0.574712643678161,0,0,99.4252873563218,33.397190293742,8.49297573435504,58.1098339719029,0,0,0,100,1.97956577266922,0,0,0,0.0638569604086845,0,97.9565772669221,25.2873563218391,2.68199233716475,72.0306513409962
"E01004201",1556,560,63,28,905,1556,12,0,8,1536,1556,29,2,6,1519,1556,8,0,0,1548,1556,564,88,904,1556,0,0,0,1556,1556,29,0,0,0,1,0,1526,1556,278,30,1248,35.9897172236504,4.04884318766067,1.79948586118252,58.1619537275064,0.77120822622108,0,0.51413881748072,98.7146529562982,1.86375321336761,0.12853470437018,0.38560411311054,97.6221079691517,0.51413881748072,0,0,99.4858611825193,36.2467866323907,5.65552699228792,58.0976863753213,0,0,0,100,1.86375321336761,0,0,0,0.06426735218509,0,98.0719794344473,17.866323907455,1.9280205655527,80.2056555269923
"E01004202",1705,398,87,19,1201,1705,8,2,6,1689,1705,16,6,0,1683,1705,13,1,0,1691,1705,698,119,888,1705,0,0,0,1705,1705,27,0,0,0,0,0,1678,1705,440,30,1235,23.3431085043988,5.10263929618768,1.11436950146628,70.4398826979472,0.469208211143695,0.117302052785924,0.351906158357771,99.0615835777126,0.93841642228739,0.351906158357771,0,98.7096774193548,0.762463343108504,0.0586510263929619,0,99.1788856304985,40.9384164222874,6.97947214076246,52.0821114369502,0,0,0,100,1.58357771260997,0,0,0,0,0,98.41642228739,25.8064516129032,1.75953079178886,72.4340175953079
"E01004203",1779,537,77,12,1153,1779,7,1,2,1769,1779,17,5,2,1755,1779,9,0,1,1769,1779,674,106,999,1779,0,0,0,1779,1779,37,0,1,0,2,0,1739,1779,417,32,1330,30.185497470489,4.3282743114109,0.674536256323777,64.8116919617763,0.393479482855537,0.0562113546936481,0.112422709387296,99.4378864530635,0.955593029792018,0.281056773468241,0.112422709387296,98.6509274873524,0.505902192242833,0,0.0562113546936481,99.4378864530635,37.8864530635188,5.9584035975267,56.1551433389545,0,0,0,100,2.07982012366498,0,0.0562113546936481,0,0.112422709387296,0,97.7515458122541,23.4401349072513,1.79876335019674,74.761101742552
"E01004204",1582,421,62,21,1078,1582,12,0,1,1569,1582,11,0,0,1571,1582,2,0,1,1579,1582,697,95,790,1582,0,1,0,1581,1582,23,0,0,0,0,0,1559,1582,326,49,1207,26.6118836915297,3.91908975979772,1.32743362831858,68.141592920354,0.758533501896334,0,0.0632111251580278,99.1782553729456,0.695322376738306,0,0,99.3046776232617,0.126422250316056,0,0.0632111251580278,99.8103666245259,44.0581542351454,6.00505689001264,49.936788874842,0,0.0632111251580278,0,99.936788874842,1.45385587863464,0,0,0,0,0,98.5461441213654,20.6068268015171,3.09734513274336,76.2958280657396
"E01004205",2106,271,34,10,1791,2106,5,1,0,2100,2106,13,2,0,2091,2106,2,0,0,2104,2106,1224,91,791,2106,0,0,0,2106,2106,12,0,0,0,1,0,2093,2106,491,62,1553,12.8679962013295,1.61443494776828,0.474833808167141,85.042735042735,0.237416904083571,0.0474833808167142,0,99.7150997150997,0.617283950617284,0.0949667616334283,0,99.2877492877493,0.0949667616334283,0,0,99.9050332383666,58.1196581196581,4.32098765432099,37.5593542260209,0,0,0,100,0.56980056980057,0,0,0,0.0474833808167142,0,99.3827160493827,23.3143399810066,2.94396961063628,73.7416904083571
"E01004206",1492,278,41,2,1171,1492,2,2,0,1488,1492,0,0,0,1492,1492,3,0,0,1489,1492,773,64,655,1492,0,0,0,1492,1492,19,1,0,0,1,0,1471,1492,370,22,1100,18.6327077747989,2.74798927613941,0.134048257372654,78.485254691689,0.134048257372654,0.134048257372654,0,99.7319034852547,0,0,0,100,0.201072386058981,0,0,99.798927613941,51.8096514745308,4.28954423592493,43.9008042895442,0,0,0,100,1.27345844504021,0.0670241286863271,0,0,0.0670241286863271,0,98.5924932975871,24.798927613941,1.4745308310992,73.7265415549598
