"GeographyCode","KS202EW0001","KS202EW0002","KS202EW0003","KS202EW0004","KS202EW0005","KS202EW0006","KS202EW0007","KS202EW0008","KS202EW0009","KS202EW0010","KS202EW0011","KS202EW0012","KS202EW0013","KS202EW0014","KS202EW0015","KS202EW0016","KS202EW0017","KS202EW0018","KS202EW0019","KS202EW0020","KS202EW0021","KS202EW0022","KS202EW0023","KS202EW0024","KS202EW0025","KS202EW0026","KS202EW0027","KS202EW0028","KS202EW0029","KS202EW0030","KS202EW0031","KS202EW0032","KS202EW0033","KS202EW0034","KS202EW0035","KS202EW0036","KS202EW0037","KS202EW0038","KS202EW0039","KS202EW0040","KS202EW0041","KS202EW0042","KS202EW0043","KS202EW0044","KS202EW0045","KS202EW0046","KS202EW0047","KS202EW0048","KS202EW0049","KS202EW0050","KS202EW0051","KS202EW0052","KS202EW0053","KS202EW0054","KS202EW0055","KS202EW0056","KS202EW0057","KS202EW0058","KS202EW0059","KS202EW0060","KS202EW0061","KS202EW0062","KS202EW0063","KS202EW0064","KS202EW0065","KS202EW0066","KS202EW0067","KS202EW0068","KS202EW0069","KS202EW0070","KS202EW0071","KS202EW0072","KS202EW0073","KS202EW0074"
"E02000864",8297,3198,390,66,4643,8297,35,7,10,8245,8297,72,13,12,8200,8297,38,3,5,8251,8297,3062,548,4687,8297,0,0,1,8296,8297,91,9,2,0,4,0,8191,8297,1294,165,6838,38.5440520670122,4.70049415451368,0.795468241533084,55.9599855369411,0.421839218994817,0.0843678437989635,0.120525491141376,99.3732674460648,0.86778353621791,0.156683138483789,0.144630589369652,98.8309027359286,0.45799686633723,0.0361576473424129,0.0602627455706882,99.4455827407497,36.9049053874895,6.60479691454743,56.4902976979631,0,0,0.0120525491141376,99.9879474508859,1.09678196938653,0.108472942027239,0.0241050982282753,0,0.0482101964565506,0,98.7224297939014,15.5959985536941,1.98867060383271,82.4153308424732
"E02000865",7051,2045,263,91,4652,7051,29,5,12,7005,7051,69,11,11,6960,7051,25,0,5,7021,7051,2998,404,3649,7051,0,0,1,7050,7051,104,2,2,0,8,0,6935,7051,1419,163,5469,29.0029783009502,3.7299673805134,1.29059707842859,65.9764572401078,0.411289178839881,0.0709119273861864,0.170188625726847,99.3476102680471,0.978584597929372,0.15600624024961,0.15600624024961,98.7094029215714,0.354559636930932,0,0.0709119273861864,99.5745284356829,42.5187916607573,5.72968373280386,51.7515246064388,0,0,0.0141823854772373,99.9858176145228,1.47496808963268,0.0283647709544745,0.0283647709544745,0,0.113459083817898,0,98.3548432846405,20.1248049921997,2.31172883278968,77.5634661750106
"E02000866",9662,3784,533,130,5215,9662,56,23,17,9566,9662,94,28,33,9507,9662,33,7,10,9612,9662,3168,785,5709,9662,1,0,0,9661,9662,165,6,0,0,10,4,9477,9662,1650,242,7770,39.1637342165183,5.51645622024426,1.34547712688884,53.9743324363486,0.579590146967502,0.238045953218795,0.175947008900849,99.0064168909128,0.972883460981163,0.289795073483751,0.341544193748706,98.3957772717864,0.341544193748706,0.0724487683709377,0.103498240529911,99.4825087973504,32.7882425998758,8.12461188159801,59.0871455185262,0.0103498240529911,0,0,99.989650175947,1.70772096874353,0.0620989443179466,0,0,0.103498240529911,0.0413992962119644,98.0852825501967,17.0772096874353,2.50465742082385,80.4181328917408
"E02000867",9761,3415,534,99,5713,9761,78,25,8,9650,9761,81,15,20,9645,9761,36,4,5,9716,9761,3288,734,5739,9761,2,0,0,9759,9761,134,1,1,0,8,0,9617,9761,2071,189,7501,34.9861694498515,5.47075094764881,1.01424034422703,58.5288392582727,0.799098453027354,0.256121299047229,0.0819588156951132,98.8628214322303,0.829833008913021,0.153672779428337,0.204897039237783,98.8115971724209,0.368814670628009,0.0409794078475566,0.0512242598094458,99.538981661715,33.6850732506915,7.51972134002664,58.7952054092818,0.0204897039237783,0,0,99.9795102960762,1.37281016289315,0.0102448519618892,0.0102448519618892,0,0.0819588156951132,0,98.524741317488,21.2170884130724,1.93627702079705,76.8466345661305
"E02000868",6632,1811,320,78,4423,6632,39,8,12,6573,6632,64,15,4,6549,6632,33,1,2,6596,6632,2592,453,3587,6632,0,1,0,6631,6632,118,0,1,0,3,0,6510,6632,1579,153,4900,27.3069963811821,4.82509047044632,1.17611580217129,66.6917973462002,0.588057901085645,0.120627261761158,0.180940892641737,99.1103739445115,0.965018094089264,0.226176115802171,0.060313630880579,98.748492159228,0.497587454764777,0.0150784077201448,0.0301568154402895,99.4571773220748,39.0832328106152,6.83051869722557,54.0862484921592,0,0.0150784077201448,0,99.9849215922798,1.77925211097708,0,0.0150784077201448,0,0.0452352231604343,0,98.1604342581423,23.8088057901086,2.30699638118215,73.8841978287093
"E02000869",5705,1749,260,60,3636,5705,18,4,4,5679,5705,49,12,8,5636,5705,25,1,4,5675,5705,2100,400,3205,5705,1,1,1,5702,5705,105,0,0,2,9,0,5589,5705,1324,151,4230,30.6573181419807,4.55740578439965,1.05170902716915,63.7335670464505,0.315512708150745,0.07011393514461,0.07011393514461,99.54425942156,0.858895705521472,0.21034180543383,0.14022787028922,98.7905346187555,0.438212094653812,0.0175284837861525,0.07011393514461,99.4741454864154,36.8098159509202,7.011393514461,56.1787905346187,0.0175284837861525,0.0175284837861525,0.0175284837861525,99.9474145486415,1.84049079754601,0,0,0.035056967572305,0.157756354075372,0,97.9666958808063,23.2077125328659,2.64680105170903,74.1454864154251
"E02000870",6477,2168,301,54,3954,6477,21,9,5,6442,6477,55,9,2,6411,6477,22,1,4,6450,6477,2470,430,3577,6477,0,0,0,6477,6477,80,2,1,0,7,0,6387,6477,1276,137,5064,33.4722865524162,4.64721321599506,0.833719314497453,61.0467809170912,0.32422417786012,0.138953219082909,0.0771962328238382,99.4596263702331,0.84915856106222,0.138953219082909,0.0308784931295353,98.9810097267253,0.339663424424888,0.0154392465647676,0.0617569862590706,99.5831403427513,38.1349390149761,6.63887602285009,55.2261849621738,0,0,0,100,1.23513972518141,0.0308784931295353,0.0154392465647676,0,0.108074725953373,0,98.6104678091709,19.7004786166435,2.11517677937317,78.1843446039833
"E02000871",8591,1744,288,64,6495,8591,11,2,3,8575,8591,44,4,5,8538,8591,14,1,2,8574,8591,4467,441,3683,8591,0,0,0,8591,8591,61,1,0,0,2,0,8527,8591,1821,183,6587,20.3003142823885,3.35234547782563,0.744965661739029,75.6023745780468,0.128040973111396,0.0232801769293447,0.034920265394017,99.8137585845652,0.512163892445583,0.0465603538586893,0.0582004423233617,99.3830753113724,0.162961238505413,0.0116400884646723,0.0232801769293447,99.8021184961006,51.9962751716913,5.1332790129205,42.8704458153882,0,0,0,100,0.710045396345012,0.0116400884646723,0,0,0.0232801769293447,0,99.255034338261,21.1966010941683,2.13013618903504,76.6732627167967
"E02000872",7501,1904,341,87,5169,7501,27,6,13,7455,7501,63,9,11,7418,7501,31,3,4,7463,7501,3056,497,3948,7501,1,0,0,7500,7501,105,2,0,1,5,0,7388,7501,1864,178,5459,25.3832822290361,4.5460605252633,1.15984535395281,68.9108118917478,0.359952006399147,0.079989334755366,0.173310225303293,99.3867484335422,0.839888014931343,0.119984002133049,0.146647113718171,98.8934808692174,0.413278229569391,0.039994667377683,0.053326223170244,99.4934008798827,40.7412345020664,6.62578322890281,52.6329822690308,0.013331555792561,0,0,99.9866684442074,1.3998133582189,0.026663111585122,0,0.013331555792561,0.066657778962805,0,98.4935341954406,24.8500199973337,2.37301693107586,72.7769630715904
"E02000873",8713,2082,384,100,6147,8713,51,10,12,8640,8713,44,15,6,8648,8713,21,5,6,8681,8713,3474,575,4664,8713,1,0,1,8711,8713,84,3,1,0,9,0,8616,8713,2395,207,6111,23.8953288190061,4.40720762079651,1.14771031791576,70.5497532422816,0.585332262137037,0.114771031791576,0.137725238149891,99.1621714679215,0.504992539882934,0.172156547687364,0.0688626190749455,99.2539882933548,0.241019166762309,0.0573855158957879,0.0688626190749455,99.632732698267,39.8714564443934,6.59933432801561,53.529209227591,0.0114771031791576,0,0.0114771031791576,99.9770457936417,0.964076667049237,0.0344313095374727,0.0114771031791576,0,0.103293928612418,0,98.8867209916217,27.4876621140824,2.37576035808562,70.136577527832
