"GeographyCode","KS206EW0001","KS206EW0002","KS206EW0003","KS206EW0004","KS206EW0005","KS206EW0006","KS206EW0007","KS206EW0008","KS206EW0009"
"E01004197",964,632,126,39,167,65.5601659751037,13.0705394190871,4.04564315352697,17.3236514522822
"E01004198",606,386,94,24,102,63.6963696369637,15.5115511551155,3.96039603960396,16.8316831683168
"E01004199",574,313,124,41,96,54.5296167247387,21.602787456446,7.14285714285714,16.7247386759582
"E01004200",585,403,97,10,75,68.8888888888889,16.5811965811966,1.70940170940171,12.8205128205128
"E01004201",619,464,74,25,56,74.9596122778675,11.9547657512116,4.03877221324717,9.04684975767367
"E01004202",713,472,123,14,104,66.1991584852735,17.2510518934081,1.96353436185133,14.586255259467
"E01004203",689,457,129,22,81,66.3280116110305,18.7227866473149,3.19303338171263,11.7561683599419
"E01004204",631,389,88,27,127,61.648177496038,13.946117274168,4.27892234548336,20.1267828843106
"E01004205",688,264,161,47,216,38.3720930232558,23.4011627906977,6.83139534883721,31.3953488372093
"E01004206",554,251,108,32,163,45.3068592057762,19.4945848375451,5.77617328519856,29.4223826714801
"E01004207",515,333,85,12,85,64.6601941747573,16.504854368932,2.33009708737864,16.504854368932
"E01004208",788,504,128,16,140,63.9593908629442,16.243654822335,2.03045685279188,17.7664974619289
"E01004209",466,209,97,43,117,44.8497854077253,20.8154506437768,9.2274678111588,25.1072961373391
"E01004211",720,518,87,5,110,71.9444444444444,12.0833333333333,0.694444444444444,15.2777777777778
"E01004212",720,384,88,31,217,53.3333333333333,12.2222222222222,4.30555555555556,30.1388888888889
"E01004214",665,411,82,41,131,61.8045112781955,12.3308270676692,6.16541353383459,19.6992481203008
"E01004215",1168,718,158,47,245,61.472602739726,13.527397260274,4.02397260273973,20.9760273972603
"E01004216",737,495,84,11,147,67.1641791044776,11.3975576662144,1.49253731343284,19.9457259158752
"E01004217",779,572,69,20,118,73.4274711168164,8.85750962772786,2.56739409499358,15.1476251604621
"E01004218",731,501,96,16,118,68.5362517099863,13.1326949384405,2.18878248974008,16.1422708618331
"E01004219",851,393,160,40,258,46.1809635722679,18.8014101057579,4.70035252643948,30.3172737955347
"E01004221",802,509,119,27,147,63.4663341645885,14.8379052369077,3.36658354114713,18.3291770573566
"E01004222",1048,805,85,30,128,76.8129770992366,8.11068702290076,2.86259541984733,12.2137404580153
"E01004223",938,741,79,27,91,78.9978678038379,8.42217484008529,2.87846481876333,9.70149253731343
"E01004224",806,596,116,20,74,73.9454094292804,14.3920595533499,2.48138957816377,9.18114143920596
"E01004225",1147,917,109,15,106,79.947689625109,9.50305143853531,1.3077593722755,9.24149956408021
"E01004226",676,471,90,30,85,69.6745562130178,13.3136094674556,4.43786982248521,12.5739644970414
"E01004228",769,645,63,8,53,83.8751625487646,8.1924577373212,1.04031209362809,6.89206762028609
"E01004229",551,367,76,20,88,66.6061705989111,13.7931034482759,3.62976406533575,15.9709618874773
"E01004230",803,577,104,29,93,71.8555417185554,12.9514321295143,3.61145703611457,11.5815691158157
"E01004231",629,391,87,40,111,62.1621621621622,13.8314785373609,6.35930047694753,17.6470588235294
"E01004232",603,461,85,8,49,76.4510779436152,14.0961857379768,1.32669983416252,8.12603648424544
"E01004233",751,527,68,33,123,70.17310252996,9.05459387483356,4.39414114513981,16.3781624500666
"E01004234",903,737,105,13,48,81.6168327796235,11.6279069767442,1.43964562569214,5.3156146179402
"E01004235",513,287,76,37,113,55.9454191033138,14.8148148148148,7.21247563352826,22.0272904483431
"E01004236",497,222,114,41,120,44.6680080482897,22.9376257545272,8.24949698189135,24.1448692152917
"E01004237",506,333,55,24,94,65.8102766798419,10.8695652173913,4.74308300395257,18.5770750988142
"E01004238",1058,557,184,47,270,52.6465028355388,17.3913043478261,4.44234404536862,25.5198487712665
"E01004239",533,326,91,26,90,61.1632270168856,17.0731707317073,4.8780487804878,16.8855534709193
"E01004240",574,317,102,43,112,55.2264808362369,17.7700348432056,7.49128919860627,19.5121951219512
"E01004241",570,319,94,36,121,55.9649122807018,16.4912280701754,6.31578947368421,21.2280701754386
"E01004242",898,493,136,54,215,54.8997772828508,15.1447661469933,6.01336302895323,23.9420935412027
"E01004243",614,336,106,54,118,54.7231270358306,17.2638436482085,8.79478827361564,19.2182410423453
"E01004244",686,441,92,38,115,64.2857142857143,13.4110787172012,5.53935860058309,16.7638483965015
"E01004245",433,204,99,37,93,47.1131639722864,22.8637413394919,8.54503464203233,21.4780600461894
"E01004246",747,484,117,28,118,64.7925033467202,15.6626506024096,3.7483266398929,15.7965194109772
"E01004247",714,370,107,31,206,51.8207282913165,14.9859943977591,4.34173669467787,28.8515406162465
"E01004248",441,277,69,35,60,62.8117913832199,15.6462585034014,7.93650793650794,13.6054421768707
"E01004249",758,455,118,37,148,60.0263852242744,15.5672823218997,4.88126649076517,19.5250659630607
"E01004250",866,563,123,58,122,65.0115473441109,14.203233256351,6.69745958429561,14.0877598152425
"E01004251",779,461,123,35,160,59.1784338896021,15.7894736842105,4.49293966623877,20.5391527599487
"E01004252",1107,649,182,42,234,58.6269196025294,16.4408310749774,3.7940379403794,21.1382113821138
"E01004253",829,527,117,42,143,63.5705669481303,14.1133896260555,5.06634499396864,17.2496984318456
"E01004254",1046,689,160,10,187,65.8699808795411,15.2963671128107,0.956022944550669,17.8776290630975
"E01004255",647,351,115,33,148,54.2503863987635,17.774343122102,5.10046367851623,22.8748068006182
"E01004256",611,292,130,42,147,47.7905073649754,21.2765957446809,6.87397708674304,24.0589198036007
"E01004257",618,329,103,54,132,53.2362459546925,16.6666666666667,8.7378640776699,21.3592233009709
"E01004258",713,528,70,16,99,74.0532959326788,9.81767180925666,2.24403927068724,13.8849929873773
"E01004259",812,585,105,23,99,72.0443349753695,12.9310344827586,2.83251231527094,12.192118226601
"E01004260",636,371,123,30,112,58.3333333333333,19.3396226415094,4.71698113207547,17.6100628930818
"E01004261",550,244,149,28,129,44.3636363636364,27.0909090909091,5.09090909090909,23.4545454545455
"E01004262",495,279,109,23,84,56.3636363636364,22.020202020202,4.64646464646465,16.969696969697
"E01004263",529,374,62,25,68,70.6994328922495,11.7202268431002,4.72589792060491,12.8544423440454
"E01004264",457,157,113,43,144,34.3544857768052,24.72647702407,9.40919037199125,31.5098468271335
"E01004266",583,442,82,9,50,75.8147512864494,14.065180102916,1.54373927958834,8.57632933104631
"E01004267",707,493,87,25,102,69.7312588401697,12.3055162659123,3.53606789250354,14.4271570014144
"E01004268",688,388,102,41,157,56.3953488372093,14.8255813953488,5.9593023255814,22.8197674418605
"E01004269",726,433,107,32,154,59.6418732782369,14.7382920110193,4.40771349862259,21.2121212121212
"E01004270",745,452,145,25,123,60.6711409395973,19.4630872483221,3.35570469798658,16.510067114094
"E01004271",548,287,89,55,117,52.3722627737226,16.2408759124088,10.036496350365,21.3503649635036
"E01004272",639,279,151,65,144,43.6619718309859,23.6306729264476,10.1721439749609,22.5352112676056
"E01004273",594,268,147,46,133,45.1178451178451,24.7474747474747,7.74410774410774,22.3905723905724
"E01004274",654,356,133,25,140,54.434250764526,20.3363914373089,3.82262996941896,21.4067278287462
"E01004275",768,548,93,25,102,71.3541666666667,12.109375,3.25520833333333,13.28125
"E01004276",996,696,112,14,174,69.8795180722892,11.2449799196787,1.40562248995984,17.4698795180723
"E01004277",898,580,89,8,221,64.5879732739421,9.9109131403118,0.89086859688196,24.6102449888641
"E01004280",769,471,118,19,161,61.2483745123537,15.3446033810143,2.47074122236671,20.9362808842653
"E01004281",831,497,99,12,223,59.8074608904934,11.913357400722,1.44404332129964,26.835138387485
"E01004283",756,429,162,31,134,56.7460317460317,21.4285714285714,4.1005291005291,17.7248677248677
