"GeographyCode","KS206EW0001","KS206EW0002","KS206EW0003","KS206EW0004","KS206EW0005","KS206EW0006","KS206EW0007","KS206EW0008","KS206EW0009"
"E02000864",3468,2613,370,107,378,75.3460207612457,10.6689734717416,3.08535178777393,10.8996539792388
"E02000865",2763,1795,418,129,421,64.9656170828809,15.1284835323923,4.66883821932682,15.2370611653999
"E02000866",3829,2947,425,91,366,76.9652650822669,11.0995037868895,2.37659963436929,9.55863149647428
"E02000867",4307,3171,485,108,543,73.624332482006,11.2607383329464,2.50754585558393,12.6073833294637
"E02000868",2618,1721,437,73,387,65.7372039724981,16.6921313980137,2.78838808250573,14.7822765469824
"E02000869",2485,1701,330,70,384,68.4507042253521,13.2796780684105,2.8169014084507,15.4527162977867
"E02000870",2560,1772,372,87,329,69.21875,14.53125,3.3984375,12.8515625
"E02000871",3107,1725,520,175,687,55.5197940135179,16.7364016736402,5.6324428709366,22.1113614419054
"E02000872",3088,1896,529,117,546,61.3989637305699,17.130829015544,3.78886010362694,17.6813471502591
"E02000873",2792,1582,514,149,547,56.6618911174785,18.4097421203438,5.33667621776504,19.5916905444126
"E02000874",2494,1314,457,141,582,52.6864474739374,18.3239775461107,5.65356856455493,23.336006415397
"E02000875",3437,2010,521,199,707,58.4812336339831,15.1585685190573,5.78993308117544,20.5702647657841
"E02000876",2750,1537,484,100,629,55.8909090909091,17.6,3.63636363636364,22.8727272727273
"E02000877",3252,1719,639,223,671,52.859778597786,19.6494464944649,6.85731857318573,20.6334563345633
"E02000878",3900,2079,761,99,961,53.3076923076923,19.5128205128205,2.53846153846154,24.6410256410256
"E02000879",2855,1687,495,100,573,59.0893169877408,17.338003502627,3.50262697022767,20.0700525394046
"E02000880",2090,1114,394,93,489,53.3014354066986,18.8516746411483,4.44976076555024,23.3971291866029
"E02000881",2379,1420,403,137,419,59.6889449348466,16.9398907103825,5.75872215216478,17.6124422026061
"E02000882",2884,1613,527,182,562,55.9292649098474,18.2732316227462,6.31067961165049,19.4868238557559
"E02000883",2880,1710,428,181,561,59.375,14.8611111111111,6.28472222222222,19.4791666666667
"E02000884",3707,1912,736,108,951,51.5780954950094,19.8543296466145,2.91340706770974,25.6541677906663
"E02000885",2509,1283,441,142,643,51.1359107214029,17.5767237943404,5.65962534874452,25.6277401355122
"E02000886",3185,2029,468,94,594,63.7048665620094,14.6938775510204,2.95133437990581,18.6499215070644
"E02000887",3165,1797,532,180,656,56.7772511848341,16.8088467614534,5.68720379146919,20.7266982622433
"E02000888",3306,1890,581,130,705,57.1687840290381,17.5741076830006,3.93224440411373,21.3248638838475
"E02000889",2879,1853,424,83,519,64.3626259117749,14.7273358805141,2.8829454671761,18.0270927405349
"E02000890",3093,2339,300,25,429,75.6223731005496,9.69932104752667,0.808276753960556,13.8700290979631
"E02000891",5742,3422,787,156,1377,59.5959595959596,13.7060257749913,2.71682340647858,23.9811912225705
"E02000893",2912,1979,331,88,514,67.9601648351648,11.3667582417582,3.02197802197802,17.6510989010989
"E02000894",4510,2875,589,100,946,63.7472283813747,13.059866962306,2.21729490022173,20.9756097560976
"E02006853",3320,2028,392,76,824,61.0843373493976,11.8072289156626,2.28915662650602,24.8192771084337
"E02006854",2991,1832,350,43,766,61.2504179204279,11.7017719826145,1.43764627214978,25.6101638248078
