"GeographyCode","KS206EW0001","KS206EW0002","KS206EW0003","KS206EW0004","KS206EW0005","KS206EW0006","KS206EW0007","KS206EW0008","KS206EW0009"
"E00021141",117,79,23,2,13,67.5213675213675,19.6581196581197,1.70940170940171,11.1111111111111
"E00021143",138,90,21,11,16,65.2173913043478,15.2173913043478,7.97101449275362,11.5942028985507
"E00021145",104,83,13,0,8,79.8076923076923,12.5,0,7.69230769230769
"E00021146",143,105,28,0,10,73.4265734265734,19.5804195804196,0,6.99300699300699
"E00021147",83,69,6,1,7,83.1325301204819,7.2289156626506,1.20481927710843,8.43373493975904
"E00021148",119,86,13,4,16,72.2689075630252,10.9243697478992,3.36134453781513,13.4453781512605
"E00021149",126,83,20,9,14,65.8730158730159,15.8730158730159,7.14285714285714,11.1111111111111
"E00021150",116,82,14,8,12,70.6896551724138,12.0689655172414,6.89655172413793,10.3448275862069
"E00021151",113,70,21,6,16,61.9469026548673,18.5840707964602,5.30973451327434,14.1592920353982
"E00021152",138,79,27,7,25,57.2463768115942,19.5652173913043,5.07246376811594,18.1159420289855
"E00021153",149,122,15,0,12,81.8791946308725,10.0671140939597,0,8.05369127516778
"E00021154",121,53,33,7,28,43.801652892562,27.2727272727273,5.78512396694215,23.1404958677686
"E00021155",172,123,21,3,25,71.5116279069768,12.2093023255814,1.74418604651163,14.5348837209302
"E00021156",133,84,14,2,33,63.1578947368421,10.5263157894737,1.50375939849624,24.812030075188
"E00021157",106,49,26,10,21,46.2264150943396,24.5283018867925,9.43396226415094,19.811320754717
"E00021158",107,47,29,9,22,43.9252336448598,27.1028037383178,8.41121495327103,20.5607476635514
"E00021159",246,165,34,6,41,67.0731707317073,13.8211382113821,2.4390243902439,16.6666666666667
"E00021160",112,66,25,5,16,58.9285714285714,22.3214285714286,4.46428571428571,14.2857142857143
"E00021161",154,102,30,3,19,66.2337662337662,19.4805194805195,1.94805194805195,12.3376623376623
"E00021162",121,55,30,8,28,45.4545454545455,24.7933884297521,6.61157024793388,23.1404958677686
"E00021163",119,62,22,6,29,52.1008403361345,18.4873949579832,5.04201680672269,24.3697478991597
"E00021164",128,83,5,8,32,64.84375,3.90625,6.25,25
"E00021165",122,64,28,7,23,52.4590163934426,22.9508196721311,5.73770491803279,18.8524590163934
