"GeographyCode","KS402EW0001","KS402EW0002","KS402EW0003","KS402EW0004","KS402EW0005","KS402EW0006","KS402EW0007","KS402EW0008","KS402EW0009","KS402EW0010","KS402EW0011","KS402EW0012","KS402EW0013","KS402EW0014","KS402EW0015","KS402EW0016","KS402EW0017"
"E01004197",964,55,121,42,250,172,301,16,7,5.70539419087137,12.551867219917,4.35684647302905,25.9336099585062,17.8423236514523,31.2240663900415,1.6597510373444,0.726141078838174
"E01004198",606,37,53,8,231,147,115,10,5,6.10561056105611,8.74587458745875,1.32013201320132,38.1188118811881,24.2574257425743,18.976897689769,1.65016501650165,0.825082508250825
"E01004199",574,22,47,4,182,226,85,4,4,3.83275261324042,8.18815331010453,0.696864111498258,31.7073170731707,39.3728222996516,14.808362369338,0.696864111498258,0.696864111498258
"E01004200",585,36,92,9,67,48,317,11,5,6.15384615384615,15.7264957264957,1.53846153846154,11.4529914529915,8.2051282051282,54.1880341880342,1.88034188034188,0.854700854700855
"E01004201",619,54,89,7,193,131,125,10,10,8.72374798061389,14.3780290791599,1.13085621970921,31.1793214862682,21.1631663974152,20.1938610662359,1.61550888529887,1.61550888529887
"E01004202",713,81,139,15,76,142,240,15,5,11.3604488078541,19.4950911640954,2.10378681626928,10.6591865357644,19.9158485273492,33.6605890603086,2.10378681626928,0.701262272089762
"E01004203",689,78,120,1,127,99,241,15,8,11.3207547169811,17.4165457184325,0.145137880986938,18.4325108853411,14.3686502177068,34.978229317852,2.17706821480406,1.1611030478955
"E01004204",631,50,89,1,159,223,87,14,8,7.92393026941363,14.1045958795563,0.158478605388273,25.1980982567353,35.3407290015848,13.7876386687797,2.21870047543582,1.26782884310618
"E01004205",688,33,54,14,209,200,162,7,9,4.79651162790698,7.84883720930233,2.03488372093023,30.3779069767442,29.0697674418605,23.546511627907,1.01744186046512,1.30813953488372
"E01004206",554,33,50,3,228,105,118,7,10,5.95667870036101,9.02527075812274,0.541516245487365,41.1552346570397,18.9530685920578,21.2996389891697,1.26353790613718,1.80505415162455
"E01004207",515,31,64,4,119,174,104,12,7,6.01941747572816,12.4271844660194,0.776699029126214,23.1067961165049,33.7864077669903,20.1941747572816,2.33009708737864,1.35922330097087
"E01004208",788,93,174,6,95,6,372,34,8,11.8020304568528,22.0812182741117,0.761421319796954,12.0558375634518,0.761421319796954,47.2081218274112,4.31472081218274,1.01522842639594
"E01004209",466,21,37,2,215,109,73,4,5,4.50643776824034,7.93991416309013,0.429184549356223,46.137339055794,23.3905579399142,15.6652360515021,0.858369098712446,1.07296137339056
"E01004211",720,60,154,6,35,151,301,6,7,8.33333333333333,21.3888888888889,0.833333333333333,4.86111111111111,20.9722222222222,41.8055555555556,0.833333333333333,0.972222222222222
"E01004212",720,64,92,16,193,91,238,19,7,8.88888888888889,12.7777777777778,2.22222222222222,26.8055555555556,12.6388888888889,33.0555555555556,2.63888888888889,0.972222222222222
