"GeographyCode","KS404EW0001","KS404EW0002","KS404EW0003","KS404EW0004","KS404EW0005","KS404EW0006","KS404EW0007","KS404EW0008","KS404EW0009","KS404EW0010","KS404EW0011","KS404EW0012"
"E01004197",964,633,303,24,1,3,370,65.6639004149378,31.4315352697095,2.4896265560166,0.103734439834025,0.311203319502075
"E01004198",606,422,160,22,2,0,210,69.6369636963696,26.4026402640264,3.63036303630363,0.33003300330033,0
"E01004199",574,393,164,15,1,1,201,68.4668989547038,28.5714285714286,2.61324041811847,0.174216027874564,0.174216027874564
"E01004200",585,434,137,11,3,0,168,74.1880341880342,23.4188034188034,1.88034188034188,0.512820512820513,0
"E01004201",619,382,209,26,1,1,268,61.7124394184168,33.7641357027464,4.20032310177706,0.161550888529887,0.161550888529887
"E01004202",713,487,210,15,1,0,243,68.3029453015428,29.45301542777,2.10378681626928,0.140252454417952,0
"E01004203",689,480,183,24,0,2,239,69.66618287373,26.5602322206096,3.4833091436865,0,0.290275761973875
"E01004204",631,430,179,17,3,2,230,68.1458003169572,28.3676703645008,2.69413629160063,0.475435816164818,0.316957210776545
"E01004205",688,463,199,20,6,0,257,67.296511627907,28.9244186046512,2.90697674418605,0.872093023255814,0
"E01004206",554,420,116,17,1,0,153,75.812274368231,20.9386281588448,3.06859205776173,0.180505415162455,0
"E01004207",515,347,148,16,3,1,193,67.378640776699,28.7378640776699,3.10679611650485,0.58252427184466,0.194174757281553
"E01004208",788,549,213,23,3,0,268,69.6700507614213,27.0304568527919,2.91878172588833,0.380710659898477,0
"E01004209",466,313,135,17,0,1,173,67.1673819742489,28.9699570815451,3.6480686695279,0,0.214592274678112
"E01004211",720,539,162,16,3,0,203,74.8611111111111,22.5,2.22222222222222,0.416666666666667,0
"E01004212",720,538,169,9,2,2,207,74.7222222222222,23.4722222222222,1.25,0.277777777777778,0.277777777777778
"E01004214",665,394,247,22,2,0,297,59.2481203007519,37.1428571428571,3.30827067669173,0.300751879699248,0
"E01004215",1168,732,365,57,11,3,540,62.6712328767123,31.25,4.88013698630137,0.941780821917808,0.256849315068493
"E01004216",737,359,310,61,1,6,475,48.7109905020353,42.0624151967436,8.27679782903664,0.135685210312076,0.814111261872456
"E01004217",779,424,280,61,11,3,447,54.4287548138639,35.9435173299101,7.83055198973042,1.41206675224647,0.385109114249037
"E01004218",731,329,313,76,11,2,506,45.0068399452804,42.8180574555404,10.3967168262654,1.50478796169631,0.27359781121751
"E01004219",851,593,222,29,5,2,303,69.6827262044653,26.0869565217391,3.40775558166862,0.587544065804935,0.235017626321974
"E01004221",802,399,339,55,7,2,480,49.7506234413965,42.2693266832918,6.85785536159601,0.872817955112219,0.249376558603491
"E01004222",1048,688,324,29,5,2,411,65.6488549618321,30.9160305343511,2.76717557251908,0.477099236641221,0.190839694656489
"E01004223",938,569,313,53,3,0,428,60.6609808102345,33.3688699360341,5.65031982942431,0.319829424307036,0
"E01004224",806,473,277,51,5,0,394,58.6848635235732,34.3672456575682,6.32754342431762,0.620347394540943,0
"E01004225",1147,696,396,52,2,1,510,60.6800348735833,34.5248474280732,4.5335658238884,0.1743679163034,0.0871839581517001
"E01004226",676,414,236,24,1,1,291,61.2426035502959,34.9112426035503,3.55029585798817,0.14792899408284,0.14792899408284
"E01004228",769,419,297,45,7,1,412,54.4863459037711,38.6215864759428,5.851755526658,0.910273081924577,0.130039011703511
"E01004229",551,315,202,27,7,0,277,57.1687840290381,36.6606170598911,4.90018148820327,1.27041742286751,0
"E01004230",803,503,247,44,7,2,364,62.640099626401,30.7596513075965,5.47945205479452,0.87173100871731,0.24906600249066
"E01004231",629,427,170,29,3,0,237,67.8855325914149,27.027027027027,4.61049284578696,0.476947535771065,0
"E01004232",603,302,236,56,9,0,375,50.0829187396352,39.1376451077944,9.28689883913764,1.49253731343284,0
"E01004233",751,494,217,32,8,0,305,65.7789613848202,28.8948069241012,4.26098535286285,1.06524633821571,0
"E01004234",903,463,369,67,4,0,515,51.2735326688815,40.8637873754153,7.41971207087486,0.44296788482835,0
"E01004235",513,325,176,10,1,1,206,63.3528265107213,34.307992202729,1.94931773879142,0.194931773879142,0.194931773879142
"E01004236",497,298,168,30,1,0,231,59.9597585513078,33.8028169014084,6.03621730382294,0.201207243460765,0
"E01004237",506,334,162,10,0,0,182,66.0079051383399,32.0158102766798,1.97628458498024,0,0
"E01004238",1058,713,311,28,4,2,387,67.3913043478261,29.3950850661626,2.64650283553875,0.378071833648393,0.189035916824197
"E01004239",533,292,209,28,2,2,279,54.7842401500938,39.2120075046904,5.25328330206379,0.375234521575985,0.375234521575985
"E01004240",574,329,210,29,5,1,287,57.3170731707317,36.5853658536585,5.05226480836237,0.871080139372822,0.174216027874564
"E01004241",570,336,210,23,1,0,259,58.9473684210526,36.8421052631579,4.03508771929825,0.175438596491228,0
"E01004242",898,605,245,41,7,0,348,67.3719376391982,27.28285077951,4.56570155902004,0.779510022271715,0
