"GeographyCode","KS404EW0001","KS404EW0002","KS404EW0003","KS404EW0004","KS404EW0005","KS404EW0006","KS404EW0007","KS404EW0008","KS404EW0009","KS404EW0010","KS404EW0011","KS404EW0012"
"E02000864",3468,2144,1150,157,14,3,1524,61.8223760092272,33.1603229527105,4.52710495963091,0.403690888119954,0.0865051903114187
"E02000865",2763,1830,836,87,5,5,1049,66.2323561346363,30.2569670647847,3.14875135722041,0.180962721679334,0.180962721679334
"E02000866",3829,2181,1366,244,35,3,1971,56.9600417863672,35.6751109950379,6.37242099764952,0.914076782449726,0.0783494384956908
"E02000867",4307,2693,1392,198,22,2,1862,62.526120269329,32.3194799164151,4.59716740190388,0.51079637798932,0.0464360343626654
"E02000868",2618,1831,709,67,7,4,880,69.938884644767,27.0817417876241,2.55920550038197,0.267379679144385,0.152788388082506
"E02000869",2485,1680,716,75,11,3,913,67.6056338028169,28.8128772635815,3.01810865191147,0.442655935613682,0.120724346076459
"E02000870",2560,1677,769,95,10,9,1043,65.5078125,30.0390625,3.7109375,0.390625,0.3515625
"E02000871",3107,1962,1026,106,8,5,1285,63.1477309301577,33.0222079176054,3.41165111039588,0.257483102671387,0.160926939169617
"E02000872",3088,2254,743,80,9,2,941,72.9922279792746,24.0608808290155,2.59067357512953,0.291450777202073,0.0647668393782384
"E02000873",2792,1874,817,88,9,4,1036,67.1203438395415,29.2621776504298,3.15186246418338,0.322349570200573,0.143266475644699
"E02000874",2494,1718,688,76,7,5,887,68.8853247794707,27.5862068965517,3.04731355252606,0.280673616680032,0.200481154771451
"E02000875",3437,2158,1133,130,15,1,1442,62.7873145184754,32.9647948792552,3.78236834448647,0.436427116671516,0.0290951411114344
"E02000876",2750,1971,690,76,13,0,881,71.6727272727273,25.0909090909091,2.76363636363636,0.472727272727273,0
"E02000877",3252,2043,1066,129,11,3,1370,62.8228782287823,32.779827798278,3.96678966789668,0.338253382533825,0.0922509225092251
"E02000878",3900,2873,886,106,22,13,1224,73.6666666666667,22.7179487179487,2.71794871794872,0.564102564102564,0.333333333333333
"E02000879",2855,1862,840,142,10,1,1158,65.2189141856392,29.4220665499124,4.97373029772329,0.350262697022767,0.0350262697022767
"E02000880",2090,1460,541,78,9,2,732,69.8564593301435,25.8851674641148,3.73205741626794,0.430622009569378,0.0956937799043062
"E02000881",2379,1401,827,136,12,3,1149,58.890290037831,34.7625052543085,5.7166876839008,0.504413619167718,0.126103404791929
"E02000882",2884,1659,1047,160,15,3,1424,57.5242718446602,36.3037447988904,5.54785020804438,0.520110957004161,0.104022191400832
"E02000883",2880,1849,900,114,12,5,1187,64.2013888888889,31.25,3.95833333333333,0.416666666666667,0.173611111111111
"E02000884",3707,2703,864,118,14,8,1180,72.9161046668465,23.3072565416779,3.18316698138657,0.377663879147559,0.215807930941462
"E02000885",2509,1693,712,90,12,2,936,67.4770825029892,28.3778397768035,3.58708648864089,0.478278198485452,0.0797130330809087
"E02000886",3185,1772,1212,172,19,10,1663,55.6357927786499,38.0533751962323,5.40031397174254,0.596546310832025,0.313971742543171
"E02000887",3165,1972,1057,117,17,2,1350,62.3064770932069,33.3965244865719,3.69668246445498,0.537124802527646,0.0631911532385466
"E02000888",3306,1934,1173,178,16,5,1602,58.4996975196612,35.480943738657,5.38415003024803,0.483968542044767,0.15124016938899
"E02000889",2879,1652,1067,137,17,6,1421,57.3810350816256,37.0614796804446,4.75859673497742,0.590482806530045,0.208405696422369
"E02000890",3093,1542,1273,242,22,14,1889,49.8545101842871,41.1574523116715,7.82411897833818,0.711283543485289,0.452634982217911
"E02000891",5742,3524,1890,269,47,12,2653,61.3723441309648,32.9153605015674,4.68477882270986,0.818530128874956,0.208986415882968
"E02000893",2912,1506,1150,220,25,11,1725,51.717032967033,39.4917582417582,7.55494505494505,0.858516483516484,0.377747252747253
"E02000894",4510,2285,1882,290,46,7,2631,50.6651884700665,41.7294900221729,6.43015521064302,1.019955654102,0.155210643015521
"E02006853",3320,2193,964,147,14,2,1316,66.0542168674699,29.0361445783133,4.42771084337349,0.421686746987952,0.0602409638554217
"E02006854",2991,1901,943,126,16,5,1265,63.5573386827148,31.5279170845871,4.21263791374122,0.534938147776663,0.167168171180207
