"GeographyCode","KS405EW0001","KS405EW0002","KS405EW0003","KS405EW0004","KS405EW0005","KS405EW0006","KS405EW0007","KS405EW0008","KS405EW0009","KS405EW0010","KS405EW0011","KS405EW0012","KS405EW0013","KS405EW0014","KS405EW0015","KS405EW0016","KS405EW0017","KS405EW0018","KS405EW0019","KS405EW0020","KS405EW0021","KS405EW0022","KS405EW0023","KS405EW0024","KS405EW0025","KS405EW0026"
"E02000864",3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100
"E02000865",9,74,0,0,0,0,0,0,0,20,6,0,16,32,0,0,0,0,0,0,0,27.027027027027,8.10810810810811,0,21.6216216216216,43.2432432432432
"E02000866",11,52,0,0,0,0,0,0,0,9,0,0,40,3,0,0,0,0,0,0,0,17.3076923076923,0,0,76.9230769230769,5.76923076923077
"E02000867",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02000868",5,216,0,0,0,0,0,0,0,44,0,0,168,4,0,0,0,0,0,0,0,20.3703703703704,0,0,77.7777777777778,1.85185185185185
"E02000869",2,26,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,100
"E02000870",3,47,0,0,0,0,0,0,0,18,0,0,29,0,0,0,0,0,0,0,0,38.2978723404255,0,0,61.7021276595745,0
"E02000871",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02000872",4,21,0,0,0,0,0,0,0,5,0,10,4,2,0,0,0,0,0,0,0,23.8095238095238,0,47.6190476190476,19.047619047619,9.52380952380952
"E02000873",33,1246,0,0,0,0,0,0,0,0,0,1,1237,8,0,0,0,0,0,0,0,0,0,0.0802568218298555,99.2776886035313,0.642054574638844
"E02000874",6,250,0,0,0,0,0,0,0,5,0,0,243,2,0,0,0,0,0,0,0,2,0,0,97.2,0.8
"E02000875",11,61,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"E02000876",5,137,0,0,0,0,0,0,0,7,0,0,129,1,0,0,0,0,0,0,0,5.10948905109489,0,0,94.1605839416058,0.72992700729927
"E02000877",3,55,0,0,0,0,0,0,0,17,0,0,37,1,0,0,0,0,0,0,0,30.9090909090909,0,0,67.2727272727273,1.81818181818182
"E02000878",15,835,0,0,0,0,0,0,0,0,0,0,834,1,0,0,0,0,0,0,0,0,0,0,99.8802395209581,0.119760479041916
"E02000879",6,217,0,0,0,0,0,0,0,143,0,0,72,2,0,0,0,0,0,0,0,65.8986175115207,0,0,33.1797235023041,0.921658986175115
"E02000880",5,142,0,0,0,0,0,0,0,0,0,0,138,4,0,0,0,0,0,0,0,0,0,0,97.1830985915493,2.8169014084507
"E02000881",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02000882",5,41,0,0,0,0,0,0,0,30,0,0,11,0,0,0,0,0,0,0,0,73.1707317073171,0,0,26.8292682926829,0
"E02000883",2,97,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,100,0
"E02000884",10,65,0,0,0,0,0,0,0,20,0,0,44,1,0,0,0,0,0,0,0,30.7692307692308,0,0,67.6923076923077,1.53846153846154
"E02000885",6,22,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,100,0
"E02000886",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02000887",5,75,0,0,0,0,0,0,0,0,0,0,74,1,0,0,0,0,0,0,0,0,0,0,98.6666666666667,1.33333333333333
"E02000888",10,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,100,0
"E02000889",1,67,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,100
"E02000890",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02000891",46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02000893",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02000894",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02006853",4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100
"E02006854",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
