"GeographyCode","KS602EW0001","KS602EW0002","KS602EW0003","KS602EW0004","KS602EW0005","KS602EW0006","KS602EW0007","KS602EW0008","KS602EW0009","KS602EW0010","KS602EW0011","KS602EW0012","KS602EW0013","KS602EW0014","KS602EW0015","KS602EW0016","KS602EW0017","KS602EW0018","KS602EW0019","KS602EW0020","KS602EW0021","KS602EW0022","KS602EW0023","KS602EW0024","KS602EW0025","KS602EW0026","KS602EW0027","KS602EW0028","KS602EW0029"
"E01004197",903,96,356,117,78,56,26,68,5,53,48,15,10,13,29,10.6312292358804,39.4241417497231,12.9568106312292,8.63787375415282,6.2015503875969,2.87929125138427,7.53045404208195,0.553709856035437,5.86932447397564,5.3156146179402,1.66112956810631,1.10741971207087,1.43964562569214,3.21151716500554
"E01004198",554,63,196,71,62,27,34,33,7,39,22,10,10,12,26,11.3718411552347,35.3790613718412,12.8158844765343,11.1913357400722,4.87364620938628,6.13718411552347,5.95667870036101,1.26353790613718,7.03971119133574,3.97111913357401,1.80505415162455,1.80505415162455,2.16606498194946,4.69314079422383
"E01004199",561,80,173,56,52,20,44,54,12,37,33,12,10,10,25,14.2602495543672,30.8377896613191,9.98217468805704,9.26916221033868,3.5650623885918,7.84313725490196,9.62566844919786,2.13903743315508,6.59536541889483,5.88235294117647,2.13903743315508,1.7825311942959,1.7825311942959,4.45632798573975
"E01004200",691,45,265,111,36,88,13,91,4,26,12,9,5,8,14,6.5123010130246,38.3502170767004,16.0636758321274,5.20984081041968,12.7351664254703,1.88133140376266,13.1693198263386,0.578871201157742,3.76266280752533,1.73661360347323,1.30246020260492,0.723589001447178,1.15774240231548,2.0260492040521
"E01004201",593,62,254,76,47,20,29,46,9,33,17,12,14,5,17,10.4553119730185,42.8330522765599,12.8161888701518,7.92580101180438,3.37268128161889,4.89038785834739,7.75716694772344,1.5177065767285,5.56492411467116,2.86677908937605,2.02360876897133,2.36087689713322,0.843170320404722,2.86677908937605
"E01004202",730,64,314,141,44,54,24,35,10,26,18,9,10,6,20,8.76712328767123,43.013698630137,19.3150684931507,6.02739726027397,7.3972602739726,3.28767123287671,4.79452054794521,1.36986301369863,3.56164383561644,2.46575342465753,1.23287671232877,1.36986301369863,0.821917808219178,2.73972602739726
"E01004203",734,67,342,104,43,39,28,55,7,27,22,8,3,7,17,9.12806539509537,46.5940054495913,14.1689373297003,5.858310626703,5.3133514986376,3.81471389645777,7.49318801089918,0.953678474114441,3.67847411444142,2.99727520435967,1.08991825613079,0.408719346049046,0.953678474114441,2.31607629427793
"E01004204",564,56,189,72,59,32,33,48,16,40,19,15,14,17,28,9.9290780141844,33.5106382978723,12.7659574468085,10.4609929078014,5.67375886524823,5.85106382978723,8.51063829787234,2.83687943262411,7.09219858156028,3.36879432624113,2.65957446808511,2.4822695035461,3.01418439716312,4.9645390070922
"E01004205",852,130,202,77,105,87,32,94,18,72,35,39,10,27,43,15.2582159624413,23.7089201877934,9.03755868544601,12.3239436619718,10.2112676056338,3.75586854460094,11.0328638497653,2.11267605633803,8.45070422535211,4.10798122065728,4.57746478873239,1.17370892018779,3.16901408450704,5.04694835680751
"E01004206",566,70,157,37,50,43,43,72,10,58,26,13,10,12,23,12.3674911660777,27.7385159010601,6.53710247349823,8.8339222614841,7.59717314487632,7.59717314487632,12.7208480565371,1.76678445229682,10.2473498233216,4.59363957597173,2.29681978798587,1.76678445229682,2.12014134275618,4.06360424028269
