"GeographyCode","KS602EW0001","KS602EW0002","KS602EW0003","KS602EW0004","KS602EW0005","KS602EW0006","KS602EW0007","KS602EW0008","KS602EW0009","KS602EW0010","KS602EW0011","KS602EW0012","KS602EW0013","KS602EW0014","KS602EW0015","KS602EW0016","KS602EW0017","KS602EW0018","KS602EW0019","KS602EW0020","KS602EW0021","KS602EW0022","KS602EW0023","KS602EW0024","KS602EW0025","KS602EW0026","KS602EW0027","KS602EW0028","KS602EW0029"
"E02000864",2986,250,1193,339,285,157,220,235,41,173,93,59,35,39,118,8.37240455458808,39.9531145344943,11.3529805760214,9.54454119223041,5.25787006028131,7.36771600803751,7.87006028131279,1.37307434695244,5.79370395177495,3.11453449430677,1.97588747488279,1.17213663764233,1.30609511051574,3.95177494976557
"E02000865",2611,301,979,320,239,123,133,201,33,162,120,49,44,40,97,11.5281501340483,37.4952125622367,12.2558406740712,9.15358100344696,4.71083875909613,5.09383378016086,7.698199923401,1.2638835695136,6.20451934124856,4.59594025277671,1.87667560321716,1.6851780926848,1.5319800842589,3.71505170432784
"E02000866",3726,242,1675,532,260,165,218,335,35,176,88,61,55,50,102,6.49490069779925,44.9543746645196,14.2780461621041,6.97799248523886,4.42834138486312,5.85077831454643,8.99087493290392,0.939345142243693,4.723564143854,2.361782071927,1.63714439076758,1.47611379495437,1.3419216317767,2.73752012882448
"E02000867",3979,288,2149,420,216,230,113,300,35,141,87,52,30,49,65,7.23799949736115,54.0085448605177,10.5554159336517,5.42849962302086,5.78034682080925,2.83990952500628,7.53958280975119,0.879617994470973,3.54360392058306,2.18647901482785,1.30686102035687,0.753958280975119,1.23146519225936,1.63357627544609
"E02000868",2719,232,1110,428,182,213,98,229,37,119,71,41,32,38,79,8.53254873115116,40.8238322912836,15.7410812798823,6.69363736667893,7.83376241265171,3.60426627436558,8.42221404928283,1.36079440970945,4.37660904744391,2.61125413755057,1.50790731886723,1.17690327326223,1.3975726369989,2.90547995586613
"E02000869",2341,216,935,379,176,109,137,139,28,147,75,38,30,31,76,9.22682614267407,39.9401964972234,16.1896625373772,7.51815463477146,4.6561298590346,5.85219991456642,5.93763348996155,1.19607005553182,6.27936779154208,3.20375907731739,1.62323793250748,1.28150363092695,1.32422041862452,3.24647586501495
"E02000870",2436,267,1008,283,191,113,125,196,34,130,89,49,22,34,78,10.9605911330049,41.3793103448276,11.6174055829228,7.84072249589491,4.63875205254516,5.13136288998358,8.04597701149425,1.39573070607553,5.33661740558292,3.65353037766831,2.01149425287356,0.90311986863711,1.39573070607553,3.20197044334975
"E02000871",3151,408,1087,281,305,282,130,323,68,158,109,87,33,71,129,12.9482703903523,34.4969850841003,8.91780387178673,9.6794668359251,8.94953982862583,4.12567438908283,10.2507140590289,2.15804506505871,5.01428118057759,3.45921929546176,2.76102824500159,1.04728657569026,2.25325293557601,4.09393843224373
"E02000872",3162,280,1413,442,253,163,109,227,35,149,91,67,32,49,92,8.85515496521189,44.6869070208729,13.9784946236559,8.00126502213789,5.15496521189121,3.4471853257432,7.17900063251107,1.10689437065149,4.71220746363061,2.87792536369386,2.11891208096142,1.01201771030993,1.54965211891208,2.90955091714105
"E02000873",3406,322,1015,256,228,370,110,879,37,99,90,50,47,41,112,9.4539048737522,29.8003523194363,7.51614797416324,6.69406928948914,10.8631826189078,3.22959483264827,25.8073987081621,1.08631826189078,2.90663534938344,2.64239577216676,1.46799765120376,1.37991779213153,1.20375807398708,3.28831473869642
"E02000874",2742,341,840,280,223,199,118,439,43,166,93,59,40,46,85,12.436177972283,30.6345733041575,10.2115244347192,8.13274981765135,7.25747629467542,4.30342815463166,16.0102115244347,1.56819839533187,6.05397520058352,3.39168490153173,2.15171407731583,1.45878920495988,1.67760758570387,3.09992706053975
"E02000875",3460,430,1239,322,329,227,123,367,61,237,125,95,47,67,134,12.4277456647399,35.8092485549133,9.30635838150289,9.50867052023121,6.5606936416185,3.55491329479769,10.606936416185,1.76300578034682,6.84971098265896,3.61271676300578,2.74566473988439,1.35838150289017,1.9364161849711,3.8728323699422
