"GeographyCode","KS604EW0001","KS604EW0002","KS604EW0003","KS604EW0004","KS604EW0005","KS604EW0006","KS604EW0007","KS604EW0008","KS604EW0009","KS604EW0010","KS604EW0011","KS604EW0012","KS604EW0013","KS604EW0014","KS604EW0015","KS604EW0016","KS604EW0017","KS604EW0018","KS604EW0019","KS604EW0020","KS604EW0021","KS604EW0022","KS604EW0023","KS604EW0024","KS604EW0025","KS604EW0026","KS604EW0027","KS604EW0028","KS604EW0029"
"E00021141",88,11,27,39,11,47,6,14,20,7,41,5,13,19,4,12.5,30.6818181818182,44.3181818181818,12.5,53.4090909090909,6.81818181818182,15.9090909090909,22.7272727272727,7.95454545454545,46.5909090909091,5.68181818181818,14.7727272727273,21.5909090909091,4.54545454545455
"E00021143",145,11,27,92,15,84,8,14,52,10,61,3,13,40,5,7.58620689655172,18.6206896551724,63.448275862069,10.3448275862069,57.9310344827586,5.51724137931035,9.6551724137931,35.8620689655172,6.89655172413793,42.0689655172414,2.06896551724138,8.96551724137931,27.5862068965517,3.44827586206897
"E00021145",140,8,25,89,18,69,1,8,47,13,71,7,17,42,5,5.71428571428571,17.8571428571429,63.5714285714286,12.8571428571429,49.2857142857143,0.714285714285714,5.71428571428571,33.5714285714286,9.28571428571429,50.7142857142857,5,12.1428571428571,30,3.57142857142857
"E00021146",253,47,25,131,50,139,19,11,78,31,114,28,14,53,19,18.5770750988142,9.88142292490119,51.7786561264822,19.7628458498024,54.9407114624506,7.5098814229249,4.34782608695652,30.8300395256917,12.2529644268775,45.0592885375494,11.0671936758893,5.53359683794466,20.9486166007905,7.5098814229249
"E00021147",104,6,18,69,11,58,4,9,38,7,46,2,9,31,4,5.76923076923077,17.3076923076923,66.3461538461538,10.5769230769231,55.7692307692308,3.84615384615385,8.65384615384615,36.5384615384615,6.73076923076923,44.2307692307692,1.92307692307692,8.65384615384615,29.8076923076923,3.84615384615385
"E00021148",137,10,18,87,22,69,6,10,40,13,68,4,8,47,9,7.2992700729927,13.1386861313869,63.5036496350365,16.0583941605839,50.3649635036496,4.37956204379562,7.2992700729927,29.1970802919708,9.48905109489051,49.6350364963504,2.91970802919708,5.83941605839416,34.3065693430657,6.56934306569343
"E00021149",116,10,25,62,19,65,2,17,36,10,51,8,8,26,9,8.62068965517241,21.551724137931,53.448275862069,16.3793103448276,56.0344827586207,1.72413793103448,14.6551724137931,31.0344827586207,8.62068965517241,43.9655172413793,6.89655172413793,6.89655172413793,22.4137931034483,7.75862068965517
"E00021150",131,6,31,81,13,69,2,10,46,11,62,4,21,35,2,4.58015267175572,23.6641221374046,61.8320610687023,9.9236641221374,52.6717557251908,1.52671755725191,7.63358778625954,35.1145038167939,8.3969465648855,47.3282442748092,3.05343511450382,16.030534351145,26.7175572519084,1.52671755725191
"E00021151",91,13,28,44,6,50,8,14,25,3,41,5,14,19,3,14.2857142857143,30.7692307692308,48.3516483516484,6.59340659340659,54.9450549450549,8.79120879120879,15.3846153846154,27.4725274725275,3.2967032967033,45.0549450549451,5.49450549450549,15.3846153846154,20.8791208791209,3.2967032967033
"E00021152",131,11,38,77,5,64,2,22,38,2,67,9,16,39,3,8.3969465648855,29.0076335877863,58.7786259541985,3.81679389312977,48.8549618320611,1.52671755725191,16.793893129771,29.0076335877863,1.52671755725191,51.1450381679389,6.87022900763359,12.2137404580153,29.7709923664122,2.29007633587786
"E00021153",269,19,20,161,69,131,8,6,78,39,138,11,14,83,30,7.0631970260223,7.43494423791822,59.8513011152416,25.6505576208178,48.6988847583643,2.97397769516729,2.23048327137546,28.996282527881,14.4981412639405,51.3011152416357,4.08921933085502,5.20446096654275,30.8550185873606,11.1524163568773
"E00021154",125,21,35,56,13,63,9,18,30,6,62,12,17,26,7,16.8,28,44.8,10.4,50.4,7.2,14.4,24,4.8,49.6,9.6,13.6,20.8,5.6
"E00021155",278,21,30,176,51,150,13,19,90,28,128,8,11,86,23,7.55395683453237,10.7913669064748,63.3093525179856,18.3453237410072,53.9568345323741,4.67625899280576,6.83453237410072,32.3741007194245,10.0719424460432,46.0431654676259,2.87769784172662,3.9568345323741,30.9352517985612,8.27338129496403
"E00021156",102,10,25,53,14,61,5,13,35,8,41,5,12,18,6,9.80392156862745,24.5098039215686,51.9607843137255,13.7254901960784,59.8039215686275,4.90196078431373,12.7450980392157,34.3137254901961,7.84313725490196,40.1960784313725,4.90196078431373,11.7647058823529,17.6470588235294,5.88235294117647
"E00021157",121,16,38,60,7,76,8,23,39,6,45,8,15,21,1,13.2231404958678,31.404958677686,49.5867768595041,5.78512396694215,62.8099173553719,6.61157024793388,19.0082644628099,32.2314049586777,4.95867768595041,37.1900826446281,6.61157024793388,12.396694214876,17.3553719008264,0.826446280991736
"E00021158",91,10,32,46,3,55,2,21,29,3,36,8,11,17,0,10.989010989011,35.1648351648352,50.5494505494505,3.2967032967033,60.4395604395604,2.1978021978022,23.0769230769231,31.8681318681319,3.2967032967033,39.5604395604396,8.79120879120879,12.0879120879121,18.6813186813187,0
"E00021159",249,17,41,169,22,136,9,18,93,16,113,8,23,76,6,6.82730923694779,16.4658634538153,67.8714859437751,8.83534136546185,54.6184738955823,3.6144578313253,7.2289156626506,37.3493975903614,6.42570281124498,45.3815261044177,3.21285140562249,9.23694779116466,30.5220883534137,2.40963855421687
"E00021160",121,13,30,71,7,68,9,15,38,6,53,4,15,33,1,10.7438016528926,24.7933884297521,58.6776859504132,5.78512396694215,56.198347107438,7.43801652892562,12.396694214876,31.404958677686,4.95867768595041,43.801652892562,3.30578512396694,12.396694214876,27.2727272727273,0.826446280991736
"E00021161",203,17,32,121,33,105,7,14,59,25,98,10,18,62,8,8.3743842364532,15.7635467980296,59.6059113300493,16.256157635468,51.7241379310345,3.44827586206897,6.89655172413793,29.064039408867,12.3152709359606,48.2758620689655,4.92610837438424,8.86699507389163,30.5418719211823,3.94088669950739
"E00021162",183,14,43,100,26,105,9,29,49,18,78,5,14,51,8,7.65027322404372,23.4972677595628,54.6448087431694,14.207650273224,57.3770491803279,4.91803278688525,15.8469945355191,26.775956284153,9.83606557377049,42.6229508196721,2.73224043715847,7.65027322404372,27.8688524590164,4.37158469945355
"E00021163",110,5,27,67,11,64,3,20,36,5,46,2,7,31,6,4.54545454545455,24.5454545454545,60.9090909090909,10,58.1818181818182,2.72727272727273,18.1818181818182,32.7272727272727,4.54545454545455,41.8181818181818,1.81818181818182,6.36363636363636,28.1818181818182,5.45454545454545
"E00021164",104,7,27,59,11,78,5,20,43,10,26,2,7,16,1,6.73076923076923,25.9615384615385,56.7307692307692,10.5769230769231,75,4.80769230769231,19.2307692307692,41.3461538461538,9.61538461538462,25,1.92307692307692,6.73076923076923,15.3846153846154,0.961538461538462
"E00021165",134,14,20,85,15,79,5,12,49,13,55,9,8,36,2,10.4477611940298,14.9253731343284,63.4328358208955,11.1940298507463,58.955223880597,3.73134328358209,8.95522388059701,36.5671641791045,9.70149253731343,41.044776119403,6.71641791044776,5.97014925373134,26.865671641791,1.49253731343284
"E00021166",176,15,31,106,24,106,5,20,63,18,70,10,11,43,6,8.52272727272727,17.6136363636364,60.2272727272727,13.6363636363636,60.2272727272727,2.84090909090909,11.3636363636364,35.7954545454545,10.2272727272727,39.7727272727273,5.68181818181818,6.25,24.4318181818182,3.40909090909091
"E00021167",154,12,22,99,21,90,2,18,58,12,64,10,4,41,9,7.79220779220779,14.2857142857143,64.2857142857143,13.6363636363636,58.4415584415584,1.2987012987013,11.6883116883117,37.6623376623377,7.79220779220779,41.5584415584416,6.49350649350649,2.5974025974026,26.6233766233766,5.84415584415584
"E00021168",319,15,27,202,75,173,12,8,98,55,146,3,19,104,20,4.70219435736677,8.46394984326019,63.3228840125392,23.5109717868339,54.2319749216301,3.76175548589342,2.50783699059561,30.7210031347962,17.2413793103448,45.7680250783699,0.940438871473354,5.95611285266458,32.6018808777429,6.26959247648903
"E00021169",262,9,33,172,48,141,6,19,92,24,121,3,14,80,24,3.43511450381679,12.5954198473282,65.6488549618321,18.3206106870229,53.8167938931298,2.29007633587786,7.25190839694656,35.1145038167939,9.16030534351145,46.1832061068702,1.14503816793893,5.34351145038168,30.5343511450382,9.16030534351145
"E00021170",180,21,51,90,18,98,10,30,50,8,82,11,21,40,10,11.6666666666667,28.3333333333333,50,10,54.4444444444444,5.55555555555556,16.6666666666667,27.7777777777778,4.44444444444444,45.5555555555556,6.11111111111111,11.6666666666667,22.2222222222222,5.55555555555556
"E00021171",252,27,58,133,34,128,14,34,61,19,124,13,24,72,15,10.7142857142857,23.015873015873,52.7777777777778,13.4920634920635,50.7936507936508,5.55555555555556,13.4920634920635,24.2063492063492,7.53968253968254,49.2063492063492,5.15873015873016,9.52380952380952,28.5714285714286,5.95238095238095
"E00021172",138,15,34,68,21,72,10,13,35,14,66,5,21,33,7,10.8695652173913,24.6376811594203,49.2753623188406,15.2173913043478,52.1739130434783,7.2463768115942,9.42028985507246,25.3623188405797,10.1449275362319,47.8260869565217,3.6231884057971,15.2173913043478,23.9130434782609,5.07246376811594
"E00021173",177,11,31,112,23,101,4,16,64,17,76,7,15,48,6,6.21468926553672,17.5141242937853,63.2768361581921,12.9943502824859,57.0621468926554,2.25988700564972,9.03954802259887,36.1581920903955,9.6045197740113,42.9378531073446,3.95480225988701,8.47457627118644,27.1186440677966,3.38983050847458
"E00021174",199,4,26,129,40,106,2,11,70,23,93,2,15,59,17,2.01005025125628,13.0653266331658,64.8241206030151,20.1005025125628,53.2663316582915,1.00502512562814,5.52763819095477,35.1758793969849,11.5577889447236,46.7336683417085,1.00502512562814,7.53768844221105,29.6482412060301,8.5427135678392
"E00021175",179,18,31,107,23,95,8,19,53,15,84,10,12,54,8,10.0558659217877,17.3184357541899,59.7765363128492,12.8491620111732,53.072625698324,4.46927374301676,10.6145251396648,29.608938547486,8.37988826815642,46.927374301676,5.58659217877095,6.70391061452514,30.1675977653631,4.46927374301676
"E00021176",163,15,37,92,19,78,3,17,43,15,85,12,20,49,4,9.20245398773006,22.6993865030675,56.441717791411,11.6564417177914,47.8527607361963,1.84049079754601,10.4294478527607,26.3803680981595,9.20245398773006,52.1472392638037,7.36196319018405,12.2699386503067,30.0613496932515,2.45398773006135
"E00021177",140,15,36,72,17,93,9,29,44,11,47,6,7,28,6,10.7142857142857,25.7142857142857,51.4285714285714,12.1428571428571,66.4285714285714,6.42857142857143,20.7142857142857,31.4285714285714,7.85714285714286,33.5714285714286,4.28571428571429,5,20,4.28571428571429
"E00021179",186,15,22,111,38,107,5,11,65,26,79,10,11,46,12,8.06451612903226,11.8279569892473,59.6774193548387,20.4301075268817,57.5268817204301,2.68817204301075,5.91397849462366,34.9462365591398,13.9784946236559,42.4731182795699,5.37634408602151,5.91397849462366,24.7311827956989,6.45161290322581
"E00021180",179,21,43,95,20,107,11,26,55,15,72,10,17,40,5,11.731843575419,24.0223463687151,53.072625698324,11.1731843575419,59.7765363128492,6.14525139664804,14.5251396648045,30.7262569832402,8.37988826815642,40.2234636871508,5.58659217877095,9.49720670391061,22.3463687150838,2.79329608938547
"E00021181",133,14,22,74,23,75,12,11,40,12,58,2,11,34,11,10.5263157894737,16.5413533834586,55.6390977443609,17.2932330827068,56.390977443609,9.02255639097744,8.27067669172932,30.0751879699248,9.02255639097744,43.609022556391,1.50375939849624,8.27067669172932,25.5639097744361,8.27067669172932
"E00021182",239,13,28,150,48,137,10,16,79,32,102,3,12,71,16,5.43933054393306,11.7154811715481,62.7615062761506,20.0836820083682,57.3221757322176,4.18410041841004,6.69456066945607,33.0543933054393,13.3891213389121,42.6778242677824,1.25523012552301,5.02092050209205,29.7071129707113,6.69456066945607
"E00021183",179,8,22,111,38,96,4,9,60,23,83,4,13,51,15,4.46927374301676,12.2905027932961,62.0111731843575,21.2290502793296,53.6312849162011,2.23463687150838,5.02793296089385,33.5195530726257,12.8491620111732,46.3687150837989,2.23463687150838,7.26256983240224,28.4916201117318,8.37988826815642
"E00021184",96,3,11,64,18,45,1,6,32,6,51,2,5,32,12,3.125,11.4583333333333,66.6666666666667,18.75,46.875,1.04166666666667,6.25,33.3333333333333,6.25,53.125,2.08333333333333,5.20833333333333,33.3333333333333,12.5
"E00021185",166,11,40,87,28,83,7,20,40,16,83,4,20,47,12,6.62650602409639,24.0963855421687,52.4096385542169,16.8674698795181,50,4.21686746987952,12.0481927710843,24.0963855421687,9.63855421686747,50,2.40963855421687,12.0481927710843,28.3132530120482,7.2289156626506
"E00021186",145,8,49,75,13,83,4,37,35,7,62,4,12,40,6,5.51724137931035,33.7931034482759,51.7241379310345,8.96551724137931,57.2413793103448,2.75862068965517,25.5172413793103,24.1379310344828,4.82758620689655,42.7586206896552,2.75862068965517,8.27586206896552,27.5862068965517,4.13793103448276
"E00021187",87,10,26,42,9,53,4,16,25,8,34,6,10,17,1,11.4942528735632,29.8850574712644,48.2758620689655,10.3448275862069,60.9195402298851,4.59770114942529,18.3908045977011,28.735632183908,9.19540229885057,39.0804597701149,6.89655172413793,11.4942528735632,19.5402298850575,1.14942528735632
"E00021188",114,19,24,59,12,64,4,17,33,10,50,15,7,26,2,16.6666666666667,21.0526315789474,51.7543859649123,10.5263157894737,56.140350877193,3.50877192982456,14.9122807017544,28.9473684210526,8.7719298245614,43.859649122807,13.1578947368421,6.14035087719298,22.8070175438596,1.75438596491228
"E00021189",144,21,25,86,12,71,7,15,43,6,73,14,10,43,6,14.5833333333333,17.3611111111111,59.7222222222222,8.33333333333333,49.3055555555556,4.86111111111111,10.4166666666667,29.8611111111111,4.16666666666667,50.6944444444444,9.72222222222222,6.94444444444444,29.8611111111111,4.16666666666667
"E00021190",257,14,48,157,38,141,7,24,83,27,116,7,24,74,11,5.44747081712062,18.6770428015564,61.0894941634241,14.7859922178988,54.863813229572,2.72373540856031,9.33852140077821,32.295719844358,10.5058365758755,45.136186770428,2.72373540856031,9.33852140077821,28.7937743190661,4.28015564202335
"E00021191",163,11,45,91,16,103,7,32,55,9,60,4,13,36,7,6.74846625766871,27.6073619631902,55.8282208588957,9.8159509202454,63.1901840490798,4.29447852760736,19.6319018404908,33.7423312883436,5.52147239263804,36.8098159509202,2.45398773006135,7.97546012269939,22.0858895705521,4.29447852760736
"E00021192",116,16,33,61,6,77,12,21,41,3,39,4,12,20,3,13.7931034482759,28.448275862069,52.5862068965517,5.17241379310345,66.3793103448276,10.3448275862069,18.1034482758621,35.3448275862069,2.58620689655172,33.6206896551724,3.44827586206897,10.3448275862069,17.2413793103448,2.58620689655172
"E00021193",246,11,15,152,68,159,3,9,95,52,87,8,6,57,16,4.47154471544715,6.09756097560976,61.7886178861789,27.6422764227642,64.6341463414634,1.21951219512195,3.65853658536585,38.6178861788618,21.1382113821138,35.3658536585366,3.2520325203252,2.4390243902439,23.1707317073171,6.50406504065041
"E00021194",197,26,58,95,18,127,16,41,56,14,70,10,17,39,4,13.1979695431472,29.4416243654822,48.2233502538071,9.13705583756345,64.4670050761421,8.12182741116751,20.8121827411168,28.4263959390863,7.10659898477157,35.5329949238579,5.0761421319797,8.62944162436548,19.7969543147208,2.03045685279188
"E00021195",150,10,34,91,15,97,4,20,64,9,53,6,14,27,6,6.66666666666667,22.6666666666667,60.6666666666667,10,64.6666666666667,2.66666666666667,13.3333333333333,42.6666666666667,6,35.3333333333333,4,9.33333333333333,18,4
"E00021196",111,14,35,49,13,68,8,29,26,5,43,6,6,23,8,12.6126126126126,31.5315315315315,44.1441441441441,11.7117117117117,61.2612612612613,7.20720720720721,26.1261261261261,23.4234234234234,4.5045045045045,38.7387387387387,5.40540540540541,5.40540540540541,20.7207207207207,7.20720720720721
"E00021197",245,14,33,139,59,142,8,18,75,41,103,6,15,64,18,5.71428571428571,13.469387755102,56.734693877551,24.0816326530612,57.9591836734694,3.26530612244898,7.34693877551021,30.6122448979592,16.734693877551,42.0408163265306,2.44897959183673,6.12244897959184,26.1224489795918,7.34693877551021
"E00021198",110,6,28,59,17,59,5,15,29,10,51,1,13,30,7,5.45454545454545,25.4545454545455,53.6363636363636,15.4545454545455,53.6363636363636,4.54545454545455,13.6363636363636,26.3636363636364,9.09090909090909,46.3636363636364,0.909090909090909,11.8181818181818,27.2727272727273,6.36363636363636
"E00021199",78,10,13,46,9,43,5,8,24,6,35,5,5,22,3,12.8205128205128,16.6666666666667,58.974358974359,11.5384615384615,55.1282051282051,6.41025641025641,10.2564102564103,30.7692307692308,7.69230769230769,44.8717948717949,6.41025641025641,6.41025641025641,28.2051282051282,3.84615384615385
"E00021200",126,12,37,68,9,77,5,29,37,6,49,7,8,31,3,9.52380952380952,29.3650793650794,53.968253968254,7.14285714285714,61.1111111111111,3.96825396825397,23.015873015873,29.3650793650794,4.76190476190476,38.8888888888889,5.55555555555556,6.34920634920635,24.6031746031746,2.38095238095238
"E00021201",136,10,27,82,17,78,4,14,47,13,58,6,13,35,4,7.35294117647059,19.8529411764706,60.2941176470588,12.5,57.3529411764706,2.94117647058824,10.2941176470588,34.5588235294118,9.55882352941176,42.6470588235294,4.41176470588235,9.55882352941176,25.7352941176471,2.94117647058824
"E00021202",85,9,24,41,11,45,3,19,19,4,40,6,5,22,7,10.5882352941176,28.2352941176471,48.2352941176471,12.9411764705882,52.9411764705882,3.52941176470588,22.3529411764706,22.3529411764706,4.70588235294118,47.0588235294118,7.05882352941176,5.88235294117647,25.8823529411765,8.23529411764706
"E00021203",100,11,25,59,5,58,8,16,30,4,42,3,9,29,1,11,25,59,5,58,8,16,30,4,42,3,9,29,1
"E00021204",163,23,35,86,19,103,18,21,52,12,60,5,14,34,7,14.1104294478528,21.4723926380368,52.760736196319,11.6564417177914,63.1901840490798,11.0429447852761,12.8834355828221,31.9018404907975,7.36196319018405,36.8098159509202,3.06748466257669,8.58895705521472,20.8588957055215,4.29447852760736
"E00021205",110,16,31,57,6,71,9,21,36,5,39,7,10,21,1,14.5454545454545,28.1818181818182,51.8181818181818,5.45454545454545,64.5454545454545,8.18181818181818,19.0909090909091,32.7272727272727,4.54545454545455,35.4545454545455,6.36363636363636,9.09090909090909,19.0909090909091,0.909090909090909
"E00021206",67,6,28,28,5,43,3,18,18,4,24,3,10,10,1,8.95522388059701,41.7910447761194,41.7910447761194,7.46268656716418,64.1791044776119,4.47761194029851,26.865671641791,26.865671641791,5.97014925373134,35.8208955223881,4.47761194029851,14.9253731343284,14.9253731343284,1.49253731343284
"E00021207",189,5,17,125,42,99,3,6,70,20,90,2,11,55,22,2.64550264550265,8.99470899470899,66.1375661375661,22.2222222222222,52.3809523809524,1.58730158730159,3.17460317460317,37.037037037037,10.5820105820106,47.6190476190476,1.05820105820106,5.82010582010582,29.1005291005291,11.6402116402116
"E00021208",100,8,32,55,5,65,3,25,34,3,35,5,7,21,2,8,32,55,5,65,3,25,34,3,35,5,7,21,2
"E00021209",96,12,24,53,7,53,4,13,31,5,43,8,11,22,2,12.5,25,55.2083333333333,7.29166666666667,55.2083333333333,4.16666666666667,13.5416666666667,32.2916666666667,5.20833333333333,44.7916666666667,8.33333333333333,11.4583333333333,22.9166666666667,2.08333333333333
"E00021210",121,21,31,65,4,77,11,19,43,4,44,10,12,22,0,17.3553719008264,25.6198347107438,53.7190082644628,3.30578512396694,63.6363636363636,9.09090909090909,15.702479338843,35.5371900826446,3.30578512396694,36.3636363636364,8.26446280991736,9.91735537190083,18.1818181818182,0
"E00021211",194,24,36,110,24,116,13,16,72,15,78,11,20,38,9,12.3711340206186,18.5567010309278,56.701030927835,12.3711340206186,59.7938144329897,6.70103092783505,8.24742268041237,37.1134020618557,7.7319587628866,40.2061855670103,5.67010309278351,10.3092783505155,19.5876288659794,4.63917525773196
"E00021212",92,15,34,37,6,61,9,22,25,5,31,6,12,12,1,16.304347826087,36.9565217391304,40.2173913043478,6.52173913043478,66.304347826087,9.78260869565217,23.9130434782609,27.1739130434783,5.43478260869565,33.695652173913,6.52173913043478,13.0434782608696,13.0434782608696,1.08695652173913
"E00021213",140,20,52,55,13,87,11,35,33,8,53,9,17,22,5,14.2857142857143,37.1428571428571,39.2857142857143,9.28571428571429,62.1428571428571,7.85714285714286,25,23.5714285714286,5.71428571428571,37.8571428571429,6.42857142857143,12.1428571428571,15.7142857142857,3.57142857142857
"E00021214",182,23,39,98,22,103,9,25,55,14,79,14,14,43,8,12.6373626373626,21.4285714285714,53.8461538461538,12.0879120879121,56.5934065934066,4.94505494505495,13.7362637362637,30.2197802197802,7.69230769230769,43.4065934065934,7.69230769230769,7.69230769230769,23.6263736263736,4.3956043956044
"E00021215",233,22,38,125,48,120,5,18,66,31,113,17,20,59,17,9.44206008583691,16.3090128755365,53.6480686695279,20.6008583690987,51.5021459227468,2.14592274678112,7.72532188841202,28.3261802575107,13.3047210300429,48.4978540772532,7.29613733905579,8.58369098712446,25.3218884120172,7.29613733905579
"E00021216",128,18,39,59,12,67,3,22,34,8,61,15,17,25,4,14.0625,30.46875,46.09375,9.375,52.34375,2.34375,17.1875,26.5625,6.25,47.65625,11.71875,13.28125,19.53125,3.125
"E00021217",150,20,39,71,20,87,11,24,39,13,63,9,15,32,7,13.3333333333333,26,47.3333333333333,13.3333333333333,58,7.33333333333333,16,26,8.66666666666667,42,6,10,21.3333333333333,4.66666666666667
"E00021218",287,16,30,186,55,170,9,12,107,42,117,7,18,79,13,5.57491289198606,10.4529616724739,64.808362369338,19.1637630662021,59.2334494773519,3.13588850174216,4.18118466898955,37.2822299651568,14.6341463414634,40.7665505226481,2.4390243902439,6.27177700348432,27.5261324041812,4.52961672473868
"E00021219",134,15,22,80,17,72,6,6,48,12,62,9,16,32,5,11.1940298507463,16.4179104477612,59.7014925373134,12.6865671641791,53.7313432835821,4.47761194029851,4.47761194029851,35.8208955223881,8.95522388059701,46.2686567164179,6.71641791044776,11.9402985074627,23.8805970149254,3.73134328358209
"E00021220",226,6,18,156,46,122,2,5,88,27,104,4,13,68,19,2.65486725663717,7.9646017699115,69.0265486725664,20.353982300885,53.9823008849557,0.884955752212389,2.21238938053097,38.9380530973451,11.9469026548673,46.0176991150442,1.76991150442478,5.75221238938053,30.0884955752212,8.4070796460177
