"GeographyCode","KS605EW0001","KS605EW0002","KS605EW0003","KS605EW0004","KS605EW0005","KS605EW0006","KS605EW0007","KS605EW0008","KS605EW0009","KS605EW0010","KS605EW0011","KS605EW0012","KS605EW0013","KS605EW0014","KS605EW0015","KS605EW0016","KS605EW0017","KS605EW0018","KS605EW0019","KS605EW0020","KS605EW0021","KS605EW0022","KS605EW0023","KS605EW0024","KS605EW0025","KS605EW0026","KS605EW0027","KS605EW0028","KS605EW0029","KS605EW0030","KS605EW0031","KS605EW0032","KS605EW0033","KS605EW0034","KS605EW0035","KS605EW0036","KS605EW0037"
"E02000864",3592,0,2,88,5,17,164,450,181,382,226,229,64,419,167,135,394,436,233,0,0.0556792873051225,2.44988864142539,0.139198218262806,0.473273942093541,4.56570155902004,12.5278396436526,5.03897550111359,10.6347438752784,6.29175946547884,6.37527839643653,1.78173719376392,11.6648106904232,4.64922048997773,3.75835189309577,10.9688195991091,12.1380846325167,6.48663697104677
"E02000865",3133,2,2,83,2,8,101,407,136,288,282,157,41,394,142,115,349,353,271,0.0638365783593999,0.0638365783593999,2.6492180019151,0.0638365783593999,0.2553463134376,3.2237472071497,12.9907436961379,4.3408873284392,9.19246728375359,9.00095754867539,5.01117140121289,1.3086498563677,12.5758059368018,4.5323970635174,3.6706032556655,11.1394829237153,11.2671560804341,8.64985636769869
"E02000866",4982,1,0,108,8,12,171,546,168,332,481,362,97,755,193,225,631,528,364,0.0200722601364914,0,2.16780409474107,0.160578081091931,0.240867121637896,3.43235648334002,10.9594540345243,3.37213970293055,6.66399036531513,9.65475712565235,7.26615816940988,1.94700923323966,15.154556403051,3.87394620634283,4.51625853071056,12.6655961461261,10.5981533520674,7.30630268968286
"E02000867",5514,1,5,140,9,16,158,595,162,490,513,562,120,827,268,234,567,511,336,0.0181356546971346,0.0906782734856728,2.53899165759884,0.163220892274211,0.290170475154153,2.86543344214726,10.7907145447951,2.9379760609358,8.88647080159594,9.30359085963003,10.1922379397896,2.17627856365615,14.9981864345303,4.86035545883206,4.24374319912949,10.2829162132753,9.26731955023577,6.09357997823721
"E02000868",3496,2,0,97,5,3,127,362,87,348,406,202,50,588,160,120,373,271,295,0.05720823798627,0,2.7745995423341,0.143020594965675,0.085812356979405,3.63272311212815,10.3546910755149,2.48855835240275,9.95423340961098,11.6132723112128,5.77803203661327,1.43020594965675,16.8192219679634,4.5766590389016,3.4324942791762,10.6693363844394,7.75171624713959,8.43821510297483
"E02000869",2874,0,3,72,8,5,90,343,92,243,280,218,39,516,116,108,263,225,253,0,0.104384133611691,2.50521920668058,0.278357689631176,0.173973556019485,3.13152400835073,11.9345859429367,3.20111343075852,8.45511482254697,9.74251913709116,7.58524704244955,1.35699373695198,17.9540709812109,4.03618649965205,3.75782881002088,9.15100904662491,7.82881002087683,8.80306193458594
"E02000870",3072,0,2,70,7,12,104,340,108,333,283,190,57,412,142,136,341,294,241,0,0.0651041666666667,2.27864583333333,0.227864583333333,0.390625,3.38541666666667,11.0677083333333,3.515625,10.83984375,9.21223958333333,6.18489583333333,1.85546875,13.4114583333333,4.62239583333333,4.42708333333333,11.1002604166667,9.5703125,7.84505208333333
"E02000871",3328,0,1,88,3,16,115,518,177,461,198,224,67,249,202,151,330,331,197,0,0.0300480769230769,2.64423076923077,0.0901442307692308,0.480769230769231,3.45552884615385,15.5649038461538,5.31850961538461,13.8521634615385,5.94951923076923,6.73076923076923,2.01322115384615,7.48197115384615,6.06971153846154,4.53725961538461,9.91586538461538,9.94591346153846,5.91947115384615
"E02000872",3880,0,6,113,2,4,71,481,116,310,378,409,46,767,173,118,318,268,300,0,0.154639175257732,2.91237113402062,0.0515463917525773,0.103092783505155,1.8298969072165,12.3969072164948,2.98969072164948,7.98969072164948,9.74226804123711,10.5412371134021,1.18556701030928,19.7680412371134,4.45876288659794,3.04123711340206,8.19587628865979,6.90721649484536,7.7319587628866
"E02000873",3261,1,5,75,3,8,82,452,129,488,242,178,56,325,184,122,409,299,203,0.0306654400490647,0.153327200245324,2.29990800367985,0.0919963201471941,0.245323520392518,2.51456608402331,13.8607789021772,3.95584176632935,14.9647347439436,7.42103649187366,5.45844832873352,1.71726464274762,9.96626801594603,5.64244096902791,3.74118368598589,12.5421649800675,9.16896657467035,6.22508432996014
