"GeographyCode","KS605EW0001","KS605EW0002","KS605EW0003","KS605EW0004","KS605EW0005","KS605EW0006","KS605EW0007","KS605EW0008","KS605EW0009","KS605EW0010","KS605EW0011","KS605EW0012","KS605EW0013","KS605EW0014","KS605EW0015","KS605EW0016","KS605EW0017","KS605EW0018","KS605EW0019","KS605EW0020","KS605EW0021","KS605EW0022","KS605EW0023","KS605EW0024","KS605EW0025","KS605EW0026","KS605EW0027","KS605EW0028","KS605EW0029","KS605EW0030","KS605EW0031","KS605EW0032","KS605EW0033","KS605EW0034","KS605EW0035","KS605EW0036","KS605EW0037"
"E00021141",88,0,0,2,0,1,6,9,6,7,1,3,2,7,5,6,14,14,5,0,0,2.27272727272727,0,1.13636363636364,6.81818181818182,10.2272727272727,6.81818181818182,7.95454545454545,1.13636363636364,3.40909090909091,2.27272727272727,7.95454545454545,5.68181818181818,6.81818181818182,15.9090909090909,15.9090909090909,5.68181818181818
"E00021143",145,0,1,4,0,0,4,20,5,11,16,8,3,20,9,3,11,16,14,0,0.689655172413793,2.75862068965517,0,0,2.75862068965517,13.7931034482759,3.44827586206897,7.58620689655172,11.0344827586207,5.51724137931035,2.06896551724138,13.7931034482759,6.20689655172414,2.06896551724138,7.58620689655172,11.0344827586207,9.6551724137931
"E00021145",140,0,0,1,0,0,6,16,6,11,11,2,2,15,4,7,19,26,14,0,0,0.714285714285714,0,0,4.28571428571429,11.4285714285714,4.28571428571429,7.85714285714286,7.85714285714286,1.42857142857143,1.42857142857143,10.7142857142857,2.85714285714286,5,13.5714285714286,18.5714285714286,10
"E00021146",253,0,0,7,0,0,9,29,1,37,26,13,1,57,8,6,27,13,19,0,0,2.76679841897233,0,0,3.55731225296443,11.4624505928854,0.395256916996047,14.6245059288538,10.2766798418972,5.13833992094862,0.395256916996047,22.5296442687747,3.16205533596838,2.37154150197628,10.6719367588933,5.13833992094862,7.5098814229249
"E00021147",104,0,1,0,0,1,13,9,4,5,12,5,2,10,3,5,13,13,8,0,0.961538461538462,0,0,0.961538461538462,12.5,8.65384615384615,3.84615384615385,4.80769230769231,11.5384615384615,4.80769230769231,1.92307692307692,9.61538461538462,2.88461538461538,4.80769230769231,12.5,12.5,7.69230769230769
"E00021148",137,0,0,4,0,1,8,27,11,5,15,2,0,18,6,3,15,14,8,0,0,2.91970802919708,0,0.72992700729927,5.83941605839416,19.7080291970803,8.02919708029197,3.64963503649635,10.9489051094891,1.45985401459854,0,13.1386861313869,4.37956204379562,2.18978102189781,10.9489051094891,10.2189781021898,5.83941605839416
"E00021149",116,0,0,3,0,2,5,14,6,18,11,6,2,11,6,4,9,12,7,0,0,2.58620689655172,0,1.72413793103448,4.31034482758621,12.0689655172414,5.17241379310345,15.5172413793103,9.48275862068965,5.17241379310345,1.72413793103448,9.48275862068965,5.17241379310345,3.44827586206897,7.75862068965517,10.3448275862069,6.03448275862069
"E00021150",131,0,0,7,0,1,6,16,8,7,10,8,2,13,8,5,16,14,10,0,0,5.34351145038168,0,0.763358778625954,4.58015267175572,12.2137404580153,6.10687022900763,5.34351145038168,7.63358778625954,6.10687022900763,1.52671755725191,9.9236641221374,6.10687022900763,3.81679389312977,12.2137404580153,10.6870229007634,7.63358778625954
"E00021151",91,0,0,4,0,0,2,16,3,13,4,2,1,8,7,5,9,9,8,0,0,4.3956043956044,0,0,2.1978021978022,17.5824175824176,3.2967032967033,14.2857142857143,4.3956043956044,2.1978021978022,1.0989010989011,8.79120879120879,7.69230769230769,5.49450549450549,9.89010989010989,9.89010989010989,8.79120879120879
"E00021152",131,0,0,3,0,0,5,13,6,11,12,2,4,14,6,9,18,19,9,0,0,2.29007633587786,0,0,3.81679389312977,9.9236641221374,4.58015267175572,8.3969465648855,9.16030534351145,1.52671755725191,3.05343511450382,10.6870229007634,4.58015267175572,6.87022900763359,13.7404580152672,14.5038167938931,6.87022900763359
