"GeographyCode","KS606EW0001","KS606EW0002","KS606EW0003","KS606EW0004","KS606EW0005","KS606EW0006","KS606EW0007","KS606EW0008","KS606EW0009","KS606EW0010","KS606EW0011","KS606EW0012","KS606EW0013","KS606EW0014","KS606EW0015","KS606EW0016","KS606EW0017","KS606EW0018","KS606EW0019","KS606EW0020","KS606EW0021","KS606EW0022","KS606EW0023","KS606EW0024","KS606EW0025","KS606EW0026","KS606EW0027","KS606EW0028","KS606EW0029","KS606EW0030","KS606EW0031","KS606EW0032","KS606EW0033","KS606EW0034","KS606EW0035","KS606EW0036","KS606EW0037"
"E01004197",613,1,0,14,0,1,28,68,35,71,64,39,8,85,26,14,46,56,57,0.163132137030995,0,2.28384991843393,0,0.163132137030995,4.56769983686786,11.0929853181077,5.70962479608483,11.5823817292007,10.4404567699837,6.36215334420881,1.30505709624796,13.8662316476346,4.24143556280587,2.28384991843393,7.50407830342577,9.13539967373573,9.29853181076672
"E01004198",351,0,0,12,0,3,23,41,35,40,26,19,6,41,21,20,20,22,22,0,0,3.41880341880342,0,0.854700854700855,6.55270655270655,11.6809116809117,9.97150997150997,11.3960113960114,7.40740740740741,5.41310541310541,1.70940170940171,11.6809116809117,5.98290598290598,5.6980056980057,5.6980056980057,6.26780626780627,6.26780626780627
"E01004199",325,1,0,20,0,3,7,50,27,54,28,15,4,28,16,9,15,31,17,0.307692307692308,0,6.15384615384615,0,0.923076923076923,2.15384615384615,15.3846153846154,8.30769230769231,16.6153846153846,8.61538461538461,4.61538461538462,1.23076923076923,8.61538461538461,4.92307692307692,2.76923076923077,4.61538461538462,9.53846153846154,5.23076923076923
"E01004200",483,0,0,11,1,0,26,58,13,48,58,32,5,106,14,11,38,25,37,0,0,2.27743271221532,0.20703933747412,0,5.38302277432712,12.008281573499,2.69151138716356,9.93788819875776,12.008281573499,6.62525879917184,1.0351966873706,21.9461697722567,2.89855072463768,2.27743271221532,7.86749482401656,5.175983436853,7.66045548654244
"E01004201",410,0,2,12,1,1,32,41,23,22,50,24,1,47,25,18,40,37,34,0,0.48780487804878,2.92682926829268,0.24390243902439,0.24390243902439,7.80487804878049,10,5.60975609756098,5.36585365853659,12.1951219512195,5.85365853658537,0.24390243902439,11.4634146341463,6.09756097560976,4.39024390243902,9.75609756097561,9.02439024390244,8.29268292682927
"E01004202",564,0,0,18,1,0,30,56,15,38,80,44,11,92,30,17,36,36,60,0,0,3.19148936170213,0.177304964539007,0,5.31914893617021,9.9290780141844,2.65957446808511,6.73758865248227,14.1843971631206,7.80141843971631,1.95035460992908,16.3120567375887,5.31914893617021,3.01418439716312,6.38297872340426,6.38297872340426,10.6382978723404
"E01004203",542,1,0,17,3,0,23,48,29,83,72,33,9,86,20,16,46,20,36,0.18450184501845,0,3.13653136531365,0.55350553505535,0,4.24354243542435,8.85608856088561,5.35055350553506,15.3136531365314,13.2841328413284,6.08856088560886,1.66051660516605,15.8671586715867,3.690036900369,2.9520295202952,8.48708487084871,3.690036900369,6.64206642066421
"E01004204",342,1,0,20,0,3,20,38,20,43,38,14,6,30,19,17,37,19,17,0.292397660818713,0,5.84795321637427,0,0.87719298245614,5.84795321637427,11.1111111111111,5.84795321637427,12.5730994152047,11.1111111111111,4.09356725146199,1.75438596491228,8.7719298245614,5.55555555555556,4.97076023391813,10.8187134502924,5.55555555555556,4.97076023391813
"E01004205",472,0,0,16,0,1,12,85,34,98,26,28,7,36,24,17,36,25,27,0,0,3.38983050847458,0,0.211864406779661,2.54237288135593,18.0084745762712,7.20338983050847,20.7627118644068,5.50847457627119,5.93220338983051,1.48305084745763,7.6271186440678,5.08474576271187,3.60169491525424,7.6271186440678,5.29661016949153,5.72033898305085
"E01004206",298,0,0,7,0,1,10,47,19,70,13,19,7,20,21,11,27,12,14,0,0,2.3489932885906,0,0.335570469798658,3.35570469798658,15.7718120805369,6.3758389261745,23.489932885906,4.36241610738255,6.3758389261745,2.3489932885906,6.71140939597315,7.04697986577181,3.69127516778524,9.06040268456376,4.02684563758389,4.69798657718121
