"GeographyCode","KS610EW0001","KS610EW0002","KS610EW0003","KS610EW0004","KS610EW0005","KS610EW0006","KS610EW0007","KS610EW0008","KS610EW0009","KS610EW0010","KS610EW0011","KS610EW0012","KS610EW0013","KS610EW0014","KS610EW0015","KS610EW0016","KS610EW0017","KS610EW0018","KS610EW0019"
"E01004197",583,51,150,128,64,13,60,63,6,48,8.74785591766724,25.7289879931389,21.9554030874786,10.9777015437393,2.22984562607204,10.2915951972556,10.8061749571184,1.02915951972556,8.23327615780446
"E01004198",290,20,64,58,40,5,30,36,4,33,6.89655172413793,22.0689655172414,20,13.7931034482759,1.72413793103448,10.3448275862069,12.4137931034483,1.37931034482759,11.3793103448276
"E01004199",228,9,44,49,33,3,29,22,0,39,3.94736842105263,19.2982456140351,21.4912280701754,14.4736842105263,1.31578947368421,12.719298245614,9.64912280701754,0,17.1052631578947
"E01004200",442,37,129,111,53,10,29,37,4,32,8.3710407239819,29.185520361991,25.1131221719457,11.9909502262443,2.26244343891403,6.56108597285068,8.3710407239819,0.904977375565611,7.23981900452489
"E01004201",333,30,100,77,52,2,30,19,2,21,9.00900900900901,30.03003003003,23.1231231231231,15.6156156156156,0.600600600600601,9.00900900900901,5.70570570570571,0.600600600600601,6.30630630630631
"E01004202",440,34,146,109,51,14,32,21,2,31,7.72727272727273,33.1818181818182,24.7727272727273,11.5909090909091,3.18181818181818,7.27272727272727,4.77272727272727,0.454545454545455,7.04545454545454
"E01004203",431,24,123,102,67,9,29,39,3,35,5.56844547563805,28.538283062645,23.6658932714617,15.5452436194896,2.08816705336427,6.72853828306264,9.04872389791183,0.696055684454756,8.12064965197216
"E01004204",252,14,58,43,37,6,38,22,4,30,5.55555555555556,23.015873015873,17.0634920634921,14.6825396825397,2.38095238095238,15.0793650793651,8.73015873015873,1.58730158730159,11.9047619047619
"E01004205",269,16,53,30,50,7,38,37,3,35,5.94795539033457,19.7026022304833,11.1524163568773,18.5873605947955,2.60223048327138,14.1263940520446,13.7546468401487,1.11524163568773,13.0111524163569
"E01004206",235,11,45,31,39,6,26,34,4,39,4.68085106382979,19.1489361702128,13.1914893617021,16.5957446808511,2.5531914893617,11.063829787234,14.468085106383,1.70212765957447,16.5957446808511
"E01004207",247,18,45,41,40,7,32,39,2,23,7.28744939271255,18.2186234817814,16.5991902834008,16.1943319838057,2.83400809716599,12.9554655870445,15.7894736842105,0.809716599190283,9.31174089068826
"E01004208",455,45,134,102,74,8,23,40,0,29,9.89010989010989,29.4505494505495,22.4175824175824,16.2637362637363,1.75824175824176,5.05494505494505,8.79120879120879,0,6.37362637362637
"E01004209",189,6,35,35,32,0,34,26,1,20,3.17460317460317,18.5185185185185,18.5185185185185,16.9312169312169,0,17.989417989418,13.7566137566138,0.529100529100529,10.5820105820106
"E01004211",393,42,116,104,49,6,23,33,3,17,10.6870229007634,29.5165394402036,26.4631043256997,12.4681933842239,1.52671755725191,5.85241730279898,8.3969465648855,0.763358778625954,4.32569974554707
"E01004212",308,23,84,82,27,2,25,37,2,26,7.46753246753247,27.2727272727273,26.6233766233766,8.76623376623377,0.649350649350649,8.11688311688312,12.012987012987,0.649350649350649,8.44155844155844
"E01004214",248,15,38,30,43,9,47,23,1,42,6.04838709677419,15.3225806451613,12.0967741935484,17.3387096774194,3.62903225806452,18.9516129032258,9.2741935483871,0.403225806451613,16.9354838709677
"E01004215",558,65,134,104,110,9,55,42,3,36,11.6487455197133,24.0143369175627,18.6379928315412,19.7132616487455,1.61290322580645,9.85663082437276,7.52688172043011,0.537634408602151,6.45161290322581
"E01004216",386,48,93,79,66,8,34,24,2,32,12.4352331606218,24.0932642487047,20.4663212435233,17.0984455958549,2.07253886010363,8.80829015544041,6.21761658031088,0.518134715025907,8.29015544041451
"E01004217",403,35,90,71,96,9,45,33,2,22,8.6848635235732,22.3325062034739,17.6178660049628,23.8213399503722,2.23325062034739,11.166253101737,8.18858560794045,0.496277915632754,5.4590570719603
"E01004218",436,40,118,76,88,4,46,23,4,37,9.1743119266055,27.0642201834862,17.4311926605505,20.1834862385321,0.917431192660551,10.5504587155963,5.27522935779817,0.917431192660551,8.48623853211009
"E01004219",399,37,104,58,63,4,46,43,3,41,9.27318295739348,26.0651629072682,14.5363408521303,15.7894736842105,1.00250626566416,11.5288220551378,10.7769423558897,0.75187969924812,10.2756892230576
"E01004221",440,39,122,109,63,4,33,32,5,33,8.86363636363636,27.7272727272727,24.7727272727273,14.3181818181818,0.909090909090909,7.5,7.27272727272727,1.13636363636364,7.5
"E01004222",435,25,95,74,65,8,60,50,7,51,5.74712643678161,21.8390804597701,17.0114942528736,14.9425287356322,1.83908045977011,13.7931034482759,11.4942528735632,1.60919540229885,11.7241379310345
"E01004223",472,28,103,77,69,15,73,51,6,50,5.93220338983051,21.8220338983051,16.3135593220339,14.6186440677966,3.17796610169492,15.4661016949153,10.8050847457627,1.27118644067797,10.5932203389831
"E01004224",429,30,100,80,68,8,50,39,9,45,6.99300699300699,23.3100233100233,18.6480186480186,15.8508158508159,1.86480186480186,11.6550116550117,9.09090909090909,2.0979020979021,10.4895104895105
"E01004225",716,73,246,178,101,9,49,35,1,24,10.195530726257,34.3575418994413,24.8603351955307,14.1061452513966,1.25698324022346,6.84357541899441,4.88826815642458,0.139664804469274,3.35195530726257
"E01004226",373,24,79,57,65,5,46,41,5,51,6.4343163538874,21.1796246648794,15.2815013404826,17.426273458445,1.34048257372654,12.3324396782842,10.9919571045576,1.34048257372654,13.6729222520107
"E01004228",508,47,151,120,71,7,32,31,4,45,9.25196850393701,29.7244094488189,23.6220472440945,13.9763779527559,1.37795275590551,6.2992125984252,6.10236220472441,0.78740157480315,8.85826771653543
"E01004229",308,29,82,47,51,4,39,30,2,24,9.41558441558442,26.6233766233766,15.2597402597403,16.5584415584416,1.2987012987013,12.6623376623377,9.74025974025974,0.649350649350649,7.79220779220779
"E01004230",478,37,112,86,89,5,52,44,7,46,7.74058577405858,23.4309623430962,17.9916317991632,18.6192468619247,1.04602510460251,10.8786610878661,9.20502092050209,1.46443514644351,9.6234309623431
"E01004231",315,11,59,39,56,11,46,39,3,51,3.49206349206349,18.7301587301587,12.3809523809524,17.7777777777778,3.49206349206349,14.6031746031746,12.3809523809524,0.952380952380952,16.1904761904762
"E01004232",471,51,149,106,57,6,24,43,6,29,10.828025477707,31.6348195329087,22.5053078556263,12.1019108280255,1.27388535031847,5.09554140127389,9.12951167728238,1.27388535031847,6.15711252653928
"E01004233",339,27,68,72,40,11,40,32,2,47,7.9646017699115,20.0589970501475,21.2389380530973,11.7994100294985,3.24483775811209,11.7994100294985,9.43952802359882,0.589970501474926,13.8643067846608
"E01004234",625,66,203,128,84,7,54,42,6,35,10.56,32.48,20.48,13.44,1.12,8.64,6.72,0.96,5.6
"E01004235",181,7,29,23,29,3,30,25,1,34,3.86740331491713,16.0220994475138,12.707182320442,16.0220994475138,1.65745856353591,16.5745856353591,13.8121546961326,0.552486187845304,18.7845303867403
"E01004236",199,7,28,31,43,4,33,30,5,18,3.51758793969849,14.070351758794,15.5778894472362,21.608040201005,2.01005025125628,16.5829145728643,15.0753768844221,2.51256281407035,9.04522613065327
"E01004237",237,14,68,44,36,6,25,24,3,17,5.90717299578059,28.6919831223629,18.5654008438819,15.1898734177215,2.53164556962025,10.5485232067511,10.126582278481,1.26582278481013,7.17299578059072
"E01004238",482,30,107,90,92,21,53,39,4,46,6.22406639004149,22.1991701244813,18.6721991701245,19.0871369294606,4.35684647302905,10.9958506224066,8.09128630705394,0.829875518672199,9.54356846473029
"E01004239",247,8,34,21,53,8,53,35,2,33,3.23886639676113,13.7651821862348,8.50202429149797,21.4574898785425,3.23886639676113,21.4574898785425,14.17004048583,0.809716599190283,13.3603238866397
"E01004240",274,14,51,37,55,10,40,28,2,37,5.10948905109489,18.6131386861314,13.5036496350365,20.0729927007299,3.64963503649635,14.5985401459854,10.2189781021898,0.72992700729927,13.5036496350365
"E01004241",224,11,42,19,28,7,38,34,0,45,4.91071428571429,18.75,8.48214285714286,12.5,3.125,16.9642857142857,15.1785714285714,0,20.0892857142857
"E01004242",376,19,90,72,59,7,42,37,3,47,5.0531914893617,23.936170212766,19.1489361702128,15.6914893617021,1.86170212765957,11.1702127659574,9.84042553191489,0.797872340425532,12.5
"E01004243",236,12,41,34,38,6,44,24,3,34,5.08474576271187,17.3728813559322,14.4067796610169,16.1016949152542,2.54237288135593,18.6440677966102,10.1694915254237,1.27118644067797,14.4067796610169
"E01004244",257,7,44,35,47,8,40,32,3,41,2.72373540856031,17.1206225680934,13.6186770428016,18.2879377431907,3.11284046692607,15.5642023346303,12.4513618677043,1.16731517509728,15.9533073929961
