"GeographyCode","KS610EW0001","KS610EW0002","KS610EW0003","KS610EW0004","KS610EW0005","KS610EW0006","KS610EW0007","KS610EW0008","KS610EW0009","KS610EW0010","KS610EW0011","KS610EW0012","KS610EW0013","KS610EW0014","KS610EW0015","KS610EW0016","KS610EW0017","KS610EW0018","KS610EW0019"
"E02000864",1709,107,377,288,267,36,229,181,27,197,6.26097132826214,22.0596840257461,16.8519602106495,15.6231714452896,2.10649502633119,13.3996489174956,10.5909888823874,1.57987126974839,11.5272088940901
"E02000865",1434,110,358,312,189,23,149,140,12,141,7.67085076708508,24.9651324965133,21.7573221757322,13.1799163179916,1.60390516039052,10.3905160390516,9.7629009762901,0.836820083682008,9.8326359832636
"E02000866",2421,228,683,512,341,36,202,192,25,202,9.41759603469641,28.211482858323,21.1482858323007,14.0850888062784,1.48698884758364,8.34365964477489,7.93060718711276,1.03263114415531,8.34365964477489
"E02000867",2483,199,749,490,369,43,246,195,14,178,8.01449859041482,30.1651228352799,19.7341925090616,14.8610551751913,1.73177607732582,9.9073701167942,7.85340314136126,0.563834071687475,7.16874748288361
"E02000868",1565,109,456,365,208,39,128,119,13,128,6.96485623003195,29.1373801916933,23.3226837060703,13.2907348242812,2.49201277955272,8.17891373801917,7.6038338658147,0.830670926517572,8.17891373801917
"E02000869",1252,111,347,312,137,27,135,91,7,85,8.86581469648562,27.7156549520767,24.9201277955272,10.9424920127796,2.15654952076677,10.7827476038339,7.26837060702875,0.559105431309904,6.78913738019169
"E02000870",1426,105,345,291,232,23,159,115,15,141,7.3632538569425,24.1935483870968,20.4067321178121,16.2692847124825,1.61290322580645,11.1500701262272,8.06451612903226,1.05189340813464,9.88779803646564
"E02000871",1346,66,266,209,253,42,194,153,15,148,4.90341753343239,19.7622585438336,15.5274888558692,18.7964338781575,3.12035661218425,14.4130757800892,11.3670133729569,1.11441307578009,10.9955423476969
"E02000872",1629,128,476,405,230,25,118,138,9,100,7.85758133824432,29.2203806015961,24.8618784530387,14.1190914671578,1.53468385512584,7.24370779619398,8.47145488029466,0.552486187845304,6.13873542050338
"E02000873",1417,87,361,236,169,30,159,175,9,191,6.13973182780522,25.4763585038814,16.6549047282992,11.9266055045872,2.11714890613973,11.2208892025406,12.3500352858151,0.63514467184192,13.4791813690896
"E02000874",1128,68,226,230,156,15,157,155,7,114,6.02836879432624,20.0354609929078,20.3900709219858,13.8297872340426,1.32978723404255,13.9184397163121,13.741134751773,0.620567375886525,10.1063829787234
"E02000875",1527,93,351,244,235,36,189,172,15,192,6.09037328094303,22.9862475442043,15.9790438768828,15.3896529142109,2.35756385068762,12.37721021611,11.2639161755075,0.982318271119843,12.573673870334
"E02000876",1352,114,348,267,212,27,110,144,10,120,8.43195266272189,25.7396449704142,19.7485207100592,15.6804733727811,1.99704142011834,8.13609467455621,10.6508875739645,0.739644970414201,8.87573964497041
"E02000877",1586,77,335,246,228,31,240,195,16,218,4.85498108448928,21.1223203026482,15.5107187894073,14.3757881462799,1.95460277427491,15.1324085750315,12.2950819672131,1.00882723833544,13.7452711223203
"E02000878",2008,186,549,475,285,32,156,167,13,145,9.26294820717131,27.3406374501992,23.6553784860558,14.1932270916335,1.59362549800797,7.76892430278884,8.31673306772908,0.647410358565737,7.22111553784861
"E02000879",1341,78,297,216,226,30,174,151,5,164,5.8165548098434,22.1476510067114,16.1073825503356,16.8530947054437,2.23713646532438,12.9753914988814,11.2602535421327,0.372856077554064,12.2296793437733
"E02000880",999,55,228,193,159,12,116,102,13,121,5.50550550550551,22.8228228228228,19.3193193193193,15.9159159159159,1.2012012012012,11.6116116116116,10.2102102102102,1.3013013013013,12.1121121121121
"E02000881",1037,65,158,166,185,30,178,105,12,138,6.26808100289296,15.2362584378014,16.0077145612343,17.8399228543877,2.89296046287367,17.1648987463838,10.1253616200579,1.15718418514947,13.3076181292189
"E02000882",1300,77,368,195,216,21,182,131,15,95,5.92307692307692,28.3076923076923,15,16.6153846153846,1.61538461538462,14,10.0769230769231,1.15384615384615,7.30769230769231
"E02000883",1143,47,185,144,217,38,182,146,14,170,4.11198600174978,16.1854768153981,12.5984251968504,18.9851268591426,3.32458442694663,15.923009623797,12.7734033245844,1.22484689413823,14.8731408573928
