"GeographyCode","KS611EW0001","KS611EW0002","KS611EW0003","KS611EW0004","KS611EW0005","KS611EW0006","KS611EW0007","KS611EW0008","KS611EW0009","KS611EW0010","KS611EW0011","KS611EW0012","KS611EW0013","KS611EW0014","KS611EW0015","KS611EW0016","KS611EW0017","KS611EW0018","KS611EW0019","KS611EW0020","KS611EW0021","KS611EW0022","KS611EW0023","KS611EW0024","KS611EW0025","KS611EW0026","KS611EW0027","KS611EW0028","KS611EW0029","KS611EW0030","KS611EW0031"
"E02000864",6143,528,88,440,1233,651,442,369,737,584,847,646,201,752,752,0,8.59514895002442,1.43252482500407,7.16262412502035,20.0716262412502,10.5974279667915,7.1951815074068,6.00683705030116,11.9973954094091,9.50675565684519,13.7880514406642,10.5160345108253,3.27201692983884,12.2415757773075,12.2415757773075,0
"E02000865",5303,467,66,401,1199,540,345,284,567,418,825,669,156,658,658,0,8.80633603620592,1.2445785404488,7.56175749575712,22.6098434848199,10.1829153309447,6.50575146143692,5.35545917405242,10.692061097492,7.88233075617575,15.55723175561,12.6155006600038,2.94173109560626,12.4080709032623,12.4080709032623,0
"E02000866",7591,1089,185,904,2014,749,537,319,674,528,690,545,145,991,991,0,14.3459359768146,2.43709656171782,11.9088394150968,26.5314187854038,9.86694770122513,7.07416677644579,4.20234488209722,8.8789355816098,6.95560532209195,9.08971150046107,7.17955473587143,1.91015676458965,13.0549334738506,13.0549334738506,0
"E02000867",7896,1258,178,1080,2085,867,423,370,674,477,699,569,130,1043,1043,0,15.9321175278622,2.25430597771023,13.677811550152,26.4057750759878,10.9802431610942,5.35714285714286,4.68591691995947,8.53596757852077,6.04103343465046,8.85258358662614,7.20618034447822,1.64640324214792,13.209219858156,13.209219858156,0
"E02000868",5355,661,83,578,1299,493,339,235,457,360,634,518,116,877,877,0,12.34360410831,1.5499533146592,10.7936507936508,24.2577030812325,9.20634920634921,6.33053221288515,4.38842203548086,8.53408029878618,6.72268907563025,11.8394024276377,9.67320261437909,2.16619981325864,16.3772175536881,16.3772175536881,0
"E02000869",4484,541,73,468,1095,396,387,225,458,329,562,433,129,491,491,0,12.0651204281891,1.62801070472792,10.4371097234612,24.4201605709188,8.8314005352364,8.6306868867083,5.0178412132025,10.21409455843,7.33719892952721,12.5334522747547,9.65655664585192,2.87689562890277,10.950044603033,10.950044603033,0
"E02000870",4903,543,81,462,1105,522,288,260,546,408,598,463,135,633,633,0,11.0748521313482,1.65204976544972,9.42280236589843,22.5372221089129,10.6465429328982,5.87395472159902,5.30287579033245,11.1360391596981,8.32143585559861,12.1966143177646,9.44319804201509,2.75341627574954,12.9104629818478,12.9104629818478,0
"E02000871",6097,380,43,337,984,612,350,379,759,527,1116,914,202,990,990,0,6.2325733967525,0.705264884369362,5.52730851238314,16.1390847958012,10.0377234705593,5.74052812858783,6.21617188781368,12.4487452845662,8.64359521075939,18.3040839757258,14.9909791700836,3.31310480564212,16.2374938494341,16.2374938494341,0
"E02000872",5960,866,123,743,1511,529,391,249,505,377,783,641,142,749,749,0,14.5302013422819,2.06375838926175,12.4664429530201,25.3523489932886,8.8758389261745,6.56040268456376,4.17785234899329,8.47315436241611,6.3255033557047,13.1375838926174,10.755033557047,2.38255033557047,12.5671140939597,12.5671140939597,0
"E02000873",6888,528,84,444,1056,458,298,255,483,382,811,654,157,2617,2617,0,7.66550522648084,1.21951219512195,6.44599303135888,15.3310104529617,6.64924506387921,4.32636469221835,3.70209059233449,7.01219512195122,5.5458768873403,11.774099883856,9.49477351916376,2.27932636469222,37.9936120789779,37.9936120789779,0
"E02000874",5344,347,40,307,887,463,307,317,540,383,914,783,131,1186,1186,0,6.49326347305389,0.748502994011976,5.74476047904192,16.5980538922156,8.66392215568862,5.74476047904192,5.93188622754491,10.1047904191617,7.16691616766467,17.1032934131737,14.6519461077844,2.45134730538922,22.1931137724551,22.1931137724551,0
"E02000875",6841,558,83,475,1133,630,386,432,759,579,1253,1006,247,1111,1111,0,8.15670223651513,1.21327291331677,6.94342932319836,16.561906154071,9.20917994445256,5.64244993422014,6.31486624762462,11.0948691711738,8.46367490133022,18.3160356673001,14.705452419237,3.61058324806315,16.2403157433124,16.2403157433124,0
"E02000876",5700,591,72,519,1187,508,337,263,507,351,894,747,147,1062,1062,0,10.3684210526316,1.26315789473684,9.10526315789474,20.8245614035088,8.91228070175439,5.91228070175439,4.6140350877193,8.89473684210526,6.15789473684211,15.6842105263158,13.1052631578947,2.57894736842105,18.6315789473684,18.6315789473684,0
"E02000877",7105,474,64,410,1171,591,348,409,849,585,1301,1101,200,1377,1377,0,6.6713581984518,0.900774102744546,5.77058409570725,16.4813511611541,8.31808585503167,4.89795918367347,5.75650950035187,11.9493314567206,8.23363828289937,18.311048557354,15.4961294862773,2.81491907107671,19.3807178043631,19.3807178043631,0
"E02000878",8645,1248,204,1044,1899,704,444,332,655,439,1293,1028,265,1631,1631,0,14.4360902255639,2.35974551764025,12.0763447079237,21.9664545980335,8.14343551185656,5.13591671486408,3.84037015615963,7.57663389242337,5.07807981492192,14.9566223250434,11.8912666281087,3.06535569693464,18.8663967611336,18.8663967611336,0
"E02000879",5659,491,87,404,930,564,373,322,575,459,792,676,116,1153,1153,0,8.6764446015197,1.53737409436296,7.13907050715674,16.433998939742,9.96642516345644,6.59127054249867,5.69005124580315,10.160805796077,8.11097367025976,13.9954055486835,11.9455734228662,2.04983212581728,20.3746244919597,20.3746244919597,0
"E02000880",4401,381,50,331,827,400,248,238,441,333,702,602,100,831,831,0,8.65712338104976,1.13610543058396,7.5210179504658,18.7911838218587,9.08884344467167,5.63508293569643,5.40786184957964,10.0204498977505,7.56646216768916,15.9509202453988,13.6787093842309,2.27221086116792,18.8820722563054,18.8820722563054,0
