"GeographyCode","QS102EW0001","QS102EW0002","QS102EW0003"
"E02000864",8297,126.19,65.7500594341865
"E02000865",7051,46.37,152.059521242182
"E02000866",9662,113.42,85.1877975665667
"E02000867",9761,80.92,120.625308947108
"E02000868",6632,35.92,184.632516703786
"E02000869",5705,32.23,177.00899782811
"E02000870",6477,39.5,163.974683544304
"E02000871",8591,66.9,128.415545590433
"E02000872",7501,45.66,164.279456855015
"E02000873",8713,50.48,172.603011093502
"E02000874",7129,34.29,207.903178769321
"E02000875",9440,66.76,141.402037147993
"E02000876",7037,53.86,130.653546230969
"E02000877",9803,80.79,121.339274662706
"E02000878",10286,63.84,161.121553884712
"E02000879",7634,44.39,171.97567019599
"E02000880",5776,37.23,155.143701316143
"E02000881",6909,70.49,98.0139026812314
"E02000882",8604,57.43,149.817168727146
"E02000883",7950,47.3,168.076109936575
"E02000884",9086,54.55,166.562786434464
"E02000885",6895,33.79,204.054453980468
"E02000886",7326,48.93,149.724095646842
"E02000887",8660,58.26,148.644009612084
"E02000888",8215,52.7,155.882352941176
"E02000889",6616,57.96,114.147688060732
"E02000890",5795,56.26,103.003910415926
"E02000891",12678,152.57,83.0962836730681
"E02000893",6783,71.83,94.431296115829
"E02000894",10137,54.8,184.981751824818
"E02006853",7064,49.95,141.421421421421
"E02006854",5883,91.33,64.4147596627614
