"GeographyCode","QS103EW0001","QS103EW0002","QS103EW0003","QS103EW0004","QS103EW0005","QS103EW0006","QS103EW0007","QS103EW0008","QS103EW0009","QS103EW0010","QS103EW0011","QS103EW0012","QS103EW0013","QS103EW0014","QS103EW0015","QS103EW0016","QS103EW0017","QS103EW0018","QS103EW0019","QS103EW0020","QS103EW0021","QS103EW0022","QS103EW0023","QS103EW0024","QS103EW0025","QS103EW0026","QS103EW0027","QS103EW0028","QS103EW0029","QS103EW0030","QS103EW0031","QS103EW0032","QS103EW0033","QS103EW0034","QS103EW0035","QS103EW0036","QS103EW0037","QS103EW0038","QS103EW0039","QS103EW0040","QS103EW0041","QS103EW0042","QS103EW0043","QS103EW0044","QS103EW0045","QS103EW0046","QS103EW0047","QS103EW0048","QS103EW0049","QS103EW0050","QS103EW0051","QS103EW0052","QS103EW0053","QS103EW0054","QS103EW0055","QS103EW0056","QS103EW0057","QS103EW0058","QS103EW0059","QS103EW0060","QS103EW0061","QS103EW0062","QS103EW0063","QS103EW0064","QS103EW0065","QS103EW0066","QS103EW0067","QS103EW0068","QS103EW0069","QS103EW0070","QS103EW0071","QS103EW0072","QS103EW0073","QS103EW0074","QS103EW0075","QS103EW0076","QS103EW0077","QS103EW0078","QS103EW0079","QS103EW0080","QS103EW0081","QS103EW0082","QS103EW0083","QS103EW0084","QS103EW0085","QS103EW0086","QS103EW0087","QS103EW0088","QS103EW0089","QS103EW0090","QS103EW0091","QS103EW0092","QS103EW0093","QS103EW0094","QS103EW0095","QS103EW0096","QS103EW0097","QS103EW0098","QS103EW0099","QS103EW0100","QS103EW0101","QS103EW0102"
"E01004197",2329,38,33,38,28,24,37,21,28,21,28,25,23,20,15,21,23,21,25,13,24,26,45,49,71,73,76,83,71,78,66,73,59,59,67,55,58,63,44,43,38,34,36,26,33,24,26,23,30,29,23,20,19,16,12,18,17,15,19,22,13,21,17,10,7,9,10,5,3,2,9,9,4,6,5,1,6,2,7,3,5,4,11,2,1,1,3,2,3,0,0,0,0,1,0,1,0,1,0,0,0,0
"E01004198",1529,17,21,24,24,17,20,20,20,18,13,20,14,11,19,17,12,18,15,11,15,25,17,37,42,57,53,54,40,48,46,54,34,42,27,25,17,29,24,24,21,16,13,20,17,9,10,13,13,15,14,11,8,15,16,10,18,8,7,9,14,12,0,6,9,11,12,11,9,10,8,8,7,8,8,9,6,5,8,7,8,5,2,2,5,6,6,4,3,5,3,2,1,2,0,0,0,1,0,0,0,2
"E01004199",1637,22,23,23,33,23,30,34,25,35,28,35,28,23,30,37,36,30,14,25,21,24,20,36,38,46,40,32,40,38,26,30,33,32,34,21,30,16,27,19,29,29,18,20,13,14,13,14,17,24,12,12,21,25,13,11,11,9,7,7,6,3,9,10,9,10,7,12,8,8,5,5,9,3,5,7,7,1,5,5,8,6,6,3,6,4,2,1,4,3,1,1,1,0,0,0,1,0,0,0,0,0
"E01004200",1566,14,6,12,4,10,11,6,12,19,16,12,6,7,11,12,9,8,13,19,46,72,77,67,53,71,54,69,70,82,83,50,47,55,41,38,36,32,20,20,23,15,24,12,22,7,5,8,10,7,8,8,11,7,4,5,10,11,7,4,7,0,7,2,4,5,2,0,5,0,4,2,2,4,2,3,2,2,1,3,3,2,1,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"E01004201",1556,13,30,28,19,17,13,14,18,22,16,12,23,21,21,19,25,22,18,13,23,19,21,21,37,43,45,44,48,53,32,48,34,25,31,31,21,20,23,21,31,29,21,13,19,22,15,25,19,22,21,11,18,27,15,15,12,12,14,16,9,12,7,13,10,8,9,2,4,9,5,5,3,6,7,5,3,5,2,3,5,6,2,3,7,4,5,2,4,1,3,1,2,1,1,0,0,0,1,0,0,0
"E01004202",1705,26,16,14,19,25,19,17,13,21,15,17,14,17,6,15,24,18,14,16,23,33,22,21,44,75,42,63,64,55,67,76,63,57,55,40,38,38,44,30,35,23,24,30,18,18,16,13,18,15,17,18,13,12,14,14,11,7,5,6,8,8,7,3,7,5,5,6,4,4,2,11,2,1,3,5,3,1,5,1,1,5,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"E01004203",1779,20,12,20,27,19,23,24,26,23,19,19,17,21,12,17,14,14,13,16,22,27,34,37,46,64,93,69,73,65,78,80,67,51,40,37,31,28,33,24,26,28,13,16,17,22,10,11,9,10,15,14,9,9,17,12,5,15,5,6,12,11,7,8,9,10,6,10,4,5,6,5,5,6,2,7,2,1,4,3,6,3,3,3,2,3,1,6,2,1,0,1,1,0,0,0,0,0,0,0,0,0
"E01004204",1582,22,20,19,14,20,19,8,19,23,13,17,18,21,19,19,24,22,13,17,21,35,20,25,29,41,46,43,47,43,28,30,23,27,32,26,28,26,17,26,21,22,20,15,23,17,18,11,17,16,18,11,17,27,20,20,11,11,10,14,6,12,10,12,7,13,8,4,7,14,4,11,8,6,10,9,9,8,3,7,10,8,7,8,13,14,4,11,11,5,8,4,6,1,1,0,0,0,1,2,0,1
"E01004205",2106,40,39,41,36,30,43,33,39,29,25,30,34,24,22,34,27,29,30,32,42,33,54,57,69,66,60,62,63,60,52,45,44,34,32,53,33,38,27,29,28,18,29,27,33,20,25,15,15,16,20,17,21,21,12,12,16,12,18,12,7,8,11,7,8,8,6,7,3,2,6,10,8,7,6,6,6,4,3,6,5,3,4,0,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01004206",1492,18,19,23,25,14,14,20,23,15,19,17,19,13,21,16,32,16,25,22,32,37,27,54,42,58,46,40,50,31,40,32,18,32,30,21,21,19,20,17,15,20,19,18,14,16,14,11,17,11,11,11,13,14,19,12,14,10,15,12,11,8,9,7,12,2,5,11,4,12,7,5,4,4,5,9,5,5,3,5,3,5,2,5,3,4,3,0,0,0,4,1,2,1,1,0,1,0,0,0,0,0
