"GeographyCode","QS103EW0001","QS103EW0002","QS103EW0003","QS103EW0004","QS103EW0005","QS103EW0006","QS103EW0007","QS103EW0008","QS103EW0009","QS103EW0010","QS103EW0011","QS103EW0012","QS103EW0013","QS103EW0014","QS103EW0015","QS103EW0016","QS103EW0017","QS103EW0018","QS103EW0019","QS103EW0020","QS103EW0021","QS103EW0022","QS103EW0023","QS103EW0024","QS103EW0025","QS103EW0026","QS103EW0027","QS103EW0028","QS103EW0029","QS103EW0030","QS103EW0031","QS103EW0032","QS103EW0033","QS103EW0034","QS103EW0035","QS103EW0036","QS103EW0037","QS103EW0038","QS103EW0039","QS103EW0040","QS103EW0041","QS103EW0042","QS103EW0043","QS103EW0044","QS103EW0045","QS103EW0046","QS103EW0047","QS103EW0048","QS103EW0049","QS103EW0050","QS103EW0051","QS103EW0052","QS103EW0053","QS103EW0054","QS103EW0055","QS103EW0056","QS103EW0057","QS103EW0058","QS103EW0059","QS103EW0060","QS103EW0061","QS103EW0062","QS103EW0063","QS103EW0064","QS103EW0065","QS103EW0066","QS103EW0067","QS103EW0068","QS103EW0069","QS103EW0070","QS103EW0071","QS103EW0072","QS103EW0073","QS103EW0074","QS103EW0075","QS103EW0076","QS103EW0077","QS103EW0078","QS103EW0079","QS103EW0080","QS103EW0081","QS103EW0082","QS103EW0083","QS103EW0084","QS103EW0085","QS103EW0086","QS103EW0087","QS103EW0088","QS103EW0089","QS103EW0090","QS103EW0091","QS103EW0092","QS103EW0093","QS103EW0094","QS103EW0095","QS103EW0096","QS103EW0097","QS103EW0098","QS103EW0099","QS103EW0100","QS103EW0101","QS103EW0102"
"E02000864",8297,129,132,113,146,119,127,109,94,103,107,100,94,93,100,88,83,85,96,98,100,158,167,149,171,194,195,217,211,183,240,245,210,177,170,161,122,130,132,100,96,86,102,112,115,107,98,96,89,83,101,70,102,78,65,70,65,62,53,61,46,58,47,79,46,59,44,42,37,37,40,36,32,50,40,28,34,37,36,39,19,37,37,28,21,31,13,16,15,15,9,5,5,1,6,2,3,3,1,1,0,3
"E02000865",7051,90,107,113,104,81,100,89,91,96,85,92,88,75,85,94,96,91,72,62,83,94,103,143,188,219,214,213,199,217,170,205,160,158,159,132,126,128,118,107,119,108,88,79,82,69,64,75,79,90,70,54,66,83,56,54,58,44,47,54,42,48,33,39,35,38,38,30,24,29,27,27,23,23,25,22,22,13,22,18,26,21,21,10,19,15,16,9,14,9,7,4,4,4,1,1,1,2,1,0,0,2
"E02000866",9662,151,136,132,121,116,120,94,109,110,94,88,105,103,71,85,85,71,64,84,129,203,216,226,253,269,297,272,306,299,298,269,250,208,195,200,174,157,135,135,138,128,143,118,113,103,102,123,117,86,105,94,101,85,86,87,82,77,85,100,58,61,62,55,77,69,55,43,54,52,38,44,36,31,38,35,28,32,34,33,28,28,34,19,18,12,16,15,9,9,10,9,8,3,2,2,1,0,1,0,0,0
"E02000867",9761,148,136,126,114,114,89,102,101,92,87,93,79,88,88,77,82,67,69,64,126,203,186,255,357,356,404,375,424,409,369,350,309,244,273,239,193,181,140,134,137,164,94,102,107,82,105,101,105,80,74,68,69,61,60,57,64,61,41,46,54,31,34,39,32,36,24,29,37,27,33,26,26,20,19,24,24,22,36,20,13,23,19,15,9,6,10,7,10,10,10,5,4,0,0,2,0,1,2,0,0,1
"E02000868",6632,82,54,65,64,74,72,55,70,86,63,65,55,66,48,63,71,62,53,68,112,167,153,150,172,251,235,244,254,245,256,236,200,190,168,141,133,124,114,100,105,88,81,73,80,64,49,43,54,48,58,51,50,55,55,51,37,44,27,30,33,31,31,25,27,33,21,20,20,23,16,29,17,17,17,24,16,12,13,14,20,18,12,13,16,19,5,17,14,6,9,5,7,1,2,0,1,0,1,2,0,1
"E02000869",5705,68,89,63,60,71,78,45,47,71,56,46,48,46,64,66,55,43,49,56,37,79,89,126,133,165,165,153,171,185,185,168,163,132,113,125,116,113,81,99,128,100,80,78,74,89,73,59,86,61,48,59,51,50,40,49,43,35,34,43,42,38,27,43,32,32,28,25,20,25,17,23,22,23,33,28,18,23,20,25,23,28,15,12,13,9,12,12,9,3,5,9,2,2,1,5,0,0,1,0,0,1
"E02000870",6477,85,78,91,63,88,103,100,82,66,87,57,83,72,74,82,78,65,72,69,81,104,110,144,166,223,189,225,195,208,178,172,171,117,117,130,94,126,110,96,91,98,88,78,88,77,68,83,62,56,68,59,63,54,45,55,44,44,37,42,37,35,33,33,40,28,15,24,20,22,25,24,20,27,29,29,26,19,21,16,22,22,12,26,33,15,18,14,9,3,8,6,4,4,1,0,1,0,3,0,0,2
"E02000871",8591,168,165,182,146,152,148,141,155,133,122,146,116,143,103,98,116,107,116,100,135,153,163,164,233,235,219,243,239,203,222,226,195,190,149,190,148,177,131,123,119,108,100,114,118,105,83,67,70,95,68,66,59,58,61,67,67,45,47,42,37,35,40,30,36,25,24,25,24,23,33,28,35,22,32,28,39,21,24,25,19,19,27,13,8,9,10,7,6,9,8,4,5,0,4,0,0,1,1,1,0,0
"E02000872",7501,106,94,93,82,86,89,89,98,83,78,71,66,75,71,63,73,57,58,63,83,96,132,218,212,317,317,292,322,281,253,300,237,186,203,165,125,175,109,102,109,110,72,75,82,62,75,71,48,64,53,51,63,56,47,44,43,47,40,40,52,22,37,23,26,36,25,18,15,29,20,20,21,19,19,23,15,18,12,16,26,32,14,16,8,9,7,7,8,9,8,5,4,2,1,2,0,2,1,0,0,2
"E02000873",8713,124,124,106,122,98,112,103,93,104,97,105,77,77,85,83,71,77,67,400,675,438,303,243,259,250,230,229,213,249,193,210,198,197,180,141,138,149,131,107,99,94,76,77,75,75,74,71,58,45,56,47,39,45,48,39,41,47,44,46,34,16,26,36,32,35,24,26,16,25,26,27,27,20,21,24,33,23,19,17,16,14,17,23,10,10,14,12,8,8,3,8,4,1,0,2,0,1,0,0,0,1
"E02000874",7129,101,109,92,119,114,103,119,101,99,107,106,77,96,86,88,89,88,108,98,152,167,196,217,254,223,201,203,207,215,174,175,149,149,148,125,99,121,108,91,87,104,88,88,68,65,78,60,61,62,69,53,41,49,45,61,53,64,45,36,33,29,21,26,25,25,28,24,30,21,27,26,18,20,25,21,20,14,15,23,17,16,15,11,7,7,6,3,4,2,4,7,3,1,1,0,0,0,1,0,1,1
"E02000875",9440,162,155,190,148,152,157,155,158,143,160,148,135,121,131,132,142,134,131,131,144,209,183,227,271,247,227,267,287,252,244,248,209,160,198,190,154,155,133,134,146,111,111,139,104,119,87,101,84,94,85,73,74,91,62,64,61,62,59,62,54,51,39,46,28,34,27,26,28,32,24,26,32,20,23,27,17,17,15,11,14,25,12,19,10,10,7,6,5,6,12,7,3,4,4,0,2,0,3,0,1,0
"E02000876",7037,98,95,83,84,67,72,77,82,56,61,67,75,54,71,68,76,75,81,118,145,143,187,236,241,293,277,274,240,241,225,222,180,170,128,154,126,125,102,91,92,83,86,88,83,78,81,47,58,57,63,50,62,62,53,46,49,39,51,40,34,40,36,18,27,18,19,23,13,24,21,21,18,14,13,19,18,16,11,14,10,17,9,5,12,9,6,3,5,3,4,1,4,1,2,0,1,0,0,0,0,0
