"GeographyCode","QS108EW0001","QS108EW0002","QS108EW0003","QS108EW0004","QS108EW0005","QS108EW0006","QS108EW0007","QS108EW0008","QS108EW0009","QS108EW0010","QS108EW0011"
"E01004197",1862,706,452,228,26,1156,928,38,57,86,47
"E01004198",1235,426,332,82,12,809,593,40,36,73,67
"E01004199",1172,458,370,84,4,714,526,29,41,64,54
"E01004200",1227,434,190,214,30,793,688,31,19,30,25
"E01004201",1224,406,294,98,14,818,637,30,38,62,51
"E01004202",1427,608,326,232,50,819,677,30,27,54,31
"E01004203",1466,522,294,190,38,944,761,27,29,70,57
"E01004204",1243,442,346,76,20,801,541,58,39,67,96
"E01004205",1580,644,556,74,14,936,670,80,49,87,50
"E01004206",1183,398,322,60,16,785,560,61,36,73,55
"E01004207",1078,382,290,86,6,696,536,28,30,54,48
"E01004208",1612,600,342,202,56,1012,872,34,27,48,31
"E01004209",985,398,346,44,8,587,415,35,43,50,44
"E01004211",1339,500,256,210,34,839,692,27,33,59,28
"E01004212",1309,482,332,132,18,827,640,39,38,70,40
"E01004214",1208,469,384,75,10,739,508,20,54,108,49
"E01004215",2206,906,622,242,42,1300,977,77,59,101,86
"E01004216",1363,608,404,164,40,755,555,45,34,80,41
"E01004217",1429,648,500,116,32,781,536,40,45,94,66
"E01004218",1461,718,512,170,36,743,569,38,31,70,35
"E01004219",1755,762,562,148,52,993,768,66,44,67,48
"E01004221",1561,688,434,216,38,873,661,48,31,84,49
"E01004222",1931,656,466,164,26,1275,859,55,61,176,124
"E01004223",1675,630,432,180,18,1045,718,46,65,114,102
"E01004224",1633,606,382,198,26,1027,792,29,58,92,56
"E01004225",1966,913,396,441,76,1053,894,31,38,66,24
"E01004226",1320,538,386,128,24,782,592,17,49,85,39
"E01004228",1557,662,384,230,48,895,673,19,53,94,56
"E01004229",1191,510,368,110,32,681,518,37,36,56,34
"E01004230",1693,648,444,180,24,1045,794,52,38,88,73
"E01004231",1314,476,376,80,20,838,600,48,51,79,60
"E01004232",1413,510,312,148,50,903,771,39,21,49,23
"E01004233",1387,514,374,132,8,873,570,52,55,101,95
"E01004234",1841,814,490,278,46,1027,828,39,47,62,51
"E01004235",978,430,352,52,26,548,384,43,31,46,44
"E01004236",1202,520,440,78,2,682,455,70,39,58,60
"E01004237",899,378,252,118,8,521,387,25,32,47,30
"E01004238",2068,852,624,188,40,1216,928,85,66,68,69
"E01004239",1210,512,416,80,16,698,470,64,40,66,58
"E01004240",1269,538,438,94,6,731,520,38,46,77,50
"E01004241",1175,460,398,46,16,715,477,50,43,78,67
"E01004242",1788,712,568,122,22,1076,808,59,58,98,53
"E01004243",1272,528,422,92,14,744,514,47,45,73,65
"E01004244",1295,476,402,56,18,819,537,45,51,93,93
"E01004245",1009,434,372,58,4,575,405,33,52,55,30
"E01004246",1540,658,478,152,28,882,669,47,40,74,52
"E01004247",1457,558,462,84,12,899,610,62,57,95,75
"E01004248",896,370,312,44,14,526,343,28,44,55,56
"E01004249",1479,593,448,119,26,886,579,76,61,95,75
"E01004250",1688,700,530,138,32,988,687,61,42,111,87
"E01004251",1582,624,510,88,26,958,650,69,50,95,94
"E01004252",2089,879,611,232,36,1210,915,65,59,103,68
"E01004253",1639,644,502,130,12,995,664,65,54,120,92
"E01004254",1892,900,494,340,66,992,805,68,30,72,17
"E01004255",1250,509,386,98,25,741,542,61,46,55,37
"E01004256",1299,552,434,104,14,747,509,48,46,74,70
"E01004257",1315,568,450,94,24,747,532,47,52,72,44
"E01004258",1284,658,432,178,48,626,453,51,29,52,41
"E01004259",1442,502,242,238,22,940,744,39,34,83,40
"E01004260",1362,543,380,138,25,819,613,42,33,66,65
"E01004261",1318,356,294,56,6,962,790,44,24,44,60
"E01004262",1132,352,286,54,12,780,593,50,32,41,64
"E01004263",1080,392,304,74,14,688,499,31,35,66,57
"E01004264",1124,459,396,59,4,665,454,48,40,54,69
"E01004266",1257,460,312,122,26,797,605,17,37,71,67
"E01004267",1442,516,320,166,30,926,750,47,23,74,32
"E01004268",1316,534,412,102,20,782,568,44,40,76,54
"E01004269",1515,524,388,116,20,991,754,61,36,70,70
"E01004270",1892,576,358,166,52,1316,1113,58,49,50,46
"E01004271",1098,476,396,62,18,622,403,45,51,76,47
"E01004272",1443,635,548,75,12,808,547,74,48,73,66
"E01004273",1361,578,496,68,14,783,560,70,38,55,60
"E01004274",1526,598,490,90,18,928,693,74,40,72,49
"E01004275",1521,762,514,212,36,759,575,39,36,61,48
"E01004276",1851,956,604,312,40,895,734,54,26,67,14
"E01004277",1480,822,606,182,34,658,522,63,23,42,8
"E01004280",1473,684,498,148,38,789,569,41,51,84,44
"E01004281",1531,736,466,238,32,795,658,39,27,59,12
"E01004283",1663,650,500,126,24,1013,766,60,42,79,66
"E01004284",1766,836,584,212,40,930,675,69,47,74,65
"E01004285",1605,712,624,82,6,893,637,66,43,73,74
"E01004286",1740,771,630,102,39,969,702,59,43,80,85
"E01004287",1662,730,566,126,38,932,615,70,50,99,98
"E01004288",1123,466,376,74,16,657,443,59,37,56,62
"E01004289",1477,512,416,74,22,965,713,53,53,65,81
"E01004290",1093,379,224,138,17,714,542,31,23,58,60
"E01004291",1668,762,440,276,46,906,652,54,43,117,40
"E01004292",1567,662,422,214,26,905,764,34,23,56,28
"E01004293",1925,910,586,280,44,1015,746,78,39,104,48
"E01004294",1499,568,338,180,50,931,737,55,30,73,36
"E01004295",1070,484,418,60,6,586,387,60,35,56,48
"E01004296",1293,511,372,108,31,782,572,36,49,68,57
"E01004297",1626,828,450,328,50,798,607,56,23,71,41
"E01004298",1282,466,358,88,20,816,571,51,51,61,82
"E01004300",1029,428,338,62,28,601,394,30,48,70,59
"E01004301",975,398,326,62,10,577,417,55,30,31,44
"E01004302",1406,628,516,78,34,778,542,77,49,58,52
"E01004303",1844,826,572,222,32,1018,759,65,53,81,60
"E01004304",1473,598,490,80,28,875,608,76,42,82,67
"E01004305",1460,567,434,103,30,893,620,47,48,97,81
"E01004306",1538,576,380,162,34,962,776,43,37,45,61
"E01004307",1719,652,306,296,50,1067,886,69,24,66,22
"E01004308",1194,452,368,60,24,742,600,41,23,36,42
"E01004309",1967,649,510,122,17,1318,976,97,49,88,108
"E01004310",1624,600,402,170,28,1024,802,64,30,67,61
"E01004311",1215,440,286,124,30,775,571,25,37,75,67
"E01004312",1288,392,302,72,18,896,628,49,50,88,81
"E01004313",1578,560,384,156,20,1018,769,51,37,85,76
"E01004314",939,440,234,156,50,499,362,24,21,42,50
"E01004315",1438,498,312,150,36,940,706,48,34,86,66
"E01004316",933,291,188,78,25,642,515,34,24,46,23
"E01004317",2365,850,432,338,80,1515,1293,47,43,81,51
"E01004318",1114,396,278,86,32,718,521,34,50,74,39
"E01004319",1470,574,456,98,20,896,610,98,37,60,91
"E01004321",1451,524,414,80,30,927,674,79,47,54,73
"E01004322",927,376,284,74,18,551,380,36,31,55,49
"E01004323",1190,441,324,98,19,749,577,55,24,32,61
"E01004324",1176,450,390,54,6,726,517,62,28,46,73
"E01004325",2182,734,416,274,44,1448,1254,78,40,40,36
"E01004326",1174,412,286,106,20,762,568,46,44,61,43
"E01032764",1145,434,200,198,36,711,565,19,26,72,29
"E01032765",1238,428,262,152,14,810,657,25,21,75,32
"E01032766",1138,428,222,168,38,710,587,32,25,45,21
"E01032767",1516,500,224,242,34,1016,893,44,32,36,11
"E01032768",1181,600,328,246,26,581,495,32,16,34,4
"E01032769",1050,542,334,174,34,508,383,41,31,37,16
"E01032770",1037,446,284,140,22,591,450,40,24,51,26
"E01032771",923,446,292,136,18,477,374,36,20,38,9
"E01032772",970,368,256,90,22,602,431,56,21,56,38
"E01032773",1294,582,328,210,44,712,551,61,38,52,10
"E01032774",1016,436,306,116,14,580,430,42,35,48,25
"E01032775",989,512,334,142,36,477,362,33,27,45,10
"E01032776",980,438,256,154,28,542,451,40,14,30,7
"E01032777",948,428,266,138,24,520,420,38,23,33,6
"E01032778",970,449,270,147,32,521,435,32,20,32,2
"E01032779",897,419,253,132,34,478,372,39,25,29,13
"E01032780",1218,572,362,184,26,646,524,51,18,46,7
"E01032781",1378,722,452,224,46,656,518,43,19,59,17
"E01032782",1278,510,320,158,32,768,602,64,37,46,19
"E01032783",1225,502,334,136,32,723,559,32,21,67,44
"E01032784",1291,518,252,230,36,773,632,31,25,50,35
"E01032785",1126,546,268,204,74,580,485,23,18,35,19
"E01032786",1189,492,346,124,22,697,503,34,44,66,50
"E01032787",1904,740,616,102,22,1164,855,83,53,85,88
