"GeographyCode","QS108EW0001","QS108EW0002","QS108EW0003","QS108EW0004","QS108EW0005","QS108EW0006","QS108EW0007","QS108EW0008","QS108EW0009","QS108EW0010","QS108EW0011"
"E02000864",6559,2430,1666,670,94,4129,2961,147,233,467,321
"E02000865",5493,1996,1448,492,56,3497,2684,137,172,285,219
"E02000866",7891,3148,2004,968,176,4743,3636,201,214,394,298
"E02000867",8145,3279,1854,1211,214,4866,3866,191,197,398,214
"E02000868",5363,2006,1156,712,138,3357,2667,146,114,221,209
"E02000869",4706,1774,1110,516,148,2932,2160,131,142,277,222
"E02000870",5141,1897,1238,572,87,3244,2461,129,139,286,229
"E02000871",6357,2692,2084,516,92,3665,2624,287,208,285,261
"E02000872",6164,2093,1306,644,143,4071,3205,181,154,300,231
"E02000873",5889,2205,1590,497,118,3684,2825,199,158,240,262
"E02000874",5276,2002,1584,364,54,3274,2446,185,164,259,220
"E02000875",6990,2760,2136,530,94,4230,3123,238,210,403,256
"E02000876",5714,2142,1476,546,120,3572,2794,202,145,267,164
"E02000877",7309,2789,2186,487,116,4520,3377,308,222,324,289
"E02000878",8042,2929,1966,810,153,5113,4040,314,163,302,294
"E02000879",5895,2271,1706,464,101,3624,2636,214,168,301,305
"E02000880",4467,1679,1284,332,63,2788,2042,199,127,194,226
"E02000881",4924,2055,1610,373,72,2869,1996,184,197,279,213
"E02000882",6234,2785,2214,470,101,3449,2457,253,170,283,286
"E02000883",5712,2262,1816,370,76,3450,2348,215,195,372,320
"E02000884",7757,2760,1732,862,166,4997,4018,331,181,235,232
"E02000885",5244,2059,1620,333,106,3185,2193,204,189,310,289
"E02000886",6008,2691,1822,704,165,3317,2450,249,155,274,189
"E02000887",6342,2643,1997,560,86,3699,2620,225,211,369,274
"E02000888",6456,2994,2076,782,136,3462,2596,270,179,241,176
"E02000889",5429,2225,1550,562,113,3204,2460,185,137,253,169
"E02000890",5219,2500,1476,884,140,2719,2005,188,105,292,129
"E02000891",10535,4662,3025,1361,276,5873,4608,391,234,422,218
"E02000893",5461,2443,1800,525,118,3018,2168,143,164,352,191
"E02000894",8643,4066,2742,1130,194,4577,3581,271,177,371,177
"E02006853",5790,2516,1672,704,140,3274,2431,240,169,291,143
"E02006854",5059,2500,1670,700,130,2559,2016,206,99,185,53
