"GeographyCode","QS108EW0001","QS108EW0002","QS108EW0003","QS108EW0004","QS108EW0005","QS108EW0006","QS108EW0007","QS108EW0008","QS108EW0009","QS108EW0010","QS108EW0011"
"E00021141",264,92,82,6,4,172,113,13,9,16,21
"E00021143",285,106,86,18,2,179,138,3,10,14,14
"E00021145",213,84,50,30,4,129,100,7,5,13,4
"E00021146",284,86,24,52,10,198,180,7,6,0,5
"E00021147",164,64,50,12,2,100,75,13,3,6,3
"E00021148",233,78,58,18,2,155,116,6,6,13,14
"E00021149",240,110,78,32,0,130,94,4,4,16,12
"E00021150",235,90,64,24,2,145,105,9,8,16,7
"E00021151",213,68,58,10,0,145,103,7,10,14,11
"E00021152",287,116,102,12,2,171,127,12,6,9,17
"E00021153",325,130,50,72,8,195,180,1,6,4,4
"E00021154",289,106,84,20,2,183,133,18,3,17,12
"E00021155",329,112,32,70,10,217,195,5,4,9,4
"E00021156",193,66,52,14,0,127,76,5,6,21,19
"E00021157",228,102,78,24,0,126,98,2,7,13,6
"E00021158",230,88,80,8,0,142,100,10,9,11,12
"E00021159",488,162,112,38,12,326,216,20,15,31,44
"E00021160",241,100,74,22,4,141,111,3,5,10,12
"E00021161",319,112,86,24,2,207,153,9,6,18,21
"E00021162",310,100,76,20,4,210,183,7,7,7,6
"E00021163",251,82,68,12,2,169,120,12,9,8,20
"E00021164",217,82,64,14,4,135,78,14,9,19,15
"E00021165",261,90,76,10,4,171,131,6,11,10,13
"E00021166",303,96,60,30,6,207,160,6,6,20,15
"E00021167",243,96,52,36,8,147,110,6,9,15,7
"E00021168",360,118,22,78,18,242,227,3,3,7,2
"E00021169",384,178,104,60,14,206,172,7,8,10,9
"E00021170",332,142,112,28,2,190,138,7,19,18,8
"E00021171",507,198,148,48,2,309,257,11,10,16,15
"E00021172",236,72,46,24,2,164,123,3,12,21,5
"E00021173",294,98,62,28,8,196,152,8,8,13,15
"E00021174",220,126,54,60,12,94,84,0,2,6,2
"E00021175",245,66,50,16,0,179,149,3,5,8,14
"E00021176",251,92,68,20,4,159,115,5,3,21,15
"E00021177",310,106,82,24,0,204,154,9,11,18,12
"E00021179",293,108,58,42,8,185,160,4,6,12,3
"E00021180",340,114,80,30,4,226,164,15,15,20,12
"E00021181",209,64,32,28,4,145,113,6,12,7,7
"E00021182",317,110,44,60,6,207,185,2,8,10,2
"E00021183",222,96,46,40,10,126,113,1,3,9,0
"E00021184",132,60,38,20,2,72,63,1,1,4,3
"E00021185",244,90,64,26,0,154,121,3,8,15,7
"E00021186",351,130,104,22,4,221,150,20,13,17,21
"E00021187",198,104,94,10,0,94,55,8,8,13,10
"E00021188",261,64,44,18,2,197,136,10,5,24,22
"E00021189",320,104,82,16,6,216,167,15,6,12,16
"E00021190",381,128,80,40,8,253,217,6,8,11,11
"E00021191",305,146,108,22,16,159,125,10,4,8,12
"E00021192",248,92,82,8,2,156,106,14,7,15,14
"E00021193",314,108,44,50,14,206,185,6,3,11,1
"E00021194",413,164,146,16,2,249,187,22,12,20,8
"E00021195",295,102,90,10,2,193,150,8,11,6,18
"E00021196",251,122,106,14,2,129,94,5,7,11,12
"E00021197",362,156,82,64,10,206,165,7,10,16,8
"E00021198",221,96,88,6,2,125,95,4,5,7,14
"E00021199",144,32,22,4,6,112,76,4,10,21,1
"E00021200",252,82,70,8,4,170,128,7,9,19,7
"E00021201",247,80,58,16,6,167,118,13,3,16,17
"E00021202",191,86,60,24,2,105,71,11,6,8,9
"E00021203",203,66,58,8,0,137,85,15,11,12,14
"E00021204",342,118,94,20,4,224,180,15,5,15,9
"E00021205",254,104,92,10,2,150,111,14,10,6,9
"E00021206",164,78,72,6,0,86,60,6,9,2,9
"E00021207",249,112,40,62,10,137,101,3,5,18,10
"E00021208",233,90,78,10,2,143,116,7,8,4,8
"E00021209",184,82,68,14,0,102,74,9,5,8,6
"E00021210",232,82,78,4,0,150,114,12,7,5,12
"E00021211",302,104,72,24,8,198,153,14,6,18,7
"E00021212",206,66,62,4,0,140,99,10,9,14,8
"E00021213",312,116,104,10,2,196,134,20,10,18,14
"E00021214",340,138,104,32,2,202,163,8,9,11,11
"E00021215",319,110,52,48,10,209,185,8,6,6,4
"E00021216",264,72,54,14,4,192,137,12,10,29,4
"E00021217",360,118,84,32,2,242,199,9,7,19,8
"E00021218",409,222,160,46,16,187,143,9,14,17,4
"E00021219",213,110,86,22,2,103,65,3,4,17,14
"E00021220",295,162,116,36,10,133,110,5,5,9,4
"E00021223",355,172,74,82,16,183,145,10,4,16,8
"E00021224",340,120,90,26,4,220,161,13,7,19,20
"E00021225",244,110,66,40,4,134,80,7,11,24,12
"E00021227",225,108,82,18,8,117,74,5,10,18,10
"E00021228",290,114,98,16,0,176,118,17,5,17,19
"E00021229",221,84,74,8,2,137,101,5,10,16,5
"E00021230",217,110,78,30,2,107,72,6,6,13,10
"E00021231",185,70,44,16,10,115,68,5,11,17,14
"E00021235",248,110,100,4,6,138,94,9,13,10,12
"E00021236",241,120,86,28,6,121,95,8,3,10,5
"E00021238",367,164,102,58,4,203,168,15,6,13,1
"E00021239",253,144,108,30,6,109,86,15,1,7,0
"E00021240",284,108,68,34,6,176,135,11,7,17,6
"E00021241",252,88,62,20,6,164,131,11,3,14,5
"E00021243",275,132,100,28,4,143,107,7,5,17,7
"E00021244",203,66,54,10,2,137,71,5,13,34,14
"E00021245",195,66,42,18,6,129,81,5,9,20,14
"E00021246",395,188,130,52,6,207,143,9,12,20,23
"E00021247",274,108,96,10,2,166,126,2,7,19,12
"E00021248",239,122,100,18,4,117,82,7,9,15,4
"E00021249",249,102,78,24,0,147,102,0,14,22,9
"E00021251",223,80,72,8,0,143,99,4,9,10,21
"E00021252",242,100,66,26,8,142,111,10,3,14,4
"E00021253",243,71,56,13,2,172,127,6,11,18,10
"E00021254",204,98,72,20,6,106,89,7,4,5,1
"E00021255",193,110,62,38,10,83,63,5,6,9,0
"E00021256",214,100,58,34,8,114,97,6,2,4,5
"E00021257",209,110,76,22,12,99,77,7,1,7,7
"E00021258",266,90,80,6,4,176,115,10,8,24,19
"E00021259",305,118,94,24,0,187,142,7,7,22,9
"E00021260",255,80,56,18,6,175,128,9,9,17,12
"E00021261",217,92,58,30,4,125,86,13,2,13,11
"E00021262",218,102,86,14,2,116,83,2,8,15,8
"E00021263",327,145,96,37,12,182,137,6,12,16,11
"E00021266",231,78,38,36,4,153,122,7,8,11,5
"E00021267",257,96,66,26,4,161,107,11,10,17,16
"E00021268",203,82,48,30,4,121,92,5,7,8,9
"E00021271",330,138,94,38,6,192,136,6,14,19,17
"E00021272",182,78,50,28,0,104,73,3,10,10,8
"E00021273",236,88,66,16,6,148,80,1,9,34,24
"E00021274",385,120,98,18,4,265,187,16,14,28,20
"E00021275",206,70,56,14,0,136,85,8,10,20,13
"E00021277",208,70,60,10,0,138,96,4,8,18,12
"E00021278",148,48,32,14,2,100,77,5,5,10,3
"E00021279",322,118,98,16,4,204,132,7,13,30,22
"E00021280",245,86,46,38,2,159,116,5,6,18,14
"E00021281",436,160,98,54,8,276,229,3,12,26,6
"E00021282",343,114,68,42,4,229,173,8,14,23,11
"E00021285",112,54,22,28,4,58,50,0,2,6,0
"E00021286",209,88,46,34,8,121,103,2,4,7,5
"E00021287",266,156,52,90,14,110,97,3,4,6,0
"E00021288",225,106,52,42,12,119,109,1,5,4,0
"E00021289",210,104,82,18,4,106,72,1,10,18,5
"E00021290",247,84,74,8,2,163,105,9,15,19,15
"E00021291",369,214,66,136,12,155,130,4,4,14,3
"E00021292",231,88,64,24,0,143,95,5,10,18,15
"E00021294",367,144,106,34,4,223,142,19,21,22,19
"E00021295",327,136,90,40,6,191,161,8,6,9,7
"E00021296",300,148,74,66,8,152,129,6,6,5,6
"E00021297",336,162,90,50,22,174,121,4,16,18,15
"E00021298",365,160,92,58,10,205,172,5,6,16,6
"E00021299",371,160,102,48,10,211,169,8,7,19,8
"E00021300",422,156,106,32,18,266,226,10,7,18,5
"E00021301",331,134,118,14,2,197,130,10,14,24,19
"E00021302",384,138,80,40,18,246,198,15,13,9,11
"E00021303",286,106,84,14,8,180,125,18,13,16,8
"E00021304",286,86,64,20,2,200,162,8,8,8,14
"E00021305",214,96,60,32,4,118,99,4,3,8,4
"E00021306",231,118,74,30,14,113,86,3,7,8,9
"E00021307",422,134,58,54,22,288,259,13,4,9,3
"E00021308",355,124,88,30,6,231,187,12,7,14,11
"E00021309",177,92,36,56,0,85,71,0,5,8,1
"E00021310",215,70,62,6,2,145,104,6,3,16,16
"E00021311",246,102,78,24,0,144,94,9,11,15,15
"E00021312",241,96,74,16,6,145,105,8,11,11,10
"E00021313",404,152,76,68,8,252,206,11,7,12,16
"E00021314",305,138,94,36,8,167,134,4,8,17,4
"E00021315",135,30,30,0,0,105,34,5,10,27,29
"E00021316",247,76,62,12,2,171,125,13,5,13,15
"E00021317",264,144,82,52,10,120,93,2,9,8,8
"E00021318",262,92,52,38,2,170,129,3,11,17,10
"E00021319",268,74,50,22,2,194,151,4,6,24,9
"E00021320",252,100,60,34,6,152,113,3,5,19,12
"E00021321",248,124,72,42,10,124,102,8,1,7,6
"E00021322",243,90,74,14,2,153,107,14,9,13,10
"E00021323",290,94,80,14,0,196,125,10,11,25,25
"E00021324",339,136,86,48,2,203,148,8,6,15,26
"E00021325",309,138,98,34,6,171,124,10,8,21,8
"E00021326",303,126,108,18,0,177,138,8,9,13,9
"E00021327",342,148,90,50,8,194,138,4,15,24,13
"E00021328",309,110,98,12,0,199,147,13,13,21,5
"E00021329",326,110,92,14,4,216,142,8,12,29,25
"E00021330",264,100,84,8,8,164,115,12,8,20,9
"E00021331",155,68,54,10,4,87,64,3,4,10,6
"E00021332",333,136,120,14,2,197,147,12,8,16,14
"E00021333",262,118,92,24,2,144,100,8,8,15,13
"E00021334",294,130,98,30,2,164,100,18,12,19,15
"E00021335",423,146,124,20,2,277,193,21,13,27,23
"E00021336",189,86,74,12,0,103,60,5,13,15,10
"E00021337",247,114,100,10,4,133,103,8,7,7,8
"E00021338",297,142,124,10,8,155,107,18,11,4,15
"E00021339",272,94,66,26,2,178,141,5,8,16,8
"E00021340",336,116,68,38,10,220,166,12,14,16,12
"E00021342",213,104,86,18,0,109,72,8,9,15,5
"E00021344",385,150,142,6,2,235,160,22,13,19,21
"E00021345",236,110,88,18,4,126,88,11,6,12,9
"E00021346",228,90,76,8,6,138,87,9,12,18,12
"E00021347",259,120,106,12,2,139,103,6,12,14,4
"E00021349",293,134,106,18,10,159,123,10,6,9,11
"E00021350",252,104,84,20,0,148,93,13,10,18,14
"E00021351",254,112,96,14,2,142,94,16,8,14,10
"E00021352",200,98,74,10,14,102,79,3,7,7,6
"E00021353",231,86,76,10,0,145,88,14,10,16,17
"E00021354",357,144,120,22,2,213,168,12,7,14,12
"E00021355",266,106,52,50,4,160,135,4,9,7,5
"E00021357",284,132,112,20,0,152,86,22,11,13,20
"E00021359",246,122,94,20,8,124,74,17,8,13,12
"E00021360",309,140,124,16,0,169,108,23,11,13,14
