"GeographyCode","QS110EW0001","QS110EW0002","QS110EW0003","QS110EW0004","QS110EW0005","QS110EW0006","QS110EW0007","QS110EW0008","QS110EW0009","QS110EW0010","QS110EW0011","QS110EW0012","QS110EW0013","QS110EW0014","QS110EW0015","QS110EW0016","QS110EW0017","QS110EW0018","QS110EW0019","QS110EW0020","QS110EW0021","QS110EW0022","QS110EW0023","QS110EW0024","QS110EW0025","QS110EW0026","QS110EW0027"
"E01004197",1862,341,219,122,684,539,99,32,9,5,595,338,128,65,52,12,135,57,56,22,54,17,26,11,53,14,39
"E01004198",1235,235,126,109,421,287,87,25,15,7,312,174,67,28,33,10,94,29,47,18,90,34,37,19,83,50,33
"E01004199",1172,254,100,154,326,182,84,45,14,1,377,145,94,74,45,19,81,27,36,18,69,23,32,14,65,24,41
"E01004200",1227,285,222,63,562,498,41,18,2,3,282,183,34,48,6,11,56,22,28,6,24,7,13,4,18,6,12
"E01004201",1224,213,122,91,387,300,60,13,12,2,401,206,82,48,54,11,109,38,57,14,54,23,26,5,60,28,32
"E01004202",1427,266,170,96,582,490,68,14,8,2,448,278,74,48,37,11,67,34,23,10,43,12,22,9,21,5,16
"E01004203",1466,273,196,77,653,552,73,20,4,4,354,194,71,47,34,8,88,31,48,9,56,20,28,8,42,19,23
"E01004204",1243,223,119,104,345,240,69,18,9,9,390,202,73,41,48,26,106,38,56,12,76,35,33,8,103,50,53
"E01004205",1580,412,195,217,505,300,137,46,14,8,456,172,120,88,55,21,107,36,37,34,61,17,28,16,39,13,26
"E01004206",1183,312,165,147,340,221,81,20,10,8,312,140,59,57,44,12,100,37,34,29,66,22,30,14,53,25,28
"E01004207",1078,290,176,114,291,206,71,9,3,2,303,158,57,44,27,17,91,25,49,17,52,21,23,8,51,28,23
"E01004208",1612,420,304,116,665,565,76,17,7,0,397,277,56,35,25,4,77,29,36,12,28,13,11,4,25,10,15
"E01004209",985,227,136,91,332,173,115,33,9,2,274,117,65,63,21,8,72,24,26,22,46,12,23,11,34,12,22
"E01004211",1339,273,211,62,588,531,41,8,7,1,349,248,40,25,25,11,67,29,26,12,29,13,11,5,33,21,12
"E01004212",1309,324,241,83,467,350,77,33,6,1,361,219,63,51,19,9,69,21,40,8,56,23,30,3,32,18,14
"E01004214",1208,242,90,152,319,158,121,32,5,3,408,192,85,59,44,28,125,47,56,22,69,36,25,8,45,20,25
"E01004215",2206,403,242,161,901,707,146,37,10,1,598,337,108,96,37,20,130,42,77,11,93,28,58,7,81,34,47
"E01004216",1363,204,142,62,560,445,104,8,2,1,413,249,76,42,33,13,87,37,43,7,45,22,22,1,54,30,24
"E01004217",1429,208,137,71,472,328,113,19,10,2,427,261,92,39,23,12,150,62,73,15,90,45,34,11,82,32,50
"E01004218",1461,239,164,75,514,362,113,22,7,10,485,290,79,55,36,25,117,35,71,11,69,22,41,6,37,18,19
"E01004219",1755,408,237,171,717,470,186,42,11,8,431,189,104,70,48,20,109,24,58,27,57,9,33,15,33,15,18
"E01004221",1561,245,148,97,671,538,105,24,3,1,461,311,73,46,22,9,106,25,66,15,54,14,32,8,24,8,16
"E01004222",1931,357,153,204,493,344,118,21,4,6,596,293,132,83,63,25,209,82,104,23,141,66,66,9,135,77,58
"E01004223",1675,254,140,114,473,319,103,37,12,2,539,318,87,66,42,26,171,58,100,13,100,50,45,5,138,75,63
"E01004224",1633,321,197,124,614,478,81,46,2,7,419,234,63,66,38,18,110,32,62,16,81,30,45,6,88,37,51
"E01004225",1966,340,306,34,975,884,82,8,1,0,519,405,75,28,10,1,67,34,27,6,35,9,25,1,30,14,16
"E01004226",1320,286,180,106,429,281,115,28,2,3,400,210,88,59,21,22,86,27,45,14,63,21,36,6,56,23,33
"E01004228",1557,231,168,63,501,418,68,11,3,1,498,293,95,56,40,14,173,49,107,17,83,31,49,3,71,25,46
"E01004229",1191,265,157,108,386,270,93,11,10,2,341,181,57,63,30,10,98,26,59,13,61,23,31,7,40,18,22
"E01004230",1693,321,229,92,584,446,94,30,10,4,468,228,106,64,52,18,131,45,68,18,86,31,44,11,103,47,56
"E01004231",1314,277,157,120,460,281,119,46,14,0,355,163,80,58,48,6,93,24,56,13,64,20,37,7,65,36,29
"E01004232",1413,366,305,61,476,426,41,5,3,1,368,201,80,57,19,11,114,39,58,17,61,17,39,5,28,9,19
"E01004233",1387,244,121,123,387,247,110,23,5,2,406,227,85,52,36,6,152,76,62,14,110,52,43,15,88,50,38
"E01004234",1841,331,264,67,627,529,77,14,6,1,586,331,138,58,47,12,150,38,97,15,86,21,63,2,61,26,35
"E01004235",978,166,73,93,306,153,107,34,12,0,349,143,89,64,43,10,62,27,24,11,52,16,28,8,43,22,21
"E01004236",1202,310,97,213,311,154,115,31,7,4,391,137,87,93,51,23,86,16,44,26,49,17,20,12,55,18,37
"E01004237",899,184,113,71,303,208,78,9,5,3,274,156,50,35,22,11,59,27,28,4,36,15,17,4,43,23,20
