"GeographyCode","QS110EW0001","QS110EW0002","QS110EW0003","QS110EW0004","QS110EW0005","QS110EW0006","QS110EW0007","QS110EW0008","QS110EW0009","QS110EW0010","QS110EW0011","QS110EW0012","QS110EW0013","QS110EW0014","QS110EW0015","QS110EW0016","QS110EW0017","QS110EW0018","QS110EW0019","QS110EW0020","QS110EW0021","QS110EW0022","QS110EW0023","QS110EW0024","QS110EW0025","QS110EW0026","QS110EW0027"
"E02000864",6559,1218,670,548,2009,1422,417,132,20,18,1954,1055,370,274,164,91,576,199,311,66,385,167,192,26,417,212,205
"E02000865",5493,1043,567,476,1818,1308,330,115,50,15,1685,863,371,215,184,52,419,151,196,72,267,97,121,49,261,116,145
"E02000866",7891,1493,1087,406,2575,2066,390,83,27,9,2326,1280,504,287,194,61,720,247,392,81,426,152,238,36,351,157,194
"E02000867",8145,1683,1202,481,3396,2775,480,103,34,4,2114,1316,324,273,161,40,438,140,236,62,265,95,143,27,249,132,117
"E02000868",5363,1047,707,340,2142,1780,251,70,23,18,1474,857,252,184,125,56,317,125,155,37,199,74,96,29,184,80,104
"E02000869",4706,776,533,243,1555,1224,235,68,20,8,1515,940,250,167,114,44,368,136,189,43,244,99,120,25,248,123,125
"E02000870",5141,1034,616,418,1696,1287,279,95,20,15,1537,813,270,222,162,70,372,119,199,54,233,91,113,29,269,127,142
"E02000871",6357,1406,664,742,2076,1218,619,182,42,15,1937,855,441,363,191,87,404,119,193,92,274,82,128,64,260,90,170
"E02000872",6164,1229,850,379,2554,2080,330,93,30,21,1585,930,284,228,109,34,364,129,161,74,208,71,93,44,224,87,137
"E02000873",5889,1603,1171,432,1920,1338,423,119,32,8,1532,733,384,269,101,45,356,136,165,55,234,83,115,36,244,117,127
"E02000874",5276,1309,787,522,1697,1098,425,130,33,11,1495,699,342,264,129,61,356,96,180,80,240,78,109,53,179,84,95
"E02000875",6990,1670,882,788,2273,1457,594,166,36,20,2100,925,468,425,212,70,485,183,205,97,254,82,131,41,208,83,125
"E02000876",5714,1417,875,542,2098,1617,335,91,38,17,1514,837,275,205,149,48,351,131,133,87,184,65,80,39,150,69,81
"E02000877",7309,1833,1067,766,2404,1471,675,183,51,24,2045,874,539,358,192,82,463,133,214,116,318,99,151,68,246,105,141
"E02000878",8042,1708,1160,548,3179,2569,437,105,46,22,2066,1234,355,277,133,67,520,166,229,125,339,104,165,70,230,88,142
"E02000879",5895,1454,905,549,1700,1195,362,100,33,10,1602,742,333,294,183,50,464,175,217,72,328,123,163,42,347,186,161
"E02000880",4467,991,596,395,1494,1034,364,60,23,13,1292,656,286,197,118,35,280,92,122,66,204,59,106,39,206,114,92
"E02000881",4924,1062,430,632,1325,705,432,136,38,14,1699,724,402,310,201,62,444,111,244,89,202,71,101,30,192,101,91
"E02000882",6234,1376,557,819,1829,995,622,148,43,21,2037,820,511,422,227,57,446,96,242,108,280,92,131,57,266,128,138
"E02000883",5712,1198,541,657,1640,924,547,134,27,8,1793,791,371,367,179,85,471,142,238,91,271,83,151,37,339,161,178
"E02000884",7757,1836,1349,487,3430,2844,434,102,30,20,1745,1096,296,199,116,38,329,99,139,91,249,58,115,76,168,49,119
"E02000885",5244,1144,539,605,1546,947,445,98,33,23,1607,785,346,257,160,59,373,126,173,74,323,116,154,53,251,118,133
"E02000886",6008,941,570,371,2214,1701,366,95,41,11,1982,1197,390,244,113,38,463,182,228,53,209,70,106,33,199,92,107
"E02000887",6342,1283,578,705,2097,1261,600,184,33,19,1910,863,380,352,223,92,468,133,243,92,297,86,162,49,287,123,164
"E02000888",6456,1165,663,502,2563,1826,592,115,19,11,1997,1122,435,255,134,51,359,121,172,66,200,63,101,36,172,76,96
"E02000889",5429,854,556,298,2077,1603,391,59,15,9,1706,1074,336,159,105,32,439,163,215,61,209,79,100,30,144,70,74
"E02000890",5219,512,395,117,1936,1713,196,14,5,8,1864,1387,291,95,67,24,505,203,277,25,225,92,122,11,177,90,87
"E02000891",10535,1900,1355,545,4968,3953,816,153,33,13,2753,1736,500,304,156,57,492,134,283,75,251,63,152,36,171,63,108
"E02000893",5461,893,533,360,1865,1293,451,81,24,16,1733,992,332,195,136,78,479,181,243,55,273,125,122,26,218,100,118
"E02000894",8643,1429,992,437,3740,2965,644,98,25,8,2561,1674,461,218,150,58,548,154,314,80,226,71,120,35,139,47,92
"E02006853",5790,1110,721,389,2523,1926,499,65,25,8,1584,979,287,163,103,52,275,102,141,32,180,69,83,28,118,52,66
"E02006854",5059,814,598,216,2263,1913,297,45,4,4,1603,1127,254,147,52,23,238,66,147,25,97,26,63,8,44,13,31
