"GeographyCode","QS110EW0001","QS110EW0002","QS110EW0003","QS110EW0004","QS110EW0005","QS110EW0006","QS110EW0007","QS110EW0008","QS110EW0009","QS110EW0010","QS110EW0011","QS110EW0012","QS110EW0013","QS110EW0014","QS110EW0015","QS110EW0016","QS110EW0017","QS110EW0018","QS110EW0019","QS110EW0020","QS110EW0021","QS110EW0022","QS110EW0023","QS110EW0024","QS110EW0025","QS110EW0026","QS110EW0027"
"E00021141",264,68,20,48,58,16,27,6,6,3,61,29,10,7,12,3,22,6,9,7,25,7,11,7,30,21,9
"E00021143",285,56,36,20,83,53,21,3,6,0,91,40,23,15,13,0,18,1,13,4,13,8,3,2,24,8,16
"E00021145",213,19,13,6,53,47,6,0,0,0,95,63,12,13,7,0,28,9,16,3,7,3,4,0,11,3,8
"E00021146",284,66,63,3,148,141,7,0,0,0,59,53,3,0,1,2,2,1,1,0,5,2,2,1,4,1,3
"E00021147",164,31,19,12,41,32,3,5,1,0,67,29,15,7,14,2,9,3,6,0,12,2,10,0,4,3,1
"E00021148",233,36,25,11,92,74,17,1,0,0,50,30,10,4,5,1,27,10,13,4,17,8,8,1,11,4,7
"E00021149",240,39,12,27,73,47,17,8,1,0,85,32,28,15,9,1,20,6,6,8,12,5,6,1,11,3,8
"E00021150",235,39,29,10,71,48,10,13,0,0,71,33,18,7,9,4,26,7,16,3,16,5,9,2,12,3,9
"E00021151",213,46,17,29,42,27,6,7,2,0,72,36,7,13,11,5,20,7,11,2,14,8,3,3,19,8,11
"E00021152",287,61,24,37,73,46,14,8,1,4,101,42,26,18,11,4,21,7,10,4,20,6,12,2,11,5,6
"E00021153",325,61,57,4,174,162,11,1,0,0,53,44,7,2,0,0,19,7,10,2,12,3,9,0,6,1,5
"E00021154",289,85,31,54,77,38,22,13,1,3,87,21,14,40,5,7,28,10,14,4,6,1,2,3,6,3,3
"E00021155",329,73,71,2,163,157,1,4,1,0,83,65,10,6,0,2,7,4,3,0,1,1,0,0,2,1,1
"E00021156",193,24,14,10,73,53,16,2,2,0,58,43,14,0,1,0,10,4,5,1,12,8,3,1,16,16,0
"E00021157",228,50,25,25,73,36,26,8,3,0,77,25,23,18,7,4,13,3,8,2,8,1,5,2,7,2,5
"E00021158",230,56,13,43,65,26,20,14,4,1,61,14,20,13,13,1,18,7,8,3,17,5,7,5,13,6,7
"E00021159",488,77,49,28,157,121,21,5,6,4,131,79,22,9,11,10,38,15,17,6,32,16,15,1,53,21,32
"E00021160",241,46,23,23,90,69,14,5,2,0,70,26,18,16,8,2,10,5,4,1,17,4,11,2,8,5,3
"E00021161",319,43,33,10,136,97,24,12,0,3,74,48,13,7,4,2,44,13,27,4,13,3,10,0,9,3,6
"E00021162",310,68,38,30,127,96,17,3,7,4,72,39,15,10,6,2,9,2,4,3,20,6,6,8,14,6,8
"E00021163",251,58,33,25,69,50,16,2,0,1,68,35,9,12,6,6,24,8,15,1,18,8,6,4,14,8,6
"E00021164",217,27,13,14,46,23,18,3,2,0,90,46,16,2,20,6,23,8,14,1,6,5,0,1,25,16,9
"E00021165",261,63,33,30,73,46,15,8,4,0,82,38,16,15,5,8,10,4,3,3,18,4,11,3,15,5,10
"E00021166",303,69,44,25,114,92,19,1,1,1,77,31,18,14,10,4,14,5,6,3,12,4,4,4,17,9,8
"E00021167",243,45,27,18,97,80,14,2,1,0,68,34,18,7,9,0,14,6,7,1,12,7,3,2,7,2,5
"E00021168",360,70,69,1,216,214,2,0,0,0,65,55,4,3,3,0,6,2,4,0,2,2,0,0,1,0,1
"E00021169",384,67,31,36,157,122,23,8,2,2,132,84,20,10,10,8,6,2,2,2,18,3,11,4,4,0,4
