"GeographyCode","QS111EW0001","QS111EW0002","QS111EW0003","QS111EW0004","QS111EW0005","QS111EW0006","QS111EW0007","QS111EW0008","QS111EW0009","QS111EW0010","QS111EW0011","QS111EW0012","QS111EW0013","QS111EW0014","QS111EW0015","QS111EW0016","QS111EW0017"
"E01004197",964,391,96,226,69,400,154,95,151,98,57,32,9,75,31,37,7
"E01004198",606,203,53,98,52,213,77,49,87,60,29,26,5,130,84,38,8
"E01004199",574,174,40,61,73,250,73,37,140,55,27,18,10,95,47,37,11
"E01004200",585,321,70,228,23,191,72,60,59,44,22,19,3,29,13,15,1
"E01004201",619,192,40,110,42,271,87,63,121,72,38,28,6,84,51,30,3
"E01004202",713,314,72,203,39,303,107,95,101,50,34,12,4,46,17,24,5
"E01004203",689,320,62,212,46,236,62,78,96,61,31,25,5,72,39,29,4
"E01004204",631,163,48,73,42,262,78,72,112,74,38,29,7,132,85,45,2
"E01004205",688,263,59,119,85,288,76,45,167,68,36,15,17,69,30,32,7
"E01004206",554,197,72,77,48,197,66,34,97,70,37,16,17,90,47,35,8
"E01004207",515,174,51,82,41,204,64,51,89,61,25,28,8,76,49,23,4
"E01004208",788,414,102,273,39,285,126,86,73,54,29,19,6,35,23,11,1
"E01004209",466,179,54,57,68,185,52,36,97,49,24,15,10,53,24,20,9
"E01004211",720,367,120,228,19,260,132,69,59,48,29,15,4,45,34,8,3
"E01004212",720,351,158,139,54,256,98,67,91,48,21,21,6,65,41,22,2
"E01004214",665,188,55,37,96,295,94,56,145,94,47,34,13,88,56,28,4
"E01004215",1168,557,193,248,116,392,111,114,167,92,42,45,5,127,62,60,5
"E01004216",737,310,58,188,64,284,88,93,103,66,37,25,4,77,52,25,0
"E01004217",779,261,66,116,79,279,98,76,105,110,62,42,6,129,77,48,4
"E01004218",731,269,53,150,66,302,87,100,115,87,35,44,8,73,40,30,3
"E01004219",851,438,138,178,122,281,72,66,143,71,24,34,13,61,24,28,9
"E01004221",802,350,101,189,60,327,102,122,103,70,25,35,10,55,22,29,4
"E01004222",1048,289,60,132,97,387,117,83,187,160,82,65,13,212,143,67,2
"E01004223",938,262,54,107,101,373,118,108,147,119,58,55,6,184,125,55,4
"E01004224",806,326,64,197,65,284,87,78,119,73,32,35,6,123,67,52,4
"E01004225",1147,667,196,402,69,383,183,137,63,49,34,12,3,48,23,25,0
"E01004226",676,252,52,116,84,274,80,68,126,66,27,29,10,84,44,38,2
"E01004228",769,233,43,147,43,320,98,97,125,116,49,57,10,100,56,44,0
"E01004229",551,205,39,108,58,210,57,60,93,62,26,30,6,74,41,28,5
"E01004230",803,271,37,179,55,298,70,73,155,93,45,35,13,141,78,56,7
"E01004231",629,238,37,101,100,229,55,46,128,58,24,29,5,104,56,41,7
"E01004232",603,235,34,179,22,228,60,79,89,82,39,33,10,58,26,29,3
"E01004233",751,207,35,99,73,272,93,63,116,110,76,30,4,162,102,51,9
"E01004234",903,339,62,222,55,363,104,109,150,98,38,54,6,103,47,56,0
"E01004235",513,166,41,50,75,237,66,39,132,44,27,12,5,66,38,26,2
"E01004236",497,146,30,48,68,223,35,41,147,50,16,22,12,78,35,34,9
