"GeographyCode","QS111EW0001","QS111EW0002","QS111EW0003","QS111EW0004","QS111EW0005","QS111EW0006","QS111EW0007","QS111EW0008","QS111EW0009","QS111EW0010","QS111EW0011","QS111EW0012","QS111EW0013","QS111EW0014","QS111EW0015","QS111EW0016","QS111EW0017"
"E02000864",3468,1129,230,552,347,1318,402,337,579,418,199,184,35,603,379,212,12
"E02000865",2763,960,229,495,236,1134,391,244,499,285,151,104,30,384,213,142,29
"E02000866",3829,1285,211,826,248,1481,425,421,635,499,247,209,43,564,309,236,19
"E02000867",4307,2136,542,1230,364,1477,534,436,507,299,140,126,33,395,227,150,18
"E02000868",2618,1118,252,716,150,992,319,305,368,229,125,85,19,279,154,113,12
"E02000869",2485,802,177,479,146,1038,409,273,356,269,136,108,25,376,222,137,17
"E02000870",2560,910,177,527,206,1019,329,241,449,258,119,110,29,373,218,135,20
"E02000871",3107,1199,318,468,413,1268,363,234,671,273,119,112,42,367,172,161,34
"E02000872",3088,1433,369,847,217,1093,393,293,407,251,129,87,35,311,158,130,23
"E02000873",2792,1199,309,631,259,985,246,253,486,251,136,88,27,357,200,141,16
"E02000874",2494,983,326,397,260,982,285,224,473,240,96,100,44,289,162,101,26
"E02000875",3437,1333,342,602,389,1407,389,282,736,357,183,121,53,340,165,154,21
"E02000876",2750,1241,353,697,191,1030,400,234,396,240,131,65,44,239,134,86,19
"E02000877",3252,1222,247,561,414,1316,294,301,721,319,133,123,63,395,204,159,32
"E02000878",3900,1807,568,1031,208,1352,541,355,456,339,166,114,59,402,192,173,37
"E02000879",2855,984,256,515,213,1026,290,224,512,329,175,117,37,516,309,186,21
"E02000880",2090,782,186,411,185,819,271,183,365,189,92,68,29,300,173,108,19
"E02000881",2379,678,175,203,300,1102,265,226,611,305,111,139,55,294,172,107,15
"E02000882",2884,907,250,334,323,1290,320,251,719,294,96,146,52,393,220,140,33
"E02000883",2880,906,235,308,363,1192,303,227,662,334,142,141,51,448,244,182,22
"E02000884",3707,2039,575,1245,219,1196,492,323,381,218,99,77,42,254,107,110,37
"E02000885",2509,790,212,323,255,1048,286,254,508,257,126,96,35,414,234,163,17
"E02000886",3185,1231,329,669,233,1327,469,394,464,337,182,123,32,290,162,114,14
"E02000887",3165,1196,281,439,476,1257,325,260,672,303,133,130,40,409,209,173,27
"E02000888",3306,1449,411,695,343,1345,469,366,510,254,121,92,41,258,139,102,17
"E02000889",2879,1141,351,585,205,1164,449,347,368,315,163,121,31,259,149,99,11
"E02000890",3093,1072,381,609,82,1351,653,414,284,370,203,152,15,300,182,113,5
"E02000891",5742,3176,1087,1538,551,1942,683,621,638,330,134,158,38,294,126,147,21
"E02000893",2912,1028,232,491,305,1160,367,325,468,357,181,145,31,367,225,131,11
"E02000894",4510,2107,616,1117,374,1770,658,579,533,379,154,181,44,254,118,121,15
"E02006853",3320,1775,702,736,337,1142,438,320,384,191,102,72,17,212,121,80,11
"E02006854",2991,1573,642,770,161,1166,490,370,306,157,66,78,13,95,39,52,4
