"GeographyCode","QS111EW0001","QS111EW0002","QS111EW0003","QS111EW0004","QS111EW0005","QS111EW0006","QS111EW0007","QS111EW0008","QS111EW0009","QS111EW0010","QS111EW0011","QS111EW0012","QS111EW0013","QS111EW0014","QS111EW0015","QS111EW0016","QS111EW0017"
"E00021141",117,25,9,1,15,40,15,6,19,13,6,6,1,39,28,9,2
"E00021143",138,42,3,23,16,60,17,12,31,8,1,6,1,28,16,10,2
"E00021145",104,21,5,14,2,53,21,17,15,18,9,8,1,12,6,6,0
"E00021146",143,92,24,65,3,43,19,20,4,2,1,1,0,6,3,3,0
"E00021147",83,28,10,11,7,38,6,10,22,6,3,3,0,11,5,6,0
"E00021148",119,45,9,29,7,33,11,7,15,18,10,7,1,23,12,11,0
"E00021149",126,37,9,14,14,56,16,9,31,17,6,4,7,16,8,6,2
"E00021150",116,36,4,20,12,44,9,13,22,17,7,9,1,19,8,10,1
"E00021151",113,23,8,8,7,51,20,8,23,11,7,4,0,28,16,8,4
"E00021152",138,38,16,11,11,63,17,15,31,18,7,7,4,19,11,7,1
"E00021153",149,85,12,69,4,39,18,15,6,12,7,5,0,13,4,9,0
"E00021154",121,36,8,14,14,54,10,6,38,24,10,11,3,7,4,2,1
"E00021155",172,108,26,80,2,55,25,19,11,6,4,2,0,3,2,1,0
"E00021156",133,50,22,18,10,50,28,11,11,7,4,2,1,26,24,2,0
"E00021157",106,41,7,12,22,48,13,7,28,10,3,6,1,7,3,4,0
"E00021158",107,31,6,8,17,43,7,4,32,11,7,3,1,22,11,7,4
"E00021159",246,73,16,43,14,88,28,27,33,24,15,7,2,61,37,24,0
"E00021160",112,40,5,26,9,46,13,8,25,8,5,3,0,18,9,7,2
"E00021161",154,64,8,32,24,46,13,19,14,30,13,14,3,14,6,8,0
"E00021162",121,47,9,30,8,46,14,12,20,5,2,2,1,23,12,6,5
"E00021163",119,30,8,15,7,48,12,15,21,15,8,7,0,26,16,9,1
"E00021164",128,22,8,4,10,63,21,15,27,17,8,8,1,26,21,5,0
"E00021165",122,42,10,19,13,52,17,9,26,6,4,1,1,22,9,12,1
"E00021166",126,47,4,37,6,46,8,9,29,9,5,3,1,24,13,9,2
"E00021167",128,56,19,30,7,48,14,13,21,11,6,4,1,13,9,4,0
"E00021168",169,113,26,87,0,50,14,29,7,3,2,1,0,3,2,1,0
"E00021169",189,80,19,45,16,89,31,31,27,4,2,1,1,16,3,10,3
"E00021170",162,56,11,22,23,66,13,11,42,27,12,12,3,13,7,5,1
"E00021171",241,100,30,49,21,96,27,27,42,24,13,7,4,21,5,11,5
"E00021172",125,27,9,12,6,59,25,15,19,29,17,10,2,10,6,3,1
"E00021173",146,40,7,26,7,69,19,16,34,17,12,2,3,20,14,6,0
"E00021174",128,50,9,39,2,57,21,30,6,19,16,3,0,2,2,0,0
"E00021175",127,55,11,38,6,45,20,10,15,12,5,7,0,15,10,5,0
"E00021176",151,46,14,23,9,64,29,13,22,17,12,4,1,24,10,14,0
"E00021177",134,46,9,22,15,53,11,7,35,11,5,5,1,24,12,11,1
"E00021179",140,72,12,55,5,55,28,15,12,8,3,4,1,5,4,1,0
"E00021180",168,74,16,37,21,67,24,9,34,13,8,3,2,14,6,8,0
"E00021181",107,46,12,31,3,48,24,15,9,6,3,2,1,7,5,1,1
"E00021182",169,96,23,67,6,65,34,16,15,5,5,0,0,3,1,2,0
"E00021183",135,73,26,47,0,51,24,21,6,10,9,1,0,1,1,0,0
"E00021184",69,31,9,20,2,35,15,8,12,2,1,1,0,1,1,0,0
"E00021185",131,37,11,19,7,63,21,17,25,18,9,8,1,13,11,2,0
"E00021186",156,51,14,24,13,52,18,5,29,23,11,5,7,30,14,15,1
"E00021187",97,34,3,11,20,40,4,7,29,12,5,5,2,11,5,4,2
"E00021188",120,27,7,17,3,41,15,10,16,21,8,9,4,31,27,3,1
"E00021189",122,40,6,23,11,38,5,12,21,16,7,5,4,28,12,10,6
"E00021190",161,80,9,59,12,55,20,18,17,12,5,4,3,14,10,4,0
"E00021191",124,48,6,27,15,61,15,18,28,9,4,4,1,6,0,5,1
"E00021192",113,39,6,17,16,36,7,4,25,14,7,2,5,24,16,8,0
"E00021193",182,118,39,77,2,57,35,18,4,6,4,2,0,1,1,0,0
"E00021194",176,73,17,38,18,80,14,12,54,16,7,4,5,7,2,4,1
"E00021195",108,35,5,23,7,46,4,13,29,10,2,4,4,17,6,7,4
"E00021196",114,33,7,8,18,55,13,5,37,14,4,6,4,12,5,6,1
"E00021197",215,107,49,46,12,82,41,24,17,13,5,7,1,13,7,6,0
"E00021198",92,30,4,16,10,34,1,4,29,16,7,7,2,12,7,4,1
"E00021199",111,39,24,5,10,52,34,6,12,12,12,0,0,8,7,1,0
"E00021200",107,38,4,23,11,40,10,7,23,13,5,4,4,16,9,6,1
"E00021201",107,35,8,16,11,50,14,15,21,10,4,5,1,12,7,5,0
"E00021202",92,32,9,11,12,40,8,5,27,8,3,3,2,12,7,2,3
"E00021203",104,33,5,17,11,38,16,10,12,8,3,5,0,25,16,8,1
"E00021204",145,68,35,25,8,52,17,11,24,19,6,10,3,6,1,3,2
"E00021205",100,42,10,19,13,36,9,7,20,7,1,1,5,15,6,6,3
"E00021206",78,38,17,6,15,24,4,4,16,7,2,2,3,9,2,6,1
"E00021207",164,84,24,58,2,44,33,6,5,8,6,2,0,28,26,2,0
"E00021208",108,41,12,16,13,45,14,10,21,9,5,2,2,13,5,7,1
"E00021209",72,33,5,12,16,23,6,6,11,8,3,4,1,8,4,2,2
"E00021210",78,25,5,10,10,35,9,7,19,5,1,2,2,13,4,7,2
"E00021211",135,63,18,31,14,49,11,19,19,14,5,7,2,9,7,2,0
"E00021212",75,19,2,8,9,38,6,8,24,8,1,5,2,10,5,4,1
"E00021213",132,50,8,22,20,46,12,8,26,15,8,4,3,21,10,10,1
"E00021214",156,69,21,30,18,55,14,14,27,13,3,9,1,19,6,11,2
"E00021215",181,96,36,55,5,57,28,17,12,19,13,5,1,9,8,1,0
"E00021216",163,67,46,13,8,71,36,13,22,17,12,4,1,8,5,2,1
"E00021217",225,142,91,33,18,61,16,18,27,12,7,4,1,10,8,2,0
"E00021218",201,66,6,44,16,99,22,39,38,22,8,11,3,14,8,5,1
"E00021219",107,25,5,10,10,34,5,15,14,17,7,10,0,31,14,17,0
"E00021220",181,99,27,52,20,62,30,15,17,12,10,2,0,8,6,1,1
"E00021223",195,101,31,60,10,77,30,33,14,11,5,4,2,6,4,2,0
"E00021224",168,63,18,35,10,52,12,15,25,29,11,15,3,24,13,10,1
"E00021225",152,53,11,28,14,44,15,12,17,17,12,5,0,38,24,14,0
"E00021227",118,37,8,19,10,46,14,11,21,18,7,10,1,17,11,6,0
"E00021228",135,38,6,21,11,42,9,11,22,21,9,9,3,34,19,14,1
