"GeographyCode","QS112EW0001","QS112EW0002","QS112EW0003","QS112EW0004","QS112EW0005","QS112EW0006","QS112EW0007","QS112EW0008","QS112EW0009","QS112EW0010","QS112EW0011","QS112EW0012","QS112EW0013","QS112EW0014","QS112EW0015","QS112EW0016","QS112EW0017","QS112EW0018","QS112EW0019","QS112EW0020","QS112EW0021","QS112EW0022","QS112EW0023","QS112EW0024","QS112EW0025","QS112EW0026","QS112EW0027","QS112EW0028","QS112EW0029","QS112EW0030","QS112EW0031"
"E02000864",8296,1210,379,831,4829,176,2394,380,429,1270,315,18,18,0,0,0,771,414,91,218,48,1470,505,573,392,2257,257,540,154,31,1275
"E02000865",6977,984,213,771,3833,90,2273,238,362,1446,227,4,4,0,0,0,579,288,105,148,38,887,303,331,253,2160,241,510,96,17,1296
"E02000866",9610,1192,309,883,5269,170,2806,484,453,1441,428,42,36,3,0,3,1114,648,175,240,51,1137,342,495,300,3149,227,440,306,20,2156
"E02000867",9761,1443,227,1216,5270,104,2523,604,415,1278,226,45,42,0,0,3,1287,1024,120,116,27,1311,437,594,280,3048,245,414,318,9,2062
"E02000868",6416,850,154,696,3196,66,1747,270,284,1021,172,18,18,0,0,0,754,570,48,117,19,611,146,240,225,2370,153,449,154,11,1603
"E02000869",5679,944,222,722,2981,90,1596,284,284,877,151,26,26,0,0,0,581,396,96,79,10,688,217,239,232,1754,144,266,70,19,1255
"E02000870",6430,843,218,625,3542,102,1944,170,274,1241,259,21,18,3,0,0,619,380,91,108,40,856,300,323,233,2045,227,381,124,8,1305
"E02000871",8591,972,172,800,5239,80,3227,346,553,2067,261,29,26,3,0,0,598,310,110,138,40,1305,416,599,290,2380,412,814,197,18,939
"E02000872",7480,1049,158,891,3571,58,1932,270,319,1150,193,31,28,3,0,0,671,476,73,116,6,879,257,339,283,2860,190,532,136,8,1994
"E02000873",7467,891,200,691,3845,70,2427,288,383,1547,209,16,16,0,0,0,523,328,73,97,25,809,235,319,255,2731,248,605,698,6,1174
"E02000874",6879,869,162,707,3727,61,2456,204,334,1638,280,8,8,0,0,0,375,240,45,64,26,827,243,357,227,2283,292,710,194,15,1072
"E02000875",9379,1079,165,914,5609,76,3550,318,499,2472,261,10,10,0,0,0,599,346,95,147,11,1374,336,645,393,2691,249,892,219,4,1327
"E02000876",6900,1018,134,884,3344,40,2135,292,434,1196,213,24,24,0,0,0,534,436,27,56,15,611,174,279,158,2538,260,604,210,13,1451
"E02000877",9748,878,204,674,5592,76,3623,266,517,2584,256,29,20,9,0,0,584,264,79,207,34,1280,400,535,345,3278,411,788,392,11,1676
"E02000878",9451,1467,192,1275,4290,52,2734,422,503,1433,376,46,46,0,0,0,806,684,53,63,6,652,189,188,275,3694,310,903,262,4,2215
"E02000879",7417,1030,309,721,4061,126,2590,270,353,1704,263,34,34,0,0,0,499,306,54,116,23,812,217,326,269,2326,243,558,334,18,1173
"E02000880",5634,722,173,549,2824,56,1898,188,333,1208,169,8,8,0,0,0,334,206,72,44,12,528,111,226,191,2088,242,551,199,9,1087
"E02000881",6909,723,172,551,4510,46,2727,226,303,1900,298,8,8,0,0,0,530,212,102,165,51,1199,350,590,259,1676,256,682,65,18,655
"E02000882",8563,886,220,666,5338,76,3536,306,516,2427,287,10,6,0,4,0,601,312,93,172,24,1115,280,520,315,2339,358,1030,88,9,854
"E02000883",7853,924,244,680,4995,112,2891,246,348,1966,331,12,12,0,0,0,503,180,99,180,44,1477,469,619,389,1934,310,687,110,19,808
"E02000884",9021,1273,107,1166,3680,36,2182,450,402,1128,202,32,32,0,0,0,802,680,60,51,11,628,160,284,184,4068,326,789,382,9,2562
"E02000885",6873,858,234,624,3988,78,2440,254,363,1565,258,20,20,0,0,0,361,222,42,85,12,1089,258,520,311,2027,272,701,94,10,950
"E02000886",7326,1142,162,980,4124,78,2514,568,507,1212,227,38,38,0,0,0,799,580,106,90,23,695,224,261,210,2060,248,447,95,12,1258
"E02000887",8585,948,209,739,5260,96,3012,322,470,1921,299,8,8,0,0,0,658,266,154,195,43,1486,503,678,305,2377,360,729,80,26,1182
"E02000888",8210,1140,139,1001,4771,64,3099,558,552,1765,224,34,28,6,0,0,817,610,90,95,22,757,222,364,171,2299,307,596,199,5,1192
"E02000889",6549,1112,149,963,3420,70,2136,428,430,1093,185,24,24,0,0,0,635,436,92,100,7,555,164,173,218,2017,161,410,101,8,1337
"E02000890",5795,1419,182,1237,3122,114,1740,702,415,487,136,52,48,0,4,0,942,790,94,48,10,274,112,52,110,1254,60,162,50,9,973
"E02000891",12678,2030,126,1904,7100,70,3995,1218,882,1590,305,57,54,0,0,3,1536,1140,122,236,38,1442,471,650,321,3548,345,554,231,15,2403
"E02000893",6783,1005,225,780,4114,98,2497,518,532,1153,294,30,24,3,0,3,589,342,95,133,19,900,295,381,224,1664,262,231,119,15,1037
"E02000894",10137,1546,118,1428,5671,66,3460,1186,759,1177,338,40,40,0,0,0,1217,858,192,145,22,888,311,334,243,2920,328,481,221,2,1888
"E02006853",7063,1363,121,1242,4008,58,2205,660,411,985,149,28,28,0,0,0,831,596,103,119,13,886,335,393,158,1692,170,423,88,0,1011
"E02006854",5883,1237,39,1198,3402,36,2138,880,475,688,95,38,38,0,0,0,772,672,46,51,3,418,140,212,66,1244,81,215,108,2,838
