"GeographyCode","QS112EW0001","QS112EW0002","QS112EW0003","QS112EW0004","QS112EW0005","QS112EW0006","QS112EW0007","QS112EW0008","QS112EW0009","QS112EW0010","QS112EW0011","QS112EW0012","QS112EW0013","QS112EW0014","QS112EW0015","QS112EW0016","QS112EW0017","QS112EW0018","QS112EW0019","QS112EW0020","QS112EW0021","QS112EW0022","QS112EW0023","QS112EW0024","QS112EW0025","QS112EW0026","QS112EW0027","QS112EW0028","QS112EW0029","QS112EW0030","QS112EW0031"
"E00021141",333,58,28,30,155,10,82,2,3,47,30,0,0,0,0,0,18,2,0,16,0,45,20,18,7,120,33,71,0,2,14
"E00021143",393,37,16,21,227,4,145,12,22,95,16,0,0,0,0,0,20,8,3,9,0,58,8,39,11,129,11,30,3,7,78
"E00021145",241,41,6,35,114,8,50,10,19,17,4,0,0,0,0,0,43,12,12,10,9,13,2,0,11,86,0,15,0,0,71
"E00021146",293,47,3,44,73,2,29,12,9,5,3,0,0,0,0,0,38,32,3,0,3,4,2,0,2,173,0,7,45,0,121
"E00021147",205,24,5,19,135,8,75,8,12,43,12,0,0,0,0,0,22,4,3,8,7,30,23,3,4,46,7,0,0,0,39
"E00021148",279,42,12,30,139,4,74,16,7,38,13,0,0,0,0,0,16,16,0,0,0,45,12,16,17,98,3,24,4,0,67
"E00021149",353,39,8,31,251,4,135,10,23,95,7,0,0,0,0,0,55,12,6,31,6,57,10,39,8,63,8,18,7,0,30
"E00021150",298,28,8,20,174,10,79,14,10,40,15,0,0,0,0,0,36,12,9,15,0,49,17,14,18,96,16,20,4,0,56
"E00021151",275,51,16,35,163,4,100,8,13,60,19,0,0,0,0,0,8,4,4,0,0,51,20,19,12,61,0,34,0,2,25
"E00021152",379,51,11,40,226,8,153,12,25,96,20,0,0,0,0,0,18,10,3,5,0,47,12,18,17,102,12,51,0,0,39
"E00021153",341,41,4,37,126,10,46,18,0,22,6,0,0,0,0,0,66,54,9,0,3,4,0,0,4,174,12,0,12,0,150
"E00021154",401,32,4,28,254,2,172,4,27,137,4,0,0,0,0,0,26,10,9,4,3,54,8,19,27,115,16,59,5,0,35
"E00021155",359,57,2,55,140,0,50,14,6,30,0,2,2,0,0,0,75,70,0,5,0,13,0,7,6,162,3,5,7,0,147
"E00021156",237,78,24,54,118,2,78,22,12,44,0,0,0,0,0,0,16,12,0,4,0,22,8,10,4,41,6,7,0,0,28
"E00021157",331,26,3,23,227,2,145,4,18,115,8,0,0,0,0,0,24,4,6,14,0,56,16,18,22,78,11,25,0,0,42
"E00021158",340,31,11,20,234,4,161,8,31,115,7,0,0,0,0,0,4,4,0,0,0,65,18,34,13,75,5,48,0,0,22
"E00021159",571,96,37,59,255,16,124,22,35,44,23,4,4,0,0,0,40,18,6,16,0,71,20,17,34,220,18,56,12,3,131
"E00021160",322,32,9,23,180,6,125,8,9,104,4,0,0,0,0,0,20,16,0,0,4,29,5,12,12,110,8,36,11,2,53
"E00021161",391,40,6,34,222,4,137,24,20,65,28,0,0,0,0,0,29,14,3,12,0,52,21,14,17,129,0,17,6,0,106
"E00021162",375,37,12,25,171,6,132,4,22,92,14,2,2,0,0,0,16,10,6,0,0,15,6,0,9,167,20,25,10,0,112
"E00021163",309,44,16,28,173,2,126,14,14,79,19,0,0,0,0,0,17,8,0,6,3,28,6,13,9,92,17,6,5,0,64
"E00021164",279,58,21,37,145,4,97,8,35,50,4,0,0,0,0,0,17,10,0,4,3,27,10,7,10,76,10,29,0,2,35
"E00021165",338,40,9,31,188,2,131,2,20,92,17,0,0,0,0,0,10,10,0,0,0,45,14,21,10,110,21,17,4,0,68
"E00021166",387,30,13,17,183,0,100,4,10,80,6,0,0,0,0,0,21,16,0,5,0,62,14,25,23,174,12,40,9,0,113
"E00021167",305,48,9,39,157,6,72,10,11,44,7,2,2,0,0,0,40,26,0,14,0,37,2,27,8,100,15,22,2,0,61
"E00021168",374,44,2,42,118,0,22,10,0,9,3,0,0,0,0,0,83,72,6,5,0,13,0,7,6,212,0,0,22,0,190
"E00021169",467,55,3,52,276,2,167,28,33,99,7,2,2,0,0,0,72,62,3,7,0,33,10,9,14,136,19,29,2,2,84
"E00021170",466,43,7,36,316,6,200,12,20,156,12,0,0,0,0,0,30,10,11,0,9,80,23,32,25,107,16,31,5,0,55
"E00021171",660,75,5,70,352,6,237,24,23,174,16,0,0,0,0,0,42,30,0,12,0,67,17,25,25,233,35,72,20,0,106
"E00021172",275,57,6,51,114,0,61,6,19,25,11,2,2,0,0,0,21,8,6,4,3,30,13,7,10,104,20,19,10,4,51
"E00021173",372,52,14,38,196,2,120,6,29,80,5,0,0,0,0,0,34,20,6,4,4,40,16,16,8,124,12,25,9,0,78
"E00021174",228,48,2,46,131,0,56,44,12,0,0,0,0,0,0,0,71,64,3,4,0,4,4,0,0,49,0,0,0,0,49
"E00021175",288,46,10,36,129,0,83,16,6,46,15,0,0,0,0,0,19,8,3,8,0,27,6,6,15,113,9,6,3,0,95
"E00021176",298,65,10,55,186,8,90,24,17,43,6,0,0,0,0,0,25,22,3,0,0,63,33,8,22,47,4,8,0,2,33
"E00021177",425,37,12,25,237,4,130,10,9,94,17,0,0,0,0,0,16,8,0,8,0,87,18,43,26,151,11,67,0,2,71
