"GeographyCode","QS113EW0001","QS113EW0002","QS113EW0003","QS113EW0004","QS113EW0005","QS113EW0006","QS113EW0007","QS113EW0008","QS113EW0009","QS113EW0010","QS113EW0011","QS113EW0012","QS113EW0013","QS113EW0014","QS113EW0015","QS113EW0016","QS113EW0017","QS113EW0018","QS113EW0019","QS113EW0020","QS113EW0021","QS113EW0022","QS113EW0023","QS113EW0024","QS113EW0025","QS113EW0026","QS113EW0027","QS113EW0028","QS113EW0029","QS113EW0030","QS113EW0031"
"E01004197",964,338,31,307,396,14,177,50,34,83,10,0,0,0,0,0,108,77,17,8,6,97,42,20,35,230,13,19,16,1,181
"E01004198",606,243,84,159,230,16,111,29,15,49,18,1,1,0,0,0,38,26,5,7,0,64,26,14,24,133,16,20,5,1,91
"E01004199",574,187,47,140,288,8,146,16,29,85,16,0,0,0,0,0,33,17,5,9,2,101,39,34,28,99,10,23,3,1,62
"E01004200",585,177,13,164,207,7,75,24,11,36,4,1,1,0,0,0,95,83,7,2,3,29,5,7,17,201,8,10,23,0,160
"E01004201",619,216,51,165,245,7,122,24,26,55,17,1,1,0,0,0,43,24,7,8,4,72,30,20,22,158,12,14,8,5,119
"E01004202",713,230,17,213,325,3,138,55,23,50,10,5,5,0,0,0,119,107,3,9,0,60,23,19,18,158,6,16,9,2,125
"E01004203",689,194,39,155,279,8,115,28,14,59,14,1,1,0,0,0,84,72,3,8,1,71,18,24,29,216,8,17,15,1,175
"E01004204",631,249,85,164,243,15,126,28,30,50,18,2,2,0,0,0,35,23,3,7,2,65,22,15,28,139,13,23,6,2,95
"E01004205",688,201,30,171,313,5,196,26,38,110,22,2,2,0,0,0,31,22,2,6,1,79,34,24,21,174,22,40,21,1,90
"E01004206",554,222,47,175,224,10,118,16,27,61,14,2,2,0,0,0,25,19,1,4,1,69,17,30,22,108,13,17,10,2,66
"E01004207",515,189,49,140,214,7,103,28,17,46,12,2,2,0,0,0,34,23,4,4,3,68,22,22,24,112,10,17,22,2,61
"E01004208",788,280,23,257,249,3,133,55,26,42,10,6,6,0,0,0,84,79,4,0,1,23,5,9,9,259,12,21,35,2,189
"E01004209",466,154,24,130,212,7,120,11,19,78,12,1,1,0,0,0,12,8,2,2,0,72,28,17,27,100,17,21,4,0,58
"E01004211",720,315,34,281,234,2,100,49,28,16,7,2,2,0,0,0,103,98,2,2,1,27,12,6,9,171,7,12,7,1,144
