"GeographyCode","QS114EW0001","QS114EW0002","QS114EW0003","QS114EW0004","QS114EW0005","QS114EW0006","QS114EW0007","QS114EW0008","QS114EW0009","QS114EW0010","QS114EW0011","QS114EW0012"
"E00021141",333,58,28,30,275,8,12,21,10,26,136,62
"E00021143",393,37,16,21,356,41,12,44,42,57,75,85
"E00021145",241,41,6,35,200,2,10,35,48,5,33,67
"E00021146",293,47,3,44,246,2,4,12,110,0,7,111
"E00021147",205,24,5,19,181,20,10,46,30,6,24,45
"E00021148",279,42,12,30,237,21,16,25,44,16,34,81
"E00021149",353,39,8,31,314,41,8,44,38,76,62,45
"E00021150",298,28,8,20,270,23,20,19,56,40,53,59
"E00021151",275,51,16,35,224,23,12,21,24,33,64,47
"E00021152",379,51,11,40,328,22,14,39,40,50,95,68
"E00021153",341,41,4,37,300,0,16,13,106,5,25,135
"E00021154",401,32,4,28,369,14,4,50,30,70,120,81
"E00021155",359,57,2,55,302,7,2,14,148,27,5,99
"E00021156",237,78,24,54,159,8,4,38,60,24,19,6
"E00021157",331,26,3,23,305,30,6,44,26,61,76,62
"E00021158",340,31,11,20,309,42,8,38,16,44,121,40
"E00021159",571,96,37,59,475,15,40,54,88,32,82,164
"E00021160",322,32,9,23,290,11,12,31,40,53,76,67
"E00021161",391,40,6,34,351,32,16,62,60,27,23,131
"E00021162",375,37,12,25,338,6,6,44,36,29,82,135
"E00021163",309,44,16,28,265,8,12,11,34,41,62,97
"E00021164",279,58,21,37,221,16,8,46,36,31,41,43
"E00021165",338,40,9,31,298,27,12,28,34,32,76,89
"E00021166",387,30,13,17,357,13,12,21,38,71,68,134
"E00021167",305,48,9,39,257,16,8,21,68,34,64,46
"E00021168",374,44,2,42,330,3,2,14,158,10,0,143
"E00021169",467,55,3,52,412,19,22,56,116,22,94,83
"E00021170",466,43,7,36,423,46,8,78,46,74,83,88
"E00021171",660,75,5,70,585,26,16,70,120,87,155,111
"E00021172",275,57,6,51,218,7,6,40,48,11,46,60
"E00021173",372,52,14,38,320,19,12,39,56,44,66,84
"E00021174",228,48,2,46,180,2,0,19,124,0,0,35
"E00021175",288,46,10,36,242,6,2,30,70,23,31,80
"E00021176",298,65,10,55,233,24,26,33,68,21,27,34
"E00021177",425,37,12,25,388,28,14,41,24,60,121,100
"E00021179",327,47,4,43,280,10,2,14,102,0,72,80
"E00021180",444,54,6,48,390,53,12,47,50,53,56,119
"E00021181",230,44,5,39,186,2,0,25,60,5,24,70
"E00021182",343,63,1,62,280,13,2,34,114,0,19,98
"E00021183",231,60,1,59,171,2,0,9,116,5,6,33
"E00021184",169,26,1,25,143,8,0,16,38,20,23,38
"E00021185",299,52,11,41,247,17,6,39,64,12,54,55
"E00021186",440,57,14,43,383,25,24,43,32,11,151,97
"E00021187",307,17,5,12,290,26,10,83,26,74,27,44
"E00021188",302,57,27,30,245,12,6,19,30,0,79,99
"E00021189",397,30,12,18,367,20,10,33,30,18,127,129
"E00021190",452,44,10,34,408,6,6,35,84,32,95,150
"E00021191",396,25,0,25,371,0,8,52,64,28,148,71
"E00021192",329,36,16,20,293,28,14,41,18,41,62,89
"E00021193",323,79,1,78,244,0,0,14,150,0,11,69
"E00021194",563,40,2,38,523,46,6,87,58,64,147,115
"E00021195",392,17,6,11,375,2,8,13,18,70,130,134
"E00021196",381,29,5,24,352,7,12,62,20,91,110,50
"E00021197",415,102,7,95,313,20,8,35,120,32,26,72
"E00021198",313,19,7,12,294,10,4,52,22,26,114,66
"E00021199",182,77,7,70,105,29,0,16,20,5,23,12
"E00021200",322,28,9,19,294,11,10,35,34,45,74,85
"E00021201",321,33,7,26,288,19,6,26,24,21,89,103
"E00021202",285,27,7,20,258,14,2,36,26,52,95,33
"E00021203",246,40,16,24,206,17,12,32,36,16,29,64
"E00021204",401,59,1,58,342,7,4,22,46,5,144,114
"E00021205",336,26,6,20,310,9,8,28,20,39,112,94
"E00021206",239,25,2,23,214,20,8,21,8,41,74,42
"E00021207",256,89,26,63,167,2,4,18,116,0,0,27
"E00021208",299,36,5,31,263,23,12,38,26,20,67,77
"E00021209",246,18,4,14,228,14,0,22,16,30,81,65
"E00021210",289,19,4,15,270,5,4,31,14,5,126,85
"E00021211",372,41,7,34,331,7,4,48,58,43,52,119
"E00021212",270,14,5,9,256,8,2,45,8,22,83,88
"E00021213",415,38,10,28,377,16,12,58,26,47,101,117
"E00021214",442,44,6,38,398,28,12,45,66,38,101,108
"E00021215",344,85,8,77,259,5,2,35,106,11,8,92
"E00021216",325,99,5,94,226,26,4,39,34,17,43,63
