"GeographyCode","QS118EW0001","QS118EW0002","QS118EW0003","QS118EW0004","QS118EW0005","QS118EW0006","QS118EW0007","QS118EW0008","QS118EW0009","QS118EW0010","QS118EW0011","QS118EW0012"
"E02000864",1899,929,186,122,141,129,93,33,167,92,7,1943
"E02000865",1418,616,144,89,113,106,83,32,149,71,15,1666
"E02000866",2079,1129,201,88,135,149,92,47,157,72,9,1886
"E02000867",2201,1281,237,87,111,136,96,37,126,83,7,1779
"E02000868",1285,735,85,45,73,74,58,31,113,62,9,1190
"E02000869",1210,665,113,53,85,77,50,27,78,57,5,1082
"E02000870",1355,644,116,72,121,93,73,34,117,76,9,1459
"E02000871",1916,752,229,121,137,182,91,43,216,128,17,2510
"E02000872",1441,748,132,65,82,103,72,25,129,80,5,1458
"E02000873",1477,678,155,92,71,127,70,33,159,85,7,1745
"E02000874",1379,567,126,73,90,111,90,34,176,103,9,1815
"E02000875",2009,800,177,109,123,210,108,69,224,169,20,2716
"E02000876",1337,677,127,62,89,96,61,32,106,74,13,1377
"E02000877",1988,752,206,88,153,200,119,54,264,138,14,2724
"E02000878",1808,1020,156,62,114,118,84,38,126,82,8,1604
"E02000879",1515,726,95,77,103,130,74,45,148,103,14,1737
"E02000880",1112,501,129,46,65,103,63,27,110,62,6,1304
"E02000881",1550,572,128,88,126,154,91,47,200,122,22,2247
"E02000882",1883,733,194,81,119,176,116,56,231,164,13,2622
"E02000883",1793,690,181,101,149,175,97,44,205,139,12,2396
"E02000884",1699,1002,159,62,77,112,72,25,104,71,15,1421
"E02000885",1483,657,144,62,92,120,83,47,166,97,15,1858
"E02000886",1673,929,187,100,70,114,57,27,114,64,11,1457
"E02000887",1995,777,241,127,150,191,122,56,194,117,20,2519
"E02000888",1836,918,243,66,74,155,76,36,162,101,5,1937
"E02000889",1359,738,168,53,59,108,43,36,108,45,1,1236
"E02000890",1386,1001,156,32,42,66,24,13,32,16,4,627
"E02000891",2956,1705,371,137,121,208,98,35,182,95,4,2324
"E02000893",1637,828,200,70,125,164,84,26,92,44,4,1474
"E02000894",2462,1490,336,87,116,178,73,33,87,57,5,1644
"E02006853",1658,894,238,64,86,147,41,20,95,64,9,1419
"E02006854",1426,943,169,52,35,73,28,12,60,49,5,914
