"GeographyCode","QS119EW0001","QS119EW0002","QS119EW0003","QS119EW0004","QS119EW0005","QS119EW0006"
"E01004197",964,345,336,190,81,12
"E01004198",606,136,175,197,82,16
"E01004199",574,119,186,174,83,12
"E01004200",585,200,262,89,27,7
"E01004201",619,217,186,144,68,4
"E01004202",713,320,226,110,52,5
"E01004203",689,238,242,136,63,10
"E01004204",631,152,196,184,88,11
"E01004205",688,144,215,196,115,18
"E01004206",554,99,174,162,102,17
"E01004207",515,127,172,126,75,15
"E01004208",788,300,315,110,59,4
"E01004209",466,102,148,140,68,8
"E01004211",720,252,282,127,55,4
"E01004212",720,199,277,160,70,14
"E01004214",665,143,223,183,103,13
"E01004215",1168,356,477,237,86,12
"E01004216",737,357,228,113,34,5
"E01004217",779,285,243,175,73,3
"E01004218",731,369,238,81,39,4
"E01004219",851,207,363,179,85,17
"E01004221",802,384,249,119,43,7
"E01004222",1048,244,332,299,156,17
"E01004223",938,286,296,249,96,11
"E01004224",806,225,296,189,86,10
"E01004225",1147,466,534,127,15,5
"E01004226",676,212,214,172,69,9
"E01004228",769,328,247,127,63,4
"E01004229",551,189,172,136,46,8
"E01004230",803,246,253,194,87,23
"E01004231",629,151,213,176,73,16
"E01004232",603,313,195,65,27,3
"E01004233",751,207,264,185,90,5
"E01004234",903,430,281,139,49,4
"E01004235",513,128,168,137,68,12
"E01004236",497,89,170,151,78,9
"E01004237",506,197,170,98,34,7
"E01004238",1058,267,430,230,111,20
"E01004239",533,134,173,139,76,11
"E01004240",574,126,181,168,85,14
"E01004241",570,126,198,135,100,11
"E01004242",898,221,353,203,108,13
"E01004243",614,120,217,175,84,18
"E01004244",686,166,211,203,90,16
"E01004245",433,73,147,119,83,11
"E01004246",747,229,278,177,52,11
"E01004247",714,125,259,210,107,13
"E01004248",441,52,148,153,73,15
"E01004249",758,175,258,212,101,12
"E01004250",866,180,277,261,130,18
"E01004251",779,159,272,223,110,15
"E01004252",1107,306,440,254,86,21
"E01004253",829,163,288,254,110,14
"E01004254",1046,556,371,94,22,3
"E01004255",647,200,194,146,82,25
"E01004256",611,130,216,160,83,22
"E01004257",618,142,217,163,86,10
"E01004258",713,367,209,86,49,2
"E01004259",812,304,302,144,54,8
"E01004260",636,141,225,189,72,9
"E01004261",550,139,206,127,66,12
"E01004262",495,125,180,128,58,4
"E01004263",529,116,182,135,85,11
"E01004264",457,80,157,140,72,8
"E01004266",583,196,181,146,54,6
"E01004267",707,277,242,126,53,9
"E01004268",688,135,259,175,101,18
"E01004269",726,180,248,204,76,18
"E01004270",745,283,274,136,46,6
"E01004271",548,122,211,142,61,12
"E01004272",639,106,199,198,121,15
"E01004273",594,114,181,177,104,18
"E01004274",654,220,227,130,62,15
"E01004275",768,320,272,123,46,7
"E01004276",996,596,317,72,10,1
"E01004277",898,533,298,48,13,6
"E01004280",769,311,252,137,67,2
"E01004281",831,439,280,82,24,6
"E01004283",756,198,241,199,105,13
"E01004284",884,271,316,181,106,10
"E01004285",658,110,209,214,102,23
"E01004286",817,226,258,218,100,15
"E01004287",854,200,302,227,111,14
"E01004288",525,93,191,153,80,8
"E01004289",670,174,226,170,84,16
"E01004290",575,182,220,118,46,9
"E01004291",1051,520,375,106,41,9
"E01004292",818,501,242,59,13,3
"E01004293",1133,640,352,105,32,4
"E01004294",877,395,312,108,52,10
"E01004295",500,107,154,159,76,4
"E01004296",684,192,260,150,68,14
"E01004297",909,508,301,74,24,2
"E01004298",635,138,221,184,81,11
"E01004300",522,107,167,159,72,17
"E01004301",413,102,146,101,57,7
"E01004302",637,123,261,156,82,15
"E01004303",967,326,349,201,81,10
"E01004304",653,119,233,180,97,24
"E01004305",699,124,272,196,91,16
"E01004306",687,248,244,123,64,8
"E01004307",1014,458,385,123,39,9
"E01004308",504,169,161,109,52,13
"E01004309",902,232,317,211,118,24
"E01004310",793,202,299,191,78,23
"E01004311",644,178,202,156,95,13
"E01004312",628,128,213,174,102,11
"E01004313",812,237,289,183,86,17
"E01004314",493,254,138,64,33,4
"E01004315",718,234,215,172,83,14
"E01004316",455,145,141,102,52,15
"E01004317",1193,424,506,185,64,14
"E01004318",630,182,214,155,65,14
"E01004319",595,132,188,174,89,12
"E01004321",711,173,271,170,82,15
"E01004322",502,120,193,123,56,10
"E01004323",480,147,158,117,45,13
"E01004324",485,88,168,141,78,10
"E01004325",1033,308,506,159,52,8
"E01004326",623,171,238,141,64,9
"E01032764",643,228,264,116,28,7
"E01032765",645,174,264,140,55,12
"E01032766",601,222,262,81,32,4
"E01032767",767,353,335,64,13,2
"E01032768",696,344,266,68,15,3
"E01032769",593,314,189,60,23,7
"E01032770",572,223,214,104,27,4
"E01032771",546,234,217,64,29,2
"E01032772",544,152,255,99,34,4
"E01032773",852,236,452,123,34,7
"E01032774",583,180,225,124,41,13
"E01032775",600,338,193,55,11,3
"E01032776",631,275,285,58,9,4
"E01032777",514,221,208,66,14,5
"E01032778",564,261,217,70,14,2
"E01032779",565,292,205,52,10,6
"E01032780",647,372,226,37,9,3
"E01032781",771,394,283,74,19,1
"E01032782",776,159,408,151,52,6
"E01032783",661,287,231,89,48,6
"E01032784",692,194,321,128,44,5
"E01032785",616,213,286,85,29,3
"E01032786",674,222,202,162,75,13
"E01032787",793,154,289,226,108,16
