"GeographyCode","QS119EW0001","QS119EW0002","QS119EW0003","QS119EW0004","QS119EW0005","QS119EW0006"
"E00021141",117,15,30,51,16,5
"E00021143",138,36,40,34,26,2
"E00021145",104,42,31,24,6,1
"E00021146",143,50,73,16,4,0
"E00021147",83,32,27,20,4,0
"E00021148",119,39,30,34,14,2
"E00021149",126,28,44,36,16,2
"E00021150",116,31,31,34,18,2
"E00021151",113,17,33,37,22,4
"E00021152",138,32,41,37,25,3
"E00021153",149,67,60,16,5,1
"E00021154",121,24,40,35,17,5
"E00021155",172,59,89,22,1,1
"E00021156",133,19,46,40,23,5
"E00021157",106,24,41,29,10,2
"E00021158",107,23,28,35,19,2
"E00021159",246,77,61,75,28,5
"E00021160",112,23,43,26,16,4
"E00021161",154,53,44,41,13,3
"E00021162",121,32,38,38,11,2
"E00021163",119,22,44,36,15,2
"E00021164",128,21,50,36,20,1
"E00021165",122,27,40,37,16,2
"E00021166",126,40,37,30,17,2
"E00021167",128,43,43,26,15,1
"E00021168",169,79,75,13,2,0
"E00021169",189,103,41,28,15,2
"E00021170",162,44,53,40,20,5
"E00021171",241,61,96,54,27,3
"E00021172",125,39,44,30,11,1
"E00021173",146,57,41,36,11,1
"E00021174",128,92,29,7,0,0
"E00021175",127,53,34,24,16,0
"E00021176",151,47,52,33,17,2
"E00021177",134,23,43,43,24,1
"E00021179",140,61,48,20,11,0
"E00021180",168,42,61,32,28,5
"E00021181",107,40,32,22,10,3
"E00021182",169,59,83,21,6,0
"E00021183",135,78,39,16,2,0
"E00021184",69,28,27,11,3,0
"E00021185",131,46,46,30,9,0
"E00021186",156,28,43,54,27,4
"E00021187",97,23,28,30,16,0
"E00021188",120,17,29,36,27,11
"E00021189",122,24,37,42,14,5
"E00021190",161,47,67,25,22,0
"E00021191",124,35,43,27,16,3
"E00021192",113,22,37,29,22,3
"E00021193",182,86,82,12,2,0
"E00021194",176,41,50,51,29,5
"E00021195",108,27,30,34,14,3
"E00021196",114,21,42,32,14,5
"E00021197",215,88,73,33,18,3
"E00021198",92,16,34,31,9,2
"E00021199",111,21,49,29,10,2
"E00021200",107,21,33,32,15,6
"E00021201",107,25,36,33,10,3
"E00021202",92,23,30,27,12,0
"E00021203",104,24,36,27,15,2
"E00021204",145,32,52,36,25,0
"E00021205",100,11,33,35,18,3
"E00021206",78,17,21,27,12,1
"E00021207",164,43,76,32,12,1
"E00021208",108,27,29,29,21,2
"E00021209",72,14,20,20,16,2
"E00021210",78,20,29,14,15,0
"E00021211",135,31,58,29,16,1
"E00021212",75,7,27,25,14,2
"E00021213",132,18,46,51,15,2
"E00021214",156,37,68,31,18,2
"E00021215",181,71,75,26,8,1
"E00021216",163,25,57,37,39,5
"E00021217",225,38,108,57,19,3
"E00021218",201,107,67,20,5,2
"E00021219",107,36,33,30,8,0
"E00021220",181,97,62,17,3,2
"E00021223",195,101,72,16,5,1
"E00021224",168,61,62,32,12,1
"E00021225",152,52,52,38,7,3
"E00021227",118,49,37,22,9,1
"E00021228",135,39,38,37,21,0
"E00021229",116,24,41,35,16,0
"E00021230",128,65,40,12,10,1
"E00021231",122,40,32,34,16,0
"E00021235",105,11,36,36,19,3
"E00021236",132,41,49,30,8,4
"E00021238",181,110,58,10,1,2
"E00021239",147,81,60,4,2,0
"E00021240",162,96,46,13,7,0
"E00021241",116,78,31,6,1,0
"E00021243",147,36,51,40,17,3
"E00021244",148,14,50,45,34,5
"E00021245",113,18,37,38,17,3
"E00021246",182,73,49,44,13,3
"E00021247",115,23,41,29,21,1
"E00021248",136,44,41,38,11,2
"E00021249",122,23,50,34,14,1
"E00021251",114,36,30,28,18,2
"E00021252",126,58,56,12,0,0
"E00021253",144,39,41,37,23,4
"E00021254",109,73,28,7,1,0
"E00021255",109,83,21,4,1,0
"E00021256",107,67,26,12,2,0
"E00021257",102,58,36,6,2,0
"E00021258",134,24,45,40,23,2
"E00021259",134,29,48,36,20,1
"E00021260",143,36,49,42,15,1
"E00021261",128,32,38,43,15,0
"E00021262",119,28,33,32,21,5
"E00021263",175,78,60,30,6,1
"E00021266",119,52,41,16,10,0
"E00021267",145,41,54,32,15,3
"E00021268",106,37,33,26,9,1
"E00021271",189,70,45,52,19,3
"E00021272",89,20,34,19,15,1
"E00021273",125,22,33,38,31,1
"E00021274",192,35,68,58,26,5
"E00021275",116,25,41,36,14,0
"E00021277",101,19,37,28,14,3
"E00021278",82,18,27,24,11,2
"E00021279",153,35,34,52,29,3
"E00021280",151,44,50,42,13,2
