"GeographyCode","QS201EW0001","QS201EW0002","QS201EW0003","QS201EW0004","QS201EW0005","QS201EW0006","QS201EW0007","QS201EW0008","QS201EW0009","QS201EW0010","QS201EW0011","QS201EW0012","QS201EW0013","QS201EW0014","QS201EW0015","QS201EW0016","QS201EW0017","QS201EW0018","QS201EW0019"
"E01004197",2329,841,53,3,279,42,21,29,48,51,5,624,26,50,93,56,40,24,44
"E01004198",1529,482,25,1,165,14,3,31,24,27,5,585,13,12,60,24,34,11,13
"E01004199",1637,420,17,0,107,15,7,9,15,13,5,825,19,32,57,32,37,4,23
"E01004200",1566,690,34,3,256,11,11,24,40,19,25,308,23,27,21,9,30,12,23
"E01004201",1556,746,37,0,134,17,3,27,16,10,4,346,13,27,74,38,8,25,31
"E01004202",1705,589,44,0,250,9,29,12,32,19,20,535,6,16,57,30,12,11,34
"E01004203",1779,717,49,5,263,29,11,26,28,22,5,456,29,22,26,12,27,21,31
"E01004204",1582,498,31,0,181,14,3,14,13,12,3,586,16,24,87,37,17,9,37
"E01004205",2106,232,18,2,171,10,17,5,10,21,17,1372,14,28,96,32,26,16,19
"E01004206",1492,240,27,1,133,6,15,17,15,23,11,785,22,35,62,26,37,24,13
"E01004207",1416,479,21,0,75,18,6,29,21,37,20,509,49,28,33,44,22,16,9
"E01004208",1976,647,35,0,274,21,15,30,31,79,24,564,78,61,40,11,19,17,30
"E01004209",1366,240,17,0,101,4,7,11,11,11,4,801,13,21,36,28,42,11,8
"E01004211",1463,615,36,0,220,14,5,22,36,10,12,329,20,29,36,26,16,4,33
"E01004212",1780,439,32,0,312,12,10,17,15,33,26,539,128,40,53,32,44,21,27
"E01004214",1669,554,12,1,148,38,24,22,10,21,10,548,45,42,106,53,12,13,10
"E01004215",2756,814,35,0,447,54,19,37,28,129,28,521,234,97,164,42,36,27,44
"E01004216",1619,640,23,0,305,15,12,16,28,140,14,152,139,47,31,12,9,11,25
"E01004217",1745,822,30,0,237,23,7,16,16,70,10,307,81,46,40,24,4,6,6
"E01004218",1750,766,17,0,352,4,16,42,27,82,25,152,89,49,29,30,8,31,31
"E01004219",2294,354,24,1,262,22,10,25,22,90,23,892,150,78,156,75,52,28,30
"E01004221",1881,730,45,0,312,13,3,24,28,79,19,367,75,43,54,18,42,4,25
"E01004222",2480,1162,32,0,153,47,14,26,44,24,14,524,21,41,134,118,70,23,33
"E01004223",2079,1000,40,0,199,48,15,19,22,23,5,356,15,25,118,121,40,20,13
"E01004224",2000,841,50,7,208,41,14,18,42,26,14,446,37,25,67,85,44,16,19
"E01004225",2178,1285,51,1,308,25,13,42,40,58,12,135,36,48,44,36,13,10,21
"E01004226",1738,714,20,0,153,35,13,9,19,26,7,473,12,29,76,83,39,16,14
"E01004228",1857,1179,51,0,195,33,6,29,34,35,10,126,24,19,21,52,9,21,13
"E01004229",1484,554,23,0,113,24,10,7,24,17,10,501,34,24,33,53,26,18,13
"E01004230",2101,941,45,2,227,31,15,24,19,39,6,441,32,45,74,86,40,17,17
"E01004231",1793,490,16,1,144,43,11,21,37,38,20,680,57,41,64,49,37,5,39
"E01004232",1665,929,43,1,179,20,12,26,15,43,11,245,37,26,32,21,9,3,13
"E01004233",1821,701,29,8,144,26,9,10,17,31,10,572,15,32,86,54,40,9,28
"E01004234",2218,1373,53,0,227,31,10,49,39,22,2,181,33,27,70,47,34,7,13
"E01004235",1372,245,8,0,55,16,7,6,25,19,11,725,25,14,97,56,25,10,28
"E01004236",1679,242,11,1,101,25,9,12,8,14,14,981,22,20,92,40,58,9,20
"E01004237",1158,336,19,0,122,19,10,16,25,21,6,333,32,33,66,44,27,18,31
"E01004238",2733,437,24,0,277,24,20,34,23,82,38,1234,76,70,183,83,46,52,30
"E01004239",1649,431,23,2,73,22,7,14,24,26,19,676,54,25,76,78,72,6,21
"E01004240",1815,491,14,6,89,28,14,20,14,11,12,804,29,55,103,55,28,18,24
"E01004241",1621,395,10,4,95,21,4,18,27,17,8,712,48,45,75,52,67,10,13
"E01004242",2453,536,20,4,214,30,23,8,14,30,35,1033,76,60,131,100,77,32,30
"E01004243",1789,460,8,0,148,33,21,8,11,17,16,767,34,26,83,69,48,25,15
"E01004244",1885,562,26,0,136,23,10,12,14,24,7,706,32,48,133,58,60,17,17
"E01004245",1539,268,4,6,60,34,11,5,10,14,34,819,19,26,98,28,68,10,25
"E01004246",1977,711,25,1,237,36,12,19,15,35,23,544,63,64,69,48,33,13,29
"E01004247",1934,512,18,0,222,37,6,12,16,42,10,719,75,35,99,40,48,15,28
"E01004248",1344,330,15,0,46,43,8,8,12,9,13,596,25,34,85,76,22,9,13
"E01004249",2049,493,12,4,190,37,29,10,13,38,6,790,38,34,181,71,50,20,33
"E01004250",2342,757,15,1,134,50,10,12,21,16,23,882,63,49,138,84,45,15,27
"E01004251",2082,558,22,1,172,25,25,20,19,36,14,892,40,72,70,42,33,11,30
"E01004252",2707,692,31,1,327,44,9,28,32,59,32,964,85,70,140,90,46,35,22
"E01004253",2340,731,23,0,207,25,33,22,32,53,32,770,69,43,129,76,49,19,27
"E01004254",2120,875,49,0,477,14,4,20,15,94,10,236,142,43,43,17,19,30,32
"E01004255",1618,315,26,0,180,12,14,9,17,52,13,661,85,47,79,35,39,16,18
"E01004256",1729,448,16,1,171,17,4,5,20,16,4,794,47,38,64,26,17,9,32
"E01004257",1884,442,16,0,168,28,18,25,13,15,21,821,36,66,110,48,41,10,6
"E01004258",1506,675,35,0,239,13,5,29,32,34,6,238,63,40,54,25,2,13,3
"E01004259",1723,759,33,0,258,17,15,40,25,35,10,338,21,41,44,29,12,18,28
"E01004260",1790,523,29,0,207,14,10,20,29,23,15,673,26,29,61,26,41,14,50
"E01004261",2525,681,26,5,318,12,11,30,25,79,69,766,150,124,104,29,29,37,30
"E01004262",1742,578,24,1,183,3,10,18,21,59,34,496,107,80,50,19,21,19,19
"E01004263",1419,591,24,0,88,20,9,7,10,11,8,468,18,21,57,20,21,25,21
"E01004264",1537,177,3,0,114,10,7,18,15,22,31,945,31,31,61,20,26,5,21
"E01004266",1545,806,32,2,147,20,7,19,21,7,5,345,20,14,36,25,16,11,12
"E01004267",1767,667,33,20,134,33,5,13,23,42,7,473,39,32,101,65,36,15,29
"E01004268",1784,388,24,2,135,30,6,11,19,25,23,776,40,38,95,90,28,25,29
"E01004269",1975,546,18,0,216,25,6,23,14,45,22,696,58,67,102,68,23,21,25
"E01004270",2236,843,31,2,324,19,4,19,28,73,14,569,49,54,96,38,27,21,25
"E01004271",1589,297,15,0,107,16,3,14,22,28,9,791,33,46,107,64,22,8,7
"E01004272",2099,260,16,1,112,47,7,10,16,22,32,1318,15,19,95,53,53,4,19
"E01004273",1904,211,12,4,125,22,6,23,12,20,23,1151,20,20,127,64,31,21,12
"E01004274",1973,463,12,0,221,32,2,34,15,72,23,734,122,53,75,47,19,16,33
"E01004275",1879,925,30,1,326,24,14,31,19,71,17,180,91,51,37,22,13,5,22
"E01004276",2024,878,41,1,501,10,12,24,24,183,24,38,141,61,19,19,3,21,24
"E01004277",1630,533,28,0,434,10,13,24,24,116,29,17,258,71,16,4,4,20,29
"E01004280",1879,560,26,0,270,18,3,35,19,86,2,487,83,54,71,56,40,26,43
"E01004281",1770,535,38,0,466,7,9,26,28,157,10,111,251,52,33,11,0,19,17
"E01004283",2317,636,38,0,211,11,9,25,26,30,19,1061,38,44,50,45,26,32,16
"E01004284",2302,542,24,0,196,31,10,28,27,61,30,1008,36,71,105,51,36,18,28
"E01004285",2318,336,10,1,110,19,25,18,22,39,15,1495,10,32,85,36,37,26,2
"E01004286",2364,661,23,1,154,31,7,27,28,40,14,1147,35,26,58,42,43,13,14
"E01004287",2171,512,29,1,197,26,13,19,27,41,29,992,23,44,57,37,38,34,52
"E01004288",1620,395,10,0,82,28,3,21,8,10,3,889,20,15,30,50,43,6,7
"E01004289",1844,554,22,1,150,20,11,16,17,30,28,758,22,28,69,45,7,48,18
"E01004290",1302,564,16,0,174,8,10,25,26,25,17,269,31,31,25,22,17,20,22
"E01004291",1844,966,49,0,382,4,5,28,22,29,13,200,35,32,21,11,3,12,32
"E01004292",1738,807,41,0,402,5,9,42,30,72,9,140,69,44,16,6,6,15,25
"E01004293",2125,1057,45,14,504,11,7,25,26,55,2,179,80,44,19,19,3,17,18
"E01004294",1757,678,50,0,321,20,12,30,25,53,5,338,63,55,43,22,8,26,8
"E01004295",1516,195,15,1,109,6,7,9,19,26,21,938,12,29,71,16,16,21,5
"E01004296",1605,486,37,0,199,18,9,30,10,41,11,623,21,24,32,25,13,18,8
"E01004297",1826,963,45,2,378,16,4,31,15,47,7,158,38,40,13,33,5,8,23
"E01004298",1637,323,25,1,135,9,11,21,17,24,9,830,23,41,68,36,32,14,18
"E01004300",1349,324,21,0,106,10,11,13,10,18,11,643,12,25,68,9,41,10,17
"E01004301",1324,198,17,0,120,3,1,19,5,12,19,821,2,18,42,9,21,11,6
"E01004302",1987,164,12,0,184,16,8,14,9,36,17,1274,27,31,95,18,39,29,14
"E01004303",2362,751,44,1,264,34,11,18,37,46,19,759,55,43,132,69,52,11,16
"E01004304",1957,297,19,0,152,8,6,13,17,38,41,1097,34,38,54,43,25,42,33
"E01004305",1952,460,29,2,195,6,7,23,18,34,18,921,30,16,63,49,21,41,19
"E01004306",1799,517,41,3,259,5,10,21,24,24,37,706,22,19,31,19,19,23,19
"E01004307",2186,732,54,1,694,13,9,32,26,75,18,226,103,70,39,18,8,26,42
"E01004308",1478,341,18,6,194,2,12,14,21,36,16,713,13,27,27,2,13,2,21
"E01004309",2852,639,28,3,355,19,12,32,27,55,46,1300,34,36,129,34,38,39,26
"E01004310",1971,437,21,1,312,12,8,13,17,30,42,907,26,34,38,24,21,10,18
"E01004311",1518,567,45,0,179,20,11,8,12,19,4,457,29,32,60,27,28,8,12
"E01004312",1614,434,34,0,133,14,10,20,18,7,4,711,20,25,68,44,35,21,16
"E01004313",2043,644,32,0,269,13,10,32,25,11,8,704,38,44,80,40,33,30,30
"E01004314",1100,639,34,0,177,17,6,30,17,6,0,122,8,10,8,10,3,2,11
"E01004315",1628,614,40,0,276,21,13,26,23,18,14,401,19,28,49,36,17,8,25
"E01004316",1138,347,19,3,168,13,4,6,15,22,9,419,8,26,30,19,6,14,10
"E01004317",2706,1045,60,1,482,20,8,45,62,61,23,638,46,55,51,47,14,11,37
"E01004318",1459,465,24,1,151,12,28,11,27,12,7,422,18,12,137,34,37,17,44
"E01004319",1886,213,24,0,157,7,10,17,10,45,46,1180,22,42,62,11,16,9,15
"E01004321",1822,320,24,2,145,1,5,14,12,38,48,997,33,49,66,9,21,22,16
"E01004322",1292,342,20,1,140,10,4,21,12,51,49,398,29,78,55,16,16,25,25
"E01004323",1466,411,25,1,148,14,7,10,12,22,14,700,8,17,16,11,12,22,16
"E01004324",1574,277,16,0,123,11,3,9,18,31,11,947,16,18,49,11,9,9,16
"E01004325",2487,761,47,1,469,15,12,41,36,83,77,681,56,81,52,10,11,30,24
"E01004326",1444,373,18,1,210,6,5,23,23,24,22,522,24,51,50,14,21,24,33
"E01032764",1302,632,32,4,175,21,16,21,14,40,15,148,19,28,23,51,21,16,26
"E01032765",1488,715,28,0,123,61,8,27,19,57,4,211,41,12,59,65,20,5,33
"E01032766",1307,357,24,2,223,11,5,20,20,31,20,370,31,52,52,14,19,27,29
"E01032767",1584,584,35,3,422,3,5,18,21,72,30,132,85,57,19,11,4,55,28
"E01032768",1307,533,29,1,308,7,21,13,15,81,12,63,103,32,33,18,10,9,19
"E01032769",1235,425,26,0,206,15,9,21,16,94,10,262,67,35,18,14,8,3,6
"E01032770",1191,308,20,1,205,20,20,16,28,150,23,114,130,39,31,28,14,23,21
"E01032771",1104,235,13,0,217,10,10,25,7,63,20,241,104,39,28,20,22,27,23
"E01032772",1135,316,22,0,208,10,4,13,4,49,8,307,68,36,21,21,2,17,29
"E01032773",1561,339,18,0,317,10,10,17,27,80,17,236,243,56,73,26,39,25,28
"E01032774",1298,381,24,0,209,22,19,22,32,61,7,217,93,49,70,25,29,19,19
"E01032775",1108,355,12,0,285,8,8,14,12,138,12,93,74,41,17,9,4,13,13
"E01032776",1076,245,14,0,254,11,3,11,24,101,13,84,149,57,39,16,6,20,29
"E01032777",1141,294,17,0,146,19,19,10,12,108,14,187,101,39,85,35,8,25,22
"E01032778",1108,257,6,0,198,19,8,22,22,154,23,73,167,40,39,24,9,25,22
"E01032779",1089,284,15,0,239,19,7,25,12,73,28,98,100,46,45,29,20,25,24
"E01032780",1333,407,35,1,300,7,6,19,18,146,19,19,220,78,22,11,5,12,8
"E01032781",1535,524,18,1,369,4,2,12,26,181,4,133,113,52,32,10,8,18,28
