"GeographyCode","QS201EW0001","QS201EW0002","QS201EW0003","QS201EW0004","QS201EW0005","QS201EW0006","QS201EW0007","QS201EW0008","QS201EW0009","QS201EW0010","QS201EW0011","QS201EW0012","QS201EW0013","QS201EW0014","QS201EW0015","QS201EW0016","QS201EW0017","QS201EW0018","QS201EW0019"
"E02000864",8297,3717,142,7,713,171,56,72,127,99,40,1799,85,120,395,407,193,75,79
"E02000865",7051,2489,132,4,685,88,34,96,103,101,19,2380,71,121,284,150,119,64,111
"E02000866",9662,5123,221,11,972,141,52,138,124,170,39,1565,141,149,283,260,132,57,84
"E02000867",9761,4382,177,9,1083,198,70,135,156,258,75,1911,233,178,274,273,134,70,145
"E02000868",6632,2494,158,8,950,63,54,76,113,72,53,1885,74,89,191,88,86,53,125
"E02000869",5705,2285,143,1,783,70,58,75,79,55,25,1402,74,82,254,107,85,35,92
"E02000870",6477,2679,118,2,700,71,41,86,85,76,38,1824,85,105,198,100,90,68,111
"E02000871",8591,1691,85,3,628,106,53,82,105,162,88,3949,209,162,514,301,228,95,130
"E02000872",7501,2470,145,4,1052,60,32,103,120,101,44,2472,112,150,229,150,88,76,93
"E02000873",8713,2607,120,7,971,59,60,124,98,218,142,2907,334,272,349,110,146,84,105
"E02000874",7129,1641,95,0,667,52,39,81,71,110,67,3308,211,130,240,146,147,59,65
"E02000875",9440,2477,101,36,667,142,52,70,97,125,85,3798,232,230,505,362,236,100,125
"E02000876",7037,1734,116,3,798,51,52,74,92,133,64,3050,134,153,234,95,98,61,95
"E02000877",9803,2157,92,7,884,129,26,89,92,188,100,4525,175,206,527,287,156,75,88
"E02000878",10286,2666,162,14,1814,51,51,112,115,220,159,3852,198,186,264,97,99,100,126
"E02000879",7634,2266,105,2,732,65,43,85,96,126,93,3080,114,147,201,149,88,134,108
"E02000880",5776,1403,79,3,621,41,19,63,65,128,96,2567,77,164,170,52,58,80,90
"E02000881",6909,1802,56,11,533,150,60,42,50,96,76,2749,145,158,433,223,173,52,100
"E02000882",8604,1934,67,2,542,109,45,94,85,150,62,4539,101,144,278,179,159,63,51
"E02000883",7950,2291,67,1,640,143,47,44,62,99,56,3074,204,158,453,251,201,72,87
"E02000884",9086,2235,154,8,1416,37,37,110,99,269,221,3360,227,281,251,55,71,143,112
"E02000885",6895,1404,94,3,588,33,35,70,62,114,79,3491,99,120,253,137,119,107,87
"E02000886",7326,2423,132,1,1068,64,48,78,83,216,43,2027,330,202,246,119,93,70,83
"E02000887",8660,2313,86,2,873,114,64,80,97,143,89,3349,237,217,443,240,153,73,87
"E02000888",8215,2071,128,2,1082,75,50,85,82,269,77,3179,254,159,320,128,130,63,61
"E02000889",6616,2166,143,1,1031,49,37,111,84,192,46,2039,165,152,162,69,43,80,46
"E02000890",5795,2986,139,16,1264,31,16,84,63,131,22,537,153,116,53,63,11,37,73
"E02000891",12678,3385,191,2,2158,164,75,173,166,880,167,2241,1196,478,604,250,178,166,204
"E02000893",6783,2782,82,1,1042,80,59,96,81,313,59,1159,354,184,206,119,33,61,72
"E02000894",10137,3593,148,2,2070,97,49,146,110,734,97,1265,853,316,231,147,67,85,127
"E02006853",7064,1904,110,1,1209,80,56,103,110,426,57,1361,617,234,266,156,124,110,140
"E02006854",5883,1661,75,1,1314,53,39,84,81,413,64,733,615,223,184,71,55,105,112
