"GeographyCode","QS201EW0001","QS201EW0002","QS201EW0003","QS201EW0004","QS201EW0005","QS201EW0006","QS201EW0007","QS201EW0008","QS201EW0009","QS201EW0010","QS201EW0011","QS201EW0012","QS201EW0013","QS201EW0014","QS201EW0015","QS201EW0016","QS201EW0017","QS201EW0018","QS201EW0019"
"E00021141",340,85,4,0,7,4,0,6,4,1,1,197,0,1,17,4,7,0,2
"E00021143",393,132,9,0,30,8,1,5,3,1,1,143,3,6,16,8,4,16,7
"E00021145",256,151,16,0,20,2,1,6,1,23,0,9,2,13,0,5,1,1,5
"E00021146",462,237,11,1,90,2,1,8,11,6,22,23,15,13,4,0,5,8,5
"E00021147",210,129,7,0,19,0,0,1,1,0,0,18,0,4,10,5,0,4,12
"E00021148",279,126,6,0,47,2,1,5,8,8,4,54,8,1,2,1,0,5,1
"E00021149",353,127,6,0,23,10,1,2,2,0,2,148,0,4,13,4,3,0,8
"E00021150",298,124,13,1,22,1,2,7,9,6,0,85,3,1,13,2,9,0,0
"E00021151",275,76,5,0,10,0,0,1,9,7,3,136,1,10,6,8,1,1,1
"E00021152",379,79,2,0,25,5,0,3,1,2,2,209,1,4,19,15,4,1,7
"E00021153",344,204,14,0,65,2,0,8,12,4,1,15,4,3,3,3,0,3,3
"E00021154",401,61,1,1,32,6,0,3,4,6,2,239,0,2,10,4,23,1,6
"E00021155",359,188,8,1,69,1,10,5,13,3,0,31,4,9,4,2,2,0,9
"E00021156",237,63,0,0,30,2,0,6,1,2,0,91,1,3,15,8,7,0,8
"E00021157",331,75,1,0,19,0,0,1,1,2,0,174,3,11,23,10,6,0,5
"E00021158",340,47,2,0,19,4,6,2,1,3,0,214,3,2,11,7,17,1,1
"E00021159",571,236,21,0,86,8,1,7,7,5,0,139,7,10,15,9,4,4,12
"E00021160",322,88,7,0,22,4,0,0,1,0,0,157,9,3,7,3,8,5,8
"E00021161",391,171,10,4,52,11,3,6,7,14,0,82,0,3,2,4,0,9,13
"E00021162",375,84,2,0,59,5,0,7,2,10,0,158,1,6,13,9,11,6,2
"E00021163",353,99,3,0,29,0,2,1,3,5,0,154,4,1,32,6,2,3,9
"E00021164",279,84,5,0,41,1,0,3,2,0,1,84,4,9,21,7,7,1,9
"E00021165",338,95,3,0,36,1,0,3,2,1,0,153,12,5,4,3,10,2,8
"E00021166",387,127,9,0,56,8,1,6,5,1,0,127,9,9,8,3,13,3,2
"E00021167",305,121,7,0,50,4,0,5,3,2,5,81,5,4,7,2,5,2,2
"E00021168",374,210,16,1,83,2,7,9,12,5,0,9,6,3,2,0,1,2,6
"E00021169",467,155,11,0,54,3,1,4,4,4,2,185,2,4,23,9,3,0,3
"E00021170",466,75,8,1,28,13,5,3,7,15,1,224,1,10,28,19,13,1,14
"E00021171",660,174,4,0,79,13,0,4,10,3,1,294,3,10,21,12,20,8,4
"E00021172",281,149,8,0,21,7,0,8,11,4,0,44,3,7,4,10,0,2,3
"E00021173",372,191,6,0,30,0,1,9,1,4,2,71,2,4,30,9,3,3,6
"E00021174",228,158,8,0,48,0,1,1,1,0,1,0,1,4,1,2,0,0,2
"E00021175",300,145,7,0,34,2,1,4,0,1,1,70,5,6,14,6,1,0,3
"E00021176",298,134,5,0,32,5,4,8,3,3,1,63,0,3,16,12,2,4,3
"E00021177",425,59,7,0,28,3,10,4,8,7,14,224,0,3,20,8,6,6,18
"E00021179",327,104,4,0,49,3,2,2,4,15,3,78,7,19,13,3,8,4,9
"E00021180",444,74,1,0,63,6,4,2,3,6,5,188,6,11,33,12,13,5,12
"E00021181",230,78,6,0,19,4,3,5,7,4,5,67,1,8,10,6,2,1,4
"E00021182",343,175,10,0,71,2,2,4,7,2,0,26,4,7,7,7,4,3,12
"E00021183",231,140,3,0,37,3,0,4,7,1,0,9,4,6,4,0,7,0,6
"E00021184",169,47,2,0,30,0,1,1,2,4,1,45,3,2,12,2,15,2,0
"E00021185",304,159,5,0,12,3,1,4,2,2,2,73,2,5,17,14,2,0,1
"E00021186",440,60,7,1,29,0,6,3,4,6,2,296,0,1,8,5,6,3,3
"E00021187",307,45,2,0,21,0,3,3,2,2,0,177,2,11,14,1,22,0,2
