"GeographyCode","QS203EW0001","QS203EW0002","QS203EW0003","QS203EW0004","QS203EW0005","QS203EW0006","QS203EW0007","QS203EW0008","QS203EW0009","QS203EW0010","QS203EW0011","QS203EW0012","QS203EW0013","QS203EW0014","QS203EW0015","QS203EW0016","QS203EW0017","QS203EW0018","QS203EW0019","QS203EW0020","QS203EW0021","QS203EW0022","QS203EW0023","QS203EW0024","QS203EW0025","QS203EW0026","QS203EW0027","QS203EW0028","QS203EW0029","QS203EW0030","QS203EW0031","QS203EW0032","QS203EW0033","QS203EW0034","QS203EW0035","QS203EW0036","QS203EW0037","QS203EW0038","QS203EW0039","QS203EW0040","QS203EW0041","QS203EW0042","QS203EW0043","QS203EW0044","QS203EW0045","QS203EW0046","QS203EW0047","QS203EW0048","QS203EW0049","QS203EW0050","QS203EW0051","QS203EW0052","QS203EW0053","QS203EW0054","QS203EW0055","QS203EW0056","QS203EW0057","QS203EW0058","QS203EW0059","QS203EW0060","QS203EW0061","QS203EW0062","QS203EW0063","QS203EW0064","QS203EW0065","QS203EW0066","QS203EW0067","QS203EW0068","QS203EW0069","QS203EW0070","QS203EW0071","QS203EW0072","QS203EW0073","QS203EW0074","QS203EW0075","QS203EW0076","QS203EW0077","QS203EW0078"
"E01004197",2329,1706,1399,1330,12,40,17,0,0,1,0,0,0,33,273,236,182,27,38,42,7,35,33,54,7,31,2,14,37,9,28,107,9,28,3,11,14,67,3,32,11,2,19,3,381,14,3,11,22,9,5,8,317,295,19,1,0,2,27,11,16,1,80,36,22,14,1,28,15,9,6,55,0,55,37,18,0,0
"E01004198",1529,1085,935,905,5,20,2,0,3,0,1,0,0,22,127,107,83,15,9,22,3,16,18,24,7,8,1,8,20,4,16,76,6,23,7,11,5,46,4,21,9,1,11,1,315,6,2,4,12,4,3,5,284,268,15,1,0,0,13,1,12,0,38,13,12,1,0,14,11,6,5,15,0,15,13,2,0,0
"E01004199",1637,1116,1017,989,5,15,8,0,0,0,0,3,0,8,88,74,49,8,5,12,1,10,13,25,0,16,1,8,14,8,6,66,12,12,2,7,3,41,1,24,2,1,13,1,406,5,1,4,8,0,2,6,372,367,4,1,0,0,21,4,17,0,33,12,5,7,0,7,14,5,9,16,0,15,10,5,1,0
"E01004200",1566,1211,955,893,11,29,22,0,0,1,3,0,0,29,223,196,165,28,53,23,6,17,38,31,2,20,0,9,27,7,20,38,7,11,5,3,3,20,1,7,9,1,2,0,203,7,1,6,21,5,5,11,151,138,6,5,2,0,22,1,21,2,54,32,22,10,1,17,4,2,2,60,0,60,35,25,0,0
"E01004201",1556,1196,1056,996,10,33,17,0,0,2,2,0,1,33,102,77,60,14,16,7,1,5,17,17,0,4,2,11,25,15,10,70,10,9,3,5,1,51,1,22,10,0,18,0,212,8,0,8,19,6,6,7,164,156,4,2,1,1,20,4,16,1,47,22,16,6,1,8,16,7,9,31,0,31,20,11,0,0
"E01004202",1705,1222,990,933,15,30,12,0,0,1,1,0,0,27,203,190,155,33,41,23,4,29,25,35,4,17,4,10,13,5,8,60,11,15,1,6,8,33,3,14,4,0,12,1,277,5,0,5,7,0,0,7,255,242,5,6,0,2,7,2,5,3,88,60,39,21,1,15,12,4,8,58,0,55,35,20,3,0
"E01004203",1779,1387,1139,1090,10,34,5,0,0,0,2,1,0,35,210,183,136,24,17,29,10,34,22,47,3,20,1,23,27,6,21,38,10,9,1,4,4,19,2,5,7,0,5,0,242,10,2,8,35,19,1,15,188,179,5,4,0,0,9,0,9,0,61,19,12,7,5,30,7,2,5,51,0,51,38,13,0,0
"E01004204",1582,1061,893,866,3,14,10,0,0,0,0,0,0,27,141,113,82,10,15,20,5,17,15,31,4,6,4,17,28,10,18,86,9,32,11,14,7,43,0,33,4,0,6,2,349,19,10,9,12,3,7,2,304,293,5,0,1,5,14,6,8,0,61,12,8,4,2,29,18,5,13,25,0,25,21,4,0,0
"E01004205",2106,1223,1053,1024,3,20,6,0,0,0,0,0,0,15,155,133,90,18,10,27,3,21,11,43,3,22,1,17,22,8,14,83,14,23,5,12,6,46,3,21,3,2,17,0,740,4,0,4,17,5,3,9,706,685,12,8,0,1,11,1,10,2,41,9,3,6,0,14,18,4,14,19,0,19,14,5,0,0
"E01004206",1492,889,758,742,4,4,8,0,0,0,0,0,0,22,109,95,72,14,2,15,3,21,17,23,6,5,2,10,14,4,10,71,13,23,6,10,7,35,0,25,3,1,6,0,483,5,1,4,18,5,3,10,438,406,13,8,0,11,16,5,11,6,36,8,5,3,1,17,10,4,6,13,0,13,12,1,0,0
