"GeographyCode","QS203EW0001","QS203EW0002","QS203EW0003","QS203EW0004","QS203EW0005","QS203EW0006","QS203EW0007","QS203EW0008","QS203EW0009","QS203EW0010","QS203EW0011","QS203EW0012","QS203EW0013","QS203EW0014","QS203EW0015","QS203EW0016","QS203EW0017","QS203EW0018","QS203EW0019","QS203EW0020","QS203EW0021","QS203EW0022","QS203EW0023","QS203EW0024","QS203EW0025","QS203EW0026","QS203EW0027","QS203EW0028","QS203EW0029","QS203EW0030","QS203EW0031","QS203EW0032","QS203EW0033","QS203EW0034","QS203EW0035","QS203EW0036","QS203EW0037","QS203EW0038","QS203EW0039","QS203EW0040","QS203EW0041","QS203EW0042","QS203EW0043","QS203EW0044","QS203EW0045","QS203EW0046","QS203EW0047","QS203EW0048","QS203EW0049","QS203EW0050","QS203EW0051","QS203EW0052","QS203EW0053","QS203EW0054","QS203EW0055","QS203EW0056","QS203EW0057","QS203EW0058","QS203EW0059","QS203EW0060","QS203EW0061","QS203EW0062","QS203EW0063","QS203EW0064","QS203EW0065","QS203EW0066","QS203EW0067","QS203EW0068","QS203EW0069","QS203EW0070","QS203EW0071","QS203EW0072","QS203EW0073","QS203EW0074","QS203EW0075","QS203EW0076","QS203EW0077","QS203EW0078"
"E02000864",8297,6509,5755,5522,51,120,60,0,2,0,2,0,0,116,636,561,307,49,58,74,20,40,66,254,36,67,11,140,75,28,47,397,39,115,27,43,45,243,5,130,36,20,52,0,1021,24,1,23,51,22,19,10,885,825,33,17,6,4,60,18,42,1,293,71,47,24,5,46,171,61,110,77,0,75,42,33,2,0
"E02000865",7051,5103,4407,4220,32,108,44,0,3,3,3,3,1,96,590,494,374,64,68,83,12,66,81,120,14,59,6,41,96,36,60,319,37,72,15,34,23,205,9,99,32,4,61,5,1314,33,6,27,61,19,16,26,1137,1086,42,5,1,3,81,20,61,2,198,83,55,28,2,57,56,27,29,117,0,116,80,36,1,0
"E02000866",9662,7768,6834,6508,58,165,102,0,1,7,1,2,3,169,752,633,430,100,65,94,27,59,85,203,30,80,6,87,119,44,75,338,24,98,18,45,35,215,13,86,63,10,43,1,1083,41,8,33,98,33,36,29,846,752,68,13,5,8,80,23,57,18,325,121,84,37,5,76,123,45,78,148,0,146,93,53,2,0
"E02000867",9761,7462,6420,6112,56,131,119,2,0,2,6,1,1,134,898,790,491,89,72,102,42,74,112,299,39,126,24,110,108,21,87,376,40,86,12,42,32,248,17,117,50,17,47,2,1419,62,19,43,165,86,39,40,1064,918,107,31,4,4,115,22,93,13,347,87,64,23,17,125,118,38,80,157,0,154,105,49,3,0
"E02000868",6632,4881,3977,3782,39,107,49,0,0,2,6,1,0,118,777,682,538,95,126,95,25,97,100,144,13,63,9,59,95,28,67,222,37,67,18,27,22,115,6,59,24,1,25,3,1071,41,13,28,75,27,13,35,898,852,21,15,3,7,52,9,43,5,264,123,81,42,9,91,41,13,28,194,0,191,129,62,3,0
"E02000869",5705,4219,3448,3284,34,93,37,0,0,1,1,0,3,116,650,552,448,80,75,128,21,55,89,104,5,40,3,56,98,29,69,287,35,95,13,47,35,156,9,40,25,23,59,1,850,41,12,29,72,17,25,30,686,643,23,15,2,3,49,11,38,2,239,107,75,32,5,82,45,15,30,110,0,110,75,35,0,0
"E02000870",6477,4910,4210,4073,28,76,31,0,2,3,2,0,0,87,608,517,393,66,39,107,25,65,91,124,30,52,6,36,91,19,72,231,30,53,9,23,21,144,9,72,20,5,38,4,1015,37,3,34,62,33,6,23,866,810,36,10,5,5,47,9,38,3,212,81,51,30,4,85,42,15,27,109,0,108,78,30,1,0
"E02000871",8591,5391,4773,4635,24,76,31,0,7,0,2,1,0,67,548,458,229,43,29,57,10,43,47,229,47,88,21,73,90,31,59,511,49,162,56,64,42,298,22,173,27,13,63,2,2419,52,3,49,149,94,31,24,2099,1949,85,42,5,18,115,18,97,4,224,38,25,13,8,53,125,36,89,46,0,46,38,8,0,0
"E02000872",7501,5213,4311,4113,49,90,57,0,2,0,3,0,4,95,800,701,553,97,63,106,31,105,151,148,20,44,25,59,99,20,79,285,47,64,19,25,20,172,22,59,34,6,51,2,1470,42,15,27,106,33,21,52,1249,1180,36,23,2,8,66,7,59,7,314,168,111,57,6,86,54,32,22,219,0,217,166,51,2,0
"E02000873",8713,5777,4808,4607,34,84,82,0,1,2,3,1,4,79,880,753,502,81,92,97,22,77,133,251,28,66,25,132,127,31,96,421,42,125,13,94,18,254,15,143,24,11,61,0,2178,70,16,54,287,184,46,57,1635,1473,77,63,16,6,149,26,123,37,238,105,69,36,4,71,58,18,40,99,0,99,74,25,0,0
