"GeographyCode","QS203EW0001","QS203EW0002","QS203EW0003","QS203EW0004","QS203EW0005","QS203EW0006","QS203EW0007","QS203EW0008","QS203EW0009","QS203EW0010","QS203EW0011","QS203EW0012","QS203EW0013","QS203EW0014","QS203EW0015","QS203EW0016","QS203EW0017","QS203EW0018","QS203EW0019","QS203EW0020","QS203EW0021","QS203EW0022","QS203EW0023","QS203EW0024","QS203EW0025","QS203EW0026","QS203EW0027","QS203EW0028","QS203EW0029","QS203EW0030","QS203EW0031","QS203EW0032","QS203EW0033","QS203EW0034","QS203EW0035","QS203EW0036","QS203EW0037","QS203EW0038","QS203EW0039","QS203EW0040","QS203EW0041","QS203EW0042","QS203EW0043","QS203EW0044","QS203EW0045","QS203EW0046","QS203EW0047","QS203EW0048","QS203EW0049","QS203EW0050","QS203EW0051","QS203EW0052","QS203EW0053","QS203EW0054","QS203EW0055","QS203EW0056","QS203EW0057","QS203EW0058","QS203EW0059","QS203EW0060","QS203EW0061","QS203EW0062","QS203EW0063","QS203EW0064","QS203EW0065","QS203EW0066","QS203EW0067","QS203EW0068","QS203EW0069","QS203EW0070","QS203EW0071","QS203EW0072","QS203EW0073","QS203EW0074","QS203EW0075","QS203EW0076","QS203EW0077","QS203EW0078"
"E00021141",340,232,225,223,1,1,0,0,0,0,0,0,0,4,3,2,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,16,0,3,1,0,2,13,2,8,1,1,1,0,85,0,0,0,0,0,0,0,85,85,0,0,0,0,0,0,0,0,6,3,3,0,0,1,2,2,0,1,0,1,1,0,0,0
"E00021143",393,269,242,232,4,3,3,0,0,0,0,0,1,5,21,17,12,3,1,1,0,3,4,5,0,0,0,5,4,4,0,18,4,0,0,0,0,14,0,7,2,0,5,0,85,4,0,4,5,3,1,1,70,68,1,1,0,0,6,1,5,0,11,3,3,0,0,3,5,2,3,10,0,10,6,4,0,0
"E00021145",256,209,185,170,2,11,2,0,0,0,0,0,0,4,20,15,13,9,1,1,0,1,1,2,1,1,0,0,5,1,4,10,0,0,0,0,0,7,0,1,1,0,5,3,27,0,0,0,3,1,1,1,13,6,7,0,0,0,10,7,3,1,6,2,1,1,0,3,1,0,1,4,0,4,4,0,0,0
"E00021146",462,358,277,253,4,9,11,0,0,1,0,0,0,10,70,62,56,7,17,9,0,4,19,6,1,2,0,3,8,2,6,11,3,4,0,1,3,4,0,0,3,0,1,0,53,3,1,2,18,5,4,9,22,12,4,4,2,0,8,1,7,2,21,13,9,4,1,5,2,0,2,19,0,19,8,11,0,0
"E00021147",210,177,156,150,3,2,1,0,0,0,0,0,0,4,17,9,9,1,5,1,0,1,1,0,0,0,0,0,8,8,0,10,4,1,0,1,0,5,0,1,1,0,3,0,14,2,0,2,1,0,1,0,8,6,2,0,0,0,3,3,0,0,7,6,4,2,0,0,1,0,1,2,0,2,2,0,0,0
"E00021148",279,218,183,179,0,3,1,0,0,0,0,0,0,3,32,26,20,2,3,3,2,7,3,6,1,3,0,2,6,0,6,9,3,1,0,1,0,5,1,0,4,0,0,0,39,3,0,3,3,1,2,0,30,22,7,1,0,0,3,0,3,0,7,3,3,0,0,4,0,0,0,6,0,6,5,1,0,0
"E00021149",353,261,250,243,2,3,2,0,0,0,0,0,0,0,11,9,8,3,0,3,0,0,2,1,0,0,0,1,2,0,2,14,4,1,0,0,1,9,0,2,1,0,6,0,62,1,0,1,3,0,0,3,58,58,0,0,0,0,0,0,0,0,9,5,3,2,0,4,0,0,0,7,0,6,3,3,1,0
"E00021150",298,227,196,183,2,8,1,0,2,0,1,0,0,11,19,19,17,5,3,4,0,2,3,2,0,1,0,1,0,0,0,17,0,9,3,5,1,8,1,4,1,0,2,0,51,0,0,0,3,3,0,0,48,46,2,0,0,0,0,0,0,0,3,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0
"E00021151",275,188,173,164,2,4,3,0,0,0,0,0,0,3,12,9,3,0,2,0,0,1,0,6,0,5,0,1,3,2,1,6,2,0,0,0,0,4,0,1,0,0,3,0,78,0,0,0,0,0,0,0,71,68,2,1,0,0,7,4,3,0,3,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0
"E00021152",379,241,227,224,0,2,1,0,0,0,0,0,0,1,13,9,2,1,0,0,0,0,1,7,0,2,0,5,4,1,3,14,1,8,4,3,1,5,0,3,0,0,2,0,107,2,0,2,0,0,0,0,103,100,2,0,0,1,2,0,2,0,13,6,3,3,0,1,6,2,4,4,0,4,2,2,0,0
"E00021153",344,290,235,214,1,13,7,0,0,0,0,0,0,12,43,38,28,5,8,4,0,2,9,10,1,7,0,2,5,2,3,7,1,2,0,2,0,4,0,1,3,0,0,0,15,2,0,2,1,0,0,1,6,5,1,0,0,0,6,0,6,0,15,7,5,2,0,8,0,0,0,17,0,17,12,5,0,0
"E00021154",401,266,239,239,0,0,0,0,0,0,0,0,0,1,26,17,13,0,8,2,1,0,2,4,0,0,0,4,9,1,8,13,3,3,3,0,0,7,1,6,0,0,0,0,109,1,0,1,0,0,0,0,106,104,1,1,0,0,2,0,2,0,7,3,2,1,0,2,2,2,0,6,0,6,4,2,0,0
