"GeographyCode","QS204EW0001","QS204EW0002","QS204EW0003","QS204EW0004","QS204EW0005","QS204EW0006","QS204EW0007","QS204EW0008","QS204EW0009","QS204EW0010","QS204EW0011","QS204EW0012","QS204EW0013","QS204EW0014","QS204EW0015","QS204EW0016","QS204EW0017","QS204EW0018","QS204EW0019","QS204EW0020","QS204EW0021","QS204EW0022","QS204EW0023","QS204EW0024","QS204EW0025","QS204EW0026","QS204EW0027","QS204EW0028","QS204EW0029","QS204EW0030","QS204EW0031","QS204EW0032","QS204EW0033","QS204EW0034","QS204EW0035","QS204EW0036","QS204EW0037","QS204EW0038","QS204EW0039","QS204EW0040","QS204EW0041","QS204EW0042","QS204EW0043","QS204EW0044","QS204EW0045","QS204EW0046","QS204EW0047","QS204EW0048","QS204EW0049","QS204EW0050","QS204EW0051","QS204EW0052","QS204EW0053","QS204EW0054","QS204EW0055","QS204EW0056","QS204EW0057","QS204EW0058","QS204EW0059","QS204EW0060","QS204EW0061","QS204EW0062","QS204EW0063","QS204EW0064","QS204EW0065","QS204EW0066","QS204EW0067","QS204EW0068","QS204EW0069","QS204EW0070","QS204EW0071","QS204EW0072","QS204EW0073","QS204EW0074","QS204EW0075","QS204EW0076","QS204EW0077","QS204EW0078","QS204EW0079","QS204EW0080","QS204EW0081","QS204EW0082","QS204EW0083","QS204EW0084","QS204EW0085","QS204EW0086","QS204EW0087","QS204EW0088","QS204EW0089","QS204EW0090","QS204EW0091","QS204EW0092","QS204EW0093","QS204EW0094","QS204EW0095","QS204EW0096","QS204EW0097","QS204EW0098","QS204EW0099","QS204EW0100","QS204EW0101","QS204EW0102","QS204EW0103","QS204EW0104"
"E01004197",2220,1488,0,2,0,2,0,0,0,0,0,38,22,39,124,32,21,28,0,2,2,7,0,0,2,7,4,11,1,2,3,0,0,2,13,2,0,2,0,9,0,0,0,2,8,7,6,2,0,2,0,2,379,1,0,1,0,356,12,0,0,0,7,0,0,2,37,5,9,3,6,0,1,1,2,6,4,0,0,0,0,0,53,6,1,37,0,0,0,0,0,0,1,1,0,1,3,3,2,2,0,0,0,0
"E01004198",1467,984,0,0,0,0,0,0,0,0,0,16,12,22,53,19,6,9,0,0,1,5,0,1,0,4,2,4,1,0,0,0,0,1,10,7,0,0,0,3,0,0,0,2,5,7,2,0,1,0,0,1,298,1,1,5,0,283,0,0,0,0,1,0,0,7,18,5,3,3,4,0,0,2,0,1,0,0,0,0,0,0,36,4,1,23,0,0,0,5,1,0,1,1,0,0,0,0,0,0,2,2,0,0
"E01004199",1569,977,0,0,0,0,0,0,0,0,0,13,3,12,46,10,4,17,0,0,1,0,0,0,0,7,0,5,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,9,7,2,0,1,1,0,0,430,1,0,2,0,423,1,0,0,1,0,0,1,1,22,1,3,8,0,2,5,0,0,2,1,0,0,0,0,0,43,0,3,28,0,0,0,1,0,4,0,1,0,5,1,0,2,2,0,0,0,0
"E01004200",1534,1120,2,1,1,0,0,0,0,0,0,20,13,20,115,21,41,18,0,0,0,2,0,0,3,6,5,14,4,1,0,0,0,0,8,0,2,0,0,6,0,0,0,1,7,12,3,0,0,1,0,2,186,2,0,1,0,181,0,0,0,1,0,0,0,1,17,1,0,7,4,1,2,0,1,1,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01004201",1485,1151,3,0,0,0,0,0,0,0,0,11,8,6,37,5,5,5,2,0,2,0,0,5,0,2,0,5,3,3,0,0,0,0,6,3,0,0,1,2,0,0,0,3,6,9,2,0,1,0,1,0,189,2,0,1,0,185,0,0,0,1,0,0,0,0,15,0,2,6,3,0,2,2,0,0,0,0,0,0,0,0,37,0,2,31,0,0,1,0,3,0,0,0,0,0,0,0,0,0,2,2,0,0
"E01004202",1649,1149,1,0,0,0,0,0,0,0,0,31,13,29,103,20,35,15,1,0,3,2,1,4,0,1,5,7,4,1,2,1,0,1,3,0,2,0,0,1,0,0,0,3,5,10,6,0,0,0,4,2,266,0,0,1,0,264,0,0,0,0,0,0,0,1,8,0,1,0,6,0,0,0,0,1,0,0,0,0,0,0,19,2,1,12,0,0,1,0,3,0,0,0,0,0,0,0,2,2,1,1,0,0
"E01004203",1727,1226,1,0,0,0,0,0,0,0,0,20,20,52,90,31,10,14,1,2,1,2,0,9,0,6,2,4,3,4,0,0,1,0,6,1,0,0,2,3,0,0,0,7,6,9,3,1,0,1,0,1,241,4,0,1,0,233,1,0,0,0,0,0,0,2,32,4,0,17,6,5,0,0,0,0,0,0,0,0,0,0,12,0,3,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0
"E01004204",1521,953,0,0,0,0,0,0,0,0,0,14,23,23,57,13,10,7,0,1,2,1,2,2,2,6,0,6,0,2,0,0,2,1,9,3,1,0,0,5,0,0,0,4,9,4,13,0,3,10,0,0,359,0,0,2,0,347,1,1,0,1,0,0,3,4,14,0,4,2,2,0,2,1,0,3,0,0,0,1,1,0,38,0,2,30,0,0,0,1,0,0,1,0,0,0,2,2,0,0,0,0,0,0
"E01004205",1986,995,1,0,0,0,0,0,0,0,0,23,17,19,64,15,10,20,0,0,0,3,2,0,3,2,1,3,0,1,0,0,2,2,4,1,2,0,0,1,0,0,0,7,16,14,4,1,0,0,0,3,765,2,3,6,0,749,0,0,0,0,0,0,0,5,20,5,0,2,5,1,6,0,0,1,0,0,0,0,0,0,36,1,0,24,0,1,1,0,2,1,0,0,0,3,2,1,1,1,0,0,0,0
"E01004206",1432,741,0,0,0,0,0,0,0,0,0,19,14,30,43,16,2,6,0,0,0,6,0,1,4,3,0,2,1,0,1,0,0,1,6,0,4,0,0,2,7,0,7,3,3,7,9,0,0,1,2,6,501,5,8,2,0,469,1,0,0,0,0,0,11,5,21,0,7,6,3,3,0,1,0,1,0,0,0,0,0,0,26,1,0,21,0,2,0,1,0,1,0,0,0,0,0,0,0,0,2,2,0,0
