"GeographyCode","QS204EW0001","QS204EW0002","QS204EW0003","QS204EW0004","QS204EW0005","QS204EW0006","QS204EW0007","QS204EW0008","QS204EW0009","QS204EW0010","QS204EW0011","QS204EW0012","QS204EW0013","QS204EW0014","QS204EW0015","QS204EW0016","QS204EW0017","QS204EW0018","QS204EW0019","QS204EW0020","QS204EW0021","QS204EW0022","QS204EW0023","QS204EW0024","QS204EW0025","QS204EW0026","QS204EW0027","QS204EW0028","QS204EW0029","QS204EW0030","QS204EW0031","QS204EW0032","QS204EW0033","QS204EW0034","QS204EW0035","QS204EW0036","QS204EW0037","QS204EW0038","QS204EW0039","QS204EW0040","QS204EW0041","QS204EW0042","QS204EW0043","QS204EW0044","QS204EW0045","QS204EW0046","QS204EW0047","QS204EW0048","QS204EW0049","QS204EW0050","QS204EW0051","QS204EW0052","QS204EW0053","QS204EW0054","QS204EW0055","QS204EW0056","QS204EW0057","QS204EW0058","QS204EW0059","QS204EW0060","QS204EW0061","QS204EW0062","QS204EW0063","QS204EW0064","QS204EW0065","QS204EW0066","QS204EW0067","QS204EW0068","QS204EW0069","QS204EW0070","QS204EW0071","QS204EW0072","QS204EW0073","QS204EW0074","QS204EW0075","QS204EW0076","QS204EW0077","QS204EW0078","QS204EW0079","QS204EW0080","QS204EW0081","QS204EW0082","QS204EW0083","QS204EW0084","QS204EW0085","QS204EW0086","QS204EW0087","QS204EW0088","QS204EW0089","QS204EW0090","QS204EW0091","QS204EW0092","QS204EW0093","QS204EW0094","QS204EW0095","QS204EW0096","QS204EW0097","QS204EW0098","QS204EW0099","QS204EW0100","QS204EW0101","QS204EW0102","QS204EW0103","QS204EW0104"
"E02000864",7923,6174,0,0,0,0,0,0,0,0,0,55,40,54,316,62,39,62,12,10,5,33,11,19,10,12,5,22,6,3,1,0,2,2,16,4,0,6,2,4,0,0,0,19,44,37,4,0,3,1,0,0,925,11,0,10,0,892,1,0,3,2,0,1,1,4,79,5,10,23,8,1,17,1,3,10,1,0,0,2,0,2,151,10,2,102,0,4,6,0,7,0,0,10,1,2,4,3,5,5,2,2,0,0
"E02000865",6741,4600,3,2,0,2,0,0,0,0,0,78,45,79,260,66,36,59,2,2,6,12,0,6,2,20,6,25,7,5,3,0,0,3,30,13,0,2,1,14,0,0,0,9,28,30,12,2,3,3,1,3,1296,5,1,9,0,1247,13,0,0,2,8,0,1,10,92,11,17,20,13,2,8,5,2,9,5,0,0,0,0,0,169,10,7,119,0,0,1,6,4,4,2,3,0,6,4,3,4,4,4,4,0,0
"E02000866",9243,7413,1,1,1,0,0,0,0,0,0,96,81,64,318,89,45,74,2,4,4,18,1,14,7,13,11,11,3,5,6,3,6,2,19,8,3,2,0,6,1,0,1,32,50,23,22,3,2,7,3,7,900,9,6,20,0,851,5,0,0,3,0,0,1,5,99,3,19,28,10,2,6,10,1,12,8,0,0,0,0,0,111,7,3,70,0,5,0,6,5,0,0,0,3,7,0,5,10,10,2,1,0,1
"E02000867",9351,7122,2,3,2,0,0,0,0,1,0,93,114,119,453,88,48,118,10,7,19,36,5,19,11,22,11,35,5,4,3,2,4,6,30,17,5,2,0,6,0,0,0,31,25,26,24,3,4,3,2,12,1009,17,22,5,0,940,3,0,5,3,11,0,1,2,168,13,11,68,21,8,15,10,7,8,7,0,0,0,0,0,123,5,0,91,1,0,9,3,6,0,0,0,2,1,4,1,8,8,1,1,0,0
"E02000868",6431,4448,4,1,1,0,0,0,0,0,0,85,69,124,365,85,96,54,2,3,6,7,3,15,5,19,12,31,11,8,2,1,3,2,26,4,5,0,2,15,0,0,0,15,27,35,25,1,3,12,4,5,1052,6,0,5,0,1025,2,1,0,2,0,0,3,8,71,5,5,26,18,6,4,1,1,5,0,0,0,1,1,0,78,2,6,57,2,0,2,1,3,0,1,0,0,0,2,2,2,2,3,2,1,0
"E02000869",5485,3932,0,0,0,0,0,0,0,0,0,82,50,83,294,125,45,34,5,1,3,4,4,7,5,9,10,31,5,4,0,0,1,1,20,2,6,1,0,11,0,0,0,12,29,38,13,5,4,3,0,1,769,13,2,6,0,743,0,0,0,0,0,1,1,3,73,4,4,24,12,8,6,7,1,5,2,0,0,1,1,0,84,6,8,38,1,6,0,9,1,1,3,5,0,0,2,4,4,4,1,1,0,0
"E02000870",6223,4511,5,1,1,0,0,0,0,0,0,62,59,80,273,80,35,45,6,2,3,25,1,11,1,10,5,39,3,0,1,0,0,6,16,3,3,1,1,8,0,0,0,20,21,25,20,3,2,3,3,9,960,11,1,1,0,926,5,1,0,3,3,0,0,9,71,3,3,37,9,1,6,4,0,7,1,0,0,0,0,0,97,6,6,69,0,1,1,2,5,0,2,0,0,1,3,1,1,1,1,1,0,0
"E02000871",8076,4889,0,4,2,0,0,0,0,2,0,55,42,57,277,53,21,79,8,1,13,44,5,9,5,11,3,11,3,1,5,2,3,0,17,8,0,6,1,2,0,0,0,24,41,53,21,4,9,7,0,1,2190,22,10,8,0,2106,4,1,3,5,3,1,10,17,176,22,35,61,9,3,16,10,3,9,8,0,0,0,0,0,214,8,2,135,2,19,8,2,4,2,1,2,2,5,3,19,11,11,5,4,1,0
"E02000872",7208,4858,1,1,0,0,0,1,0,0,0,98,61,122,330,92,40,37,3,4,6,20,2,4,2,25,21,40,14,4,2,4,3,7,29,2,6,0,1,20,0,0,0,29,23,36,12,4,3,2,0,3,1412,14,4,7,0,1366,3,0,0,0,0,1,4,13,88,3,11,23,23,7,13,3,0,1,4,0,0,1,0,1,101,13,2,51,0,9,2,7,7,1,1,0,4,2,1,1,2,2,4,1,1,2
"E02000873",8359,5243,2,1,0,1,0,0,0,0,0,92,51,90,429,89,54,58,14,9,17,26,8,10,26,59,6,24,2,12,5,1,4,5,25,7,7,2,1,8,2,0,2,56,40,46,43,0,6,11,4,22,1702,45,10,5,0,1591,10,1,1,10,7,2,3,17,330,21,28,180,15,17,28,23,10,6,2,0,0,0,0,0,184,3,14,125,0,3,5,5,2,0,0,0,5,6,4,12,17,17,6,5,0,1
