"GeographyCode","QS208EW0001","QS208EW0002","QS208EW0003","QS208EW0004","QS208EW0005","QS208EW0006","QS208EW0007","QS208EW0008","QS208EW0009","QS208EW0010"
"E01004197",2329,572,39,23,10,614,5,7,517,542
"E01004198",1529,405,6,10,18,588,10,5,230,257
"E01004199",1637,308,10,6,7,854,10,2,226,214
"E01004200",1566,330,4,10,12,343,6,6,584,271
"E01004201",1556,483,26,3,8,394,1,10,332,299
"E01004202",1705,310,10,8,15,556,1,4,533,268
"E01004203",1779,462,11,4,16,492,2,4,508,280
"E01004204",1582,494,8,3,2,618,1,10,223,223
"E01004205",2106,248,8,10,10,1365,6,2,223,234
"E01004206",1492,289,22,16,11,823,2,5,168,156
"E01004207",1416,351,7,16,6,502,11,5,274,244
"E01004208",1976,383,26,33,16,579,17,17,591,314
"E01004209",1366,197,10,9,8,835,2,0,166,139
"E01004211",1463,313,9,7,22,335,2,7,533,235
"E01004212",1780,389,26,15,6,605,8,6,445,280
"E01004214",1669,537,31,15,1,577,5,6,238,259
"E01004215",2756,907,57,101,9,676,14,5,536,451
"E01004216",1619,641,23,100,7,187,9,9,396,247
"E01004217",1745,762,18,42,5,326,4,4,356,228
"E01004218",1750,754,21,49,5,228,13,6,416,258
"E01004219",2294,511,33,60,5,1000,3,6,323,353
"E01004221",1881,627,18,53,12,404,6,7,417,337
"E01004222",2480,986,13,7,17,639,13,4,434,367
"E01004223",2079,874,14,13,21,422,5,5,398,327
"E01004224",2000,667,21,7,9,486,5,10,455,340
"E01004225",2178,726,22,36,15,183,8,9,882,297
"E01004226",1738,585,9,6,3,544,5,9,339,238
"E01004228",1857,720,18,20,24,179,8,12,605,271
"E01004229",1484,447,14,15,11,547,4,2,288,156
"E01004230",2101,738,16,33,8,460,11,7,477,351
"E01004231",1793,505,13,19,9,741,10,3,265,228
"E01004232",1665,504,12,16,10,272,11,8,578,254
"E01004233",1821,538,14,8,7,635,18,4,333,264
"E01004234",2218,763,22,12,11,194,1,11,762,442
"E01004235",1372,260,13,10,3,785,6,8,157,130
"E01004236",1679,311,14,16,2,1031,7,3,94,201
"E01004237",1158,344,14,11,1,400,4,2,201,181
"E01004238",2733,533,23,54,1,1339,12,5,314,452
"E01004239",1649,454,28,15,10,741,4,5,195,197
"E01004240",1815,490,38,3,5,815,10,1,174,279
"E01004241",1621,382,28,7,5,786,12,4,186,211
"E01004242",2453,549,47,18,8,1154,9,9,320,339
"E01004243",1789,454,22,10,0,828,1,3,186,285
"E01004244",1885,598,16,10,2,771,9,4,190,285
"E01004245",1539,295,13,1,2,899,4,6,119,200
"E01004246",1977,725,25,28,10,602,1,4,334,248
"E01004247",1934,575,32,23,3,811,1,7,228,254
"E01004248",1344,380,9,2,2,613,6,2,119,211
"E01004249",2049,619,25,15,3,860,21,7,202,297
"E01004250",2342,743,26,10,2,987,2,6,290,276
"E01004251",2082,539,25,26,6,927,2,11,275,271
"E01004252",2707,721,22,39,4,1021,12,6,412,470
"E01004253",2340,761,12,23,5,859,14,7,295,364
"E01004254",2120,749,24,63,18,257,9,17,635,348
"E01004255",1618,409,30,41,3,685,4,7,224,215
"E01004256",1729,478,14,13,5,795,1,4,215,204
"E01004257",1884,518,14,23,8,870,1,5,186,259
"E01004258",1506,637,18,19,10,263,10,3,341,205
"E01004259",1723,448,52,20,8,362,1,8,518,306
"E01004260",1790,444,12,17,11,715,4,3,317,267
"E01004261",2525,532,28,54,5,884,10,10,594,408
"E01004262",1742,425,26,46,12,556,7,5,359,306
"E01004263",1419,473,11,3,2,513,4,3,219,191
"E01004264",1537,216,20,15,7,981,1,3,94,200
"E01004266",1545,541,11,0,9,358,2,8,392,224
"E01004267",1767,455,16,26,8,506,7,8,421,320
"E01004268",1784,401,19,20,6,873,2,4,230,229
"E01004269",1975,493,23,34,15,759,7,10,335,299
"E01004270",2236,589,22,53,16,602,8,11,554,381
"E01004271",1589,365,14,15,4,820,5,3,190,173
"E01004272",2099,329,2,18,1,1362,8,3,124,252
"E01004273",1904,342,17,7,1,1209,4,2,122,200
"E01004274",1973,528,36,56,6,786,3,8,285,265
"E01004275",1879,832,35,48,3,228,3,6,469,255
"E01004276",2024,815,38,149,12,85,7,9,594,315
"E01004277",1630,581,36,85,11,77,5,3,506,326
"E01004280",1879,521,34,65,2,513,6,3,328,407
"E01004281",1770,635,30,112,5,148,2,10,550,278
"E01004283",2317,551,14,8,17,1107,7,13,305,295
"E01004284",2302,539,20,34,3,1080,14,4,340,268
"E01004285",2318,381,5,24,3,1522,2,4,153,224
"E01004286",2364,622,22,15,9,1156,13,7,268,252
"E01004287",2171,531,7,14,16,1104,3,8,257,231
"E01004288",1620,391,14,6,7,858,1,1,124,218
"E01004289",1844,438,18,17,9,790,5,9,236,322
"E01004290",1302,415,14,13,16,299,3,9,279,254
"E01004291",1844,804,10,15,16,211,1,11,447,329
"E01004292",1738,699,30,36,14,179,2,1,475,302
"E01004293",2125,959,25,25,16,205,3,7,568,317
"E01004294",1757,599,28,26,7,367,5,4,437,284
"E01004295",1516,239,6,15,2,957,4,4,111,178
"E01004296",1605,435,9,13,8,644,6,7,266,217
"E01004297",1826,778,20,23,17,173,2,3,534,276
"E01004298",1637,327,3,11,9,872,2,3,209,201
"E01004300",1349,350,8,4,3,708,6,1,117,152
"E01004301",1324,190,4,9,2,826,1,10,126,156
"E01004302",1987,259,14,21,5,1341,10,1,165,171
"E01004303",2362,762,12,31,8,802,3,6,431,307
"E01004304",1957,335,17,8,5,1179,4,5,181,223
"E01004305",1952,481,18,20,12,954,2,9,225,231
"E01004306",1799,311,8,5,15,729,4,6,425,296
"E01004307",2186,629,29,40,26,264,5,5,700,488
"E01004308",1478,248,8,32,16,708,3,2,293,168
"E01004309",2852,460,9,32,8,1361,13,7,521,441
"E01004310",1971,356,9,21,5,911,2,7,339,321
"E01004311",1518,428,19,8,7,459,8,1,370,218
"E01004312",1614,319,14,6,9,710,1,8,253,294
"E01004313",2043,495,26,4,15,751,0,5,397,350
"E01004314",1100,320,9,0,19,125,0,7,446,174
"E01004315",1628,439,21,8,12,430,2,7,410,299
"E01004316",1138,216,11,15,8,438,2,3,288,157
"E01004317",2706,606,16,22,29,645,10,16,881,481
"E01004318",1459,433,14,3,5,446,2,5,294,257
"E01004319",1886,186,11,14,4,1234,4,2,206,225
"E01004321",1822,266,18,18,5,982,3,9,245,276
"E01004322",1292,288,4,33,35,525,8,7,194,198
"E01004323",1466,251,10,13,20,700,2,2,254,214
"E01004324",1574,245,11,4,15,957,1,2,146,193
"E01004325",2487,514,26,53,16,782,5,4,683,404
"E01004326",1444,315,11,10,33,569,3,1,260,242
"E01032764",1302,433,9,19,13,189,5,12,426,196
"E01032765",1488,578,13,24,13,282,8,3,377,190
"E01032766",1307,196,13,20,8,362,2,2,297,407
"E01032767",1584,468,18,44,17,190,7,4,471,365
"E01032768",1307,528,23,59,10,88,2,3,379,215
"E01032769",1235,352,20,71,9,281,3,4,317,178
"E01032770",1191,347,22,122,1,160,5,6,236,292
"E01032771",1104,287,18,47,12,310,4,5,184,237
"E01032772",1135,338,11,29,6,361,8,0,185,197
"E01032773",1561,353,26,43,1,301,9,3,315,510
"E01032774",1298,396,22,50,8,298,3,1,244,276
"E01032775",1108,342,16,95,6,122,13,2,295,217
"E01032776",1076,311,26,79,3,127,5,6,281,238
"E01032777",1141,364,11,77,8,241,4,4,229,203
"E01032778",1108,282,23,115,4,118,10,7,301,248
"E01032779",1089,348,18,54,0,161,1,3,240,264
"E01032780",1333,445,42,120,5,68,5,6,364,278
"E01032781",1535,510,19,126,8,169,7,11,381,304
"E01032782",1614,452,41,30,8,440,7,6,251,379
"E01032783",1383,466,51,72,3,159,15,4,354,259
"E01032784",1516,572,9,32,5,299,8,6,412,173
"E01032785",1348,381,12,17,4,288,2,10,436,198
"E01032786",1561,431,22,7,2,547,3,3,321,225
"E01032787",2567,403,14,11,5,1436,13,8,349,328
