"GeographyCode","QS210EW0001","QS210EW0002","QS210EW0003","QS210EW0004","QS210EW0005","QS210EW0006","QS210EW0007","QS210EW0008","QS210EW0009","QS210EW0010","QS210EW0011","QS210EW0012","QS210EW0013","QS210EW0014","QS210EW0015","QS210EW0016","QS210EW0017","QS210EW0018","QS210EW0019","QS210EW0020","QS210EW0021","QS210EW0022","QS210EW0023","QS210EW0024","QS210EW0025","QS210EW0026","QS210EW0027","QS210EW0028","QS210EW0029","QS210EW0030","QS210EW0031","QS210EW0032","QS210EW0033","QS210EW0034","QS210EW0035","QS210EW0036","QS210EW0037","QS210EW0038","QS210EW0039","QS210EW0040","QS210EW0041","QS210EW0042","QS210EW0043","QS210EW0044","QS210EW0045","QS210EW0046","QS210EW0047","QS210EW0048","QS210EW0049","QS210EW0050","QS210EW0051","QS210EW0052","QS210EW0053","QS210EW0054","QS210EW0055","QS210EW0056","QS210EW0057","QS210EW0058","QS210EW0059"
"E02000864",8297,3112,57,33,50,2091,28,28,0,1,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,2,0,0,4,1626,1591,6,9,0,0,3,17,0,1272
"E02000865",7051,1768,81,42,43,2450,26,24,0,0,3,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,4,0,1,0,0,0,0,0,0,6,1,2,1,0,0,0,0,0,0,0,1,1,1305,1266,5,10,0,1,2,21,0,1312
"E02000866",9662,3263,82,89,60,1740,49,42,0,0,0,0,0,0,0,2,0,0,0,0,2,6,0,0,0,0,1,11,2,2,0,0,0,1,1,0,6,3,0,0,0,0,0,1,0,0,0,0,4,2755,2672,18,11,0,0,0,54,0,1582
"E02000867",9761,3261,80,145,66,2241,43,35,0,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,1,3,0,0,1,1,0,0,7,3,0,0,0,0,0,0,0,1,0,0,5,2650,2563,17,14,0,2,2,52,0,1240
"E02000868",6632,1596,33,25,45,2009,10,24,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,5,0,1,0,0,0,4,2,1,0,0,1,0,0,0,1,0,0,1,1848,1787,21,10,1,2,2,25,0,1042
"E02000869",5705,1620,63,19,43,1460,12,20,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5,0,2,0,0,1,0,0,0,3,3,0,0,1,0,0,0,0,1,0,1,1,1520,1488,6,8,0,0,3,15,0,948
"E02000870",6477,1906,86,40,30,1948,11,22,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,4,1,2,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,4,1446,1403,12,11,0,0,1,19,0,988
"E02000871",8591,1902,92,106,17,4296,33,23,0,2,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,6,2,1,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,3,961,937,6,3,0,0,2,13,0,1161
"E02000872",7501,1636,67,47,61,2544,13,32,0,0,1,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,1,5,1,2,3,0,1,1,0,0,2,1,3,0,0,0,0,0,0,2,0,1,2,1819,1780,5,10,0,0,0,24,0,1282
"E02000873",8713,1985,108,139,30,3256,23,31,0,2,1,0,0,0,0,3,1,0,0,1,4,1,1,0,0,0,0,2,0,5,1,0,0,1,0,1,5,1,0,0,0,0,0,0,0,1,0,0,0,1804,1758,12,7,0,0,4,23,0,1337
