"GeographyCode","QS211EW0001","QS211EW0002","QS211EW0003","QS211EW0004","QS211EW0005","QS211EW0006","QS211EW0007","QS211EW0008","QS211EW0009","QS211EW0010","QS211EW0011","QS211EW0012","QS211EW0013","QS211EW0014","QS211EW0015","QS211EW0016","QS211EW0017","QS211EW0018","QS211EW0019","QS211EW0020","QS211EW0021","QS211EW0022","QS211EW0023","QS211EW0024","QS211EW0025","QS211EW0026","QS211EW0027","QS211EW0028","QS211EW0029","QS211EW0030","QS211EW0031","QS211EW0032","QS211EW0033","QS211EW0034","QS211EW0035","QS211EW0036","QS211EW0037","QS211EW0038","QS211EW0039","QS211EW0040","QS211EW0041","QS211EW0042","QS211EW0043","QS211EW0044","QS211EW0045","QS211EW0046","QS211EW0047","QS211EW0048","QS211EW0049","QS211EW0050","QS211EW0051","QS211EW0052","QS211EW0053","QS211EW0054","QS211EW0055","QS211EW0056","QS211EW0057","QS211EW0058","QS211EW0059","QS211EW0060","QS211EW0061","QS211EW0062","QS211EW0063","QS211EW0064","QS211EW0065","QS211EW0066","QS211EW0067","QS211EW0068","QS211EW0069","QS211EW0070","QS211EW0071","QS211EW0072","QS211EW0073","QS211EW0074","QS211EW0075","QS211EW0076","QS211EW0077","QS211EW0078","QS211EW0079","QS211EW0080","QS211EW0081","QS211EW0082","QS211EW0083","QS211EW0084","QS211EW0085","QS211EW0086","QS211EW0087","QS211EW0088","QS211EW0089","QS211EW0090","QS211EW0091","QS211EW0092","QS211EW0093","QS211EW0094","QS211EW0095","QS211EW0096","QS211EW0097","QS211EW0098","QS211EW0099","QS211EW0100","QS211EW0101","QS211EW0102","QS211EW0103","QS211EW0104","QS211EW0105","QS211EW0106","QS211EW0107","QS211EW0108","QS211EW0109","QS211EW0110","QS211EW0111","QS211EW0112","QS211EW0113","QS211EW0114","QS211EW0115","QS211EW0116","QS211EW0117","QS211EW0118","QS211EW0119","QS211EW0120","QS211EW0121","QS211EW0122","QS211EW0123","QS211EW0124","QS211EW0125","QS211EW0126","QS211EW0127","QS211EW0128","QS211EW0129","QS211EW0130","QS211EW0131","QS211EW0132","QS211EW0133","QS211EW0134","QS211EW0135","QS211EW0136","QS211EW0137","QS211EW0138","QS211EW0139","QS211EW0140","QS211EW0141","QS211EW0142","QS211EW0143","QS211EW0144","QS211EW0145","QS211EW0146","QS211EW0147","QS211EW0148","QS211EW0149","QS211EW0150","QS211EW0151","QS211EW0152","QS211EW0153","QS211EW0154","QS211EW0155","QS211EW0156","QS211EW0157","QS211EW0158","QS211EW0159","QS211EW0160","QS211EW0161","QS211EW0162","QS211EW0163","QS211EW0164","QS211EW0165","QS211EW0166","QS211EW0167","QS211EW0168","QS211EW0169","QS211EW0170","QS211EW0171","QS211EW0172","QS211EW0173","QS211EW0174","QS211EW0175","QS211EW0176","QS211EW0177","QS211EW0178","QS211EW0179","QS211EW0180","QS211EW0181","QS211EW0182","QS211EW0183","QS211EW0184","QS211EW0185","QS211EW0186","QS211EW0187","QS211EW0188","QS211EW0189","QS211EW0190","QS211EW0191","QS211EW0192","QS211EW0193","QS211EW0194","QS211EW0195","QS211EW0196","QS211EW0197","QS211EW0198","QS211EW0199","QS211EW0200","QS211EW0201","QS211EW0202","QS211EW0203","QS211EW0204","QS211EW0205","QS211EW0206","QS211EW0207","QS211EW0208","QS211EW0209","QS211EW0210","QS211EW0211","QS211EW0212","QS211EW0213","QS211EW0214","QS211EW0215","QS211EW0216","QS211EW0217","QS211EW0218","QS211EW0219","QS211EW0220","QS211EW0221","QS211EW0222","QS211EW0223","QS211EW0224","QS211EW0225","QS211EW0226","QS211EW0227","QS211EW0228","QS211EW0229","QS211EW0230","QS211EW0231","QS211EW0232","QS211EW0233","QS211EW0234","QS211EW0235","QS211EW0236","QS211EW0237","QS211EW0238","QS211EW0239","QS211EW0240","QS211EW0241","QS211EW0242","QS211EW0243","QS211EW0244","QS211EW0245","QS211EW0246","QS211EW0247","QS211EW0248","QS211EW0249","QS211EW0250","QS211EW0251"
"E02000864",8297,3717,142,7,0,5,0,0,39,34,0,10,0,0,0,3,22,0,0,3,0,84,0,15,7,0,0,61,0,0,1,3,13,0,1,0,0,0,0,2,32,54,0,153,0,50,1,0,0,0,1,0,0,27,10,0,0,0,0,82,171,56,72,0,0,0,0,1,0,3,0,5,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,1,0,1,0,0,2,0,1,0,0,0,0,0,4,0,2,2,2,0,0,2,0,1,0,2,0,2,0,0,0,0,0,0,9,0,1,0,0,8,0,3,0,1,64,99,40,1799,85,2,0,2,0,0,1,0,8,0,13,0,0,0,7,0,8,0,0,2,2,2,0,0,0,3,0,0,0,0,13,1,1,6,5,0,26,18,395,407,0,0,47,0,4,0,4,0,0,0,0,0,0,3,0,2,0,0,0,0,65,33,0,35,75,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,6,0,1,0,0,0,0,0,2,0,10,0,2,4,3,0,4,0,0,0,4,0,0,0,0,8,0,0,0,0,8,6,1,14
"E02000865",7051,2489,132,4,0,6,0,4,53,10,1,9,0,0,0,0,12,1,0,4,1,84,0,19,4,1,0,62,0,0,3,0,5,0,0,0,0,0,0,6,32,24,0,194,0,45,0,2,0,0,0,0,0,10,2,1,0,2,0,88,88,34,96,0,0,0,1,0,0,1,1,7,0,0,0,3,0,0,1,0,2,2,0,0,1,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,3,0,2,1,2,0,0,2,0,0,2,4,1,1,0,2,0,0,0,0,1,2,0,0,0,2,5,0,0,1,47,101,19,2380,71,3,0,5,3,0,1,3,1,0,17,0,2,0,13,0,6,0,0,4,9,0,0,0,2,0,0,1,0,1,5,1,0,4,5,0,24,11,284,150,0,0,21,0,2,0,1,0,0,1,0,0,0,6,0,0,0,0,2,0,53,23,0,10,64,0,1,0,0,0,0,0,6,0,0,0,0,3,4,0,1,2,0,1,0,3,0,2,1,0,0,0,1,15,0,0,7,0,0,5,0,0,4,0,0,0,1,0,13,1,0,0,0,20,3,0,17
"E02000866",9662,5123,221,11,0,3,1,1,88,17,0,9,0,0,1,0,18,0,0,7,0,150,0,20,8,1,2,71,0,0,0,1,10,0,0,4,0,0,0,2,60,28,0,221,0,61,0,3,0,0,0,0,0,22,4,0,0,2,0,157,141,52,138,0,0,0,0,1,0,3,0,8,1,0,1,5,0,0,2,0,6,0,0,1,2,1,0,4,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,1,1,1,2,0,0,2,1,0,0,0,0,5,0,0,0,1,3,2,1,1,0,58,170,39,1565,141,0,0,18,0,0,0,6,1,0,25,1,3,0,12,0,7,0,0,5,7,6,0,0,0,1,0,1,1,0,8,2,2,8,2,0,13,20,283,260,0,0,34,0,0,0,0,0,0,0,0,0,1,15,3,1,0,2,0,0,53,3,0,20,57,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,2,4,11,0,1,0,1,0,4,0,0,5,5,0,0,0,0,0,0,0,0,0,15,4,0,21
"E02000867",9761,4382,177,9,0,3,0,0,87,33,3,15,0,0,0,1,20,2,0,9,0,129,0,28,10,1,3,91,0,0,0,2,24,0,0,1,0,0,0,8,32,75,0,258,0,112,0,1,2,0,0,0,0,17,1,0,0,2,0,113,198,70,135,0,0,0,0,0,0,3,0,5,0,0,0,2,0,0,0,0,10,0,0,0,3,0,0,2,0,0,0,1,3,0,2,0,0,0,0,0,9,1,1,0,0,0,0,0,0,0,2,4,0,1,1,0,0,0,0,0,3,0,0,0,3,6,3,0,3,1,87,258,75,1911,233,0,0,1,8,0,1,4,0,0,30,11,9,0,19,0,10,1,0,4,4,1,0,0,0,0,0,2,0,0,10,0,0,12,2,0,26,23,274,273,0,0,34,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,44,22,0,27,70,1,6,1,0,0,0,0,4,0,0,0,2,4,0,0,0,2,4,0,0,10,1,0,0,0,0,0,4,36,2,0,0,2,0,2,1,0,2,4,0,0,0,0,23,0,0,0,0,10,5,1,18
"E02000868",6632,2494,158,8,0,3,0,2,100,10,1,13,0,0,0,0,16,0,0,4,0,128,0,16,4,0,1,81,1,0,0,1,18,0,0,1,0,0,0,6,44,30,0,304,0,45,0,0,5,0,0,0,0,22,0,0,0,2,0,92,63,54,76,0,0,0,1,4,0,0,0,3,0,0,0,2,0,2,0,0,4,0,2,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,6,0,2,2,1,0,0,1,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,2,0,0,69,72,53,1885,74,1,0,1,0,0,0,2,0,0,5,2,2,0,19,0,8,0,0,3,2,4,0,0,3,0,0,2,0,0,5,1,0,3,2,0,9,15,191,88,0,2,23,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,45,3,0,9,53,0,1,2,0,0,0,0,23,0,0,0,0,0,0,0,5,0,1,0,0,10,0,0,1,0,0,0,6,29,0,0,6,0,0,0,3,1,2,3,0,2,0,0,3,2,0,0,0,13,1,0,11
"E02000869",5705,2285,143,1,0,1,0,3,65,12,1,14,1,0,0,1,12,4,0,0,0,118,0,10,5,5,4,76,0,0,0,3,7,0,0,1,1,0,0,0,50,13,0,216,0,31,0,1,0,0,0,0,0,20,3,0,0,2,0,103,70,58,75,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,0,0,0,5,1,1,1,0,0,0,0,3,4,0,0,0,0,4,0,0,2,0,41,55,25,1402,74,0,0,0,1,0,1,1,2,0,12,3,2,0,15,0,13,1,0,0,3,0,0,1,0,0,0,0,0,0,3,2,0,4,0,0,13,5,254,107,0,1,23,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,44,9,0,3,35,0,3,0,0,0,0,0,18,0,1,0,2,1,0,0,3,0,1,0,0,12,0,0,0,0,0,0,0,18,0,0,5,1,0,0,0,0,5,3,0,0,1,0,0,0,0,0,1,10,1,2,4
"E02000870",6477,2679,118,2,0,3,0,2,59,23,0,11,0,0,0,1,11,2,0,6,0,91,1,10,1,0,1,86,1,0,0,1,13,0,1,0,0,0,0,0,27,22,0,180,0,48,0,2,1,0,0,0,0,21,0,0,0,0,0,75,71,41,86,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,1,1,4,0,1,1,0,1,0,4,2,2,0,0,1,0,0,0,0,0,0,0,6,1,0,1,2,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,43,76,38,1824,85,4,0,3,3,1,0,6,5,0,23,1,0,0,8,0,6,2,0,0,3,0,0,0,0,0,1,1,0,0,7,1,0,5,0,0,17,8,198,100,0,0,14,0,0,1,1,0,0,0,0,0,3,1,0,0,3,0,0,0,35,13,0,19,68,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0,0,2,0,3,0,1,0,0,2,0,21,20,0,0,1,3,0,1,0,0,6,5,0,0,1,0,10,2,0,0,0,7,4,0,16
"E02000871",8591,1691,85,3,0,1,0,0,23,52,0,11,0,0,0,2,18,1,0,6,0,91,0,12,4,0,0,48,0,0,11,4,9,0,1,0,0,1,0,0,19,37,0,100,0,74,0,0,0,0,0,0,0,27,0,0,0,2,1,73,106,53,82,0,0,0,0,0,0,4,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,7,1,0,0,4,8,0,0,1,0,62,162,88,3949,209,12,0,5,3,0,0,1,0,0,22,1,1,2,10,1,4,0,0,3,7,8,0,0,2,0,0,0,0,0,18,0,0,7,3,0,23,29,514,301,0,0,52,0,6,0,1,0,0,0,0,0,1,3,0,0,0,2,4,0,84,45,0,30,95,0,0,0,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,2,21,2,0,11,5,2,0,0,2,4,1,0,0,0,0,33,0,0,0,1,17,7,0,12
"E02000872",7501,2470,145,4,0,0,0,1,124,25,2,9,1,0,1,3,24,3,0,5,0,99,0,29,3,0,3,87,3,0,4,3,21,0,0,1,0,0,0,1,71,43,0,298,0,37,0,1,1,0,0,0,0,14,4,0,0,2,0,129,60,32,103,0,0,0,0,2,0,1,0,3,0,0,0,1,0,0,0,1,9,1,0,0,0,1,0,3,2,2,0,0,3,0,2,1,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,3,0,0,0,0,6,3,1,2,0,59,101,44,2472,112,3,0,11,1,0,0,4,1,0,12,1,2,1,28,0,17,2,0,0,4,4,0,0,0,0,0,0,0,0,4,1,1,2,0,0,34,17,229,150,0,0,28,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,44,1,0,10,76,0,0,1,0,0,0,0,3,0,0,1,0,1,2,0,8,0,3,0,0,10,0,0,1,0,0,0,4,17,0,0,1,1,0,4,0,0,1,6,0,1,0,0,2,0,0,0,0,8,2,0,16
"E02000873",8713,2607,120,7,0,5,0,1,60,46,6,10,0,0,0,1,48,3,0,10,0,104,0,39,7,3,0,89,0,0,6,0,10,0,0,1,0,0,0,4,34,61,4,210,0,59,0,2,1,1,0,0,0,35,5,0,0,1,2,103,59,60,124,0,0,0,0,3,0,1,0,3,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,14,0,2,0,2,0,0,3,4,1,1,0,0,0,2,1,1,0,0,0,3,0,0,0,9,2,4,0,0,0,33,218,142,2907,334,2,1,13,1,0,0,17,2,0,19,5,4,0,19,1,19,1,0,12,5,9,0,0,1,0,0,0,2,0,41,9,2,24,5,0,40,18,349,110,0,0,14,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,70,48,0,10,84,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,11,0,0,0,0,0,0,5,14,2,0,5,0,0,1,0,0,4,3,0,0,3,0,5,11,0,0,0,7,2,1,26
