"GeographyCode","QS301EW0001","QS301EW0002","QS301EW0003","QS301EW0004","QS301EW0005"
"E01004197",2329,2158,99,34,38
"E01004198",1529,1381,72,34,42
"E01004199",1637,1484,74,40,39
"E01004200",1566,1503,35,14,14
"E01004201",1556,1423,82,28,23
"E01004202",1705,1591,70,18,26
"E01004203",1779,1661,53,20,45
"E01004204",1582,1448,62,30,42
"E01004205",2106,1904,103,47,52
"E01004206",1492,1354,77,24,37
"E01004207",1416,1300,61,22,33
"E01004208",1976,1864,78,15,19
"E01004209",1366,1228,73,27,38
"E01004211",1463,1379,53,10,21
"E01004212",1780,1660,79,18,23
"E01004214",1669,1513,92,25,39
"E01004215",2756,2568,114,30,44
"E01004216",1619,1521,57,22,19
"E01004217",1745,1586,95,28,36
"E01004218",1750,1619,71,28,32
"E01004219",2294,2091,113,33,57
"E01004221",1881,1761,71,21,28
"E01004222",2480,2231,132,39,78
"E01004223",2079,1867,113,41,58
"E01004224",2000,1858,70,28,44
"E01004225",2178,2092,60,12,14
"E01004226",1738,1603,75,27,33
"E01004228",1857,1713,84,25,35
"E01004229",1484,1350,87,23,24
"E01004230",2101,1944,75,28,54
"E01004231",1793,1651,76,23,43
"E01004232",1665,1537,91,27,10
"E01004233",1821,1671,91,16,43
"E01004234",2218,2069,97,29,23
"E01004235",1372,1277,48,22,25
"E01004236",1679,1508,90,34,47
"E01004237",1158,1056,56,17,29
"E01004238",2733,2540,102,44,47
"E01004239",1649,1475,77,42,55
"E01004240",1815,1615,115,24,61
"E01004241",1621,1477,75,23,46
"E01004242",2453,2268,100,39,46
"E01004243",1789,1622,80,39,48
"E01004244",1885,1723,77,40,45
"E01004245",1539,1400,75,22,42
"E01004246",1977,1803,111,25,38
"E01004247",1934,1755,93,24,62
"E01004248",1344,1211,64,24,45
"E01004249",2049,1872,86,47,44
"E01004250",2342,2137,90,48,67
"E01004251",2082,1915,77,31,59
"E01004252",2707,2527,90,38,52
"E01004253",2340,2149,91,40,60
"E01004254",2120,2039,60,10,11
"E01004255",1618,1489,65,34,30
"E01004256",1729,1559,90,30,50
"E01004257",1884,1737,76,29,42
"E01004258",1506,1380,77,24,25
"E01004259",1723,1630,57,14,22
"E01004260",1790,1634,78,25,53
"E01004261",2525,2379,76,32,38
"E01004262",1742,1600,88,23,31
"E01004263",1419,1275,76,28,40
"E01004264",1537,1389,81,23,44
"E01004266",1545,1395,81,30,39
"E01004267",1767,1615,98,19,35
"E01004268",1784,1652,80,25,27
"E01004269",1975,1800,109,42,24
"E01004270",2236,2123,72,19,22
"E01004271",1589,1493,59,26,11
"E01004272",2099,1911,96,38,54
"E01004273",1904,1715,95,36,58
"E01004274",1973,1827,82,21,43
"E01004275",1879,1747,76,15,41
"E01004276",2024,1948,63,5,8
"E01004277",1630,1564,52,6,8
"E01004280",1879,1746,83,23,27
"E01004281",1770,1698,48,13,11
"E01004283",2317,2106,115,40,56
"E01004284",2302,2135,96,22,49
"E01004285",2318,2067,134,50,67
"E01004286",2364,2098,146,48,72
"E01004287",2171,1953,97,53,68
"E01004288",1620,1434,115,32,39
"E01004289",1844,1663,97,32,52
"E01004290",1302,1193,67,14,28
"E01004291",1844,1727,78,20,19
"E01004292",1738,1651,67,7,13
"E01004293",2125,1973,102,24,26
"E01004294",1757,1651,73,17,16
"E01004295",1516,1377,87,21,31
"E01004296",1605,1480,73,23,29
"E01004297",1826,1698,81,24,23
"E01004298",1637,1489,78,24,46
"E01004300",1349,1195,86,36,32
"E01004301",1324,1217,67,17,23
"E01004302",1987,1839,72,29,47
"E01004303",2362,2179,112,24,47
"E01004304",1957,1770,102,34,51
"E01004305",1952,1778,88,33,53
"E01004306",1799,1695,59,17,28
"E01004307",2186,2105,61,14,6
"E01004308",1478,1345,68,33,32
"E01004309",2852,2625,121,49,57
"E01004310",1971,1827,80,23,41
"E01004311",1518,1356,89,30,43
"E01004312",1614,1489,59,17,49
"E01004313",2043,1914,74,25,30
"E01004314",1100,1018,58,11,13
"E01004315",1628,1480,94,18,36
"E01004316",1138,1059,50,12,17
"E01004317",2706,2557,83,26,40
"E01004318",1459,1358,52,20,29
"E01004319",1886,1675,115,47,49
"E01004321",1822,1596,141,41,44
"E01004322",1292,1186,56,16,34
"E01004323",1466,1323,69,31,43
"E01004324",1574,1436,72,20,46
"E01004325",2487,2354,75,32,26
"E01004326",1444,1336,73,16,19
"E01032764",1302,1232,44,11,15
"E01032765",1488,1374,51,23,40
"E01032766",1307,1235,47,8,17
"E01032767",1584,1518,42,13,11
"E01032768",1307,1246,32,14,15
"E01032769",1235,1178,43,7,7
"E01032770",1191,1139,26,9,17
"E01032771",1104,1024,37,15,28
"E01032772",1135,1050,45,15,25
"E01032773",1561,1503,40,7,11
"E01032774",1298,1210,59,17,12
"E01032775",1108,1057,38,4,9
"E01032776",1076,1044,23,5,4
"E01032777",1141,1067,47,13,14
"E01032778",1108,1067,28,5,8
"E01032779",1089,1046,33,5,5
"E01032780",1333,1283,36,6,8
"E01032781",1535,1468,49,8,10
"E01032782",1614,1523,49,16,26
"E01032783",1383,1299,63,8,13
"E01032784",1516,1433,37,21,25
"E01032785",1348,1286,42,8,12
"E01032786",1561,1450,65,18,28
"E01032787",2567,2343,123,33,68
