"GeographyCode","QS303EW0001","QS303EW0002","QS303EW0003","QS303EW0004"
"E01004197",2329,157,173,1999
"E01004198",1529,178,144,1207
"E01004199",1637,150,141,1346
"E01004200",1566,60,81,1425
"E01004201",1556,126,127,1303
"E01004202",1705,91,87,1527
"E01004203",1779,112,106,1561
"E01004204",1582,194,151,1237
"E01004205",2106,190,166,1750
"E01004206",1492,173,138,1181
"E01004207",1416,140,98,1178
"E01004208",1976,82,102,1792
"E01004209",1366,114,104,1148
"E01004211",1463,98,75,1290
"E01004212",1780,129,125,1526
"E01004214",1669,176,142,1351
"E01004215",2756,156,170,2430
"E01004216",1619,85,84,1450
"E01004217",1745,162,137,1446
"E01004218",1750,87,90,1573
"E01004219",2294,129,138,2027
"E01004221",1881,78,95,1708
"E01004222",2480,289,235,1956
"E01004223",2079,224,189,1666
"E01004224",2000,159,179,1662
"E01004225",2178,50,89,2039
"E01004226",1738,124,124,1490
"E01004228",1857,155,115,1587
"E01004229",1484,91,106,1287
"E01004230",2101,176,149,1776
"E01004231",1793,143,125,1525
"E01004232",1665,71,89,1505
"E01004233",1821,138,177,1506
"E01004234",2218,115,114,1989
"E01004235",1372,98,100,1174
"E01004236",1679,146,142,1391
"E01004237",1158,65,82,1011
"E01004238",2733,158,172,2403
"E01004239",1649,131,134,1384
"E01004240",1815,148,138,1529
"E01004241",1621,121,147,1353
"E01004242",2453,165,132,2156
"E01004243",1789,154,155,1480
"E01004244",1885,194,187,1504
"E01004245",1539,122,127,1290
"E01004246",1977,115,134,1728
"E01004247",1934,156,171,1607
"E01004248",1344,135,114,1095
"E01004249",2049,161,153,1735
"E01004250",2342,241,193,1908
"E01004251",2082,195,161,1726
"E01004252",2707,155,186,2366
"E01004253",2340,215,189,1936
"E01004254",2120,41,55,2024
"E01004255",1618,122,138,1358
"E01004256",1729,156,141,1432
"E01004257",1884,115,138,1631
"E01004258",1506,92,97,1317
"E01004259",1723,96,105,1522
"E01004260",1790,131,140,1519
"E01004261",2525,120,131,2274
"E01004262",1742,122,118,1502
"E01004263",1419,150,143,1126
"E01004264",1537,108,128,1301
"E01004266",1545,128,117,1300
"E01004267",1767,102,115,1550
"E01004268",1784,144,132,1508
"E01004269",1975,178,129,1668
"E01004270",2236,87,117,2032
"E01004271",1589,102,119,1368
"E01004272",2099,176,151,1772
"E01004273",1904,173,145,1586
"E01004274",1973,115,108,1750
"E01004275",1879,100,101,1678
"E01004276",2024,17,48,1959
"E01004277",1630,32,40,1558
"E01004280",1879,102,126,1651
"E01004281",1770,38,52,1680
"E01004283",2317,270,209,1838
"E01004284",2302,167,153,1982
"E01004285",2318,207,167,1944
"E01004286",2364,193,219,1952
"E01004287",2171,207,164,1800
"E01004288",1620,150,157,1313
"E01004289",1844,176,142,1526
"E01004290",1302,135,100,1067
"E01004291",1844,82,79,1683
"E01004292",1738,50,55,1633
"E01004293",2125,94,103,1928
"E01004294",1757,89,109,1559
"E01004295",1516,121,126,1269
"E01004296",1605,117,116,1372
"E01004297",1826,76,74,1676
"E01004298",1637,153,169,1315
"E01004300",1349,151,118,1080
"E01004301",1324,79,102,1143
"E01004302",1987,114,126,1747
"E01004303",2362,155,147,2060
"E01004304",1957,172,172,1613
"E01004305",1952,188,142,1622
"E01004306",1799,110,128,1561
"E01004307",2186,48,76,2062
"E01004308",1478,122,101,1255
"E01004309",2852,224,247,2381
"E01004310",1971,161,179,1631
"E01004311",1518,179,115,1224
"E01004312",1614,171,144,1299
"E01004313",2043,137,137,1769
"E01004314",1100,61,84,955
"E01004315",1628,165,135,1328
"E01004316",1138,75,90,973
"E01004317",2706,130,160,2416
"E01004318",1459,111,106,1242
"E01004319",1886,168,146,1572
"E01004321",1822,168,163,1491
"E01004322",1292,107,91,1094
"E01004323",1466,108,107,1251
"E01004324",1574,126,130,1318
"E01004325",2487,91,113,2283
"E01004326",1444,105,111,1228
"E01032764",1302,67,77,1158
"E01032765",1488,105,117,1266
"E01032766",1307,39,67,1201
"E01032767",1584,29,32,1523
"E01032768",1307,36,39,1232
"E01032769",1235,34,49,1152
"E01032770",1191,47,54,1090
"E01032771",1104,37,49,1018
"E01032772",1135,81,78,976
"E01032773",1561,26,41,1494
"E01032774",1298,69,62,1167
"E01032775",1108,21,28,1059
"E01032776",1076,19,18,1039
"E01032777",1141,43,38,1060
"E01032778",1108,22,27,1059
"E01032779",1089,21,30,1038
"E01032780",1333,22,35,1276
"E01032781",1535,37,59,1439
"E01032782",1614,71,73,1470
"E01032783",1383,72,82,1229
"E01032784",1516,82,84,1350
"E01032785",1348,29,71,1248
"E01032786",1561,107,111,1343
"E01032787",2567,205,196,2166
