"GeographyCode","QS303EW0001","QS303EW0002","QS303EW0003","QS303EW0004"
"E02000864",8297,796,727,6774
"E02000865",7051,611,585,5855
"E02000866",9662,655,644,8363
"E02000867",9761,538,598,8625
"E02000868",6632,457,425,5750
"E02000869",5705,516,440,4749
"E02000870",6477,505,505,5467
"E02000871",8591,598,630,7363
"E02000872",7501,513,531,6457
"E02000873",8713,486,559,7668
"E02000874",7129,588,523,6018
"E02000875",9440,680,664,8096
"E02000876",7037,543,481,6013
"E02000877",9803,716,661,8426
"E02000878",10286,665,731,8890
"E02000879",7634,788,615,6231
"E02000880",5776,446,439,4891
"E02000881",6909,533,528,5848
"E02000882",8604,717,696,7191
"E02000883",7950,745,706,6499
"E02000884",9086,495,521,8070
"E02000885",6895,664,601,5630
"E02000886",7326,450,451,6425
"E02000887",8660,641,654,7365
"E02000888",8215,418,463,7334
"E02000889",6616,377,406,5833
"E02000890",5795,252,256,5287
"E02000891",12678,490,551,11637
"E02000893",6783,510,453,5820
"E02000894",10137,363,419,9355
"E02006853",7064,325,361,6378
"E02006854",5883,177,221,5485
